"R1"	"R2"	"C1"	"C2"
"133"	"R5"	"R7"	"C1"	"C2"
"134"	"R5"	"R8"	"C1"	"C2"
"135"	"R5"	"R10"	"C1"	"C2"
"136"	"R5"	"R11"	"C1"	"C2"
"137"	"R5"	"R12"	"C1"	"C2"
"138"	"R5"	"R13"	"C1"	"C2"
"139"	"R5"	"R14"	"C1"	"C2"
"140"	"R5"	"R15"	"C1"	"C2"
"141"	"R5"	"R6"	"C1"	"C3"
"142"	"R5"	"R7"	"C1"	"C3"
"143"	"R5"	"R8"	"C1"	"C3"
"144"	"R5"	"R10"	"C1"	"C3"
"145"	"R5"	"R11"	"C1"	"C3"
"146"	"R5"	"R12"	"C1"	"C3"
"147"	"R5"	"R13"	"C1"	"C3"
"148"	"R5"	"R14"	"C1"	"C3"
"149"	"R5"	"R15"	"C1"	"C3"
"150"	"R5"	"R6"	"C1"	"C4"
"151"	"R5"	"R7"	"C1"	"C4"
"152"	"R5"	"R8"	"C1"	"C4"
"153"	"R5"	"R10"	"C1"	"C4"
"154"	"R5"	"R11"	"C1"	"C4"
"155"	"R5"	"R12"	"C1"	"C4"
"156"	"R5"	"R13"	"C1"	"C4"
"157"	"R5"	"R14"	"C1"	"C4"
"158"	"R5"	"R15"	"C1"	"C4"
"159"	"R5"	"R6"	"C1"	"C5"
"160"	"R5"	"R7"	"C1"	"C5"
"161"	"R5"	"R8"	"C1"	"C5"
"162"	"R5"	"R10"	"C1"	"C5"
"163"	"R5"	"R11"	"C1"	"C5"
"164"	"R5"	"R12"	"C1"	"C5"
"165"	"R5"	"R13"	"C1"	"C5"
"166"	"R5"	"R14"	"C1"	"C5"
"167"	"R5"	"R15"	"C1"	"C5"
"168"	"R5"	"R6"	"C1"	"C6"
"169"	"R5"	"R7"	"C1"	"C6"
"170"	"R5"	"R8"	"C1"	"C6"
"171"	"R5"	"R10"	"C1"	"C6"
"172"	"R5"	"R11"	"C1"	"C6"
"173"	"R5"	"R12"	"C1"	"C6"
"174"	"R5"	"R13"	"C1"	"C6"
"175"	"R5"	"R14"	"C1"	"C6"
"176"	"R5"	"R15"	"C1"	"C6"
"177"	"R5"	"R6"	"C1"	"C7"
"178"	"R5"	"R7"	"C1"	"C7"
"179"	"R5"	"R8"	"C1"	"C7"
"180"	"R5"	"R10"	"C1"	"C7"
"181"	"R5"	"R11"	"C1"	"C7"
"182"	"R5"	"R12"	"C1"	"C7"
"183"	"R5"	"R13"	"C1"	"C7"
"184"	"R5"	"R14"	"C1"	"C7"
"185"	"R5"	"R15"	"C1"	"C7"
"186"	"R5"	"R6"	"C1"	"C8"
"187"	"R5"	"R7"	"C1"	"C8"
"188"	"R5"	"R8"	"C1"	"C8"
"189"	"R5"	"R10"	"C1"	"C8"
"190"	"R5"	"R11"	"C1"	"C8"
"191"	"R5"	"R12"	"C1"	"C8"
"192"	"R5"	"R13"	"C1"	"C8"
"193"	"R5"	"R14"	"C1"	"C8"
"194"	"R5"	"R15"	"C1"	"C8"
"195"	"R5"	"R6"	"C1"	"C9"
"196"	"R5"	"R7"	"C1"	"C9"
"197"	"R5"	"R8"	"C1"	"C9"
"198"	"R5"	"R10"	"C1"	"C9"
"199"	"R5"	"R11"	"C1"	"C9"
"200"	"R5"	"R12"	"C1"	"C9"
"201"	"R5"	"R13"	"C1"	"C9"
"202"	"R5"	"R14"	"C1"	"C9"
"203"	"R5"	"R15"	"C1"	"C9"
"204"	"R5"	"R6"	"C1"	"C10"
"205"	"R5"	"R7"	"C1"	"C10"
"206"	"R5"	"R8"	"C1"	"C10"
"207"	"R5"	"R10"	"C1"	"C10"
"208"	"R5"	"R11"	"C1"	"C10"
"209"	"R5"	"R12"	"C1"	"C10"
"210"	"R5"	"R13"	"C1"	"C10"
"211"	"R5"	"R14"	"C1"	"C10"
"212"	"R5"	"R15"	"C1"	"C10"
"213"	"R5"	"R6"	"C1"	"C11"
"214"	"R5"	"R7"	"C1"	"C11"
"215"	"R5"	"R8"	"C1"	"C11"
"216"	"R5"	"R10"	"C1"	"C11"
"217"	"R5"	"R11"	"C1"	"C11"
"218"	"R5"	"R12"	"C1"	"C11"
"219"	"R5"	"R13"	"C1"	"C11"
"220"	"R5"	"R14"	"C1"	"C11"
"221"	"R5"	"R15"	"C1"	"C11"
"222"	"R5"	"R6"	"C1"	"C12"
"223"	"R5"	"R7"	"C1"	"C12"
"224"	"R5"	"R8"	"C1"	"C12"
"225"	"R5"	"R10"	"C1"	"C12"
"226"	"R5"	"R11"	"C1"	"C12"
"227"	"R5"	"R12"	"C1"	"C12"
"228"	"R5"	"R13"	"C1"	"C12"
"229"	"R5"	"R14"	"C1"	"C12"
"230"	"R5"	"R15"	"C1"	"C12"
"231"	"R5"	"R6"	"C1"	"C13"
"232"	"R5"	"R7"	"C1"	"C13"
"233"	"R5"	"R8"	"C1"	"C13"
"234"	"R5"	"R10"	"C1"	"C13"
"235"	"R5"	"R11"	"C1"	"C13"
"236"	"R5"	"R12"	"C1"	"C13"
"237"	"R5"	"R13"	"C1"	"C13"
"238"	"R5"	"R14"	"C1"	"C13"
"239"	"R5"	"R15"	"C1"	"C13"
"240"	"R5"	"R6"	"C1"	"C14"
"241"	"R5"	"R7"	"C1"	"C14"
"242"	"R5"	"R8"	"C1"	"C14"
"243"	"R5"	"R10"	"C1"	"C14"
"244"	"R5"	"R11"	"C1"	"C14"
"245"	"R5"	"R12"	"C1"	"C14"
"246"	"R5"	"R13"	"C1"	"C14"
"247"	"R5"	"R14"	"C1"	"C14"
"248"	"R5"	"R15"	"C1"	"C14"
"249"	"R5"	"R6"	"C1"	"C15"
"250"	"R5"	"R7"	"C1"	"C15"
"251"	"R5"	"R8"	"C1"	"C15"
"252"	"R5"	"R10"	"C1"	"C15"
"253"	"R5"	"R11"	"C1"	"C15"
"254"	"R5"	"R12"	"C1"	"C15"
"255"	"R5"	"R13"	"C1"	"C15"
"256"	"R5"	"R14"	"C1"	"C15"
"257"	"R5"	"R15"	"C1"	"C15"
"258"	"R6"	"R7"	"C1"	"C2"
"259"	"R6"	"R8"	"C1"	"C2"
"260"	"R6"	"R10"	"C1"	"C2"
"261"	"R6"	"R11"	"C1"	"C2"
"262"	"R6"	"R12"	"C1"	"C2"
"263"	"R6"	"R13"	"C1"	"C2"
"264"	"R6"	"R14"	"C1"	"C2"
"265"	"R6"	"R15"	"C1"	"C2"
"266"	"R6"	"R7"	"C1"	"C3"
"267"	"R6"	"R8"	"C1"	"C3"
"268"	"R6"	"R10"	"C1"	"C3"
"269"	"R6"	"R11"	"C1"	"C3"
"270"	"R6"	"R12"	"C1"	"C3"
