"R1"	"R2"	"C1"	"C2"
"52"	"Coregonus_artedi"	"Oncorhynchus_gorbuscha"	"Echinorhynchus_salmonis"	"Triaenophorus_crassus"
"53"	"Coregonus_artedi"	"Salvelinus_namaycush"	"Echinorhynchus_salmonis"	"Triaenophorus_crassus"
"54"	"Coregonus_artedi"	"Coregonus_clupeaformis"	"Echinorhynchus_salmonis"	"Triaenophorus_crassus"
"55"	"Coregonus_artedi"	"Coregonus_hoyi"	"Echinorhynchus_salmonis"	"Triaenophorus_crassus"
"56"	"Coregonus_artedi"	"Oncorhynchus_gorbuscha"	"Echinorhynchus_salmonis"	"Cystidicoloides_ephemeridarum"
"57"	"Coregonus_artedi"	"Salvelinus_namaycush"	"Echinorhynchus_salmonis"	"Cystidicoloides_ephemeridarum"
"58"	"Coregonus_artedi"	"Coregonus_clupeaformis"	"Echinorhynchus_salmonis"	"Cystidicoloides_ephemeridarum"
"59"	"Coregonus_artedi"	"Oncorhynchus_kisutch"	"Echinorhynchus_salmonis"	"Cystidicoloides_ephemeridarum"
"60"	"Coregonus_artedi"	"Ambloplites_rupestris"	"Echinorhynchus_salmonis"	"Clinostomum_complanatum"
"61"	"Coregonus_artedi"	"Salvelinus_namaycush"	"Echinorhynchus_salmonis"	"Cystidicola_stigmatura"
"62"	"Coregonus_artedi"	"Osmerus_mordax"	"Echinorhynchus_salmonis"	"Cystidicola_stigmatura"
"63"	"Coregonus_artedi"	"Coregonus_clupeaformis"	"Echinorhynchus_salmonis"	"Proteocephalus_exiguus"
"64"	"Coregonus_artedi"	"Coregonus_hoyi"	"Echinorhynchus_salmonis"	"Proteocephalus_exiguus"
"65"	"Coregonus_artedi"	"Coregonus_clupeaformis"	"Echinorhynchus_salmonis"	"Proteocephalus_laruei"
"66"	"Coregonus_artedi"	"Coregonus_hoyi"	"Echinorhynchus_salmonis"	"Proteocephalus_laruei"
"67"	"Coregonus_artedi"	"Catostomus_commersonii"	"Echinorhynchus_salmonis"	"Neoechinorhynchus_crassus"
"68"	"Coregonus_artedi"	"Catostomus_catostomus"	"Echinorhynchus_salmonis"	"Neoechinorhynchus_crassus"
"69"	"Coregonus_artedi"	"Oncorhynchus_gorbuscha"	"Echinorhynchus_salmonis"	"Neoechinorhynchus_tumidus"
"70"	"Coregonus_artedi"	"Coregonus_clupeaformis"	"Echinorhynchus_salmonis"	"Neoechinorhynchus_tumidus"
"71"	"Coregonus_artedi"	"Oncorhynchus_kisutch"	"Echinorhynchus_salmonis"	"Neoechinorhynchus_tumidus"
"72"	"Coregonus_artedi"	"Oncorhynchus_tshawytscha"	"Echinorhynchus_salmonis"	"Neoechinorhynchus_tumidus"
"73"	"Coregonus_artedi"	"Prosopium_cylindraceum"	"Echinorhynchus_salmonis"	"Salmincola_extumescens"
"74"	"Coregonus_artedi"	"Coregonus_hoyi"	"Echinorhynchus_salmonis"	"Salmincola_extumescens"
"75"	"Coregonus_artedi"	"Coregonus_hoyi"	"Echinorhynchus_salmonis"	"Henneguya_sp."
"76"	"Coregonus_artedi"	"Salvelinus_namaycush"	"Echinorhynchus_salmonis"	"Eubothrium_crassum"
"77"	"Coregonus_artedi"	"Coregonus_hoyi"	"Echinorhynchus_salmonis"	"Diphyllobothrium_ditremum"
"78"	"Coregonus_artedi"	"Ambloplites_rupestris"	"Echinorhynchus_salmonis"	"Neoechinorhynchus_cylindratus"
"79"	"Catostomus_commersonii"	"Catostomus_catostomus"	"Echinorhynchus_salmonis"	"Diplostomum_spathaceum"
"80"	"Catostomus_commersonii"	"Perca_flavescens"	"Echinorhynchus_salmonis"	"Diplostomum_spathaceum"
"81"	"Catostomus_commersonii"	"Prosopium_cylindraceum"	"Echinorhynchus_salmonis"	"Diplostomum_spathaceum"
"82"	"Catostomus_commersonii"	"Oncorhynchus_kisutch"	"Echinorhynchus_salmonis"	"Diplostomum_spathaceum"
"83"	"Catostomus_commersonii"	"Percopsis_omiscomaycus"	"Echinorhynchus_salmonis"	"Diplostomum_spathaceum"
"84"	"Catostomus_commersonii"	"Osmerus_mordax"	"Echinorhynchus_salmonis"	"Diplostomum_spathaceum"
"85"	"Catostomus_commersonii"	"Acipenser_fulvescens"	"Echinorhynchus_salmonis"	"Diplostomum_spathaceum"
"86"	"Catostomus_commersonii"	"Cottus_bairdii"	"Echinorhynchus_salmonis"	"Diplostomum_spathaceum"
"87"	"Catostomus_commersonii"	"Catostomus_catostomus"	"Echinorhynchus_salmonis"	"Acanthocephalus_dirus"
"88"	"Catostomus_commersonii"	"Perca_flavescens"	"Echinorhynchus_salmonis"	"Acanthocephalus_dirus"
"89"	"Catostomus_commersonii"	"Percopsis_omiscomaycus"	"Echinorhynchus_salmonis"	"Acanthocephalus_dirus"
"90"	"Catostomus_commersonii"	"Osmerus_mordax"	"Echinorhynchus_salmonis"	"Acanthocephalus_dirus"
"91"	"Catostomus_commersonii"	"Cottus_bairdii"	"Echinorhynchus_salmonis"	"Acanthocephalus_dirus"
"92"	"Catostomus_commersonii"	"Ambloplites_rupestris"	"Echinorhynchus_salmonis"	"Ichthyocotylurus_sp."
"93"	"Catostomus_commersonii"	"Percopsis_omiscomaycus"	"Echinorhynchus_salmonis"	"Ichthyocotylurus_sp."
"94"	"Catostomus_commersonii"	"Cottus_bairdii"	"Echinorhynchus_salmonis"	"Ichthyocotylurus_sp."
"95"	"Catostomus_commersonii"	"Catostomus_catostomus"	"Echinorhynchus_salmonis"	"Pomphorhynchus_bulbocolli"
"96"	"Catostomus_commersonii"	"Ambloplites_rupestris"	"Echinorhynchus_salmonis"	"Pomphorhynchus_bulbocolli"
