"R1"	"R2"	"C1"	"C2"
"51"	"Cecropia_schreberiana"	"Casearia_arborea"	"Spindalis_portoricensis"	"Nesospingus_sp1_M_SD_004"
"52"	"Cecropia_schreberiana"	"Citrus_sinensis"	"Spindalis_portoricensis"	"Nesospingus_sp1_M_SD_004"
"53"	"Cecropia_schreberiana"	"Alchornea_latifolia"	"Spindalis_portoricensis"	"Loxigilla_portoricensis"
"54"	"Cecropia_schreberiana"	"Musa_acuminata"	"Spindalis_portoricensis"	"Loxigilla_portoricensis"
"55"	"Cecropia_schreberiana"	"Ficus_sp1_M_SD_004"	"Spindalis_portoricensis"	"Vireo_altiloquous"
"56"	"Cecropia_schreberiana"	"Alchornea_latifolia"	"Spindalis_portoricensis"	"Vireo_altiloquous"
"57"	"Cecropia_schreberiana"	"Miconia_affinis"	"Spindalis_portoricensis"	"Vireo_altiloquous"
"58"	"Cecropia_schreberiana"	"Inga_laurina"	"Spindalis_portoricensis"	"Vireo_altiloquous"
"59"	"Cecropia_schreberiana"	"Andira_inermis"	"Spindalis_portoricensis"	"Vireo_altiloquous"
"60"	"Cecropia_schreberiana"	"Ficus_sp1_M_SD_004"	"Spindalis_portoricensis"	"Margarops_fuscatus"
"61"	"Ficus_sp1_M_SD_004"	"Miconia_serrulata"	"Spindalis_portoricensis"	"Nesospingus_sp1_M_SD_004"
"62"	"Ficus_sp1_M_SD_004"	"Miconia_affinis"	"Spindalis_portoricensis"	"Nesospingus_sp1_M_SD_004"
"63"	"Ficus_sp1_M_SD_004"	"Musa_acuminata"	"Spindalis_portoricensis"	"Nesospingus_sp1_M_SD_004"
"64"	"Ficus_sp1_M_SD_004"	"Casearia_arborea"	"Spindalis_portoricensis"	"Nesospingus_sp1_M_SD_004"
"65"	"Ficus_sp1_M_SD_004"	"Citrus_sinensis"	"Spindalis_portoricensis"	"Nesospingus_sp1_M_SD_004"
"66"	"Ficus_sp1_M_SD_004"	"Alchornea_latifolia"	"Spindalis_portoricensis"	"Vireo_altiloquous"
"67"	"Ficus_sp1_M_SD_004"	"Miconia_affinis"	"Spindalis_portoricensis"	"Vireo_altiloquous"
"68"	"Ficus_sp1_M_SD_004"	"Inga_laurina"	"Spindalis_portoricensis"	"Vireo_altiloquous"
"69"	"Ficus_sp1_M_SD_004"	"Andira_inermis"	"Spindalis_portoricensis"	"Vireo_altiloquous"
"70"	"Alchornea_latifolia"	"Musa_acuminata"	"Spindalis_portoricensis"	"Loxigilla_portoricensis"
"71"	"Alchornea_latifolia"	"Miconia_affinis"	"Spindalis_portoricensis"	"Vireo_altiloquous"
"72"	"Alchornea_latifolia"	"Inga_laurina"	"Spindalis_portoricensis"	"Vireo_altiloquous"
"73"	"Alchornea_latifolia"	"Andira_inermis"	"Spindalis_portoricensis"	"Vireo_altiloquous"
"74"	"Miconia_serrulata"	"Anthurium_scandens"	"Spindalis_portoricensis"	"Euphonia_musica"
"75"	"Miconia_serrulata"	"Miconia_affinis"	"Spindalis_portoricensis"	"Nesospingus_sp1_M_SD_004"
"76"	"Miconia_serrulata"	"Musa_acuminata"	"Spindalis_portoricensis"	"Nesospingus_sp1_M_SD_004"
"77"	"Miconia_serrulata"	"Casearia_arborea"	"Spindalis_portoricensis"	"Nesospingus_sp1_M_SD_004"
"78"	"Miconia_serrulata"	"Citrus_sinensis"	"Spindalis_portoricensis"	"Nesospingus_sp1_M_SD_004"
"79"	"Miconia_affinis"	"Musa_acuminata"	"Spindalis_portoricensis"	"Nesospingus_sp1_M_SD_004"
"80"	"Miconia_affinis"	"Casearia_arborea"	"Spindalis_portoricensis"	"Nesospingus_sp1_M_SD_004"
"81"	"Miconia_affinis"	"Citrus_sinensis"	"Spindalis_portoricensis"	"Nesospingus_sp1_M_SD_004"
"82"	"Miconia_affinis"	"Inga_laurina"	"Spindalis_portoricensis"	"Vireo_altiloquous"
"83"	"Miconia_affinis"	"Andira_inermis"	"Spindalis_portoricensis"	"Vireo_altiloquous"
"84"	"Musa_acuminata"	"Casearia_arborea"	"Spindalis_portoricensis"	"Nesospingus_sp1_M_SD_004"
"85"	"Musa_acuminata"	"Citrus_sinensis"	"Spindalis_portoricensis"	"Nesospingus_sp1_M_SD_004"
"86"	"Inga_laurina"	"Andira_inermis"	"Spindalis_portoricensis"	"Vireo_altiloquous"
"87"	"Casearia_arborea"	"Citrus_sinensis"	"Spindalis_portoricensis"	"Nesospingus_sp1_M_SD_004"
"88"	"Phoradendron_sp1_M_SD_004"	"Schefflera_morototoni"	"Euphonia_musica"	"Nesospingus_sp1_M_SD_004"
"89"	"Phoradendron_sp1_M_SD_004"	"Miconia_serrulata"	"Euphonia_musica"	"Nesospingus_sp1_M_SD_004"
"90"	"Phoradendron_sp1_M_SD_004"	"Schefflera_morototoni"	"Euphonia_musica"	"Loxigilla_portoricensis"
"91"	"Phoradendron_sp1_M_SD_004"	"Schefflera_morototoni"	"Euphonia_musica"	"Vireo_altiloquous"
"92"	"Phoradendron_sp1_M_SD_004"	"Schefflera_morototoni"	"Euphonia_musica"	"Coereba_flaveola"
"93"	"Schefflera_morototoni"	"Miconia_serrulata"	"Euphonia_musica"	"Nesospingus_sp1_M_SD_004"
"94"	"Phoradendron_sp1_M_SD_004"	"Schefflera_morototoni"	"Nesospingus_sp1_M_SD_004"	"Loxigilla_portoricensis"
"95"	"Phoradendron_sp1_M_SD_004"	"Cecropia_schreberiana"	"Nesospingus_sp1_M_SD_004"	"Loxigilla_portoricensis"
"96"	"Phoradendron_sp1_M_SD_004"	"Guarea_guidonia"	"Nesospingus_sp1_M_SD_004"	"Loxigilla_portoricensis"
"97"	"Phoradendron_sp1_M_SD_004"	"Musa_acuminata"	"Nesospingus_sp1_M_SD_004"	"Loxigilla_portoricensis"
"98"	"Phoradendron_sp1_M_SD_004"	"Dendropemon_bicolor"	"Nesospingus_sp1_M_SD_004"	"Loxigilla_portoricensis"
"99"	"Phoradendron_sp1_M_SD_004"	"Myrcine_coriacea"	"Nesospingus_sp1_M_SD_004"	"Loxigilla_portoricensis"
"100"	"Phoradendron_sp1_M_SD_004"	"Syzigium_jambos"	"Nesospingus_sp1_M_SD_004"	"Loxigilla_portoricensis"
"101"	"Phoradendron_sp1_M_SD_004"	"Miconia_racemosa"	"Nesospingus_sp1_M_SD_004"	"Loxigilla_portoricensis"
"102"	"Phoradendron_sp1_M_SD_004"	"Palicourea_guianensis"	"Nesospingus_sp1_M_SD_004"	"Loxigilla_portoricensis"
"103"	"Phoradendron_sp1_M_SD_004"	"Schefflera_morototoni"	"Nesospingus_sp1_M_SD_004"	"Vireo_altiloquous"
"104"	"Phoradendron_sp1_M_SD_004"	"Cecropia_schreberiana"	"Nesospingus_sp1_M_SD_004"	"Vireo_altiloquous"
"105"	"Phoradendron_sp1_M_SD_004"	"Ficus_sp1_M_SD_004"	"Nesospingus_sp1_M_SD_004"	"Vireo_altiloquous"
"106"	"Phoradendron_sp1_M_SD_004"	"Guarea_guidonia"	"Nesospingus_sp1_M_SD_004"	"Vireo_altiloquous"
"107"	"Phoradendron_sp1_M_SD_004"	"Clusia_rosea"	"Nesospingus_sp1_M_SD_004"	"Vireo_altiloquous"
"108"	"Phoradendron_sp1_M_SD_004"	"Miconia_affinis"	"Nesospingus_sp1_M_SD_004"	"Vireo_altiloquous"
"109"	"Phoradendron_sp1_M_SD_004"	"Inga_vera"	"Nesospingus_sp1_M_SD_004"	"Vireo_altiloquous"
"110"	"Phoradendron_sp1_M_SD_004"	"Myrcine_coriacea"	"Nesospingus_sp1_M_SD_004"	"Vireo_altiloquous"
"111"	"Phoradendron_sp1_M_SD_004"	"Schefflera_morototoni"	"Nesospingus_sp1_M_SD_004"	"Coereba_flaveola"
"112"	"Phoradendron_sp1_M_SD_004"	"Cecropia_schreberiana"	"Nesospingus_sp1_M_SD_004"	"Coereba_flaveola"
"113"	"Phoradendron_sp1_M_SD_004"	"Guarea_guidonia"	"Nesospingus_sp1_M_SD_004"	"Vireo_flavirostris"
"114"	"Schefflera_morototoni"	"Cecropia_schreberiana"	"Nesospingus_sp1_M_SD_004"	"Loxigilla_portoricensis"
"115"	"Schefflera_morototoni"	"Guarea_guidonia"	"Nesospingus_sp1_M_SD_004"	"Loxigilla_portoricensis"
"116"	"Schefflera_morototoni"	"Musa_acuminata"	"Nesospingus_sp1_M_SD_004"	"Loxigilla_portoricensis"
"117"	"Schefflera_morototoni"	"Dendropemon_bicolor"	"Nesospingus_sp1_M_SD_004"	"Loxigilla_portoricensis"
"118"	"Schefflera_morototoni"	"Myrcine_coriacea"	"Nesospingus_sp1_M_SD_004"	"Loxigilla_portoricensis"
"119"	"Schefflera_morototoni"	"Syzigium_jambos"	"Nesospingus_sp1_M_SD_004"	"Loxigilla_portoricensis"
"120"	"Schefflera_morototoni"	"Miconia_racemosa"	"Nesospingus_sp1_M_SD_004"	"Loxigilla_portoricensis"
"121"	"Schefflera_morototoni"	"Palicourea_guianensis"	"Nesospingus_sp1_M_SD_004"	"Loxigilla_portoricensis"
"122"	"Schefflera_morototoni"	"Cecropia_schreberiana"	"Nesospingus_sp1_M_SD_004"	"Vireo_altiloquous"
"123"	"Schefflera_morototoni"	"Ficus_sp1_M_SD_004"	"Nesospingus_sp1_M_SD_004"	"Vireo_altiloquous"
"124"	"Schefflera_morototoni"	"Guarea_guidonia"	"Nesospingus_sp1_M_SD_004"	"Vireo_altiloquous"
"125"	"Schefflera_morototoni"	"Clusia_rosea"	"Nesospingus_sp1_M_SD_004"	"Vireo_altiloquous"
"126"	"Schefflera_morototoni"	"Miconia_affinis"	"Nesospingus_sp1_M_SD_004"	"Vireo_altiloquous"
"127"	"Schefflera_morototoni"	"Inga_vera"	"Nesospingus_sp1_M_SD_004"	"Vireo_altiloquous"
"128"	"Schefflera_morototoni"	"Myrcine_coriacea"	"Nesospingus_sp1_M_SD_004"	"Vireo_altiloquous"
"129"	"Schefflera_morototoni"	"Cecropia_schreberiana"	"Nesospingus_sp1_M_SD_004"	"Margarops_fuscatus"
"130"	"Schefflera_morototoni"	"Ficus_sp1_M_SD_004"	"Nesospingus_sp1_M_SD_004"	"Margarops_fuscatus"
"131"	"Schefflera_morototoni"	"Guarea_guidonia"	"Nesospingus_sp1_M_SD_004"	"Margarops_fuscatus"
"132"	"Schefflera_morototoni"	"Clusia_rosea"	"Nesospingus_sp1_M_SD_004"	"Tyrannus_dominicensis"
"133"	"Schefflera_morototoni"	"Cecropia_schreberiana"	"Nesospingus_sp1_M_SD_004"	"Coereba_flaveola"
"134"	"Schefflera_morototoni"	"Cecropia_schreberiana"	"Nesospingus_sp1_M_SD_004"	"Dendroica_tigrina"
"135"	"Cecropia_schreberiana"	"Guarea_guidonia"	"Nesospingus_sp1_M_SD_004"	"Loxigilla_portoricensis"
"136"	"Cecropia_schreberiana"	"Musa_acuminata"	"Nesospingus_sp1_M_SD_004"	"Loxigilla_portoricensis"
"137"	"Cecropia_schreberiana"	"Dendropemon_bicolor"	"Nesospingus_sp1_M_SD_004"	"Loxigilla_portoricensis"
"138"	"Cecropia_schreberiana"	"Myrcine_coriacea"	"Nesospingus_sp1_M_SD_004"	"Loxigilla_portoricensis"
"139"	"Cecropia_schreberiana"	"Syzigium_jambos"	"Nesospingus_sp1_M_SD_004"	"Loxigilla_portoricensis"
"140"	"Cecropia_schreberiana"	"Miconia_racemosa"	"Nesospingus_sp1_M_SD_004"	"Loxigilla_portoricensis"
"141"	"Cecropia_schreberiana"	"Palicourea_guianensis"	"Nesospingus_sp1_M_SD_004"	"Loxigilla_portoricensis"
"142"	"Cecropia_schreberiana"	"Ficus_sp1_M_SD_004"	"Nesospingus_sp1_M_SD_004"	"Vireo_altiloquous"
"143"	"Cecropia_schreberiana"	"Guarea_guidonia"	"Nesospingus_sp1_M_SD_004"	"Vireo_altiloquous"
"144"	"Cecropia_schreberiana"	"Clusia_rosea"	"Nesospingus_sp1_M_SD_004"	"Vireo_altiloquous"
"145"	"Cecropia_schreberiana"	"Miconia_affinis"	"Nesospingus_sp1_M_SD_004"	"Vireo_altiloquous"
"146"	"Cecropia_schreberiana"	"Inga_vera"	"Nesospingus_sp1_M_SD_004"	"Vireo_altiloquous"
"147"	"Cecropia_schreberiana"	"Myrcine_coriacea"	"Nesospingus_sp1_M_SD_004"	"Vireo_altiloquous"
"148"	"Cecropia_schreberiana"	"Clusia_rosea"	"Nesospingus_sp1_M_SD_004"	"Melanerpes_portoricensis"
"149"	"Cecropia_schreberiana"	"Ficus_sp1_M_SD_004"	"Nesospingus_sp1_M_SD_004"	"Margarops_fuscatus"
"150"	"Cecropia_schreberiana"	"Guarea_guidonia"	"Nesospingus_sp1_M_SD_004"	"Margarops_fuscatus"
"151"	"Ficus_sp1_M_SD_004"	"Guarea_guidonia"	"Nesospingus_sp1_M_SD_004"	"Vireo_altiloquous"
"152"	"Ficus_sp1_M_SD_004"	"Clusia_rosea"	"Nesospingus_sp1_M_SD_004"	"Vireo_altiloquous"
"153"	"Ficus_sp1_M_SD_004"	"Miconia_affinis"	"Nesospingus_sp1_M_SD_004"	"Vireo_altiloquous"
"154"	"Ficus_sp1_M_SD_004"	"Inga_vera"	"Nesospingus_sp1_M_SD_004"	"Vireo_altiloquous"
"155"	"Ficus_sp1_M_SD_004"	"Myrcine_coriacea"	"Nesospingus_sp1_M_SD_004"	"Vireo_altiloquous"
"156"	"Ficus_sp1_M_SD_004"	"Guarea_guidonia"	"Nesospingus_sp1_M_SD_004"	"Margarops_fuscatus"
"157"	"Guarea_guidonia"	"Musa_acuminata"	"Nesospingus_sp1_M_SD_004"	"Loxigilla_portoricensis"
"158"	"Guarea_guidonia"	"Dendropemon_bicolor"	"Nesospingus_sp1_M_SD_004"	"Loxigilla_portoricensis"
"159"	"Guarea_guidonia"	"Myrcine_coriacea"	"Nesospingus_sp1_M_SD_004"	"Loxigilla_portoricensis"
"160"	"Guarea_guidonia"	"Syzigium_jambos"	"Nesospingus_sp1_M_SD_004"	"Loxigilla_portoricensis"
"161"	"Guarea_guidonia"	"Miconia_racemosa"	"Nesospingus_sp1_M_SD_004"	"Loxigilla_portoricensis"
