"Guarea_guidonia"	"Cecropia_schreberiana"	"Schefflera_morototoni"	"Miconia_prasina"	"Cupania_americana"	"Alchornea_latifolia"	"Myrcia_sp1_M_SD_003"	"Byrsonima_coriacea"	"Clusia_rosea"	"Henriettea_fascicularis"	"Casearia_arborea"	"Ocotea_leucoxylon"	"Miconia_affinis"	"Phoradendron_sp1_M_SD_003"	"Psychotria_berteroana"	"Inga_vera"	"Ficus_sp1_M_SD_003"	"Myrcine_coriacea"	"Anthurium_scandens"	"Dendropanax_arboreus"	"Inga_laurina"	"Miconia_serrulata"	"Tournefortia_hisutissima"	"Unidentified_sp2_M_SD_003"	"Unidentified_sp3_M_SD_003"	"Loxigilla_portoricensis"	"Spindalis_portoricensis"	"Vireo_altiloquous"	"Turdus_plumbeus"	"Columba_squamosa"	"Coereba_flaveola"	"Tyrannus_dominicensis"	"Euphonia_musica"	"Margarops_fuscatus"	"Icterus_dominicensis"	"Zenaida_zenaida"	"Molothrus_bonariensis"	"Nesospingus_sp1_M_SD_003"	"Tiaris_bicolor"	"Todus_mexicanus"	"Unidentified_sp1_M_SD_003"
"Casearia_arborea"	0.0317624027956467	0.0294465974520917	0.0204737098632971	0.00707578003062964	0.0343690886373268	0.0125295161535839	0.00629613184581919	0.0243687073700685	0.0066885681638848	0.00689570205135572	1.0980488527958	0.0122893335932757	0.00479682164356709	0.0052801906175213	0.00539080561290808	0.00539080561290808	0.000483368973954205	0.00728255213322578	0.00479682164356709	0.000593983969340988	0.000603072301651939	0.000593983969340988	0.000593983969340988	0.0066885681638848	0.000593983969340988	0.134311006019879	0.0154435832028657	0.133771363277696	0.00721459309436561	0.122893335932756	0.00467788910886271	0.116230120531702	0.00290021384372523	0.00724260986328888	0.00361843380991163	0.00208825269226398	0.0024549349026662	0.0013384817023678	0.0013384817023678	0.0013384817023678	0.10980488527958
"Ocotea_leucoxylon"	0.00376339504152178	0.0656424717382037	0.0586917442732012	0.00270407918391844	0.00559765500501439	0.00226560592308955	0.0020838139982983	0.058037446250291	0.00134269272545518	0.00309789252599167	0.0614466679663782	1.05512837519236	0.000734112704043572	0.00133740354049763	0.00156637833247297	0.00156637833247297	0.000603290836454054	0.00217495835388458	0.000734112704043572	0.000832265628429397	0.000143103466564933	0.000832265628429397	0.000832265628429397	0.00134269272545518	0.000832265628429397	0.02055515571322	0.0216389063391643	0.0268538545091036	0.0111072858156302	0.551283751923628	0.00372159111372087	0.00701492367718622	0.00361974501872433	0.00413948532660264	0.000858620799389596	0.000377600987181591	0.000399832500358171	0.00298374871537289	0.00298374871537289	0.00298374871537289	0.00614466679663783
"Miconia_affinis"	0.0234148328136597	0.0289978971856687	0.00342316112349718	0.0234385802176458	0.0256302895901456	0.0227543164951246	0.0224254729287054	0.0226374279238482	0.000841885001858771	0.0227124549308886	0.0239841082178355	0.000734112704043572	1.02001623845201	0.0212204567089032	0.0210614302179459	0.0210614302179459	0.00120421825689782	0.00188707676779922	0.0200162384520054	0.00104519176594045	0.00084905306128832	0.00104519176594045	0.00104519176594045	0.000841885001858771	0.00104519176594045	0.560454676656152	0.0271749859144517	0.0168377000371754	0.00641577321323512	0.00734112704043572	0.00607864373364263	0.00715599989421569	0.00722530954138693	0.0109123416860763	0.00509431836772992	0.00379238608252076	0.00183073497072469	0.00131808623571221	0.00131808623571221	0.00131808623571221	0.00239841082178355
"Phoradendron_sp1_M_SD_003"	0.0129297446781499	0.0687519697978886	0.0027044483995007	0.0133188380966689	0.0145982944759151	0.0122275462944233	0.0123467248269923	0.0125557886142252	0.000598355748769778	0.0125217936952267	0.0132004765438032	0.000668701770248813	0.0106102283544516	1.05932978009252	0.0112887310952066	0.0112887310952066	0.0487195517380725	0.00127685848952479	0.0106102283544516	0.00067850274075501	0.000474174460293011	0.00067850274075501	0.00067850274075501	0.000598355748769778	0.00067850274075501	0.297086393924645	0.0176410712596303	0.0119671149753956	0.00607110511781681	0.00668701770248813	0.00583267961805949	0.00397900105885729	0.292317310428435	0.0084639498542854	0.00284504676175807	0.00203792438240389	0.00104273531970822	0.00312508953626766	0.00312508953626766	0.00312508953626766	0.00132004765438033
"Psychotria_berteroana"	0.0132649017066838	0.0296319133106408	0.0141659725661019	0.0243647652726184	0.0151066366989687	0.012369997343902	0.0234528408912753	0.0237995516381854	0.000808449122937238	0.0238431287629681	0.0134770140322702	0.000783189166236485	0.0105307151089729	0.0112887310952066	1.02220791334901	0.0222079133490117	0.000758015986233696	0.012485647362976	0.0105307151089729	0.0116771982400388	0.000738079377067051	0.0116771982400388	0.0116771982400388	0.000808449122937238	0.0116771982400388	0.294860023051242	0.303607154241008	0.0161689824587447	0.00717708829511519	0.00783189166236484	0.00547154628805874	0.00408485959506026	0.00454809591740217	0.00995942033810901	0.0044284762624023	0.00206166622398367	0.00107904547849776	0.00134690515048367	0.00134690515048367	0.00134690515048367	0.00134770140322702
"Inga_vera"	0.0132649017066838	0.0296319133106408	0.0141659725661019	0.0243647652726184	0.0151066366989687	0.012369997343902	0.0234528408912753	0.0237995516381854	0.000808449122937238	0.0238431287629681	0.0134770140322702	0.000783189166236485	0.0105307151089729	0.0112887310952066	0.0222079133490117	1.02220791334901	0.000758015986233696	0.012485647362976	0.0105307151089729	0.0116771982400388	0.000738079377067051	0.0116771982400388	0.0116771982400388	0.000808449122937238	0.0116771982400388	0.294860023051242	0.303607154241008	0.0161689824587447	0.00717708829511519	0.00783189166236484	0.00547154628805874	0.00408485959506026	0.00454809591740217	0.00995942033810901	0.0044284762624023	0.00206166622398367	0.00107904547849776	0.00134690515048367	0.00134690515048367	0.00134690515048367	0.00134770140322702
"Ficus_sp1_M_SD_003"	0.00244465654264023	0.108506042410108	0.00198573567550422	0.00319909597569193	0.00356629936168454	0.00170077609372212	0.0022679767252792	0.00247414930460223	0.000354826495680785	0.00233113245956491	0.00241684486977103	0.000603290836454054	0.00120421825689782	0.097439103476145	0.00151603197246739	0.00151603197246739	1.09623488521925	0.000666640211250354	0.00120421825689782	0.00031181371556957	9.92958592977029e-05	0.00031181371556957	0.00031181371556957	0.000354826495680785	0.00031181371556957	0.033718111193139	0.00810715660480881	0.00709652991361569	0.0057264370223985	0.00603290836454054	0.00558671550247635	0.000802002223498884	0.577409311315483	0.0060155580224945	0.000595775155786217	0.000283462682287019	0.000254735668691753	0.00493209283682311	0.00493209283682311	0.00493209283682311	0.000241684486977103
"Myrcine_coriacea"	0.0171684522549562	0.0333090110882601	0.0280232201940552	0.0142235108298202	0.0192636541419936	0.0167106950865056	0.0134455174784633	0.0279477253186489	0.0143745987787306	0.0140747383662154	0.0182063803330645	0.00108747917694229	0.000943538383899611	0.00127685848952479	0.012485647362976	0.012485647362976	0.000333320105625177	1.02591670775781	0.000943538383899611	0.0115421089790764	0.000570057743933382	0.0115421089790764	0.0115421089790764	0.0143745987787306	0.0115421089790764	0.0264190747491891	0.300094833455986	0.287491975574611	0.00815226607444778	0.0108747917694229	0.00466796010814148	0.00534266986103266	0.00199992063375106	0.00767896092389821	0.00342034646360029	0.00278511584775094	0.00137597529585668	0.00151404595855728	0.00151404595855728	0.00151404595855728	0.00182063803330645
"Anthurium_scandens"	0.0234148328136597	0.0289978971856687	0.00342316112349718	0.0234385802176458	0.0256302895901456	0.0227543164951246	0.0224254729287054	0.0226374279238482	0.000841885001858771	0.0227124549308886	0.0239841082178355	0.000734112704043572	0.0200162384520054	0.0212204567089032	0.0210614302179459	0.0210614302179459	0.00120421825689782	0.00188707676779922	1.02001623845201	0.00104519176594045	0.00084905306128832	0.00104519176594045	0.00104519176594045	0.000841885001858771	0.00104519176594045	0.560454676656152	0.0271749859144517	0.0168377000371754	0.00641577321323512	0.00734112704043572	0.00607864373364263	0.00715599989421569	0.00722530954138693	0.0109123416860763	0.00509431836772992	0.00379238608252076	0.00183073497072469	0.00131808623571221	0.00131808623571221	0.00131808623571221	0.00239841082178355
"Dendropanax_arboreus"	0.00311497059970801	0.0302659294356128	0.0249087840087066	0.0252909503275911	0.00458298380779171	0.00198567819267944	0.0244802088538452	0.0249616753525226	0.000775013244015704	0.0249738025950477	0.00296991984670494	0.000832265628429397	0.00104519176594045	0.00135700548151002	0.0233543964800775	0.0233543964800775	0.00031181371556957	0.0230842179581528	0.00104519176594045	1.02230920471414	0.000627105692845782	0.0223092047141371	0.0223092047141371	0.000775013244015704	0.0223092047141371	0.0292653694463326	0.580039322567564	0.0155002648803141	0.00793840337699525	0.00832265628429397	0.00486444884247484	0.00101371929590483	0.00187088229341742	0.00900649899014172	0.00376263415707469	0.000330946365446574	0.000327355986270836	0.00137572406525513	0.00137572406525513	0.00137572406525513	0.000296991984670494
"Inga_laurina"	0.00288634676232072	0.00679887991179893	0.00385898226868023	0.00300414748268049	0.104919264292063	0.00148588675233742	0.00164101555017304	0.00213227201572002	0.000513009795020982	0.0985636845655485	0.00301536150825969	0.000143103466564933	0.00084905306128832	0.000948348920586023	0.0014761587541341	0.0014761587541341	9.92958592977029e-05	0.00114011548786676	0.00084905306128832	0.000627105692845782	1.09451176249717	0.000627105692845782	0.000627105692845782	0.000513009795020982	0.000627105692845782	0.0237734857160729	0.0163047480139903	0.0102601959004196	0.0206061065139882	0.00143103466564933	0.00817879159504471	0.00815656265983485	0.000595775155786218	0.00131885436831152	0.567070574982995	0.000247647792056237	0.00749423316371879	0.00030903999599086	0.00030903999599086	0.00030903999599086	0.000301536150825969
"Miconia_serrulata"	0.00311497059970801	0.0302659294356128	0.0249087840087066	0.0252909503275911	0.00458298380779171	0.00198567819267944	0.0244802088538452	0.0249616753525226	0.000775013244015704	0.0249738025950477	0.00296991984670494	0.000832265628429397	0.00104519176594045	0.00135700548151002	0.0233543964800775	0.0233543964800775	0.00031181371556957	0.0230842179581528	0.00104519176594045	0.0223092047141371	0.000627105692845782	1.02230920471414	0.0223092047141371	0.000775013244015704	0.0223092047141371	0.0292653694463326	0.580039322567564	0.0155002648803141	0.00793840337699525	0.00832265628429397	0.00486444884247484	0.00101371929590483	0.00187088229341742	0.00900649899014172	0.00376263415707469	0.000330946365446574	0.000327355986270836	0.00137572406525513	0.00137572406525513	0.00137572406525513	0.000296991984670494
