"Nephrosperma_vanhoutteanum"	"Psychotria_pervillei"	"Phoenicophorium_borsigianum"	"Canthium_bibracteatum"	"Dillenia_ferruginea"	"Memecylon_eleagni"	"Psidium_cattleianum"	"Lasioglossum_mahense"	"Apis_mellifera"	"Unidentified_sp2_M_PL_095"	"Hemipyrellia_sp1_M_PL_095"	"Ornidia_obesa"	"Nectarinia_dussumieri"	"Rhiparida_seychellensis"	"Unidentified_sp3_M_PL_095"	"Eristalinus_vicarians"	"Hemipyrellia_germana"	"Parasarcophaga_hirticeps"	"Unidentified_sp1_M_PL_095"
"Nephrosperma_vanhoutteanum"	1.20433014342367	0.0254478325004311	0.0267083728910113	0.0258334057201346	0.0282753694449235	0.0101660248166237	0.0125721845365346	0.135145970934997	0.142324347432731	0.120433014342367	0.00430556762002244	0.00543391070079885	0.00706884236123086	0.120433014342367	0.00333854661137641	0.00209536408942243	0.00282753694449235	0.00282753694449235	0.120433014342367
"Psychotria_pervillei"	0.0424130541673852	1.08351759574692	0.0406605079833306	0.0393284684097572	0.0927973286076944	0.0154766347954569	0.019139743622784	0.205744612468205	0.216672887136397	0.00424130541673852	0.00655474473495953	0.00827252076838033	0.18986599881859	0.00424130541673852	0.00508256349791633	0.003189957270464	0.00927973286076944	0.00927973286076944	0.00424130541673852
"Phoenicophorium_borsigianum"	0.0333854661137641	0.030495380987498	1.13728396110697	0.0309574322145813	0.0338837566527755	0.0124646909018289	0.0548626453559107	0.159129552948706	0.174505672625605	0.00333854661137641	0.00515957203576355	0.151304269364357	0.00847093916319388	0.00333854661137641	0.142160495138372	0.00914377422598512	0.00338837566527756	0.00338837566527755	0.00333854661137641
"Canthium_bibracteatum"	0.0430556762002243	0.0393284684097572	0.0412765762861084	1.13083344520384	0.0436982982330635	0.0157111292620548	0.0194297397382807	0.208861955081359	0.219955809668767	0.00430556762002243	0.188472240867307	0.00839786199214367	0.0109245745582659	0.00430556762002244	0.00515957203576355	0.00323828995638012	0.00436982982330635	0.00436982982330635	0.00430556762002244
"Dillenia_ferruginea"	0.0282753694449235	0.0556783971646166	0.0271070053222204	0.0262189789398381	1.17297599684957	0.0103177565303046	0.012759829081856	0.137163074978803	0.144448591424265	0.00282753694449234	0.00436982982330635	0.00551501384558689	0.126577332545727	0.00282753694449235	0.00338837566527755	0.00212663818030933	0.117297599684957	0.117297599684957	0.00282753694449235
"Memecylon_eleagni"	0.0508301240831184	0.0464299043863708	0.0498587636073158	0.0471333877861643	0.0515887826515231	1.03999879365534	0.0474935771635037	0.0320681181531345	0.55998311117472	0.00508301240831184	0.00785556463102738	0.0141479416448318	0.0128971956628808	0.00508301240831184	0.00623234545091447	0.00791559619391729	0.00515887826515231	0.00515887826515231	0.00508301240831184
"Psidium_cattleianum"	0.0209536408942243	0.019139743622784	0.073150193807881	0.0194297397382807	0.0212663818030933	0.0158311923878346	1.16356244107924	0.019794023722561	0.221636693429684	0.00209536408942243	0.00323828995638012	0.203070847739191	0.00531659545077333	0.00209536408942243	0.00914377422598512	0.193927073513206	0.00212663818030934	0.00212663818030934	0.00209536408942243
"Lasioglossum_mahense"	0.135145970934997	0.123446767480923	0.127303642358965	0.125317173048816	0.137163074978803	0.00641362363062689	0.0118764142335366	1.08460451664121	0.0897907308287765	0.0135145970934997	0.0208861955081359	0.0178923576671267	0.0342907687447008	0.0135145970934997	0.0159129552948706	0.0019794023722561	0.0137163074978803	0.0137163074978803	0.0135145970934997
"Apis_mellifera"	0.101660248166237	0.0928598087727416	0.0997175272146315	0.0942667755723286	0.103177565303046	0.0799975873106743	0.0949871543270075	0.0641362363062689	1.11996622234944	0.0101660248166237	0.0157111292620548	0.0282958832896635	0.0257943913257615	0.0101660248166237	0.0124646909018289	0.0158311923878346	0.0103177565303046	0.0103177565303046	0.0101660248166237
"Unidentified_sp2_M_PL_095"	0.602165071711837	0.0127239162502156	0.0133541864455057	0.0129167028600673	0.0141376847224617	0.00508301240831184	0.0062860922682673	0.0675729854674986	0.0711621737163657	1.06021650717118	0.00215278381001122	0.00271695535039942	0.00353442118061543	0.0602165071711837	0.00166927330568821	0.00104768204471122	0.00141376847224617	0.00141376847224617	0.0602165071711837
