"Agrostis_stolonifera"	"Angelica_sylvestris"	"Anthoxanthum_odoratum"	"Arrhenatherum_elatius"	"Chamerion_angustifolium"	"Cirsium_arvense"	"Cirsium_palustre"	"Cytisus_scoparius"	"Dactylis_glomerata"	"Deschampsia_cespitosa"	"Epilobium_ciliatum"	"Epilobium_montanum"	"Glechoma_hederaceae"	"Holcus_lanatus"	"Holcus_mollis"	"Lathyrus_pratensis"	"Lotus_ulginosus"	"Poa_pratensis"	"Poa_trivialis"	"Pteridium_aquilinum"	"Ranunculus_repens"	"Rubus_sp."	"Rumex_crispus"	"Rumex_obtusifolius"	"Senecio_jacobaea"	"Urtica_dioica"	"Capitophorus_carduinis"	"Aphis_fabae"	"Uroleucon_cirsii"	"Microlophium_carnosum"	"Aphis_urticata"	"Cavariella_pastinacae"	"Myzus_persicae"	"Brachycaudus_sp._A"	"Acyrthosiphon_pisum"	"Macrosiphun_funestum"	"Amphorophora_rubi"	"Aphis_ruborum"	"Aphis_rumicis"	"Metopolophium_albidum"	"Sitobion_fragariae"	"Sitobion_avenae"	"Megoura_viciae"	"Aphis_epilobii"	"Aphis_grossulariae"	"Sitobion_ptericolens"	"Ovatus_glechomae"	"Aphis_jacobaea"	"Aphis_salicariae"	"Brachycaudus_sp._B"	"Aphis_sarothamni"
"Agrostis_stolonifera"	1.0388418079096	0	0.0388418079096045	0	0	0	0	0	0.0388418079096045	0.0388418079096045	0	0	0	0.0388418079096045	0.0388418079096045	0	0	0.0388418079096045	0.0388418079096045	0	0	0.0225988700564972	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00282485875706215	0.00282485875706215	0.00282485875706215	0	0	0.330508474576271	0.327683615819209	0	0	0	0	0	0	0	0	0
"Angelica_sylvestris"	0	1.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Anthoxanthum_odoratum"	0.0388418079096045	0	1.0388418079096	0	0	0	0	0	0.0388418079096045	0.0388418079096045	0	0	0	0.0388418079096045	0.0388418079096045	0	0	0.0388418079096045	0.0388418079096045	0	0	0.0225988700564972	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00282485875706215	0.00282485875706215	0.00282485875706215	0	0	0.330508474576271	0.327683615819209	0	0	0	0	0	0	0	0	0
"Arrhenatherum_elatius"	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0	0	0	0
"Chamerion_angustifolium"	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0
"Cirsium_arvense"	0	0	0	0	0	1.15942028985507	0.173913043478261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0289855072463768	0.318840579710145	0.318840579710145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cirsium_palustre"	0	0	0	0	0	0.115942028985507	1.21739130434783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.202898550724638	0.231884057971014	0.231884057971014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cytisus_scoparius"	0	0	0	0	0	0	0	1.24444444444444	0	0	0	0	0	0	0	0	0.0888888888888889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.355555555555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.311111111111111
"Dactylis_glomerata"	0.0388418079096045	0	0.0388418079096045	0	0	0	0	0	1.0388418079096	0.0388418079096045	0	0	0	0.0388418079096045	0.0388418079096045	0	0	0.0388418079096045	0.0388418079096045	0	0	0.0225988700564972	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00282485875706215	0.00282485875706215	0.00282485875706215	0	0	0.330508474576271	0.327683615819209	0	0	0	0	0	0	0	0	0
"Deschampsia_cespitosa"	0.0388418079096045	0	0.0388418079096045	0	0	0	0	0	0.0388418079096045	1.0388418079096	0	0	0	0.0388418079096045	0.0388418079096045	0	0	0.0388418079096045	0.0388418079096045	0	0	0.0225988700564972	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00282485875706215	0.00282485875706215	0.00282485875706215	0	0	0.330508474576271	0.327683615819209	0	0	0	0	0	0	0	0	0
"Epilobium_ciliatum"	0	0	0	0	0	0	0	0	0	0	1.16666666666667	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333333333	0.333333333333333	0	0	0	0	0	0
