"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"R12"	"R13"	"R14"	"R15"	"R16"	"R17"	"R18"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"	"C10"	"C11"	"C12"	"C13"	"C14"
"R1"	1.04194478772759	7.46030360429646e-05	0.00103378492802394	0.0276430892480628	0.0276430892480628	5.32878828878319e-06	0.00778528340607876	0.00778528340607876	0.00117311087861315	0.00117311087861315	0.0419447877275861	0.0419447877275861	0.0419447877275861	0	0	0.0425335591534349	0.0419447877275861	0.00675915172410259	0.00706525711018555	0.10579476043945	0.109377057437543	0.109377057437543	0.109377057437543	0.111066845368568	0.10384843958793	0	0	0.0023373578110574	0.0023373578110574	2.13151531551328e-05	0.00578706408161854	0.000277096991016726
"R2"	0.000223809108128894	1.16049194198591	0.0811026246618547	0.00371064656376907	0.00371064656376907	0.0828922815704219	1.07184089818993e-05	1.07184089818993e-05	3.71122716053078e-06	3.71122716053078e-06	0.000223809108128894	0.000223809108128894	0.000223809108128894	0	0	0.000226541165798012	0.000223809108128894	5.07460088841891e-05	3.27846920294141e-05	0.000112114909141896	0.000851564619650235	0.000851564619650235	0.000851564619650235	0.000864251121871282	0.000109435306896421	0	0	3.91667796565174e-06	3.91667796565174e-06	0.331569126281688	0.0210177854782175	0.31039864166194
"R3"	0.00310135478407182	0.0811026246618547	1.12385065602856	0.0514189595265143	0.0514189595265143	0.00579304461870391	0.000148526524463461	0.000148526524463461	5.14270049387837e-05	5.14270049387837e-05	0.00310135478407182	0.00310135478407182	0.00310135478407182	0	0	0.00313921329748673	0.00310135478407182	0.000703194694538049	0.000454302160979025	0.00155359231239484	0.0118002525865818	0.0118002525865818	0.0118002525865818	0.0119760512602163	0.00151646068127898	0	0	5.42739660954599e-05	5.42739660954599e-05	0.0231721784748156	0.291246455912442	0.301238320172603
"R4"	0.0331717070976753	0.00148425862550763	0.0205675838106057	1.0499708299872	0.0499708299872017	0.000106018473250545	0.00158862133124578	0.00158862133124578	0.000550056882721526	0.000550056882721526	0.0331717070976753	0.0331717070976753	0.0331717070976753	0	0	0.0335766370736339	0.0331717070976753	0.00752128345962088	0.00485915971150245	0.0166170311763881	0.126214041841017	0.126214041841017	0.126214041841017	0.128094362705922	0.0162198758435767	0	0	0.000580507627051955	0.000580507627051955	0.00042407389300218	0.115136061950092	0.00551296060902833
"R5"	0.0331717070976753	0.00148425862550763	0.0205675838106057	0.0499708299872017	1.0499708299872	0.000106018473250545	0.00158862133124578	0.00158862133124578	0.000550056882721526	0.000550056882721526	0.0331717070976753	0.0331717070976753	0.0331717070976753	0	0	0.0335766370736339	0.0331717070976753	0.00752128345962088	0.00485915971150245	0.0166170311763881	0.126214041841017	0.126214041841017	0.126214041841017	0.128094362705922	0.0162198758435767	0	0	0.000580507627051955	0.000580507627051955	0.00042407389300218	0.115136061950092	0.00551296060902833
"R6"	3.19727297326991e-05	0.165784563140844	0.0115860892374078	0.000530092366252724	0.000530092366252724	1.1546988973672	1.53120128312847e-06	1.53120128312847e-06	5.30175308647254e-07	5.30175308647254e-07	3.19727297326991e-05	3.19727297326991e-05	3.19727297326991e-05	0	0	3.23630236854302e-05	3.19727297326991e-05	7.24942984059844e-06	4.68352743277345e-06	1.60164155916994e-05	0.000121652088521462	0.000121652088521462	0.000121652088521462	0.000123464445981612	1.56336152709173e-05	0	0	5.59525423664535e-07	5.59525423664535e-07	0.618795589468813	0.0030025407826025	0.0443426630945629
"R7"	0.0116779251091181	5.35920449094963e-06	7.42632622317306e-05	0.00198577666405723	0.00198577666405723	3.82800320782117e-07	1.06243685448398	0.0624368544839774	0.0532316245818895	0.0532316245818895	0.0116779251091181	0.0116779251091181	0.0116779251091181	0	0	0.0253212775706015	0.0116779251091181	0.0142339134902494	0.163720229537801	0.147283678433408	0.00707162014522507	0.00707162014522507	0.00707162014522506	0.0106300985177874	0.00667446481241362	0	0	0.158353088481624	0.158353088481624	1.53120128312847e-06	0.000415721148369379	1.99056166806701e-05
"R8"	0.0116779251091181	5.35920449094963e-06	7.42632622317306e-05	0.00198577666405723	0.00198577666405723	3.82800320782117e-07	0.0624368544839774	1.06243685448398	0.0532316245818895	0.0532316245818895	0.0116779251091181	0.0116779251091181	0.0116779251091181	0	0	0.0253212775706015	0.0116779251091181	0.0142339134902494	0.163720229537801	0.147283678433408	0.00707162014522507	0.00707162014522507	0.00707162014522506	0.0106300985177874	0.00667446481241362	0	0	0.158353088481624	0.158353088481624	1.53120128312847e-06	0.000415721148369379	1.99056166806701e-05
"R9"	0.00234622175722629	2.47415144035385e-06	3.42846699591891e-05	0.000916761471202544	0.000916761471202544	1.76725102882418e-07	0.0709754994425193	0.0709754994425193	1.06971545497051	0.0697154549705059	0.00234622175722629	0.00234622175722629	0.00234622175722629	0	0	0.0201494200983659	0.00234622175722629	0.0182004371338782	0.213638380093675	0.0201607115522145	0.00260018898582522	0.00260018898582522	0.00260018898582522	0.00715029826929476	0.00241683669158471	0	0	0.207649026517465	0.207649026517465	7.06900411529672e-07	0.000191923461730306	9.18970534988574e-06
"R10"	0.00234622175722629	2.47415144035385e-06	3.42846699591891e-05	0.000916761471202544	0.000916761471202544	1.76725102882418e-07	0.0709754994425193	0.0709754994425193	0.0697154549705059	1.06971545497051	0.00234622175722629	0.00234622175722629	0.00234622175722629	0	0	0.0201494200983659	0.00234622175722629	0.0182004371338782	0.213638380093675	0.0201607115522145	0.00260018898582522	0.00260018898582522	0.00260018898582522	0.00715029826929476	0.00241683669158471	0	0	0.207649026517465	0.207649026517465	7.06900411529672e-07	0.000191923461730306	9.18970534988574e-06
