"Gastonia_mauritiana"	"Pemphis_acidula"	"Stachytapheta_jamaicensis"	"Turnera_angustifolia"	"Scaevola_sericea"	"Thespesia_populnea"	"Tourneortia_argentea"	"Leucaena_leucocephala"	"Morinda_citrifolia"	"Dracaena_concinna"	"Hibiscus_tiliaceus"	"Passiflora_suberosa"	"Suriana_maritima"	"Ipomoea_macrantha"	"Apis_mellifera"	"Phelsuma_ornata"	"Unidentified_sp1_M_PL_011"	"Leptotes_pirithous"	"Syrphid_sp1_M_PL_011"	"Unidentified_sp2_M_PL_011"	"Unidentified_sp3_M_PL_011"	"Xylocopa_fenestrata"	"Phalantha_phalantha"	"Unidentified_sp4_M_PL_011"	"Lucilia_sp1_M_PL_011"	"Ornidia_obesa"	"Protaetia_aurichalcea"
"Gastonia_mauritiana"	1.15016579359129	0.0252374094258577	0.021858804763302	0.013244586135043	0.0101671631569252	0.0162553554998211	0.0285840063053342	0.0153923646473894	0.0166621748223628	0.00573458860603635	0.0085813797495478	0.0085813797495478	0.00888349990347995	0.00398482697739218	0.0956358474574122	0.0919310554431124	0.0817318187740993	0.0808079507281496	0.00682821500328436	0.00481622898398994	0.00517794511459044	0.00469847146027476	0.00392468451576331	0.0754583628876226	0.0718853620994558	0.0718853620994559	0.0718853620994559
"Pemphis_acidula"	0.0336498792344769	1.06886704771695	0.050183962840277	0.0330583864725097	0.028296708493645	0.021076045882375	0.0128576712668732	0.019388989001391	0.0208568538926686	0.00688801472436808	0.0106782214279435	0.0106782214279435	0.0118112559995318	0.00504207495237667	0.12100979885704	0.112722929511336	0.10452921088137	0.101786324647252	0.00751120949280759	0.00979574120883953	0.0101223412859043	0.0959151811853694	0.0932542508797692	0.00371032636051396	0.0021031174521548	0.0021031174521548	0.0021031174521548
"Stachytapheta_jamaicensis"	0.0291450730177361	0.050183962840277	1.0798361931246	0.0325399771631715	0.00888092837059578	0.0312522120415544	0.0236737976451887	0.0150610664334608	0.0164124732004727	0.0175597326440042	0.00625601515392446	0.00625601515392446	0.0113570194855532	0.00491886705887024	0.118052809412886	0.0267429619010844	0.105660615354436	0.101564580465482	0.0973355072936996	0.00720336863402992	0.0971468736485614	0.00854611066599804	0.0941683463304064	0.00478079176925709	0.0018215670636085	0.0018215670636085	0.0018215670636085
"Turnera_angustifolia"	0.0211913378160688	0.0396700637670117	0.0390479725958058	1.0743159931456	0.0460942402329891	0.0363602721151426	0.0083189407404502	0.0171551669409309	0.00838689144461546	0.00200939830896679	0.0069284900412492	0.0069284900412492	0.0212076152632837	0.00571846087996827	0.137243061119238	0.0242005832256187	0.122720122796181	0.0145840140336626	0.00479621488611512	0.118495283159505	0.11523063104527	0.116499217990935	0.00655983636356812	0.00236432620606057	0.0013244586135043	0.0013244586135043	0.0013244586135043
"Scaevola_sericea"	0.0203343263138505	0.0424450627404675	0.0133213925558937	0.0576178002912364	1.06256588687322	0.0176048980551101	0.0164351528472567	0.0160928133330539	0.0162164418597824	0.00873162641713836	0.01471259434604	0.01471259434604	0.0256705392992574	0.00687220405498767	0.164932897319704	0.156807805821047	0.0165626278441671	0.0150384751374238	0.00534741675651615	0.14500015071309	0.00907250833233687	0.142119604449982	0.00464720460803009	0.00332528950052275	0.00127089539461566	0.00127089539461566	0.00127089539461566
"Thespesia_populnea"	0.0325107109996423	0.0316140688235626	0.0468783180623316	0.0454503401439283	0.0176048980551101	1.05052579841629	0.0172607964281509	0.0272312508626879	0.0160010977369395	0.00925997999997405	0.0148168965039507	0.0148168965039507	0.00240884411638515	0.00695343668042776	0.166882480330266	0.157269196470459	0.148972252304846	0.0118420123298884	0.00837912105870668	0.00734785730037787	0.139767285321624	0.00938015200657847	0.00654103224049118	0.00418951899099651	0.00203191943747764	0.00203191943747764	0.00203191943747764
"Tourneortia_argentea"	0.0571680126106683	0.0192865069003098	0.035510696467783	0.0103986759255627	0.0164351528472567	0.0172607964281509	1.07372611740925	0.0162346811195303	0.0161910965844343	0.0324472841097585	0.0150644576416271	0.0150644576416271	0.00171375571396634	0.00683164193340938	0.163959406401825	0.164656314164355	0.014042681734838	0.0112663894280718	0.145286810409244	0.00352270062695495	0.00615669185172372	0.00470147060682252	0.00456643361400774	0.137788765464323	0.00357300078816677	0.00357300078816677	0.00357300078816677
"Leucaena_leucocephala"	0.0410463057263717	0.038777978002782	0.0301221328669217	0.0285919449015515	0.0214570844440719	0.0363083344835838	0.0216462414927071	1.034657015477	0.0202014508053075	0.0115458313623836	0.018978045291403	0.018978045291403	0.00224030663114625	0.00878261655670184	0.210782797360844	0.203908574694024	0.188147642227143	0.0122340551390447	0.00810241576609442	0.0061014067034507	0.00990791403951327	0.00877282821256264	0.00574167590580864	0.00527117429448662	0.00256539410789823	0.00256539410789823	0.00256539410789823
"Morinda_citrifolia"	0.0444324661929673	0.0417137077853373	0.0328249464009453	0.0139781524076924	0.0216219224797099	0.021334796982586	0.0215881287792458	0.0202014508053075	1.03752968976345	0.011531600745239	0.0188331043899968	0.0188331043899968	0.0202226204854693	0.00868764172539023	0.208503401409366	0.202909253292132	0.0164201569837278	0.186965853734526	0.00831682848379424	0.00915621067210031	0.00680007706367127	0.00757669786617775	0.00621155451552355	0.00547554523446618	0.00277702913706046	0.00277702913706046	0.00277702913706046
"Dracaena_concinna"	0.0229383544241454	0.0206640441731042	0.0526791979320125	0.00502349577241697	0.0174632528342767	0.0185199599999481	0.0648945682195169	0.0173187470435754	0.0172974011178585	1.06103865521801	0.0162146315092893	0.0162146315092893	0.00159684762312025	0.00146954595677072	0.0352691029624972	0.294901711050371	0.0132493864114333	0.010827696085692	0.277761417992943	0.00308446808730635	0.00720727773823625	0.00440725986261831	0.00611193684209306	0.0095454681789487	0.00143364715150909	0.00143364715150909	0.00143364715150909
