"Cirsium_arvense"	"Eupatorium_cannabinum"	"Stachys_palustris"	"Sonchus_palustris"	"Juncus_effusus"	"Lychnis_flos-cuculi"	"Sonchus_arvensis"	"Allium_scorodoprasum"	"Calystegia_sepium"	"Silene_dioica"	"Meligethes_sp1_M_PL_037"	"Bombus_lapidarius"	"Bombus_pascuorum"	"Unidentified_sp1_M_PL_037"	"Unidentified_sp2_M_PL_037"	"Apocrita_sp1_M_PL_037"	"Episyrphus_balteatus"	"Unidentified_sp3_M_PL_037"	"Unidentified_sp4_M_PL_037"	"Bombus_terrestris"	"Eumerus_tuberculatus"	"Olibrus_aeneus"	"Thymelicus_sylvestris"	"Unidentified_sp5_M_PL_037"	"Unidentified_sp6_M_PL_037"	"Bombus_lucorum"	"Ceuthorrhynchus_assimilis"	"Chrysomela_fastuosa"	"Eoseristalis_horticola"	"Epuraea_depressa_Illiger"	"Leptura_rubra"	"Melanostoma_scalare"	"Mesapamea_secalis"	"Nemophora_degeerella"	"Pieris_napi"	"Psithyrus_bohemicus"	"Scaeva_pyrastri"	"Strangalia_maculata"	"Syrphus_ribesii"	"Syrphus_vitripennis"	"Unidentified_sp10_M_PL_037"	"Unidentified_sp11_M_PL_037"	"Unidentified_sp12_M_PL_037"	"Unidentified_sp13_M_PL_037"	"Unidentified_sp14_M_PL_037"	"Unidentified_sp15_M_PL_037"	"Unidentified_sp7_M_PL_037"	"Unidentified_sp8_M_PL_037"	"Unidentified_sp9_M_PL_037"	"Zygaena_filipendulae"
"Meligethes_sp1_M_PL_037"	0.105706452578317	0.0943031412170078	0.0942663056386194	0.095104384309913	0.0876365436867011	0.00407113395710991	0.0878011767585034	0.0077588671520442	0.0891303718509859	0.000888289517464848	1.04306196493356	0.02320513791654	0.0224981308770937	0.0159883367613679	0.0185047100634318	0.00912396342727625	0.0184978057291682	0.0163698020603718	0.0153956967523048	0.00834807671207184	0.00557627814301579	0.010412058618352	0.00388490002633139	0.00355315806985939	0.0104257780410023	0.00523906340094488	0.00523906340094488	0.0052370169799233	0.00523906340094487	0.00310901331112697	0.00891303718509859	0.00891303718509859	0.0052370169799233	0.000339261163092493	0.00310901331112697	0.00523906340094487	0.00594402401936957	0.00310901331112697	0.00594402401936957	0.00594402401936957	0.000339261163092493	0.00523701697992329	0.00310901331112697	0.00310901331112697	0.000339261163092493	0.00523701697992329	0.000775886715204421	0.00730304530722509	0.00594402401936956	0.000339261163092493
"Bombus_lapidarius"	0.16388651486763	0.159988527218538	0.0105456542290033	0.156772333150836	0.00640811755219969	0.00110833409578249	0.00990200408238212	0.00510567462784532	0.151572309238521	0.00137719760392966	0.040608991353945	1.03866394487167	0.029451543729136	0.00603243226380807	0.00668993587942016	0.0142190105886793	0.0112093075081815	0.0154436294425462	0.00186974426566635	0.0137084431258948	0.000678230854037613	0.00535420140977045	0.00533075907653835	0.00550879041571865	0.00564535862061899	0.00888825151214099	0.00888825151214098	0.000585869679389072	0.00888825151214098	0.00482019161375382	0.0151572309238521	0.0151572309238521	0.000585869679389072	9.23611746485412e-05	0.00482019161375382	0.00888825151214097	0.00979827082192725	0.00482019161375381	0.00979827082192725	0.00979827082192725	9.23611746485412e-05	0.000585869679389072	0.00482019161375382	0.00482019161375381	9.23611746485412e-05	0.000585869679389072	0.000510567462784532	0.000534009796016641	0.00979827082192724	9.23611746485412e-05
"Bombus_pascuorum"	0.162997608188963	0.15969557177917	0.155497351586226	0.0104828159356224	0.00740100264629074	0.00488213342097205	0.00797631996556217	0.00506069310864975	0.151303442235303	0.00136972779990726	0.039371729034914	0.029451543729136	1.03743510948795	0.0144563837267376	0.00658156016152811	0.0141720928204942	0.00995861108123026	0.00611391662611531	0.00178751286185272	0.0136660235096293	0.00904558620653801	0.00541079752019962	0.00530011661054037	0.00547891119962902	0.00545874063013891	0.00887197620995389	0.00887197620995388	0.00863874175479035	0.00887197620995388	0.00479404729967539	0.0151303442235303	0.0151303442235303	0.00863874175479035	0.000406844451747671	0.00479404729967539	0.00887197620995388	0.000655175995976403	0.00479404729967539	0.000655175995976403	0.000655175995976403	0.000406844451747671	0.00863874175479034	0.00479404729967539	0.00479404729967539	0.000406844451747671	0.00863874175479034	0.000506069310864976	0.000616750220524228	0.000655175995976403	0.000406844451747671
"Unidentified_sp1_M_PL_037"	0.160183530857674	0.00767554251904873	0.15861703062607	0.00620969270518893	0.146906633125797	0.162606182574157	0.0107145646131847	0.00734113833876211	0.00506627121554355	0.00134608009124096	0.0279795893323938	0.00603243226380807	0.0144563837267376	1.03931607221801	0.0185804939648014	0.00587181318205561	0.0100930434355102	0.00599226649784973	0.013869213645458	0.00513769934817941	0.0223625724715169	0.0169534997464931	0.00544539415321958	0.00538432036496385	0.00560416070377542	0.000426419028836041	0.00042641902883604	0.00881205725700388	0.00042641902883604	0.00471128031934337	0.000506627121554355	0.000506627121554355	0.00881205725700388	0.0135505152145131	0.00471128031934337	0.00042641902883604	0.000388105794074308	0.00471128031934336	0.000388105794074308	0.000388105794074308	0.013550515214513	0.00881205725700388	0.00471128031934337	0.00471128031934337	0.0135505152145131	0.00881205725700388	0.000734113833876211	0.0122422194271497	0.000388105794074308	0.0135505152145131
"Unidentified_sp2_M_PL_037"	0.173087412347681	0.00999863608806574	0.00889088287398475	0.00963701848537039	0.152938478945178	0.00301051843687516	0.149453946584524	0.153781894875897	0.00441336195894167	0.00145451607014858	0.0323832426110056	0.00668993587942016	0.00658156016152811	0.0185804939648014	1.04566836452725	0.0210244755157801	0.0135507471414896	0.018147615449566	0.0405775582817316	0.00564628602819035	0.00074481447384986	0.0178356794909515	0.0204689957331098	0.00581806428059432	0.0175453017942304	0.000555479782670319	0.000555479782670319	0.000493937937443597	0.000555479782670319	0.00509080624552003	0.000441336195894167	0.000441336195894167	0.000493937937443597	0.000250876536406264	0.00509080624552003	0.000555479782670319	0.00060231365533565	0.00509080624552003	0.00060231365533565	0.00060231365533565	0.000250876536406264	0.000493937937443597	0.00509080624552003	0.00509080624552003	0.000250876536406264	0.000493937937443597	0.0153781894875897	0.0127448732454315	0.00060231365533565	0.000250876536406264
"Apocrita_sp1_M_PL_037"	0.217441547648467	0.20659356262181	0.00591552933028256	0.00625916068153276	0.011955654393691	0.00130559465837521	0.0120674659309868	0.196353676905973	0.00694723459934257	0.0018272398962056	0.0212892479969779	0.0189586807849058	0.018896123760659	0.00782908424274082	0.0280326340210401	1.03750812747297	0.0017254602218604	0.00779215934023097	0.0216372943843205	0.0178727597823757	0.000437440073213632	0.00739164416952718	0.026030707327317	0.00730895958482241	0.00740096179763518	0.0114774201456561	0.0114774201456561	0.000328640518349031	0.0114774201456561	0.00639533963671961	0.000694723459934257	0.000694723459934256	0.000328640518349031	0.000108799554864601	0.00639533963671961	0.0114774201456561	0.000391197542595797	0.00639533963671961	0.000391197542595797	0.000391197542595797	0.000108799554864601	0.000328640518349031	0.00639533963671961	0.00639533963671961	0.000108799554864601	0.000328640518349031	0.0196353676905974	0.000996304532807583	0.000391197542595797	0.000108799554864601
"Episyrphus_balteatus"	0.0227798957652357	0.00807546284606624	0.205649350180377	0.209480946157517	0.0107634235784219	0.00558574139156411	0.190726649920464	0.00606826462807302	0.00734550450344072	0.000191427695506182	0.0431615467013923	0.014945743344242	0.013278148108307	0.013457391247347	0.0180676628553195	0.0017254602218604	1.04041141052713	0.0296564435624885	0.0173976659210478	0.00111863375905309	0.0118904423482069	0.00156694889914013	0.00127682339707894	0.000765710782024728	0.0165638844276437	0.000448636824781458	0.000448636824781458	0.0114249638989099	0.000448636824781458	0.000669996934271638	0.000734550450344072	0.000734550450344072	0.0114249638989099	0.000465478449297009	0.000669996934271638	0.000448636824781457	0.0130925591348448	0.000669996934271637	0.0130925591348448	0.0130925591348448	0.000465478449297009	0.0114249638989099	0.000669996934271638	0.000669996934271637	0.000465478449297009	0.0114249638989099	0.000606826462807302	0.000896951964868492	0.0130925591348448	0.000465478449297009
"Unidentified_sp3_M_PL_037"	0.212482758980315	0.0104940470163891	0.0111066302326907	0.208906433624029	0.0120588890778314	0.00141903979840833	0.191793077376713	0.00959663817023625	0.00702358298685803	0.00178556940319592	0.0381962048075343	0.020591505923395	0.00815188883482041	0.00798968866379964	0.0241968205994214	0.00779215934023097	0.0296564435624885	1.03528890146075	0.0179473276882356	0.00683249552320735	0.000735288329461291	0.00725440033433834	0.00720915672820936	0.00714227761278369	0.0222322493592451	0.000583002612021618	0.000583002612021618	0.000617035012927263	0.000583002612021618	0.00624949291118573	0.000702358298685803	0.000702358298685803	0.000617035012927263	0.000118253316534028	0.00624949291118573	0.000583002612021618	0.0130566521015018	0.00624949291118573	0.0130566521015018	0.0130566521015018	0.000118253316534028	0.000617035012927263	0.00624949291118573	0.00624949291118573	0.000118253316534028	0.000617035012927263	0.000959663817023626	0.00100490742315262	0.0130566521015018	0.000118253316534028
"Unidentified_sp4_M_PL_037"	0.0362553761749137	0.00805519050556459	0.009300110871456	0.0100210351670961	0.199907386136621	0.00300394315584533	0.195056140762948	0.201234492072982	0.00352832479255997	0.000304667026679948	0.0359232924220445	0.0024929923542218	0.00238335048247029	0.0184922848606107	0.0541034110423088	0.0216372943843205	0.0173976659210478	0.0179473276882356	1.05303707644893	0.00151384517702229	0.000767001422512444	0.0177252834380982	0.021189783800678	0.00121866810671979	0.0173210129902921	0.000447510583642477	0.000447510583642477	0.000516672826192	0.000447510583642477	0.00106633459337982	0.000352832479255998	0.000352832479255997	0.000516672826192	0.000250328596320445	0.00106633459337982	0.000447510583642477	0.000626314697943508	0.00106633459337982	0.000626314697943507	0.000626314697943507	0.000250328596320445	0.000516672826192	0.00106633459337982	0.00106633459337982	0.000250328596320445	0.000516672826192	0.0201234492072982	0.0166589488447184	0.000626314697943507	0.000250328596320445
"Bombus_terrestris"	0.306741345888807	0.30360488783452	0.00811820960308576	0.0085736140343506	0.00791138974834964	0.00171960338239855	0.00829305740180226	0.00920397169687449	0.00992292870766553	0.0025776583688135	0.0292182684922515	0.0274168862517896	0.0273320470192586	0.0102753986963588	0.0112925720563807	0.0268091396735636	0.00167795063857964	0.010248743284811	0.00227076776553344	1.02588874250388	0.000594311926482421	0.00968108676987638	0.00994220146053471	0.010310633475254	0.00971289240766411	0.0168669382130289	0.0168669382130289	0.000451011644615876	0.0168669382130289	0.00902180429084726	0.000992292870766554	0.000992292870766553	0.000451011644615876	0.000143300281866546	0.00902180429084726	0.0168669382130288	0.000535850877146913	0.00902180429084725	0.000535850877146913	0.000535850877146913	0.000143300281866546	0.000451011644615876	0.00902180429084726	0.00902180429084726	0.000143300281866546	0.000451011644615876	0.000920397169687449	0.000659282479029136	0.000535850877146912	0.000143300281866546
