"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"
"R1"	1.21773604590506	0.0655190401669275	0.0233698487219614	0	0	0.0267083985393845	0	0	0.152217005738132	0.152217005738133	0.186958789775691	0.168596765779864	0.00667709963484611
"R2"	0.131038080333855	1.11465832029212	0.0408972352634324	0	0	0.0467396974439228	0	0	0.0163797600417319	0.0163797600417319	0.32717788210746	0.295044340114763	0.0116849243609807
"R3"	0.0934793948878456	0.0817944705268649	1.07376108502869	0	0	0.0842983828899322	0	0	0.0116849243609807	0.0116849243609807	0.590088680229525	0.0321335419926969	0.0210745957224831
"R4"	0	0	0	1.33333333333333	0	0	0.666666666666667	0	0	0	0	0	0
"R5"	0	0	0	0	1.33333333333333	0	0	0.666666666666667	0	0	0	0	0
"R6"	0.0534167970787689	0.0467396974439228	0.0421491914449661	0	0	1.19102764736568	0	0	0.00667709963484611	0.00667709963484611	0.337193531559729	0.0183620239958268	0.297756911841419
"C1"	0	0	0	0.666666666666667	0	0	1.33333333333333	0	0	0	0	0	0
"C2"	0	0	0	0	0.666666666666667	0	0	1.33333333333333	0	0	0	0	0
"C3"	0.60886802295253	0.0327595200834637	0.0116849243609807	0	0	0.0133541992696922	0	0	1.07610850286907	0.0761085028690663	0.0934793948878456	0.0842983828899322	0.00333854981742306
"C4"	0.60886802295253	0.0327595200834638	0.0116849243609807	0	0	0.0133541992696922	0	0	0.0761085028690663	1.07610850286907	0.0934793948878456	0.0842983828899322	0.00333854981742306
"C5"	0.186958789775691	0.16358894105373	0.147522170057381	0	0	0.168596765779864	0	0	0.0233698487219614	0.0233698487219614	1.18017736045905	0.0642670839853939	0.0421491914449661
"C6"	0.337193531559729	0.295044340114763	0.0160667709963485	0	0	0.0183620239958268	0	0	0.0421491914449661	0.0421491914449661	0.128534167970788	1.11591027647366	0.0045905059989567
"C7"	0.0267083985393845	0.0233698487219614	0.021074595722483	0	0	0.595513823682838	0	0	0.00333854981742306	0.00333854981742306	0.168596765779864	0.00918101199791341	1.14887845592071
