"Brachypodium_sylvaticum"	"Dactylis_glomerata"	"Phalaris_arundinacea"	"Calamagrostis_epigejos"	"Calamagrostis_canescens"	"Elymus_repens"	"Agrostis_capillaris"	"Corynephorus_canescens"	"Holcus_lanatus"	"Phragmites_australis"	"Tetramesa_fulvicollis"	"Tetramesa_sp._4"	"Tetramesa_longula"	"Tetramesa_longicornis"	"Eurytoma_sp."	"Tetramesa_eximia"	"Tetramesa_calamagrostidis"	"Tetramesa_sp._2"	"Tetramesa_sp._1"	"Tetramesa_linearis"	"Tetramesa_hyallpennis"	"Tetramesa_sp._3"	"Tetramesa_agrostidis"	"Tetramesa_schmidti"	"Tetramesa_sp."	"Tetramesa_phragmitis"
"Brachypodium_sylvaticum"	1.33333333333333	0	0	0	0	0	0	0	0	0	0.333333333333333	0.333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Dactylis_glomerata"	0	1.33333333333333	0	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0
"Phalaris_arundinacea"	0	0	1.18989898989899	0.0444444444444444	0.098989898989899	0	0	0	0	0	0	0	0	0.198316498316498	0.00740740740740741	0.00740740740740741	0.222222222222222	0.214814814814815	0.0164983164983165	0	0	0	0	0	0	0
"Calamagrostis_epigejos"	0	0	0.0444444444444444	1.24444444444444	0.0444444444444444	0	0	0	0	0	0	0	0	0.00740740740740741	0.207407407407407	0.207407407407407	0.222222222222222	0.0148148148148148	0.00740740740740741	0	0	0	0	0	0	0
"Calamagrostis_canescens"	0	0	0.098989898989899	0.0444444444444444	1.18989898989899	0	0	0	0	0	0	0	0	0.0164983164983165	0.00740740740740741	0.00740740740740741	0.222222222222222	0.214814814814815	0.198316498316498	0	0	0	0	0	0	0
"Elymus_repens"	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0.222222222222222	0.222222222222222	0.222222222222222	0	0	0	0
"Agrostis_capillaris"	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0	0
"Corynephorus_canescens"	0	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0
"Holcus_lanatus"	0	0	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666666666666667	0
"Phragmites_australis"	0	0	0	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666666666666667
"Tetramesa_fulvicollis"	0.666666666666667	0	0	0	0	0	0	0	0	0	1.16666666666667	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Tetramesa_sp._4"	0.666666666666667	0	0	0	0	0	0	0	0	0	0.166666666666667	1.16666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Tetramesa_longula"	0	0.666666666666667	0	0	0	0	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0
"Tetramesa_longicornis"	0	0	0.594949494949495	0.0222222222222222	0.0494949494949495	0	0	0	0	0	0	0	0	1.09915824915825	0.0037037037037037	0.0037037037037037	0.111111111111111	0.107407407407407	0.00824915824915825	0	0	0	0	0	0	0
"Eurytoma_sp."	0	0	0.0222222222222222	0.622222222222222	0.0222222222222222	0	0	0	0	0	0	0	0	0.0037037037037037	1.1037037037037	0.103703703703704	0.111111111111111	0.00740740740740741	0.0037037037037037	0	0	0	0	0	0	0
"Tetramesa_eximia"	0	0	0.0222222222222222	0.622222222222222	0.0222222222222222	0	0	0	0	0	0	0	0	0.0037037037037037	0.103703703703704	1.1037037037037	0.111111111111111	0.00740740740740741	0.0037037037037037	0	0	0	0	0	0	0
"Tetramesa_calamagrostidis"	0	0	0.222222222222222	0.222222222222222	0.222222222222222	0	0	0	0	0	0	0	0	0.037037037037037	0.037037037037037	0.037037037037037	1.11111111111111	0.0740740740740741	0.037037037037037	0	0	0	0	0	0	0
"Tetramesa_sp._2"	0	0	0.322222222222222	0.0222222222222222	0.322222222222222	0	0	0	0	0	0	0	0	0.0537037037037037	0.0037037037037037	0.0037037037037037	0.111111111111111	1.10740740740741	0.0537037037037037	0	0	0	0	0	0	0
"Tetramesa_sp._1"	0	0	0.0494949494949495	0.0222222222222222	0.594949494949495	0	0	0	0	0	0	0	0	0.00824915824915825	0.0037037037037037	0.0037037037037037	0.111111111111111	0.107407407407407	1.09915824915825	0	0	0	0	0	0	0
"Tetramesa_linearis"	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	1.11111111111111	0.111111111111111	0.111111111111111	0	0	0	0
"Tetramesa_hyallpennis"	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111111111111111	1.11111111111111	0.111111111111111	0	0	0	0
"Tetramesa_sp._3"	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0.111111111111111	0.111111111111111	1.11111111111111	0	0	0	0
"Tetramesa_agrostidis"	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.33333333333333	0	0	0
"Tetramesa_schmidti"	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.33333333333333	0	0
"Tetramesa_sp."	0	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.33333333333333	0
"Tetramesa_phragmitis"	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.33333333333333
