"R1"	"R2"	"R3"	"R4"	"R5"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"	"C10"	"C11"	"C12"	"C13"	"C14"	"C15"	"C16"	"C17"
"R1"	1.13255730803496	0.0781010464738744	0.0305058096581187	0.0314835599676738	0.0606856091987021	0.00433468637133587	0.0700924753162304	0.0609625517730841	0.0022488257119767	0.0022488257119767	0.00479097651681993	0.00254215080484323	0.0609668124280746	0.00433894702632636	0.00433894702632636	0.0700924753162304	0.0609668124280746	0.0609668124280746	0.0566278654017482	0.0700924753162304	0.0609625517730841	0.0700924753162304
"R2"	0.0867789405265271	1.14479310904465	0.0329023380764325	0.0339569001942669	0.0349020454914534	0.00249300324938953	0.0755989218222517	0.00683195027571589	0.00242549287101906	0.00242549287101906	0.00516735437738843	0.00274186150636937	0.0679385641954737	0.0635996171691474	0.0635996171691474	0.0755989218222517	0.0679385641954738	0.0679385641954738	0.00433894702632636	0.0755989218222517	0.00683195027571589	0.0755989218222517
"R3"	0.0508430160968646	0.0493535071146487	1.1135357438499	0.0723029151271425	0.0472981511447755	0.00337843936748396	0.106621590937175	0.00592059017232719	0.00516449393765303	0.00516449393765304	0.0979591392584781	0.0927946453208251	0.0052840123112126	0.00274186150636937	0.00274186150636937	0.106621590937175	0.0052840123112126	0.0052840123112126	0.00254215080484323	0.106621590937175	0.00592059017232719	0.106621590937175
"R4"	0.044976514239534	0.0436588716783431	0.0619739272518364	1.14088334799709	0.0418406721665322	0.00298861944046658	0.0943190996751931	0.00523744515244328	0.0814916677140777	0.0814916677140777	0.0866561616517307	0.00516449393765303	0.00467431858299576	0.00242549287101906	0.00242549287101906	0.0943190996751931	0.00467431858299577	0.00467431858299576	0.0022488257119767	0.094319099675193	0.00523744515244328	0.094319099675193
"R5"	0.0866937274267173	0.0448740584890115	0.0405412724098076	0.0418406721665322	1.11938360284127	0.0799559716315189	0.0931507200601949	0.0842906580028547	0.00298861944046658	0.00298861944046658	0.00636705880795055	0.00337843936748396	0.00682768962072539	0.00249300324938953	0.00249300324938953	0.0931507200601948	0.0068276896207254	0.00682768962072539	0.00433468637133587	0.0931507200601948	0.0842906580028548	0.0931507200601948
"C1"	0.0433468637133587	0.0224370292445058	0.0202706362049038	0.0209203360832661	0.559691801420633	1.03997798581576	0.0465753600300974	0.0421453290014274	0.00149430972023329	0.00149430972023329	0.00318352940397527	0.00168921968374198	0.0034138448103627	0.00124650162469476	0.00124650162469476	0.0465753600300974	0.0034138448103627	0.0034138448103627	0.00216734318566793	0.0465753600300974	0.0421453290014274	0.0465753600300974
"C2"	0.140184950632461	0.136078059280053	0.12794590912461	0.13204673954527	0.130411008084273	0.00931507200601948	1.0439782807811	0.0163243195376425	0.0094319099675193	0.00943190996751931	0.0200940690612368	0.0106621590937175	0.0145691397138482	0.00755989218222517	0.00755989218222517	0.0439782807811045	0.0145691397138482	0.0145691397138482	0.00700924753162304	0.0439782807811045	0.0163243195376425	0.0439782807811045
"C3"	0.30481275886542	0.0307437762407215	0.0177617705169816	0.0183310580335515	0.295017303009992	0.0210726645007137	0.0408107988441063	1.03631330244398	0.00130936128811082	0.00130936128811082	0.00278950883119262	0.0014801475430818	0.0169486255122	0.00170798756892897	0.00170798756892897	0.0408107988441063	0.0169486255122	0.0169486255122	0.015240637943271	0.0408107988441063	0.0363133024439847	0.0408107988441063
"C4"	0.022488257119767	0.0218294358391716	0.0309869636259182	0.570441673998544	0.0209203360832661	0.00149430972023329	0.0471595498375965	0.00261872257622164	1.04074583385704	0.0407458338570389	0.0433280808258653	0.00258224696882652	0.00233715929149788	0.00121274643550953	0.00121274643550953	0.0471595498375965	0.00233715929149788	0.00233715929149788	0.00112441285598835	0.0471595498375965	0.00261872257622164	0.0471595498375965
"C5"	0.022488257119767	0.0218294358391716	0.0309869636259182	0.570441673998544	0.0209203360832661	0.00149430972023329	0.0471595498375965	0.00261872257622164	0.0407458338570388	1.04074583385704	0.0433280808258653	0.00258224696882652	0.00233715929149788	0.00121274643550953	0.00121274643550953	0.0471595498375965	0.00233715929149788	0.00233715929149788	0.00112441285598835	0.0471595498375965	0.00261872257622164	0.0471595498375965
"C6"	0.0239548825840997	0.023253094698248	0.293877417775435	0.303296565781057	0.0222847058278269	0.00159176470198764	0.050235172653092	0.00278950883119262	0.0216640404129327	0.0216640404129327	1.04615382522755	0.0244897848146195	0.00248958272355209	0.00129183859434711	0.00129183859434711	0.050235172653092	0.00248958272355209	0.00248958272355209	0.00119774412920498	0.050235172653092	0.00278950883119262	0.050235172653092
"C7"	0.0254215080484323	0.0246767535573244	0.556767871924951	0.0361514575635712	0.0236490755723877	0.00168921968374198	0.0533107954685874	0.0029602950861636	0.00258224696882652	0.00258224696882652	0.0489795696292391	1.04639732266041	0.0026420061556063	0.00137093075318469	0.00137093075318469	0.0533107954685874	0.0026420061556063	0.0026420061556063	0.00127107540242161	0.0533107954685874	0.0029602950861636	0.0533107954685874
"C8"	0.304834062140373	0.305723538879632	0.0158520369336378	0.0163601150404852	0.0238969136725389	0.00170692240518135	0.0364228492846205	0.0169486255122	0.00116857964574894	0.00116857964574894	0.00248958272355209	0.00132100307780315	1.03222634415589	0.0169846410488684	0.0169846410488684	0.0364228492846205	0.0322263441558871	0.0322263441558871	0.0152417031070186	0.0364228492846205	0.0169486255122	0.0364228492846205
"C9"	0.0433894702632635	0.572396554522327	0.0164511690382162	0.0169784500971334	0.0174510227457267	0.00124650162469476	0.0377994609111259	0.00341597513785794	0.00121274643550953	0.00121274643550953	0.00258367718869422	0.00137093075318469	0.0339692820977369	1.03179980858457	0.0317998085845737	0.0377994609111259	0.0339692820977369	0.0339692820977369	0.00216947351316318	0.0377994609111259	0.00341597513785794	0.0377994609111259
"C10"	0.0433894702632636	0.572396554522327	0.0164511690382162	0.0169784500971334	0.0174510227457267	0.00124650162469476	0.0377994609111258	0.00341597513785794	0.00121274643550953	0.00121274643550953	0.00258367718869422	0.00137093075318469	0.0339692820977369	0.0317998085845737	1.03179980858457	0.0377994609111259	0.0339692820977369	0.0339692820977369	0.00216947351316318	0.0377994609111258	0.00341597513785794	0.0377994609111258
"C11"	0.140184950632461	0.136078059280053	0.12794590912461	0.13204673954527	0.130411008084273	0.00931507200601948	0.0439782807811045	0.0163243195376425	0.00943190996751931	0.00943190996751931	0.0200940690612368	0.0106621590937175	0.0145691397138482	0.00755989218222517	0.00755989218222517	1.0439782807811	0.0145691397138482	0.0145691397138482	0.00700924753162304	0.0439782807811045	0.0163243195376425	0.0439782807811045
"C12"	0.304834062140373	0.305723538879632	0.0158520369336378	0.0163601150404852	0.0238969136725389	0.00170692240518135	0.0364228492846205	0.0169486255122	0.00116857964574894	0.00116857964574894	0.00248958272355209	0.00132100307780315	0.0322263441558871	0.0169846410488684	0.0169846410488684	0.0364228492846205	1.03222634415589	0.0322263441558871	0.0152417031070186	0.0364228492846205	0.0169486255122	0.0364228492846205
"C13"	0.304834062140373	0.305723538879632	0.0158520369336378	0.0163601150404852	0.0238969136725389	0.00170692240518135	0.0364228492846205	0.0169486255122	0.00116857964574894	0.00116857964574894	0.00248958272355209	0.00132100307780315	0.0322263441558871	0.0169846410488684	0.0169846410488684	0.0364228492846205	0.0322263441558871	1.03222634415589	0.0152417031070186	0.0364228492846205	0.0169486255122	0.0364228492846205
"C14"	0.566278654017482	0.0390505232369372	0.0152529048290594	0.0157417799838369	0.0303428045993511	0.00216734318566793	0.0350462376581152	0.030481275886542	0.00112441285598835	0.00112441285598835	0.00239548825840997	0.00127107540242161	0.0304834062140373	0.00216947351316318	0.00216947351316318	0.0350462376581152	0.0304834062140373	0.0304834062140373	1.02831393270087	0.0350462376581152	0.030481275886542	0.0350462376581152
"C15"	0.140184950632461	0.136078059280053	0.12794590912461	0.13204673954527	0.130411008084273	0.00931507200601948	0.0439782807811045	0.0163243195376425	0.0094319099675193	0.0094319099675193	0.0200940690612368	0.0106621590937175	0.0145691397138482	0.00755989218222517	0.00755989218222517	0.0439782807811045	0.0145691397138482	0.0145691397138482	0.00700924753162304	1.0439782807811	0.0163243195376425	0.0439782807811045
"C16"	0.30481275886542	0.0307437762407215	0.0177617705169816	0.0183310580335515	0.295017303009992	0.0210726645007137	0.0408107988441063	0.0363133024439847	0.00130936128811082	0.00130936128811082	0.00278950883119262	0.0014801475430818	0.0169486255122	0.00170798756892897	0.00170798756892897	0.0408107988441063	0.0169486255122	0.0169486255122	0.015240637943271	0.0408107988441063	1.03631330244398	0.0408107988441063
"C17"	0.140184950632461	0.136078059280053	0.12794590912461	0.13204673954527	0.130411008084273	0.00931507200601948	0.0439782807811045	0.0163243195376425	0.0094319099675193	0.00943190996751931	0.0200940690612368	0.0106621590937175	0.0145691397138482	0.00755989218222517	0.00755989218222517	0.0439782807811045	0.0145691397138482	0.0145691397138482	0.00700924753162304	0.0439782807811045	0.0163243195376425	1.0439782807811
