"Sambucus_niger"	"Crataegus_monogyna"	"Hedera_helix"	"Prunus_spinosa"	"Euonymus_europaeus"	"Rubus_fruticosus"	"Rosa_canina"	"Turdus_merula"	"Turdus_philomelos"	"Erithacus_rubecula"	"Sylvia_atricapilla"	"Turdus_iliacus"	"Turdus_pilaris"
"Sambucus_niger"	1.08909679920662	0.0507709671651348	0.0687379537973425	0.0551761731151093	0.0316768444857441	0.027101273622095	0.010773321941283	0.150826507177962	0.130623613446496	0.125421135266766	0.124398945784719	0.122153072455693	0.0132433925350305
"Crataegus_monogyna"	0.0634637089564185	1.09414566505521	0.0379833872380713	0.0781388102603144	0.0150226505821917	0.0320314534832565	0.012547657757867	0.175667208610137	0.155870365803117	0.0148499569459487	0.0208616455829401	0.152881930310083	0.146535559414441
"Hedera_helix"	0.0859224422466782	0.0379833872380713	1.08279743181283	0.0432791597890845	0.0383092649722117	0.032318922209629	0.0127227250648242	0.178118150907539	0.156769577158438	0.153519239444325	0.149351818174908	0.0187500626030623	0.0101578183783945
"Prunus_spinosa"	0.0689702163938866	0.0781388102603144	0.0432791597890845	1.09985573365508	0.0150664554105452	0.0156354241581562	0.0123875336662684	0.173425471327758	0.0259831239351026	0.0160735304656605	0.149788883319909	0.154146339628813	0.147249317989424
"Euonymus_europaeus"	0.0791921112143601	0.0300453011643835	0.0766185299444234	0.0301329108210903	1.06961842586209	0.0255911507699007	0.0221349035570867	0.309888649799214	0.0276499777025121	0.284901133830011	0.0212631412171252	0.0154414876196202	0.00752227649818423
"Rubus_fruticosus"	0.0677531840552374	0.0640629069665131	0.064637844419258	0.0312708483163125	0.0255911507699007	1.05796838747795	0.0220490113281663	0.308686158594329	0.287355009198231	0.0212528366504062	0.0187639049974701	0.0186920378158769	0.0119167194103532
"Rosa_canina"	0.053866609706415	0.0501906310314678	0.0508909002592968	0.0495501346650737	0.0442698071141734	0.0440980226563327	1.04046722790057	0.566541190608035	0.0290463580460703	0.022815475281597	0.0179417903361878	0.0178542566827092	0.0124675957120677
"Turdus_merula"	0.10773321941283	0.100381262062936	0.101781800518594	0.0991002693301473	0.0885396142283468	0.0881960453126654	0.0809344558011478	1.13308238121607	0.0580927160921405	0.0456309505631939	0.0358835806723756	0.0357085133654184	0.0249351914241354
"Turdus_philomelos"	0.16327951680812	0.155870365803117	0.156769577158438	0.0259831239351026	0.013824988851256	0.143677504599116	0.00726158951151756	0.101662253161246	1.09132732070079	0.0393803960384308	0.0391720393175046	0.0390596378980894	0.0227316862172774
"Erithacus_rubecula"	0.20903522544461	0.0197999425945983	0.2046923192591	0.021431373954214	0.189934089220007	0.0141685577669374	0.00760515842719898	0.106472217980786	0.0525071947179077	1.09397358475685	0.0491689841961253	0.0260574371130626	0.00515391456860154
"Sylvia_atricapilla"	0.207331576307865	0.0278155274439201	0.199135757566544	0.199718511093212	0.0141754274780835	0.0125092699983134	0.00598059677872927	0.0837283549022098	0.0522293857566728	0.0491689841961253	1.07058994121326	0.049174912447928	0.0284417548171415
"Turdus_iliacus"	0.203588454092822	0.203842573746777	0.0250000834707497	0.205528452838417	0.0102943250797468	0.012461358543918	0.0059514188942364	0.0833198645193095	0.0520795171974525	0.0260574371130626	0.049174912447928	1.07153022373243	0.0511713783231493
"Turdus_pilaris"	0.0331084813375763	0.293071118828882	0.020315636756789	0.294498635978848	0.00752227649818423	0.0119167194103532	0.00623379785603384	0.0872731699844738	0.0454633724345548	0.0077308718529023	0.0426626322257123	0.0767570674847239	1.07344621935097
