"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"R12"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"	"C10"	"C11"	"C12"
"R1"	1.0563769806552	0.0579858073296393	0	0.0563769806551959	0.0563769806551959	0.0102896860114708	0.00868085933702731	0	0.0102896860114708	0.0563769806551959	0.0102896860114708	0.0102896860114708	0.173617186740546	0.158987071060562	0.158987071060562	0.158987071060562	0.0160882667444347	0	0	0	0	0	0	0
"R2"	0.0463886458637115	1.05900651307475	0	0.0463886458637115	0.0463886458637115	0.0202780208029552	0.00766015359191212	0	0.0202780208029552	0.0463886458637115	0.0202780208029552	0.0202780208029552	0.153203071838242	0.129094974239331	0.129094974239331	0.129094974239331	0.126178672110431	0	0	0	0	0	0	0
"R3"	0	0	1.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0
"R4"	0.0563769806551959	0.0579858073296393	0	1.0563769806552	0.0563769806551959	0.0102896860114708	0.00868085933702731	0	0.0102896860114708	0.0563769806551959	0.0102896860114708	0.0102896860114708	0.173617186740546	0.158987071060562	0.158987071060562	0.158987071060562	0.0160882667444347	0	0	0	0	0	0	0
"R5"	0.0563769806551959	0.0579858073296393	0	0.0563769806551959	1.0563769806552	0.0102896860114708	0.00868085933702731	0	0.0102896860114708	0.0563769806551959	0.0102896860114708	0.0102896860114708	0.173617186740546	0.158987071060562	0.158987071060562	0.158987071060562	0.0160882667444347	0	0	0	0	0	0	0
"R6"	0.0205793720229416	0.050695052007388	0	0.0205793720229416	0.0205793720229416	1.04608729464373	0.0159716146592787	0	0.0460872946437251	0.0205793720229416	0.0460872946437251	0.0460872946437251	0.319432293185574	0.0153591912122096	0.0153591912122096	0.0153591912122096	0.301156799844464	0	0	0	0	0	0	0
"R7"	0.0347234373481093	0.0383007679595606	0	0.0347234373481093	0.0347234373481093	0.0319432293185574	1.02836589870711	0	0.0319432293185574	0.0347234373481093	0.0319432293185574	0.0319432293185574	0.567317974142121	0.0211917954700107	0.0211917954700107	0.0211917954700107	0.0357733061145135	0	0	0	0	0	0	0
"R8"	0	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0	0	0	0.111111111111111	0.111111111111111	0.111111111111111	0.111111111111111	0.111111111111111	0.111111111111111
"R9"	0.0205793720229416	0.050695052007388	0	0.0205793720229416	0.0205793720229416	0.0460872946437251	0.0159716146592787	0	1.04608729464373	0.0205793720229416	0.0460872946437251	0.0460872946437251	0.319432293185574	0.0153591912122096	0.0153591912122096	0.0153591912122096	0.301156799844464	0	0	0	0	0	0	0
"R10"	0.0563769806551959	0.0579858073296393	0	0.0563769806551959	0.0563769806551959	0.0102896860114708	0.00868085933702731	0	0.0102896860114708	1.0563769806552	0.0102896860114708	0.0102896860114708	0.173617186740546	0.158987071060562	0.158987071060562	0.158987071060562	0.0160882667444347	0	0	0	0	0	0	0
