"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"R12"	"R13"	"R14"	"R15"	"R16"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"	"C10"	"C11"	"C12"	"C13"	"C14"	"C15"	"C16"
"R1"	1.01896130339255	0.0189613033925514	0.0219557964820914	0.0227019750458476	0.0227023629619848	0.0227023629619848	0.0227023629619848	0.0227023629619848	0.00885609090889874	0.0230717944817555	0.0227023629619848	0.0227023629619848	0.0227023629619848	0.0227023629619848	0.0227023629619848	0.0145038029717744	0.00828843496767854	0.00813602758997422	0.00973721380235214	0.00973721380235214	0.0104752213780937	0.113529474480862	0.00973721380235215	0.0104752213780937	0.00973721380235215	0.0104752213780937	0.0104752213780937	0.114267482056604	0.11366315693278	0.112925149357039	0.113529474480862	0.00147772607908311
"R2"	0.0189613033925514	1.01896130339255	0.0219557964820914	0.0227019750458476	0.0227023629619848	0.0227023629619848	0.0227023629619848	0.0227023629619848	0.00885609090889874	0.0230717944817555	0.0227023629619848	0.0227023629619848	0.0227023629619848	0.0227023629619848	0.0227023629619848	0.0145038029717744	0.00828843496767854	0.00813602758997422	0.00973721380235214	0.00973721380235214	0.0104752213780937	0.113529474480862	0.00973721380235215	0.0104752213780937	0.00973721380235215	0.0104752213780937	0.0104752213780937	0.114267482056604	0.11366315693278	0.112925149357039	0.113529474480862	0.00147772607908311
"R3"	0.00844453710849671	0.00844453710849671	1.02307642463607	0.0238609039700559	0.0238704033653418	0.0238704033653418	0.0238704033653418	0.0238704033653418	0.0104044457238981	0.024258765839883	0.0238704033653418	0.0238704033653418	0.0238704033653418	0.0238704033653418	0.0238704033653418	0.0200100886583561	0.00871457090776741	0.00875296113619705	0.0488974178570991	0.0488974178570991	0.0497644550007573	0.0505863252787984	0.0488974178570991	0.0497644550007573	0.0488974178570991	0.0497644550007573	0.0497644550007572	0.0514533624224566	0.0506196087283584	0.0497525715847003	0.0505863252787984	0.00155344989816487
"R4"	0.00756732501528254	0.00756732501528254	0.0206794501073818	1.03144513232578	0.022993829147552	0.022993829147552	0.022993829147552	0.022993829147552	0.00932372049208115	0.0318379391498752	0.022993829147552	0.022993829147552	0.022993829147552	0.022993829147552	0.022993829147552	0.0179679788996867	0.0422745887535583	0.00864175013018613	0.0438186180067139	0.0438186180067139	0.0445955947143873	0.0453320830097703	0.0438186180067139	0.0445955947143873	0.0438186180067139	0.0445955947143873	0.0445955947143873	0.0461090597174438	0.0453603939299568	0.0445834172222834	0.0453320830097703	0.0353764400092928
"R5"	0.00756745432066159	0.00756745432066159	0.0206876829166295	0.022993829147552	1.0245295430188	0.0245295430188003	0.0245295430188003	0.0245295430188003	0.00932728082682165	0.0249158130511587	0.0245295430188003	0.0245295430188003	0.0245295430188003	0.0245295430188003	0.0245295430188003	0.0195079315806456	0.0422372763684072	0.042283645879349	0.0438457869631122	0.0438457869631122	0.0446230603653473	0.0453592778272444	0.0438457869631122	0.0446230603653473	0.0438457869631122	0.0446230603653473	0.0446230603653473	0.0461365512294797	0.0453237207469527	0.0445464473447176	0.0453592778272445	0.00154508012943378
"R6"	0.00756745432066159	0.00756745432066159	0.0206876829166295	0.022993829147552	0.0245295430188003	1.0245295430188	0.0245295430188003	0.0245295430188003	0.00932728082682165	0.0249158130511587	0.0245295430188003	0.0245295430188003	0.0245295430188003	0.0245295430188003	0.0245295430188003	0.0195079315806456	0.0422372763684072	0.042283645879349	0.0438457869631122	0.0438457869631122	0.0446230603653473	0.0453592778272444	0.0438457869631122	0.0446230603653473	0.0438457869631122	0.0446230603653473	0.0446230603653473	0.0461365512294797	0.0453237207469527	0.0445464473447176	0.0453592778272445	0.00154508012943378
"R7"	0.00756745432066159	0.00756745432066159	0.0206876829166295	0.022993829147552	0.0245295430188003	0.0245295430188003	1.0245295430188	0.0245295430188003	0.00932728082682165	0.0249158130511587	0.0245295430188003	0.0245295430188003	0.0245295430188003	0.0245295430188003	0.0245295430188003	0.0195079315806456	0.0422372763684072	0.042283645879349	0.0438457869631122	0.0438457869631122	0.0446230603653473	0.0453592778272444	0.0438457869631122	0.0446230603653473	0.0438457869631122	0.0446230603653473	0.0446230603653473	0.0461365512294797	0.0453237207469527	0.0445464473447176	0.0453592778272445	0.00154508012943378
"R8"	0.00756745432066159	0.00756745432066159	0.0206876829166295	0.022993829147552	0.0245295430188003	0.0245295430188003	0.0245295430188003	1.0245295430188	0.00932728082682165	0.0249158130511587	0.0245295430188003	0.0245295430188003	0.0245295430188003	0.0245295430188003	0.0245295430188003	0.0195079315806456	0.0422372763684072	0.042283645879349	0.0438457869631122	0.0438457869631122	0.0446230603653473	0.0453592778272444	0.0438457869631122	0.0446230603653473	0.0438457869631122	0.0446230603653473	0.0446230603653473	0.0461365512294797	0.0453237207469527	0.0445464473447176	0.0453592778272445	0.00154508012943378
"R9"	0.00738007575741562	0.00738007575741562	0.0225429657351125	0.0233093012302029	0.0233182020670541	0.0233182020670541	0.0233182020670541	0.0233182020670541	1.01981065554225	0.0236975836159723	0.0233182020670541	0.0233182020670541	0.0233182020670541	0.0233182020670541	0.0233182020670541	0.0193488570914781	0.0085129868157888	0.00854221248692696	0.0101862263382586	0.0101862263382586	0.095170447633446	0.0116622414897417	0.0101862263382586	0.095170447633446	0.0101862263382586	0.095170447633446	0.0951704476334459	0.0966464627849291	0.0958402604061175	0.0108560391109301	0.0116622414897417	0.00151752619567256
"R10"	0.00720993577554861	0.00720993577554861	0.0197102472449049	0.029848067953008	0.0233585747354613	0.0233585747354613	0.0233585747354613	0.0233585747354613	0.0088865938559896	1.03166720870306	0.0233585747354613	0.0233585747354613	0.0233585747354613	0.0233585747354613	0.0233585747354613	0.0185741714061194	0.0402421082910427	0.0400210965011974	0.0417741185321274	0.0417741185321273	0.0425146680201265	0.043216105687237	0.0417741185321273	0.0425146680201265	0.0417741185321273	0.0425146680201265	0.0425146680201265	0.0439566551752362	0.0431827313666479	0.0424421818786488	0.0432161056872371	0.0332345358704043
