"Azorina_vidalii"	"Crithmum_maritimum"	"Daucus_carota"	"Leucanthemum_vulgare"	"Lotus_corniculatus"	"Freesia_sp1_M_PL_036"	"Reseada_luteola"	"Silene_vulgaris"	"Solidago_sempervirens"	"Beta_maritima"	"Unidentified_sp1_M_PL_036"	"Unidentified_sp2_M_PL_036"	"Unidentified_sp3_M_PL_036"	"Apis_mellifera"	"Bombus_sp1_M_PL_036"	"Unidentified_sp4_M_PL_036"	"Lucilia_sp1_M_PL_036"	"Calliphora_sp1_M_PL_036"	"Moth_sp1_M_PL_036"	"Unidentified_sp5_M_PL_036"	"Unidentified_sp6_M_PL_036"	"Unidentified_sp7_M_PL_036"
"Azorina_vidalii"	1.14194536458819	0.0236054893180859	0.0190996199469992	0.0191630518996554	0.0424984141249369	0.0285289652027582	0.0214481569019505	0.0179879422482498	0.00854709483402485	0.010509234268478	0.0897444957572609	0.0806993834259653	0.0840738741478243	0.0838166935330725	0.0855868956082745	0.0855868956082745	0.00613395615592727	0.0713715852867622	0.00213677370850621	0.00319384198327589	0.00295068616476074	0.0713715852867622
"Crithmum_maritimum"	0.0472109786361718	1.15085047007422	0.0605940308781113	0.0241147662564042	0.0018372438240043	0.00118432489773144	0.00264248035550281	0.0223074076749329	0.00227378449054851	0.0203178462457029	0.0238747371507594	0.160925127779791	0.162542769965623	0.00391751355763715	0.00355297469319431	0.00355297469319431	0.15395531390563	0.00295068616476074	0.000568446122637128	0.0040191277094007	0.143856308759278	0.00295068616476074
"Daucus_carota"	0.0509323198586646	0.0807920411708151	1.09058305235279	0.0464916442380055	0.00270422309080633	0.00132144503259428	0.0186507780385523	0.019695486205527	0.0197348571203889	0.00242748622518669	0.207215999764083	0.202794724569318	0.0194198898014935	0.00829666834927234	0.00396433509778283	0.00396433509778283	0.191862847205151	0.00318326999116654	0.00493371428009722	0.00774860737300091	0.0100990051463519	0.00318326999116654
"Leucanthemum_vulgare"	0.0511014717324143	0.0321530216752056	0.0464916442380055	1.13841786596444	0.00274363123929733	0.00132767776599713	0.0193784279332364	0.0195767625023721	0.0205285422399271	0.00161428804243595	0.215549693519234	0.204697888059751	0.0129143043394876	0.00849572083980121	0.0039830332979914	0.0039830332979914	0.0117677350824016	0.00319384198327589	0.00513213555998177	0.189736310994074	0.0040191277094007	0.00319384198327589
"Lotus_corniculatus"	0.113329104333165	0.00244965843200573	0.00270422309080633	0.00274363123929733	1.10266086952358	0.0694035929483948	0.0347351153720592	0.00254800928295061	0.0016889586250009	0.00107017048607483	0.0177340655625095	0.00829725204650748	0.0085613638885986	0.199543659451101	0.208210778845185	0.208210778845185	0.000756911152468438	0.00708306902082282	0.000422239656250225	0.000457271873216222	0.000306207304000716	0.00708306902082282
"Freesia_sp1_M_PL_036"	0.114115860811033	0.00236864979546287	0.00198216754889141	0.0019915166489957	0.104105389422592	1.09981205074101	0.00510757020672816	0.00186690468465458	0.000930550314456886	0.00105267315950481	0.0097707783017973	0.00809060322477025	0.00842138527603845	0.0257600320894703	0.299436152223042	0.299436152223042	0.000626442482581428	0.00713224130068954	0.000232637578614221	0.000331919441499283	0.000296081224432859	0.00713224130068954
"Reseada_luteola"	0.085792627607802	0.00528496071100561	0.0279761670578285	0.0290676418998546	0.0521026730580888	0.00510757020672816	1.07169919615865	0.0263866702233117	0.0282332494940414	0.0016825769160255	0.296449119687435	0.0155299608073105	0.013460615328204	0.281970617108164	0.0153227106201845	0.0153227106201845	0.00532331459851378	0.00536203922548762	0.00705831237351035	0.0048446069833091	0.000660620088875701	0.00536203922548763
"Silene_vulgaris"	0.0719517689929991	0.0446148153498657	0.0295432293082904	0.0293651437535582	0.00382201392442592	0.00186690468465458	0.0263866702233117	1.06114628204929	0.027921783981189	0.0367147210657491	0.293178731802485	0.0198918996577704	0.293717768525992	0.011730655438628	0.00560071405396374	0.00560071405396374	0.010500723470115	0.00449698556206244	0.00698044599529726	0.00489419062559304	0.00557685191873322	0.00449698556206245
"Solidago_sempervirens"	0.0341883793360994	0.00454756898109702	0.0296022856805833	0.0307928133598906	0.00253343793750135	0.000930550314456886	0.0282332494940414	0.027921783981189	1.17329184213828	0.00129142211019208	0.319564342451963	0.0127710696712223	0.0103313768815366	0.00961732573826678	0.00279165094337066	0.00279165094337066	0.00550216040273435	0.00213677370850621	0.293322960534571	0.00513213555998177	0.000568446122637128	0.00213677370850621
"Beta_maritima"	0.0840738741478243	0.0812713849828117	0.00728245867556006	0.00484286412730785	0.00321051145822448	0.00210534631900961	0.003365153832051	0.0734294421314981	0.00258284422038416	1.07116945343866	0.0271198643140337	0.0174344273909018	0.569355627509296	0.00663099083528918	0.00631603895702884	0.00631603895702884	0.0113726662354448	0.00525461713423902	0.00064571105509604	0.000807144021217975	0.0101589231228515	0.00525461713423902
