"Memecylon_eleagni"	"Mimusops_sechellarum"	"Roscheria_melanochaetes"	"Excoecaria_benthiamiana"	"Apis_mellifera"	"Unidentified_sp1_M_PL_124"	"Unidentified_sp2_M_PL_124"	"Unidentified_sp4_M_PL_124"	"Cratopus_aurostriatus"	"Lasioglossum_mahense"	"Lygistorrhina_sp1_M_PL_124"	"Simosyrphus_aegyptius"	"Unidentified_sp3_M_PL_124"
"Memecylon_eleagni"	1.26572769953052	0.0651017214397496	0.00250391236306729	0	0.219092331768388	0.00876369327073552	0.000625978090766823	0	0.0081377151799687	0.210954616588419	0.0081377151799687	0.210954616588419	0
"Mimusops_sechellarum"	0.0488262910798122	1.23693270735524	0.0475743348982786	0	0.162754303599374	0.166510172143975	0.0118935837245696	0	0.154616588419405	0.0081377151799687	0.154616588419405	0.0081377151799687	0
"Roscheria_melanochaetes"	0.00375586854460094	0.0951486697965571	1.23442879499218	0	0.0125195618153365	0.320500782472613	0.308607198748044	0	0.0118935837245696	0.000625978090766823	0.0118935837245696	0.000625978090766823	0
"Excoecaria_benthiamiana"	0	0	0	1.33333333333333	0	0	0	0.333333333333333	0	0	0	0	0.333333333333333
"Apis_mellifera"	0.328638497652582	0.325508607198748	0.0125195618153365	0	1.09546165884194	0.0438184663536776	0.00312989045383412	0	0.0406885758998435	0.054773082942097	0.0406885758998435	0.054773082942097	0
"Unidentified_sp1_M_PL_124"	0.0131455399061033	0.33302034428795	0.320500782472613	0	0.0438184663536776	1.12175273865415	0.0801251956181534	0	0.0416275430359937	0.00219092331768388	0.0416275430359937	0.00219092331768388	0
"Unidentified_sp2_M_PL_124"	0.00187793427230047	0.0475743348982786	0.617214397496087	0	0.00625978090766823	0.160250391236307	1.15430359937402	0	0.00594679186228482	0.000312989045383412	0.00594679186228482	0.000312989045383412	0
"Unidentified_sp4_M_PL_124"	0	0	0	0.666666666666667	0	0	0	1.16666666666667	0	0	0	0	0.166666666666667
"Cratopus_aurostriatus"	0.0244131455399061	0.618466353677621	0.0237871674491393	0	0.081377151799687	0.0832550860719875	0.00594679186228482	0	1.0773082942097	0.00406885758998435	0.0773082942097026	0.00406885758998435	0
"Lasioglossum_mahense"	0.632863849765258	0.0325508607198748	0.00125195618153365	0	0.109546165884194	0.00438184663536776	0.000312989045383412	0	0.00406885758998435	1.10547730829421	0.00406885758998435	0.10547730829421	0
"Lygistorrhina_sp1_M_PL_124"	0.0244131455399061	0.618466353677621	0.0237871674491393	0	0.081377151799687	0.0832550860719875	0.00594679186228482	0	0.0773082942097027	0.00406885758998435	1.0773082942097	0.00406885758998435	0
"Simosyrphus_aegyptius"	0.632863849765258	0.0325508607198748	0.00125195618153365	0	0.109546165884194	0.00438184663536776	0.000312989045383412	0	0.00406885758998435	0.10547730829421	0.00406885758998435	1.10547730829421	0
"Unidentified_sp3_M_PL_124"	0	0	0	0.666666666666667	0	0	0	0.166666666666667	0	0	0	0	1.16666666666667
