"Crataegus_monogyna"	"Prunus_mahaleb"	"Berberis_vulgaris"	"Juniperus_phoenicea"	"Lonicera_arborea"	"Rosa_canina"	"Taxus_baccata"	"Hedera_helix"	"Juniperus_communis"	"Juniperus_sabina"	"Sorbus_aria"	"Daphne_laureola"	"Amelanchier_ovalis"	"Rhamnus_myrtifolius"	"Rhamnus_saxatilis"	"Lonicera_splendida"	"Juniperus_oxycedrus"	"Paeonia_officinalis"	"Turdus_merula"	"Turdus_viscivorus"	"Turdus_iliacus"	"Turdus_torquatus"	"Phoenicurus_ochruros"	"Erithacus_rubecula"	"Fringilla_coelebs"	"Parus_ater"	"Sylvia_atricapilla"	"Coccothraustes_coccothraustes"	"Columba_palumbus"	"Corvus_corone"	"Parus_major"	"Turdus_pilaris"	"Garrulus_glandarius"	"Parus_caeruleus"	"Phoenicurus_phoenicurus"	"Sitta_europaea"	"Emberiza_cia"	"Loxia_curvirostra"	"Parus_cristatus"	"Pica_pica"	"Turdus_philomelos"	"Corvus_corax"	"Dendrocopos_major"	"Ficedula_hypoleuca"	"Sylvia_borin"	"Sylvia_cantillans"
"Amelanchier_ovalis"	0.03832301563482	0.0497631560516237	0.0314529530930109	0.0038550035544315	0.0310627935762845	0.0032046944113367	0.0276386035453588	0.0151274786127935	0.00237165136474832	0.00231063187300457	0.0174439309878261	0.0153861563014058	1.04008783853506	0.0128763743562401	0.0254236552040218	0.0161032728033211	0.000442515558831025	0.000459607869210773	0.0110305888610585	0.0106203734119446	0.0116479194997929	0.0091550367312385	0.186632367666285	0.184474307498451	0.0119937089620486	0.182958951672383	0.00796789076121836	0.00425692951578324	0.00429380125154953	0.00368360633411204	0.00688735657459026	0.00240875764622954	0.00232922339348977	0.0032383762826765	0.00451346104731909	0.00385944962813729	0.0026153707268467	0.00107127102877263	0.00211505652935468	0.00199429738138591	0.00107127102877264	0.000870977628064092	0.00124407890129059	0.00124407890129059	0.00124407890129059	0.00124407890129059
"Rhamnus_myrtifolius"	0.0177790977321183	0.0590510933175444	0.0556042137747381	0.011974973767504	0.0233878723765918	0.0110451319134176	0.0229232308064099	0.0223604328046029	0.0100613259943974	0.0101172010299801	0.00199421387662169	0.00236411835609992	0.0128763743562401	1.04934732199365	0.0130080700676962	0.00100341137157059	0.000500778111022037	0.00793447168313319	0.190427320395196	0.0120186746645289	0.0122605985663665	0.0102920082760793	0.18699663845384	0.00990850330417966	0.00730908016591699	0.00577601060234678	0.00705822732302435	0.00466864672634741	0.00498445858119855	0.00554320893702541	0.005461053551267	0.00374553224567739	0.00254562405635819	0.00386621251361052	0.178353362442882	0.00207976912360347	0.000603491790664859	0.00109439114759129	0.0018803477359413	0.0023899351806719	0.00109439114759129	0.00040407040300269	0.00147627733293861	0.00147627733293861	0.00147627733293861	0.00147627733293861
"Rhamnus_saxatilis"	0.032144844484285	0.0341051261806725	0.0403213987780434	0.0133720524106954	0.0250977047582011	0.0126776560199658	0.0368079382702008	0.0238220339160185	0.011488615259935	0.011401701503821	0.00230045733281415	0.0150151403951421	0.0254236552040218	0.0130080700676962	1.03396335480101	0.00123950434518115	0.000530806484842025	0.000613273120785342	0.0147185548988482	0.0127393556362086	0.183718504306158	0.0116213242392708	0.186421578380374	0.183765133117032	0.00830590217608901	0.00775470741981176	0.00799602608979373	0.00541893424561653	0.00577544227036217	0.00490630470922191	0.00629445223864955	0.00370585990557086	0.00232608460248112	0.00302324275824562	0.00446068978882486	0.00181323853516834	0.000960610380651529	0.00152291814861798	0.00158319280188693	0.00217061460372881	0.00152291814861798	0.000730564647370114	0.000852628154516813	0.000852628154516813	0.000852628154516813	0.000852628154516813
"Lonicera_splendida"	0.0528939197867988	0.0526819782401573	0.0265463927929092	0.00352860041592477	0.0462173442440741	0.00306931536937555	0.00384580106692223	0.022660283119078	0.00205645260318568	0.00212793976381265	0.0254352900503992	0.0218615361432286	0.0241549092049816	0.00150511705735588	0.00185925651777172	1.04202984805225	0.000478454796429611	0.000380894108678663	0.00914145860828791	0.0114829151143107	0.00769298534134728	0.00992663826009192	0.011278266496739	0.0107760183252144	0.270893645371613	0.272163623451327	0.0103861833585508	0.00314741213032187	0.00316122518005447	0.00387609678632414	0.00876759170718808	0.00253808556452491	0.00271521735305326	0.00346726945350261	0.00251598775578619	0.00506271300165292	0.00374566354564899	0.00139396675119503	0.002519183996613	0.00215021999749868	0.00139396675119504	0.00120213454060906	0.00131704945600393	0.00131704945600393	0.00131704945600393	0.00131704945600393
"Juniperus_oxycedrus"	0.0342062189498379	0.0314366966382006	0.0291365721372677	0.0275600812976864	0.0267544606713457	0.0268825224099711	0.0265790357567603	0.025823254872715	0.0251081423082388	0.0250454556544254	0.0249261654412557	0.0017555915143797	0.00132754667649307	0.00150233433306611	0.00159241945452607	0.000956909592859221	1.02205596765234	0.000683957971968905	0.0164149913272537	0.529343223656051	0.0153021091122242	0.0175293224139288	0.00755562622152516	0.00497122304097357	0.00639347681393413	0.00600279213093854	0.00615424941571933	0.00643579449606675	0.00726645107626743	0.00663958453813385	0.0043097312105254	0.00502927920735949	0.00309444711064603	0.00260392334504206	0.00207689833351131	0.00405594802712236	0.00327003061116734	0.00245757171766497	0.00156333148299679	0.00181800592908705	0.00245757171766497	0.000777414067041771	0.000785917415955015	0.000785917415955015	0.000785917415955015	0.000785917415955015
"Paeonia_officinalis"	0.0329816329994387	0.0318088758949042	0.0299646803540317	0.0275071816746143	0.026755872911602	0.0268183273255845	0.0267747726730655	0.0260169495258452	0.0250604442163011	0.0249995092530116	0.00229508942140523	0.00176258694967928	0.00137882360763232	0.0238034150493996	0.00183981936235603	0.000761788217357325	0.000683957971968904	1.02211960592514	0.530870542203263	0.0164149913272537	0.0153549180621488	0.0152777904438967	0.0113872796030432	0.00504515877681736	0.0063705329656303	0.00368100178060479	0.00618008591129097	0.00642254997515808	0.00725244893893916	0.00664309930604475	0.0043217323737306	0.00502407194122002	0.00307298122524246	0.0026149716210428	0.00583262489444033	0.00177431340768219	0.000979091510309585	0.00242572802601809	0.00154480446554167	0.00181974972367019	0.00242572802601809	0.000749582568169062	0.000795221897372605	0.000795221897372605	0.000795221897372605	0.000795221897372605
"Turdus_merula"	0.0659632659988774	0.0636177517898084	0.0599293607080633	0.0550143633492285	0.0535117458232039	0.053636654651169	0.0535495453461309	0.0520338990516904	0.0501208884326021	0.0499990185060233	0.00459017884281046	0.00352517389935856	0.00275764721526464	0.0476068300987991	0.00367963872471205	0.00152357643471465	0.00136791594393781	0.0442392118502719	1.06174108440653	0.0328299826545074	0.0307098361242976	0.0305555808877933	0.0227745592060865	0.0100903175536347	0.0127410659312606	0.00736200356120959	0.0123601718225819	0.0128450999503162	0.0145048978778783	0.0132861986120895	0.0086434647474612	0.01004814388244	0.00614596245048492	0.0052299432420856	0.0116652497888807	0.00354862681536438	0.00195818302061917	0.00485145605203619	0.00308960893108333	0.00363949944734039	0.00485145605203619	0.00149916513633812	0.00159044379474521	0.00159044379474521	0.00159044379474521	0.00159044379474521
"Turdus_viscivorus"	0.0684124378996758	0.0628733932764012	0.0582731442745354	0.0551201625953729	0.0535089213426914	0.0537650448199423	0.0531580715135206	0.0516465097454299	0.0502162846164776	0.0500909113088508	0.0498523308825114	0.0035111830287594	0.00265509335298615	0.00300466866613222	0.00318483890905215	0.00191381918571844	0.0441119353046709	0.00136791594393781	0.0328299826545074	1.0586864473121	0.0306042182244485	0.0350586448278576	0.0151112524430503	0.00994244608194714	0.0127869536278683	0.0120055842618771	0.0123084988314387	0.0128715889921335	0.0145329021525349	0.0132791690762677	0.00861946242105079	0.010058558414719	0.00618889422129207	0.00520784669008412	0.00415379666702262	0.00811189605424471	0.00654006122233468	0.00491514343532993	0.00312666296599357	0.00363601185817409	0.00491514343532993	0.00155482813408354	0.00157183483191003	0.00157183483191003	0.00157183483191003	0.00157183483191003
"Turdus_iliacus"	0.0755896474932495	0.0179259624996084	0.0680742402143351	0.063757757425588	0.0620839289688207	0.0626758197999734	0.0628619963979603	0.0606371866584434	0.058601454615285	0.0584501766445703	0.00488928895995598	0.00422680049147479	0.00349437584993786	0.00367817956990994	0.0551155512918474	0.00153859706826946	0.00153021091122242	0.00153549180621488	0.0368518033491571	0.0367250618693382	1.04420880367055	0.0355118073512368	0.024969932604171	0.0188228644878298	0.0132906525731218	0.00707117689941478	0.0129060033060545	0.0135543067435534	0.0154972134675836	0.0139844337604373	0.00857477568759421	0.0116085057709884	0.00570819323118259	0.00459731846122538	0.00349240185560621	0.0026550244924233	0.00220687542993309	0.00563518527143583	0.0021660955964277	0.00414916939873517	0.00563518527143583	0.00171794653393749	0.000448149062490209	0.000448149062490209	0.000448149062490209	0.000448149062490209
"Turdus_torquatus"	0.0777491371390793	0.0182986396031985	0.0668923266547745	0.0638122176076481	0.0619951185851381	0.0627450520429546	0.0617077792714536	0.0601089241680166	0.0586421806680617	0.0584939256642007	0.058057005433795	0.00357781011656866	0.00274651101937155	0.00308760248282378	0.00348639727178123	0.00198532765201838	0.00175293224139288	0.00152777904438967	0.036666697065352	0.0420703737934291	0.0355118073512368	1.04073644168265	0.0159943001612768	0.00995628401795429	0.0132947295161272	0.0124284493818258	0.0127983976031226	0.0135479169917254	0.0154905693058469	0.0140080192672369	0.00850490301969287	0.0116227264634215	0.00576961503457484	0.00461350350039189	0.00336107807012587	0.00803019237752944	0.00757272638744948	0.00568859159675464	0.00222449183414995	0.00415603751031193	0.00568859159675465	0.00176702584406998	0.000457465990079962	0.000457465990079962	0.000457465990079962	0.000457465990079962
