"Allomerus_demararae"	"Pseudomyrmex_dendroicus"	"Pachychondyla_luteola"	"Crematogaster_victima"	"Pheidole_minutula"	"Azteca_sp8_M_PA_001"	"Myrmelachista_sp1_M_PA_001"	"Azteca_sp7_M_PA_001"	"Azteca_sp9_M_PA_001"	"Camponotus_balzani"	"Azteca_sp12_M_PA_001"	"Azteca_sp11_M_PA_001"	"Crematogaster_limata"	"Azteca_sp10_M_PA_001"	"Azteca_sp13_M_PA_001"	"Gnamptogenys_pleurodon"	"Cordia_nodosa"	"Triplaris_americana"	"Cecropia_sp1_M_PA_001"	"Clidemia_heterophylla"	"Pleurothyrium_sp1_M_PA_001"	"Triplaris_poeppigiana"	"Maieta_guianensis"	"Tococa_sp1_M_PA_001"
"Allomerus_demararae"	1.06462585034014	0	0	0	0	0	0	0.0680272108843538	0.00340136054421769	0	0	0	0.0646258503401361	0.00340136054421769	0.0646258503401361	0.0646258503401361	0.646258503401361	0	0	0	0	0	0	0.0204081632653061
"Pseudomyrmex_dendroicus"	0	1.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0
"Pachychondyla_luteola"	0	0	1.16666666666667	0	0	0	0	0	0	0.166666666666667	0	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0
"Crematogaster_victima"	0	0	0	1.16666666666667	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333333333	0	0	0.333333333333333	0
"Pheidole_minutula"	0	0	0	0.166666666666667	1.16666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333333333	0	0	0.333333333333333	0
"Azteca_sp8_M_PA_001"	0	0	0	0	0	1.16666666666667	0	0	0	0	0	0.166666666666667	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0
"Myrmelachista_sp1_M_PA_001"	0	0	0	0	0	0	1.16666666666667	0	0	0	0.166666666666667	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0	0
"Azteca_sp7_M_PA_001"	0.0340136054421769	0	0	0	0	0	0	1.08843537414966	0.054421768707483	0	0	0	0.0340136054421769	0.054421768707483	0.0340136054421769	0.0340136054421769	0.340136054421769	0	0	0	0	0	0	0.326530612244898
"Azteca_sp9_M_PA_001"	0.00340136054421769	0	0	0	0	0	0	0.108843537414966	1.10544217687075	0	0	0	0.00340136054421769	0.105442176870748	0.00340136054421769	0.00340136054421769	0.0340136054421769	0	0	0	0	0	0	0.63265306122449
"Camponotus_balzani"	0	0	0.166666666666667	0	0	0	0	0	0	1.16666666666667	0	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0
"Azteca_sp12_M_PA_001"	0	0	0	0	0	0	0.166666666666667	0	0	0	1.16666666666667	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0	0
"Azteca_sp11_M_PA_001"	0	0	0	0	0	0.166666666666667	0	0	0	0	0	1.16666666666667	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0
"Crematogaster_limata"	0.0646258503401361	0	0	0	0	0	0	0.0680272108843538	0.00340136054421769	0	0	0	1.06462585034014	0.00340136054421769	0.0646258503401361	0.0646258503401361	0.646258503401361	0	0	0	0	0	0	0.0204081632653061
"Azteca_sp10_M_PA_001"	0.00340136054421769	0	0	0	0	0	0	0.108843537414966	0.105442176870748	0	0	0	0.00340136054421769	1.10544217687075	0.00340136054421769	0.00340136054421769	0.0340136054421769	0	0	0	0	0	0	0.63265306122449
"Azteca_sp13_M_PA_001"	0.0646258503401361	0	0	0	0	0	0	0.0680272108843538	0.00340136054421769	0	0	0	0.0646258503401361	0.00340136054421769	1.06462585034014	0.0646258503401361	0.646258503401361	0	0	0	0	0	0	0.0204081632653061
"Gnamptogenys_pleurodon"	0.0646258503401361	0	0	0	0	0	0	0.0680272108843538	0.00340136054421769	0	0	0	0.0646258503401361	0.00340136054421769	0.0646258503401361	1.06462585034014	0.646258503401361	0	0	0	0	0	0	0.0204081632653061
"Cordia_nodosa"	0.129251700680272	0	0	0	0	0	0	0.136054421768708	0.00680272108843538	0	0	0	0.129251700680272	0.00680272108843538	0.129251700680272	0.129251700680272	1.29251700680272	0	0	0	0	0	0	0.0408163265306123
"Triplaris_americana"	0	0.666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0
"Cecropia_sp1_M_PA_001"	0	0	0.333333333333333	0	0	0	0	0	0	0.333333333333333	0	0	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0
"Clidemia_heterophylla"	0	0	0	0.333333333333333	0.333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.16666666666667	0	0	0.166666666666667	0
"Pleurothyrium_sp1_M_PA_001"	0	0	0	0	0	0	0.333333333333333	0	0	0	0.333333333333333	0	0	0	0	0	0	0	0	0	1.33333333333333	0	0	0
"Triplaris_poeppigiana"	0	0	0	0	0	0.333333333333333	0	0	0	0	0	0.333333333333333	0	0	0	0	0	0	0	0	0	1.33333333333333	0	0
"Maieta_guianensis"	0	0	0	0.333333333333333	0.333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166666666666667	0	0	1.16666666666667	0
"Tococa_sp1_M_PA_001"	0.00680272108843538	0	0	0	0	0	0	0.217687074829932	0.210884353741497	0	0	0	0.00680272108843538	0.210884353741497	0.00680272108843538	0.00680272108843538	0.0680272108843538	0	0	0	0	0	0	1.26530612244898
