"Nephrosperma_vanhoutteanum"	"Pittosporum_senacia"	"Chrysobalanus_icaco"	"Erythroxylum_sechellarum"	"Dillenia_ferruginea"	"Paragenipa_wrightii"	"Northea_hornei"	"Phoenicophorium_borsigianum"	"Ixora_pudica"	"Apis_mellifera"	"Lasioglossum_mahense"	"Unidentified_sp3_M_PL_123"	"Nectarinia_dussumieri"	"Ornidia_obesa"	"Hemipyrellia_germana"	"Rhiparida_seychellensis"	"Megachile_seychellensis"	"Phelsuma_sp1_M_PL_123"	"Neophyllomyza_approximatonervis"	"Cratopus_aurostriatus"	"Unidentified_sp2_M_PL_123"	"Rhynchium_brunneum"	"Unidentified_sp5_M_PL_123"	"Polistes_olivaceus"	"Tricimba_seychellensis"	"Chalcidoma_disjunctum"	"Dichaetomyia_fasciculifera"	"Eagris_sabadius"	"Eristalinus_vicarians"	"Hemipyrellia_sp1_M_PL_123"	"Lampides_boeticus"	"Mabuya_sechellensis"	"Scaptodrosophila_sp1_M_PL_123"	"Unidentified_sp1_M_PL_123"	"Unidentified_sp4_M_PL_123"
"Lasioglossum_mahense"	0.1015098763125	0.102131987798246	0.0954387890304482	0.0906706110507296	0.0875472993897122	0.0841159118895955	0.0124752714706097	0.0927769197248251	0	0.0510475955906211	1.04980006844356	0.0042295781796875	0.0311240334683731	0.0193620173351127	0.0118548145432025	0.0242535940378847	0.00887194126142596	0.0226185171504354	0.00547710532674846	0.010856501017175	0.0137094241868114	0.00596492431440301	0.010856501017175	0.00596492431440301	0.0042295781796875	0.00906706110507297	0.0042295781796875	0.00596492431440301	0.00464236308173847	0.0042295781796875	0.00464236308173846	0.00464236308173847	0	0.00906706110507297	0.00662692283748751
"Unidentified_sp3_M_PL_123"	0.585683453340394	0.0163611525757521	0.00571765465812008	0.00483505427278223	0.00825646702650996	0.00802359547549825	0.0127233210986569	0.0250659682189528	0	0.0308793793676782	0.0296070472578125	1.02440347722252	0.00420197041652975	0.00192668887222678	0.00237337427944148	0.0277632389799645	0.0251471659759597	0.0284691850681732	0.0256758093323821	0.0261939035238702	0.0012271941807215	0.000357353416132505	0.0261939035238702	0.000357353416132505	0.0244034772225164	0.000483505427278223	0.0244034772225164	0.000357353416132505	0.000743688753443277	0.0244034772225164	0.000743688753443277	0.000743688753443277	0	0.000483505427278223	0.00179042630135377
"Nectarinia_dussumieri"	0.0201694579993428	0.135966487468734	0.133160091793021	0.00929171757286091	0.118747911789173	0.115396679609328	0.119907660751636	0.0140266596825719	0	0.055564412930886	0.0435736468557224	0.000840394083305951	1.05279294282725	0.0263775918009235	0.0264935666971699	0.0198973844102065	0.0070206889682484	0.0282576493726764	0.0128311601584695	0.0018422983463468	0.00710946664222854	0.00832250573706381	0.0018422983463468	0.0083225057370638	0.000840394083305951	0.000929171757286091	0.000840394083305951	0.00832250573706381	0.00618029488494245	0.000840394083305951	0.00618029488494245	0.00618029488494245	0	0.000929171757286091	0.00100190426304085
"Ornidia_obesa"	0.0154135109778142	0.211405206265094	0.207503873205665	0.00974794497446891	0.187815269724732	0.0110317892737884	0.0122383273698416	0.0115107448752625	0	0.0464018731855805	0.0451780404485963	0.000642229624075592	0.0439626530015392	1.04135984660533	0.0238021523698425	0.0298552802165718	0.0102515571815799	0.00406723208280206	0.00186606236105976	0.00146442568659434	0.0105841220549512	0.012968992075354	0.00146442568659434	0.012968992075354	0.000642229624075592	0.000974794497446891	0.000642229624075592	0.012968992075354	0.0096093275575043	0.000642229624075593	0.00960932755750429	0.0096093275575043	0	0.000974794497446891	0.00082219606251875
"Hemipyrellia_germana"	0.0189869942355318	0.207629626204512	0.206117101630436	0.00827675174969852	0.01482123235917	0.0120334517901338	0.188496106516739	0.010305402180446	0	0.0465108445858129	0.027661233934139	0.000791124759813825	0.0441559444952831	0.0238021523698425	1.0411696397856	0.0124470584335003	0.0102288350418371	0.0218810170410006	0.0196407354114876	0.00152722491555997	0.0102653854569931	0.0128823188519022	0.00152722491555997	0.0128823188519022	0.000791124759813825	0.000827675174969852	0.000791124759813825	0.0128823188519022	0.00943771028202329	0.000791124759813826	0.00943771028202329	0.00943771028202329	0	0.000827675174969852	0.000736100155746146
"Rhiparida_seychellensis"	0.166579433879787	0.15993331772116	0.0149298555418161	0.00865444601971339	0.141886479310126	0.0107823100529627	0.0113248159370897	0.152576008204012	0	0.0435762711600072	0.0424437895662982	0.00694080974499111	0.0248717305127582	0.0223914601624288	0.00933529382512519	1.03929744023634	0.0142105060050438	0.020319366395607	0.00807329133870008	0.0178390960452777	0.00813514086202405	0.000933115971363507	0.0178390960452777	0.000933115971363506	0.00694080974499111	0.000865444601971338	0.00694080974499111	0.000933115971363506	0.00726969626005272	0.00694080974499112	0.00726969626005271	0.00726969626005272	0	0.000865444601971338	0.0108982863002866
"Megachile_seychellensis"	0.301765991711516	0.294822187647997	0.012256558163822	0.00866570019475535	0.0121029235767653	0.0079854200015104	0.0117620914806237	0.017305793889676	0	0.0322280035630532	0.0310517944149909	0.0125735829879798	0.017551722420621	0.0153773357723698	0.0153432525627557	0.0284210120100877	1.02597459151743	0.0159840977712079	0.0137497921360422	0.0138097111229567	0.01426757854893	0.000766034885238873	0.0138097111229567	0.000766034885238874	0.0125735829879798	0.000866570019475534	0.0125735829879798	0.000766034885238874	0.0134010085294544	0.0125735829879799	0.0134010085294544	0.0134010085294544	0	0.000866570019475534	0.00123612813497686
"Phelsuma_sp1_M_PL_123"	0.170815110409039	0.0192445576083343	0.0143359482554012	0.00735417594175733	0.0127967467757832	0.141052994060133	0.146400133962272	0.154666999653946	0	0.0542224184094892	0.039582405013262	0.00711729626704329	0.0353220617158454	0.00305042406210154	0.0164107627807504	0.020319366395607	0.00799204888560394	1.05043657675321	0.0217573096632705	0.018164939099468	0.00161017021273638	0.000895996765962577	0.018164939099468	0.000895996765962577	0.00711729626704329	0.000735417594175733	0.00711729626704329	0.000895996765962577	0.00087475261856065	0.0071172962670433	0.00087475261856065	0.00087475261856065	0	0.000735417594175733	0.0110476428324247
"Neophyllomyza_approximatonervis"	0.308109711988585	0.0200615243367256	0.014213173378339	0.00517048086723231	0.00998882735592283	0.0129433163468005	0.276608923112342	0.0195707092807193	0	0.0468307609548538	0.0191698686436196	0.0128379046661911	0.0320779003961739	0.00279909354158964	0.0294611031172315	0.0161465826774002	0.0137497921360422	0.043514619326541	1.04049879697742	0.0142358124719567	0.0014289355565744	0.000888323336146187	0.0142358124719567	0.000888323336146187	0.0128379046661911	0.000517048086723231	0.0128379046661911	0.000888323336146188	0.000911887469851166	0.0128379046661911	0.000911887469851166	0.000911887469851166	0	0.000517048086723231	0.00139790780576567
"Cratopus_aurostriatus"	0.314326842286442	0.0156807059424755	0.00702747683674749	0.00610097541306575	0.0104466186657318	0.0101619730076308	0.0113886071002163	0.291533467414357	0	0.0391366142701341	0.0379977535601125	0.0130969517619351	0.00460574586586699	0.00219663852989151	0.00229083737333996	0.0356781920905553	0.0138097111229567	0.036329878198936	0.0142358124719567	1.03392077086296	0.00132285690232819	0.000439217302296718	0.0339207708629606	0.000439217302296718	0.0130969517619351	0.000610097541306576	0.0130969517619351	0.000439217302296718	0.000712759361021612	0.0130969517619351	0.000712759361021612	0.000712759361021613	0	0.000610097541306576	0.0208238191010255
