"Spondias_cytherea"	"Uvaria_sp."	"Cerbera_manghas"	"Ochrosia_coccinea"	"Ochrosia_oppositifolia"	"Barringtonia_calyptrocalyx"	"Garcinia_hollrungii"	"Garcinia_ledermannii"	"Terminalia_sp."	"Pimelodendron_amboinicum"	"Pangium_edule"	"Gnetum_costatum"	"Gnetum_gnemon"	"Medusanthera_laxiflora"	"Neuburgia_corynocarpa"	"Ficus_conocephaliafolia"	"Ficus_hispidioides"	"Myristica_sp."	"Syzygium_pachycladum"	"Syzygium_samaragense"	"Syzygium_longipes"	"Syzygium_sp."	"Galearia_celebica"	"Morinda_bracteata"	"Nauclea_orientalis"	"Randia_dryadum"	"Versteegia_cauliflora"	"Pometia_pinnata"	"Phaleria_macrocarpa"	"Gmelina_moluccana"	"Adrama_selecta"	"Bactrocera_bancroftii"	"Bactrocera_bullata"	"Bactrocera_cheesmane"	"Bactrocera_diaphana"	"Bactrocera_enochra"	"Bactrocera_frauenfeldi"	"Bactrocera_hastigerina"	"Bactrocera_lineata"	"Bactrocera_neocheesmanae"	"Bactrocera_paramusae"	"Bactrocera_penefurva"	"Bactrocera_tinomiscii"	"Bactrocera_trivialis"	"Bactrocera_sp._1"	"Bactrocera_sp._2"	"Bactrocera_sp._3"	"Bactrocera_sp._4"	"Bactrocera_sp._5"	"Bactrocera_sp._6"	"Bactrocera_sp._7"	"Bactrocera_sp._8"	"Bactrocera_sp._9"	"Bactrocera_sp._10"	"Bactrocera_sp._11"	"Euphranta_marginata"	"Euphranta_perkinsi"	"Euphranta_quatei"	"Euphranta_sp."
"Spondias_cytherea"	1.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.222222222222222	0	0	0.222222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0.222222222222222	0	0	0	0
"Uvaria_sp."	0	1.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0	0	0
"Cerbera_manghas"	0	0	1.15885067738574	0	0.0875390799464046	0	0	0	0	0	0.0827750483846955	0	0	0	0	0	0.00416852761649546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0145898466577341	0.331100193538782	0	0	0	0	0.304302516004169	0	0	0.0166741104659818	0	0	0	0	0
"Ochrosia_coccinea"	0	0	0	1.16666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0833333333333333	0	0	0	0	0	0.0833333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333333333	0	0.333333333333333
"Ochrosia_oppositifolia"	0	0	0.0583593866309364	0	1.21304153640018	0	0	0	0	0	0.00416852761649546	0	0	0	0	0	0.0577638826857228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20217358940003	0.0166741104659818	0	0	0	0	0.216763436057764	0	0	0.231055530742891	0	0	0	0	0
"Barringtonia_calyptrocalyx"	0	0	0	0	0	1.13992856033546	0	0	0.019878863177512	0	0	0	0	0	0	0	0	0	0.0449345136408345	0.0449345136408345	0.017394005280323	0.017394005280323	0.017394005280323	0	0	0	0	0	0.0314748666977274	0	0.189988093389243	0	0.00786871667443185	0	0	0	0.220324066884092	0	0	0	0	0.00496971579437801	0	0.243516073924522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Garcinia_hollrungii"	0	0	0	0	0	0	1.21212121212121	0.0606060606060606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0606060606060606	0	0	0	0	0	0	0	0.303030303030303	0	0	0	0	0	0.363636363636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Garcinia_ledermannii"	0	0	0	0	0	0	0.121212121212121	1.10606060606061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.106060606060606	0	0	0	0	0	0	0	0.0303030303030303	0	0	0	0	0	0.636363636363636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Terminalia_sp."	0	0	0	0	0	0.0298182947662681	0	0	1.17133440320271	0	0	0	0	0	0	0	0	0	0.0273334368690791	0.0273334368690791	0.0249176028023675	0.0249176028023675	0.0249176028023675	0	0	0	0	0	0.00276095321909889	0	0.00496971579437801	0	0.000690238304774724	0	0	0	0.0193266725336923	0	0	0	0	0.292833600800676	0	0.348846439233145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Pimelodendron_amboinicum"	0	0	0	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.222222222222222	0	0	0.222222222222222	0	0	0	0	0	0	0	0	0	0	0	0.222222222222222	0	0	0	0	0	0	0	0	0	0	0	0
"Pangium_edule"	0	0	0.165550096769391	0	0.0125055828494864	0	0	0	0	0	1.15468214976924	0	0	0	0	0	0.000595503945213637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00208426380824773	0.618728599076969	0	0	0	0	0.0434717880005955	0	0	0.00238201578085455	0	0	0	0	0
"Gnetum_costatum"	0	0	0	0	0	0	0	0	0	0	0	1.16666666666667	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333333333	0.333333333333333	0	0	0	0	0	0
"Gnetum_gnemon"	0	0	0	0	0	0	0	0	0	0	0	0.166666666666667	1.16666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333333333	0.333333333333333	0	0	0	0	0	0
"Medusanthera_laxiflora"	0	0	0	0	0	0	0	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Neuburgia_corynocarpa"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0	0
"Ficus_conocephaliafolia"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.15555555555556	0	0	0	0	0	0	0	0	0	0	0	0.177777777777778	0	0	0	0	0	0	0	0	0	0	0.622222222222222	0	0	0	0	0	0	0	0	0.0444444444444444	0	0	0	0	0	0	0	0	0	0	0
"Ficus_hispidioides"	0	0	0.00833705523299092	0	0.173291648057168	0	0	0	0	0	0.000595503945213637	0	0	0	0	0	1.15110912609796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0288819413428614	0.00238201578085455	0	0	0	0	0.0309662051511091	0	0	0.604436504391842	0	0	0	0	0
