"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"R12"	"R13"	"R14"	"R15"	"R16"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"
"R1"	1.06083934231156	0.0035021060544825	0.016348594104366	0.0245439480724332	0.0300029398523217	0.0332228486067729	0.0245439480724332	0.0608393423115628	0.0421290335161373	0.0035021060544825	0.016348594104366	0.0035021060544825	0.0035021060544825	0.0035021060544825	0.0035021060544825	0.0035021060544825	0.11206739374344	0.080119906044509	0.0970852568686901	0.0910382063239519	0.0970852568686902	0.0864514075849104	0.0949012329382645	0.00791800629421074
"R2"	0.0245147423813775	1.01828671042248	0.0205855166516454	0.0225537324070027	0.0226981095274175	0.0226353934669097	0.0225537324070027	0.0245147423813775	0.0246848745015805	0.0182867104224821	0.0205855166516454	0.0182867104224821	0.0182867104224821	0.0182867104224821	0.0182867104224821	0.0182867104224821	0.585174733519427	0.0035021060544825	0.0177403275987981	0.0120458688101663	0.0177403275987981	0.00752885072271493	0.0166605005593385	0.00627395180294201
"R3"	0.0381467195768539	0.00686183888388181	1.03249729874898	0.0228948778223315	0.0353210094772789	0.035428096323137	0.0228948778223315	0.0381467195768539	0.0379998788388879	0.00686183888388181	0.0219709829595062	0.00686183888388181	0.00686183888388181	0.00686183888388181	0.00686183888388181	0.00686183888388181	0.219578844284218	0.00544953136812198	0.19190057769738	0.0162748849402367	0.0234795250658015	0.0117066180603562	0.190983432626165	0.00729325262438687
"R4"	0.0343615273014065	0.00451074648140054	0.0137369266933989	1.04936595161205	0.0317684215631949	0.022994509211594	0.0493659516120489	0.0343615273014065	0.0520663659750321	0.00451074648140054	0.0137369266933989	0.00451074648140054	0.00451074648140054	0.00451074648140054	0.00451074648140054	0.00451074648140054	0.144343887404817	0.00490878961448664	0.126266786937682	0.12167784823429	0.126266786937682	0.0109272666767198	0.0186830843975056	0.113592216463484
"R5"	0.0420041157932504	0.0045396219054835	0.0211926056863673	0.0317684215631949	1.03899625472239	0.03056576497452	0.0317684215631949	0.0420041157932504	0.0420636742124124	0.0045396219054835	0.0211926056863673	0.0045396219054835	0.0045396219054835	0.0045396219054835	0.0045396219054835	0.0045396219054835	0.145267900975472	0.00600058797046435	0.125847123358552	0.119258445913372	0.125847123358552	0.0120617126259458	0.123025539993641	0.00935823247066843
"R6"	0.046511988049482	0.00452707869338193	0.0212568577938822	0.022994509211594	0.03056576497452	1.04338437175907	0.022994509211594	0.046511988049482	0.0461669356361507	0.00452707869338193	0.0212568577938822	0.00452707869338193	0.00452707869338193	0.00452707869338193	0.00452707869338193	0.00452707869338193	0.144866518188222	0.00664456972135458	0.125478933129071	0.0175976863208504	0.125478933129071	0.114280645156987	0.124422840919066	0.00789654010204386
"R7"	0.0343615273014065	0.00451074648140054	0.0137369266933989	0.0493659516120489	0.0317684215631949	0.022994509211594	1.04936595161205	0.0343615273014065	0.0520663659750321	0.00451074648140054	0.0137369266933989	0.00451074648140054	0.00451074648140054	0.00451074648140054	0.00451074648140054	0.00451074648140054	0.144343887404817	0.00490878961448664	0.126266786937682	0.12167784823429	0.126266786937682	0.0109272666767198	0.0186830843975056	0.113592216463484
"R8"	0.0608393423115628	0.0035021060544825	0.016348594104366	0.0245439480724332	0.0300029398523217	0.0332228486067729	0.0245439480724332	1.06083934231156	0.0421290335161373	0.0035021060544825	0.016348594104366	0.0035021060544825	0.0035021060544825	0.0035021060544825	0.0035021060544825	0.0035021060544825	0.11206739374344	0.080119906044509	0.0970852568686901	0.0910382063239519	0.0970852568686902	0.0864514075849104	0.0949012329382645	0.00791800629421074
"R9"	0.0421290335161373	0.00352641064308293	0.0162856623595234	0.0371902614107372	0.0300454815802946	0.0329763825972505	0.0371902614107372	0.0421290335161373	1.05441668008141	0.00352641064308293	0.0162856623595234	0.00352641064308293	0.00352641064308293	0.00352641064308293	0.00352641064308293	0.00352641064308293	0.112845140578654	0.00601843335944819	0.097788426267943	0.0917765109482973	0.097788426267943	0.0846315487678455	0.0930646510457161	0.0827535294308197
"R10"	0.0245147423813775	0.0182867104224821	0.0205855166516454	0.0225537324070027	0.0226981095274175	0.0226353934669097	0.0225537324070027	0.0245147423813775	0.0246848745015805	1.01828671042248	0.0205855166516454	0.0182867104224821	0.0182867104224821	0.0182867104224821	0.0182867104224821	0.0182867104224821	0.585174733519427	0.0035021060544825	0.0177403275987981	0.0120458688101663	0.0177403275987981	0.00752885072271493	0.0166605005593385	0.00627395180294201
"R11"	0.0381467195768539	0.00686183888388181	0.0219709829595062	0.0228948778223316	0.0353210094772789	0.035428096323137	0.0228948778223316	0.0381467195768539	0.0379998788388879	0.00686183888388181	1.03249729874898	0.00686183888388181	0.00686183888388181	0.00686183888388181	0.00686183888388181	0.00686183888388181	0.219578844284218	0.00544953136812198	0.0234795250658015	0.0162748849402367	0.19190057769738	0.0117066180603562	0.190983432626165	0.00729325262438687
"R12"	0.0245147423813775	0.0182867104224821	0.0205855166516454	0.0225537324070027	0.0226981095274175	0.0226353934669097	0.0225537324070027	0.0245147423813775	0.0246848745015805	0.0182867104224821	0.0205855166516454	1.01828671042248	0.0182867104224821	0.0182867104224821	0.0182867104224821	0.0182867104224821	0.585174733519427	0.0035021060544825	0.0177403275987981	0.0120458688101663	0.0177403275987981	0.00752885072271493	0.0166605005593385	0.00627395180294201
"R13"	0.0245147423813775	0.0182867104224821	0.0205855166516454	0.0225537324070027	0.0226981095274175	0.0226353934669097	0.0225537324070027	0.0245147423813775	0.0246848745015805	0.0182867104224821	0.0205855166516454	0.0182867104224821	1.01828671042248	0.0182867104224821	0.0182867104224821	0.0182867104224821	0.585174733519427	0.0035021060544825	0.0177403275987981	0.0120458688101663	0.0177403275987981	0.00752885072271493	0.0166605005593385	0.00627395180294201
"R14"	0.0245147423813775	0.0182867104224821	0.0205855166516454	0.0225537324070027	0.0226981095274175	0.0226353934669097	0.0225537324070027	0.0245147423813775	0.0246848745015805	0.0182867104224821	0.0205855166516454	0.0182867104224821	0.0182867104224821	1.01828671042248	0.0182867104224821	0.0182867104224821	0.585174733519427	0.0035021060544825	0.0177403275987981	0.0120458688101663	0.0177403275987981	0.00752885072271493	0.0166605005593385	0.00627395180294201
