"Clethrionomys_rutilus"	"Clethrionomys_rufocanus"	"Tamias_sibiricus"	"Apodemus_peninsulae"	"Microtus_maximowiczii"	"Sciurus_vulgaris"	"Megabothris_advenarius"	"Amphipsylla_marikovskii"	"Catallagia_dacenkoi"	"Catallagia_ioffi"	"Ceratophyllus_indages"	"Amalaraeus_ioffi"	"Catallagia_striata"	"Amalaraeus_penicilliger"	"Hystrichopsylla_microti"	"Neopsylla_acanthina"	"Peromyscopsylla_ostsibirica"	"Ctenophthalmus_pisticus"	"Rhadinopsylla_integella"	"Stenoponia_montana"	"Ctenophthalmus_congeneroides"	"Tarsopsylla_octodecimdentata"	"Frontopsylla_elata"	"Ctenophyllus_armatus"	"Megabothris_bispinosa"	"Nosopsyllus_fasciatus"	"Ceratophyllus_anisus"
"Clethrionomys_rutilus"	1.14923024308998	0.100321238581201	0.040091038013233	0.0326395108943265	0.0110513027545881	0	0.0406238654201012	0.033586942419987	0.033586942419987	0.0364505879923608	0.0364505879923608	0.033586942419987	0.033586942419987	0.033586942419987	0.0387819816276698	0.0387819816276698	0.035918336055296	0.0354379403416298	0.033586942419987	0.033586942419987	0.0344161785616874	0	0.00751731871378042	0.030242901133947	0.033586942419987	0.0331065467063208	0.030242901133947
"Clethrionomys_rufocanus"	0.127073568869522	1.12664988883193	0.0334054511067381	0.0330879524692948	0.0131164720558513	0	0.0478346450832723	0.0408990375804376	0.0408990375804376	0.0432851412309189	0.0432851412309189	0.0408990375804376	0.0408990375804376	0.0408990375804376	0.0456485664072971	0.0456485664072971	0.0432624627568158	0.00809357011289953	0.0408990375804376	0.0408990375804376	0.00789354513839346	0	0.042104500146751	0.00334404128604004	0.0408990375804376	0.00573014493652133	0.00334404128604004
"Tamias_sibiricus"	0.108818531750204	0.0715831095144387	1.09262137107232	0.0487626301044933	0.011547690891878	0	0.088701793026988	0.00524974922285507	0.00524974922285507	0.0832941328708779	0.0832941328708779	0.00524974922285507	0.00524974922285507	0.00524974922285507	0.0867771778783417	0.0867771778783417	0.00873279423031888	0.0843910742278604	0.00524974922285507	0.00524974922285507	0.00827130572848393	0	0.00779376380659144	0.00286364557237378	0.00524974922285507	0.0809080292203966	0.00286364557237378
"Apodemus_peninsulae"	0.0885929581417434	0.070902755291346	0.0487626301044933	1.08708306314534	0.0379919266504153	0	0.092158641818887	0.00469481881168723	0.00469481881168723	0.00817786381915104	0.00817786381915104	0.00469481881168724	0.00469481881168723	0.00469481881168724	0.0858266540438178	0.0858266540438179	0.082343609036354	0.0834632288674397	0.00469481881168724	0.00469481881168723	0.0863121716350451	0	0.0863442031761142	0.00233139363530904	0.00469481881168723	0.00581443864277284	0.00233139363530904
"Microtus_maximowiczii"	0.0699915841123911	0.0655823602792566	0.0269446120810487	0.0886478288509689	1.08216694800967	0	0.192645723393733	0.00402796246840656	0.00402796246840656	0.0059525776170529	0.0059525776170529	0.00402796246840656	0.00402796246840656	0.00402796246840656	0.0122845653921221	0.0122845653921221	0.0103599502434758	0.0100984867161469	0.00402796246840656	0.00402796246840656	0.188535029569112	0	0.188879224452656	0.00184188379243135	0.00402796246840656	0.00376649894107769	0.00184188379243135
"Sciurus_vulgaris"	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0
"Megabothris_advenarius"	0.154370688596384	0.143503935249817	0.124182510237783	0.129022098546442	0.11558743403624	0	1.0461964668743	0.00884585105033735	0.00884585105033735	0.0177160303530362	0.0177160303530362	0.00884585105033735	0.00884585105033735	0.00884585105033734	0.0269318945349248	0.0269318945349249	0.018061715232226	0.0221484300265976	0.00884585105033735	0.00884585105033734	0.0325428230632722	0	0.0332639010295893	0.00406238654201012	0.00884585105033735	0.0129325658447089	0.00406238654201012
"Amphipsylla_marikovskii"	0.319075952989876	0.306742781853282	0.0183741222799928	0.0164318658409053	0.00604194370260985	0	0.0221146276258434	1.01862149500011	0.0186214950001062	0.0199339323058199	0.0199339323058199	0.0186214950001062	0.0186214950001062	0.0186214950001062	0.0211076370087417	0.0211076370087417	0.019795199703028	0.0108828776136323	0.0186214950001062	0.0186214950001062	0.0105774309250202	0	0.0124054547151329	0.00839673560499675	0.0186214950001062	0.00970917291071052	0.00839673560499675
"Catallagia_dacenkoi"	0.319075952989877	0.306742781853282	0.0183741222799928	0.0164318658409053	0.00604194370260985	0	0.0221146276258434	0.0186214950001061	1.01862149500011	0.0199339323058199	0.0199339323058199	0.0186214950001062	0.0186214950001062	0.0186214950001061	0.0211076370087417	0.0211076370087417	0.019795199703028	0.0108828776136323	0.0186214950001062	0.0186214950001061	0.0105774309250202	0	0.0124054547151329	0.00839673560499675	0.0186214950001061	0.00970917291071052	0.00839673560499675
"Catallagia_ioffi"	0.230853723951618	0.216425706154594	0.194352976698715	0.0190816822446858	0.0059525776170529	0	0.0295267172550602	0.0132892882038799	0.0132892882038799	1.02717164368236	0.0271716436823596	0.0132892882038799	0.0132892882038799	0.0132892882038799	0.0285346209855514	0.0285346209855514	0.0146522655070718	0.0213204307803983	0.0132892882038799	0.0132892882038799	0.00843017157142746	0	0.00956926377785381	0.0060750979987268	0.0132892882038799	0.0199574534772065	0.0060750979987268
