"Cabralea_canjerana"	"Trema_micrantha"	"Trichilia_clauseni"	"Protium_heptaphyllum"	"Chamissoa_altissima"	"Ixora_venulosa"	"Dendropanax_cuneatum"	"Chiroxiphia_caudata"	"Manacus_manacus"	"Vireo_olivaceus"	"Saltator_similis"	"Myiodynastes_maculatus"	"Tachyphonus_coronatus"	"Pitangus_sulphuratus"	"Turdus_leucomelas"	"Trichothraupis_melanops"	"Turdus_rufiventris"	"Tyrannus_savanna"	"Cyclarhis_gujanensis"	"Dacnis_cayana"	"Empidonomus_varius"	"Myiarchus_ferox"	"Myiophobus_fasciatus"	"Turdus_amaurochalinus"	"Tyrannus_melancholicus"
"Cabralea_canjerana"	1.24772809734516	0.0224769872406274	0.0186573497382943	0.0130429003612552	0.0123900350523957	0.0123294027278592	0.00670856086774076	0.0649116111432671	0.0644749254763661	0.0605173913846097	0.0077660367239853	0.0567149135156891	0.00665552228659557	0.0567149135156891	0.0567149135156891	0.00310353352640732	0.00130429003612552	0.0567149135156891	0.00155477914485786	0.0567149135156891	0.0567149135156891	0.0567149135156892	0.00111809347795679	0.00154117534098239	0.0567149135156892
"Trema_micrantha"	0.0494493719293802	1.06833003559997	0.062820533213945	0.0518709591019774	0.039209554546095	0.0362750601269435	0.0253778188150211	0.128938419462883	0.127933011497558	0.114315746718555	0.126019162889728	0.00224769872406273	0.122156338222952	0.00224769872406274	0.00224769872406274	0.0101362387527573	0.00518709591019775	0.00224769872406274	0.00523504443449541	0.00224769872406274	0.00224769872406274	0.00224769872406274	0.00422963646917018	0.00453438251586794	0.00224769872406274
"Trichilia_clauseni"	0.0342051411868728	0.0523504443449542	1.12221176957335	0.0375079289519169	0.0497945812272118	0.0235109936782713	0.0137524743707614	0.113221460802176	0.0219958923995239	0.100307471043799	0.10773443806571	0.00155477914485786	0.108727807447534	0.00155477914485786	0.00155477914485786	0.0997419701178468	0.00375079289519169	0.00155477914485786	0.0935176474644454	0.00155477914485786	0.00155477914485786	0.00155477914485786	0.00229207906179357	0.00293887420978391	0.00155477914485786
"Protium_heptaphyllum"	0.0286943807947614	0.0518709591019774	0.0450095147423003	1.10543571504743	0.0394943702094737	0.0369190903698866	0.0259093030675042	0.130337432918678	0.130904857201404	0.0102421788415149	0.128414563784286	0.00130429003612552	0.124418256586317	0.00130429003612552	0.00130429003612552	0.0086875891713759	0.110543571504743	0.00130429003612552	0.00375079289519169	0.00130429003612552	0.00130429003612552	0.00130429003612552	0.00431821717791737	0.00461488629623583	0.00130429003612552
"Chamissoa_altissima"	0.0340725963940882	0.0490119431826188	0.0746918718408176	0.0493679627618421	1.07995181128221	0.0298853636442502	0.0163517842275101	0.156340714495204	0.152841689213054	0.0126742713532128	0.0225232810746305	0.00154875438154946	0.151056289658123	0.00154875438154946	0.00154875438154946	0.141218299063677	0.00493679627618421	0.00154875438154946	0.00622432265340147	0.00154875438154946	0.00154875438154946	0.00154875438154946	0.00272529737125168	0.00373567045553128	0.00154875438154946
"Ixora_venulosa"	0.0339058575016127	0.0453438251586794	0.0352664905174069	0.0461488629623582	0.0298853636442502	1.11132100600487	0.0314619275441587	0.15628011456901	0.158584894949919	0.00901443206663424	0.156246923363189	0.00154117534098239	0.015823813477419	0.00154117534098239	0.00154117534098239	0.00667454466531518	0.00461488629623583	0.00154117534098239	0.00293887420978391	0.00154117534098239	0.00154117534098239	0.00154117534098239	0.00524365459069312	0.138915125750608	0.00154117534098239
"Dendropanax_cuneatum"	0.0245980565150495	0.0422963646917017	0.0275049487415229	0.0431821717791737	0.0218023789700134	0.041949236725545	1.13200017591033	0.0199269781487827	0.206301595072044	0.00763980900892054	0.204750283284629	0.00111809347795679	0.0135652300801328	0.00111809347795679	0.00111809347795679	0.00501737643304525	0.00431821717791737	0.00111809347795679	0.00229207906179357	0.00111809347795679	0.00111809347795679	0.00111809347795679	0.188666695985055	0.00524365459069312	0.00111809347795679
"Chiroxiphia_caudata"	0.119004620429323	0.107448682885736	0.113221460802176	0.108614527432232	0.104227142996803	0.104186743046007	0.00996348907439136	1.06250247944927	0.054727939228152	0.0255892909506938	0.0457253671584607	0.00540930092860559	0.0440698356399117	0.00540930092860559	0.00540930092860559	0.022463514608115	0.0108614527432232	0.00540930092860559	0.00943512173351464	0.00540930092860559	0.00540930092860559	0.00540930092860559	0.00166058151239856	0.0130233428807508	0.00540930092860559
"Manacus_manacus"	0.118204030040004	0.106610842914631	0.0219958923995239	0.10908738100117	0.10189445947537	0.105723263299946	0.103150797536022	0.054727939228152	1.0700867477842	0.0178669857811206	0.053810020926704	0.00537291045636383	0.036139620859295	0.00537291045636384	0.00537291045636384	0.0145697984677148	0.010908738100117	0.00537291045636384	0.00183299103329366	0.00537291045636384	0.00537291045636384	0.00537291045636384	0.017191799589337	0.0132154079124933	0.00537291045636384
"Vireo_olivaceus"	0.221897101743569	0.190526244530926	0.200614942087597	0.0170702980691916	0.0168990284709504	0.0120192427555123	0.00763980900892054	0.0511785819013876	0.0357339715622412	1.04585676819116	0.0402532729465706	0.0100862318974349	0.0395899446595136	0.010086231897435	0.010086231897435	0.0188302903995019	0.00170702980691916	0.010086231897435	0.0167179118406331	0.010086231897435	0.010086231897435	0.010086231897435	0.00127330150148676	0.00150240534443904	0.010086231897435
