"Nephrosperma_vanhoutteanum"	"Phoenicophorium_borsigianum"	"Erythroxylum_sechellarum"	"Memecylon_eleagni"	"Canthium_bibracteatum"	"Paragenipa_wrightii"	"Apis_mellifera"	"Lasioglossum_mahense"	"Megachile_seychellensis"	"Chalcidoma_disjunctum"	"Unidentified_sp3_M_PL_091"	"Cratopus_aurostriatus"	"Hemipyrellia_germana"	"Ceratina_tabescens"	"Neophyllomyza_approximatonervis"	"Phelsuma_sp1_M_PL_091"	"Tricimba_seychellensis"	"Polistes_olivaceus"	"Rhiparida_seychellensis"	"Unidentified_sp1_M_PL_091"	"Unidentified_sp4_M_PL_091"	"Geron_seychellarum"	"Lygistorrhina_sp1_M_PL_091"	"Melanostoma_annulipes"	"Unidentified_sp2_M_PL_091"
"Nephrosperma_vanhoutteanum"	1.19304933092963	0.0772547749714287	0.0150353103971195	0.0131201952116436	0.0219317443933174	0.0129419774301926	0.0675947710030649	0.0639394802708454	0.0578848057744755	0.0021866992019406	0.00386273874857143	0.00386273874857144	0.0580922537908274	0.00365529073221957	0.0580922537908274	0.0580922537908274	0.00536626978828338	0.00386273874857143	0.0580922537908274	0.00366052727807739	0.054229515042256	0.054229515042256	0.00150353103971195	0.054229515042256	0.054229515042256
"Phoenicophorium_borsigianum"	0.0849802524685716	1.17999673622798	0.031608731920993	0.0142846123091356	0.00797488258257919	0.0144881178240687	0.0721480508713672	0.0708189037742707	0.00519188584566797	0.00238076871818927	0.0589998368113993	0.0589998368113992	0.0628625755599707	0.00132914709709653	0.0628625755599707	0.0628625755599707	0.0621607100034985	0.0589998368113993	0.0628625755599707	0.00557555949611075	0.00386273874857143	0.00386273874857143	0.0031608731920993	0.00386273874857143	0.00386273874857143
"Erythroxylum_sechellarum"	0.0330776828736628	0.063217463841986	1.14174814465009	0.0267030849902714	0.0132601414740211	0.0553268155033054	0.134720892358086	0.132510868779083	0.00371355461871547	0.00445051416504523	0.0031608731920993	0.0031608731920993	0.00466440423181124	0.00221002357900352	0.00466440423181124	0.00466440423181124	0.117335687657108	0.0031608731920993	0.00466440423181124	0.123395950382226	0.00150353103971195	0.00150353103971194	0.114174814465009	0.00150353103971194	0.00150353103971194
"Memecylon_eleagni"	0.0481073824426932	0.0476153743637855	0.0445051416504523	1.13211156288607	0.0204218081432124	0.0405720638471211	0.207868887897909	0.204465253207373	0.005590333892476	0.188685260481011	0.00238076871818927	0.00238076871818927	0.00456746792012987	0.00340363469053541	0.00456746792012987	0.00456746792012987	0.0068312828832345	0.00238076871818927	0.00456746792012987	0.0112125248062321	0.0021866992019406	0.0021866992019406	0.00445051416504524	0.0021866992019406	0.0021866992019406
"Canthium_bibracteatum"	0.0804163961088305	0.0265829419419306	0.0221002357900352	0.0204218081432124	1.16370152001782	0.0201104313315085	0.207900087990409	0.0139498346541064	0.197605544068522	0.0034036346905354	0.00132914709709653	0.00132914709709653	0.0049844378293161	0.193950253336303	0.0049844378293161	0.0049844378293161	0.00353917067610005	0.00132914709709653	0.0049844378293161	0.00556176213425494	0.00365529073221957	0.00365529073221957	0.00221002357900353	0.00365529073221957	0.00365529073221957
"Paragenipa_wrightii"	0.0474539172440397	0.048293726080229	0.0922113591721756	0.0405720638471211	0.0201104313315085	1.08469183565826	0.204688540265743	0.201336801710491	0.00550873479361685	0.00676201064118685	0.00241468630401145	0.00241468630401145	0.00457168254237689	0.00335173855525141	0.00457168254237689	0.00457168254237689	0.011635822221229	0.00241468630401145	0.00457168254237689	0.190003108526928	0.00215699623836544	0.00215699623836544	0.00922113591721756	0.00215699623836544	0.00215699623836544
"Apis_mellifera"	0.123923746838952	0.120246751452279	0.112267410298405	0.103934443948954	0.103950043995204	0.102344270132871	1.07457676919888	0.0572517618663475	0.0229579049161228	0.0173224073248257	0.00601233757261394	0.00601233757261393	0.0116452351562027	0.0173250073325341	0.0116452351562027	0.0116452351562027	0.0172390786024544	0.00601233757261394	0.0116452351562027	0.0282841193853191	0.00563289758358875	0.00563289758358874	0.0112267410298405	0.00563289758358874	0.00563289758358874
"Lasioglossum_mahense"	0.14066685659586	0.141637807548541	0.132510868779083	0.122679151924424	0.00836990079246387	0.120802081026295	0.068702114239617	1.06730713077421	0.00778893149249519	0.0204465253207373	0.00708189037742708	0.00708189037742707	0.0134758384045116	0.00139498346541064	0.0134758384045116	0.0134758384045116	0.0203329772553353	0.00708189037742708	0.0134758384045116	0.0333847670489574	0.00639394802708454	0.00639394802708454	0.0132510868779083	0.00639394802708454	0.00639394802708454
"Megachile_seychellensis"	0.318366431759616	0.0259594292283398	0.00928388654678867	0.00838550083871401	0.296408316102783	0.00826310219042527	0.0688737147483685	0.019472328731238	1.06387258746075	0.001397583473119	0.00129797146141699	0.00129797146141699	0.0157691729050359	0.0494013860171306	0.0157691729050359	0.0157691729050359	0.00222636011609586	0.00129797146141699	0.0157691729050359	0.00230557235308308	0.0144712014436189	0.0144712014436189	0.000928388654678867	0.0144712014436189	0.0144712014436189
"Chalcidoma_disjunctum"	0.0240536912213466	0.0238076871818927	0.0222525708252262	0.566055781443034	0.0102109040716062	0.0202860319235606	0.103934443948954	0.102232626603687	0.002795166946238	1.09434263024051	0.00119038435909464	0.00119038435909464	0.00228373396006494	0.0017018173452677	0.00228373396006494	0.00228373396006494	0.00341564144161725	0.00119038435909464	0.00228373396006493	0.00560626240311604	0.0010933496009703	0.0010933496009703	0.00222525708252262	0.0010933496009703	0.0010933496009703
