"Clethrionomys_rufocanus"	"Clethrionomys_rutilus"	"Apodemus_peninsulae"	"Tamias_sibiricus"	"Microtus_evoronensis"	"Myopus_schisticolor"	"Sciurus_vulgaris"	"Megabothris_advenarius"	"Pectinoctenus_pectiniceps"	"Amalaraeus_dissimilis"	"Neopsylla_acanthina"	"Catallagia_ioffi"	"Hystrichopsylla_microti"	"Megabothris_asio"	"Ctenophthalmus_pisticus"	"Ceratophyllus_indages"	"Catallagia_dacenkoi"	"Corrodopsylla_birulai"	"Ctenophthalmus_congeneroides"	"Rhadinopsylla_pseudodahurica"
"Clethrionomys_rufocanus"	1.0899858043928	0.0899858043927995	0.0705501819865084	0.0284807608122043	0.0441689626093785	0.00474724798701332	0.00541457115262983	0.0569669758441599	0.0517452757694328	0.0517452757694328	0.0514384259499834	0.0485903498687629	0.0485384493155006	0.0517452757694328	0.0545933518506533	0.0541457115262983	0.0485903498687629	0.0517452757694328	0.0514384259499834	0.0453835234148307
"Clethrionomys_rutilus"	0.0899858043927995	1.0899858043928	0.0705501819865084	0.0284807608122043	0.0441689626093785	0.00474724798701332	0.00541457115262983	0.0569669758441599	0.0517452757694328	0.0517452757694328	0.0514384259499834	0.0485903498687629	0.0485384493155006	0.0517452757694328	0.0545933518506533	0.0541457115262983	0.0485903498687629	0.0517452757694328	0.0514384259499834	0.0453835234148307
"Apodemus_peninsulae"	0.0833774878022372	0.0833774878022372	1.08020042269184	0.0324249000611875	0.0423956174984598	0.00537255830608657	0.00618485917128931	0.0644706996730388	0.0585419305138768	0.0585419305138768	0.0587561621272484	0.0555136721211297	0.00944191130061152	0.0585419305138768	0.0617844205199955	0.0618485917128931	0.0555136721211297	0.0585419305138768	0.0587561621272484	0.0064136529078644
"Tamias_sibiricus"	0.0740499781117313	0.0740499781117313	0.0713347801346126	1.06286050793251	0.0287113043925369	0.0101978696016018	0.0121289150486116	0.122374435219221	0.0109894496251694	0.0109894496251694	0.11522469296181	0.00893864216855962	0.00774695961905064	0.0109894496251694	0.11727550041842	0.121289150486116	0.00893864216855962	0.0109894496251694	0.11522469296181	0.00569615216244086
"Microtus_evoronensis"	0.0820280734174172	0.0820280734174172	0.0666216846404368	0.0205080745660978	1.07329184421946	0.0076567496355852	0.00119883343691544	0.0918809956270224	0.0860018133526201	0.08600181335262	0.0113889176506967	0.00933811019408691	0.0829735549598729	0.08600181335262	0.0880526208092298	0.0119883343691544	0.00933811019408691	0.08600181335262	0.0113889176506967	0.00630985180133978
"Myopus_schisticolor"	0.0617142238311733	0.0617142238311733	0.0590981413669522	0.0509893480080088	0.0535972474490964	1.04490094232684	0.00131920652009026	0.538811307922069	0.0112619019578492	0.0112619019578492	0.0125324619408575	0.00743352714005661	0.00857562280480592	0.0112619019578492	0.0163608367586501	0.0131920652009026	0.00743352714005661	0.0112619019578492	0.0125324619408575	0.00474724798701333
"Sciurus_vulgaris"	0.0703894249841878	0.0703894249841878	0.0680334508841824	0.0606445752430581	0.00839183405840809	0.00131920652009026	1.05416541665922	0.0158304782410831	0.0091064174567322	0.0091064174567322	0.0145714582625803	0.00850700073827448	0.00601398787108755	0.0091064174567322	0.015170874981038	0.54165416659219	0.00850700073827448	0.0091064174567322	0.0145714582625803	0.00541457115262983
"Megabothris_advenarius"	0.123428447662347	0.123428447662347	0.118196282733904	0.101978696016018	0.107194494898193	0.0898018846536782	0.00263841304018052	1.07762261584414	0.0225238039156984	0.0225238039156984	0.025064923881715	0.0148670542801132	0.0171512456096118	0.0225238039156984	0.0327216735173002	0.0263841304018052	0.0148670542801132	0.0225238039156984	0.025064923881715	0.00949449597402665
"Pectinoctenus_pectiniceps"	0.168172146250657	0.168172146250657	0.160990308913161	0.0137368120314617	0.150503173367085	0.0028154754894623	0.00227660436418305	0.0337857058735476	1.03100428692567	0.0310042869256703	0.021627741459739	0.0202540602565928	0.0236865456114357	0.0310042869256703	0.0323779681288165	0.0227660436418305	0.0202540602565928	0.0310042869256703	0.021627741459739	0.0129363189423582
"Amalaraeus_dissimilis"	0.168172146250657	0.168172146250657	0.160990308913161	0.0137368120314617	0.150503173367085	0.0028154754894623	0.00227660436418305	0.0337857058735476	0.0310042869256703	1.03100428692567	0.021627741459739	0.0202540602565928	0.0236865456114357	0.0310042869256703	0.0323779681288165	0.0227660436418305	0.0202540602565928	0.0310042869256703	0.021627741459739	0.0129363189423582
"Neopsylla_acanthina"	0.167174884337446	0.167174884337446	0.161579445849933	0.144030866202263	0.0199306058887192	0.00313311548521437	0.00364286456564507	0.0375973858225725	0.021627741459739	0.021627741459739	1.03460721337363	0.0202041267534019	0.0142832211938329	0.021627741459739	0.0360308280799653	0.0364286456564507	0.0202041267534019	0.021627741459739	0.0346072133736282	0.0128596064874958
"Catallagia_ioffi"	0.210558182764639	0.210558182764639	0.203550131110809	0.0148977369475994	0.0217889237862028	0.00247784238001887	0.00283566691275816	0.0297341085602264	0.0270054136754571	0.0270054136754571	0.0269388356712025	1.02544906197644	0.0177531349886021	0.0270054136754571	0.028495187370217	0.0283566691275816	0.0254490619764426	0.0270054136754571	0.0269388356712025	0.0161967832895876
"Hystrichopsylla_microti"	0.210333280367169	0.210333280367169	0.0346203414355756	0.0129115993650844	0.193604961573037	0.00285854093493531	0.00200466262369585	0.0343024912192237	0.0315820608152476	0.0315820608152476	0.0190442949251106	0.0177531349886021	1.03000840893181	0.0315820608152476	0.032873220751756	0.0200466262369585	0.0177531349886021	0.0315820608152476	0.0190442949251106	0.0161794831051669
"Megabothris_asio"	0.168172146250657	0.168172146250657	0.160990308913161	0.0137368120314617	0.150503173367085	0.0028154754894623	0.00227660436418305	0.0337857058735476	0.0310042869256703	0.0310042869256703	0.021627741459739	0.0202540602565928	0.0236865456114357	1.03100428692567	0.0323779681288165	0.0227660436418305	0.0202540602565928	0.0310042869256703	0.021627741459739	0.0129363189423582
"Ctenophthalmus_pisticus"	0.141942714811698	0.141942714811698	0.13592572514399	0.11727550041842	0.123273669132922	0.00327216735173002	0.0030341749962076	0.0392660082207602	0.0259023745030532	0.0259023745030532	0.0288246624639722	0.0170971124221302	0.0197239324510536	0.0259023745030532	1.03762992454489	0.030341749962076	0.0170971124221302	0.0259023745030532	0.0288246624639722	0.0109186703701306
"Ceratophyllus_indages"	0.140778849968376	0.140778849968376	0.136066901768365	0.121289150486116	0.0167836681168162	0.00263841304018052	0.108330833318438	0.0316609564821663	0.0182128349134644	0.0182128349134644	0.0291429165251606	0.017014001476549	0.0120279757421751	0.0182128349134644	0.030341749962076	1.08330833318438	0.017014001476549	0.0182128349134644	0.0291429165251606	0.0108291423052597
"Catallagia_dacenkoi"	0.210558182764639	0.210558182764639	0.203550131110809	0.0148977369475994	0.0217889237862028	0.00247784238001887	0.00283566691275816	0.0297341085602264	0.0270054136754571	0.0270054136754571	0.0269388356712025	0.0254490619764426	0.0177531349886021	0.0270054136754571	0.028495187370217	0.0283566691275816	1.02544906197644	0.0270054136754571	0.0269388356712025	0.0161967832895876
"Corrodopsylla_birulai"	0.168172146250657	0.168172146250657	0.160990308913161	0.0137368120314617	0.150503173367085	0.0028154754894623	0.00227660436418305	0.0337857058735476	0.0310042869256703	0.0310042869256703	0.021627741459739	0.0202540602565928	0.0236865456114357	0.0310042869256703	0.0323779681288165	0.0227660436418305	0.0202540602565928	1.03100428692567	0.021627741459739	0.0129363189423582
"Ctenophthalmus_congeneroides"	0.167174884337446	0.167174884337446	0.161579445849933	0.144030866202263	0.0199306058887192	0.00313311548521437	0.00364286456564507	0.0375973858225725	0.021627741459739	0.021627741459739	0.0346072133736282	0.0202041267534019	0.0142832211938329	0.021627741459739	0.0360308280799653	0.0364286456564507	0.0202041267534019	0.021627741459739	1.03460721337363	0.0128596064874958
"Rhadinopsylla_pseudodahurica"	0.2949929021964	0.2949929021964	0.0352750909932542	0.0142403804061022	0.0220844813046892	0.00237362399350666	0.00270728557631491	0.02848348792208	0.0258726378847164	0.0258726378847164	0.0257192129749917	0.0242951749343815	0.0242692246577503	0.0258726378847164	0.0272966759253266	0.0270728557631491	0.0242951749343815	0.0258726378847164	0.0257192129749917	1.02269176170742
