"Pectis_tenuifolia"	"Chiococa_alba"	"Darwiniothamnus_tenuifolius"	"Opuntia_echios"	"Scalesia_affinis"	"Waltheria_ovata"	"Cordia_lutea"	"Cordia_revoluta"	"Jasminoserius_thouarsii"	"Lippia_rosmarinifolia"	"Passiflora_foetida"	"Plumbago_scandens"	"Xylocopa_darwini"	"Lepidanthrax_tinctus"	"Halmenus_cuspidatus"	"Phoebis_sennae"	"Unidentified_sp1_M_PL_042"	"Unidentified_sp2_M_PL_042"
"Pectis_tenuifolia"	1.16846086703521	0.0244399185336049	0.0244399185336049	0.0244399185336049	0.0244399185336049	0.0244399185336049	0.00853457472602075	0.00853457472602075	0.00853457472602075	0.00853457472602075	0.00853457472602075	0	0.187760643972457	0.166424207157405	0.0203665987780041	0	0.146057608379401	0.146057608379401
"Chiococa_alba"	0.0325865580448065	1.04928716904277	0.0492871690427698	0.0492871690427698	0.0492871690427698	0.0492871690427698	0.0108621860149355	0.0108621860149355	0.0108621860149355	0.0108621860149355	0.0108621860149355	0	0.238968092328581	0.211812627291242	0.207739307535642	0	0.00407331975560081	0.00407331975560081
"Darwiniothamnus_tenuifolius"	0.0325865580448065	0.0492871690427698	1.04928716904277	0.0492871690427698	0.0492871690427698	0.0492871690427698	0.0108621860149355	0.0108621860149355	0.0108621860149355	0.0108621860149355	0.0108621860149355	0	0.238968092328581	0.211812627291242	0.207739307535642	0	0.00407331975560081	0.00407331975560081
"Opuntia_echios"	0.0325865580448065	0.0492871690427698	0.0492871690427698	1.04928716904277	0.0492871690427698	0.0492871690427698	0.0108621860149355	0.0108621860149355	0.0108621860149355	0.0108621860149355	0.0108621860149355	0	0.238968092328581	0.211812627291242	0.207739307535642	0	0.00407331975560081	0.00407331975560081
"Scalesia_affinis"	0.0325865580448065	0.0492871690427698	0.0492871690427698	0.0492871690427698	1.04928716904277	0.0492871690427698	0.0108621860149355	0.0108621860149355	0.0108621860149355	0.0108621860149355	0.0108621860149355	0	0.238968092328581	0.211812627291242	0.207739307535642	0	0.00407331975560081	0.00407331975560081
"Waltheria_ovata"	0.0325865580448065	0.0492871690427698	0.0492871690427698	0.0492871690427698	0.0492871690427698	1.04928716904277	0.0108621860149355	0.0108621860149355	0.0108621860149355	0.0108621860149355	0.0108621860149355	0	0.238968092328581	0.211812627291242	0.207739307535642	0	0.00407331975560081	0.00407331975560081
"Cordia_lutea"	0.034138298904083	0.0325865580448065	0.0325865580448065	0.0325865580448065	0.0325865580448065	0.0325865580448065	1.02725244884104	0.0272524488410435	0.0272524488410435	0.0272524488410435	0.0272524488410435	0	0.599553874502958	0.0314227524003491	0.0271554650373388	0	0.00426728736301038	0.00426728736301038
"Cordia_revoluta"	0.034138298904083	0.0325865580448065	0.0325865580448065	0.0325865580448065	0.0325865580448065	0.0325865580448065	0.0272524488410435	1.02725244884104	0.0272524488410435	0.0272524488410435	0.0272524488410435	0	0.599553874502958	0.0314227524003491	0.0271554650373388	0	0.00426728736301038	0.00426728736301038
"Jasminoserius_thouarsii"	0.034138298904083	0.0325865580448065	0.0325865580448065	0.0325865580448065	0.0325865580448065	0.0325865580448065	0.0272524488410435	0.0272524488410435	1.02725244884104	0.0272524488410435	0.0272524488410435	0	0.599553874502958	0.0314227524003491	0.0271554650373388	0	0.00426728736301038	0.00426728736301038
"Lippia_rosmarinifolia"	0.034138298904083	0.0325865580448065	0.0325865580448065	0.0325865580448065	0.0325865580448065	0.0325865580448065	0.0272524488410435	0.0272524488410435	0.0272524488410435	1.02725244884104	0.0272524488410435	0	0.599553874502958	0.0314227524003491	0.0271554650373388	0	0.00426728736301038	0.00426728736301038
"Passiflora_foetida"	0.034138298904083	0.0325865580448065	0.0325865580448065	0.0325865580448065	0.0325865580448065	0.0325865580448065	0.0272524488410435	0.0272524488410435	0.0272524488410435	0.0272524488410435	1.02725244884104	0	0.599553874502958	0.0314227524003491	0.0271554650373388	0	0.00426728736301038	0.00426728736301038
"Plumbago_scandens"	0	0	0	0	0	0	0	0	0	0	0	1.33333333333333	0	0	0	0.666666666666667	0	0
"Xylocopa_darwini"	0.068276597808166	0.065173116089613	0.065173116089613	0.065173116089613	0.065173116089613	0.065173116089613	0.0545048976820871	0.0545048976820871	0.0545048976820871	0.0545048976820871	0.0545048976820871	0	1.19910774900592	0.0628455048006983	0.0543109300746775	0	0.00853457472602076	0.00853457472602075
