"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"R12"	"R13"	"R14"	"R15"	"R16"	"R17"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"	"C10"	"C11"	"C12"	"C13"	"C14"	"C15"	"C16"	"C17"	"C18"	"C19"	"C20"	"C21"	"C22"	"C23"	"C24"	"C25"	"C26"	"C27"
"R1"	1.16405839337701	8.99801873076247e-06	3.36289265762168e-07	8.74352090981636e-06	9.98949584809852e-06	0.000653576058702362	0.000574679191707198	0.0248515923729208	0.0511235546732937	0	0.000691718946501842	3.05748864819138e-05	5.23591607177989e-07	0.0913047437909481	8.43564256008982e-06	0	7.47347684435265e-06	6.24343490506158e-07	1.12475234134531e-06	6.24343490506157e-07	8.16970073377953e-05	1.17701243016759e-06	3.1550362585331e-06	1.09294011372705e-06	6.24343490506158e-07	1.7172836042332e-06	8.40723164405419e-08	0.160724756470618	6.24343490506157e-07	6.24343490506158e-07	0.00414193206215346	0.177647577201095	0.145507299172126	0	8.64648683127303e-05	0.000183449318891482	0.00459743353365759	8.64648683127303e-05	8.72652678629981e-08	0.173505645138941	8.72652678629981e-08	2.61795803588994e-06	0	8.96817221322317e-05
"R2"	8.99801873076247e-06	1.13751748575691	0.000648374870028628	0.0168577466207443	0.0489361965753001	0.0155678103621532	0.000278762838100301	0.00031180243812732	7.80296936808308e-06	0	0.000742223339695106	0.000370682584132917	0.031708991628096	8.43564256008982e-06	0.0664226428971021	0	0.0139453767922854	0.00305851228595626	0.142189685719614	0.00305851228595625	0.00194597629526915	0.0022693120451002	0.15631863848842	0.00210721832759304	0.00305851228595626	0.0051657306135493	0.000162093717507157	2.53069276802695e-06	0.00305851228595626	0.00305851228595626	5.196707302122e-05	5.64485081312677e-05	1.12475234134531e-06	0	9.27779174618883e-05	0.0022240955047975	0.00223010270480241	9.27779174618882e-05	0.005284831938016	4.48143511004772e-06	0.005284831938016	0.15854495814048	0	0.167344521507425
"R3"	6.72578531524336e-07	0.00129674974005725	1.23420900780084	0.0894342028219139	0.00476696215664637	0.0011636533936776	2.08367981778106e-05	2.33064224732515e-05	5.8325169530626e-07	0	5.54792670267004e-05	2.77075604705523e-05	7.54574202188489e-05	6.30542373304065e-07	0.00121570288130368	0	0.00104238069792439	0.000297935134790398	0.000162093717507157	0.000297935134790398	0.0001454566742097	0.31973152730295	0.000662645999181501	0.0111792753527392	0.000297935134790398	0.0114772104875296	0.308552251950211	1.89162711991219e-07	0.000297935134790398	0.000297935134790398	3.88440374554192e-06	4.2193793813597e-06	8.4072316440542e-08	0	6.93490837833754e-06	0.000166245362823313	0.000166694385422485	6.93490837833754e-06	1.25762367031415e-05	3.34975635817784e-07	1.25762367031415e-05	0.000377287101094244	0	0.0125085683750926
"R4"	8.74352090981636e-06	0.0168577466207443	0.0447171014109569	1.16264463668488	0.0619705080364029	0.0151274941178088	0.000270878376311537	0.000302983492152269	7.58227203898138e-06	0	0.000721230471347105	0.000360198286117179	0.000980946462845036	8.19705085295284e-06	0.0158041374569478	0	0.013550949073017	0.00387315675227518	0.00210721832759304	0.00387315675227518	0.0018909367647261	0.156509854938349	0.00861439798935952	0.14533057958561	0.00387315675227518	0.149203736337885	0.0111792753527392	2.45911525588585e-06	0.00387315675227518	0.00387315675227518	5.04972486920449e-05	5.48519319576761e-05	1.09294011372705e-06	0	9.01538089183881e-05	0.00216118971670308	0.0021670270104923	9.01538089183881e-05	0.000163491077140839	4.3546832656312e-06	0.000163491077140839	0.00490473231422518	0	0.162611388876204
"R5"	4.99474792404926e-06	0.02446809828765	0.00119174053916159	0.0309852540182014	1.23498341373304	0.00864160109186263	0.000154739631975136	0.000173079722008754	4.33138296538647e-06	0	0.000412003863967162	0.000205763748996132	0.00142379020208308	4.68257617879618e-06	0.0229388421446719	0	0.00774099764264995	0.0771864633583148	0.00305851228595626	0.0771864633583148	0.00108020013648283	0.00417109188706558	0.0840681160017164	0.00387315675227518	0.0771864633583148	0.08105962011059	0.000297935134790398	1.40477285363885e-06	0.0771864633583148	0.0771864633583148	2.88466203347923e-05	3.13342389297778e-05	6.24343490506158e-07	0	5.15004829958953e-05	0.00123458249397679	0.00123791705580108	5.15004829958953e-05	0.000237298367013847	2.48761859498547e-06	0.000237298367013847	0.00711895101041542	0	0.0928919717117994
"R6"	0.000653576058702362	0.0155678103621532	0.000581826696838799	0.0151274941178088	0.0172832021837253	1.13077650131316	0.0202480926623767	0.0226479422529244	0.000566772988405955	0	0.0539118020922063	0.0269247341683038	0.000905885516763226	0.000612727555033465	0.0145948222145186	0	0.0129301431504095	0.00108020013648283	0.00194597629526915	0.00108020013648283	0.141347062664145	0.0020363934389358	0.00545864680083842	0.0018909367647261	0.00108020013648283	0.00297113690120893	0.0001454566742097	0.000183818266510039	0.00108020013648283	0.00108020013648283	0.00377465704215407	0.0041001685557656	8.16970073377953e-05	0	0.00673897526152579	0.161548405009823	0.161984741299014	0.00673897526152579	0.000150980919460538	0.000325511513611528	0.000150980919460538	0.00452942758381613	0	0.155161717804915
"R7"	0.00229871676682879	0.00111505135240121	4.16735963556211e-05	0.00108351350524615	0.00123791705580108	0.0809923706495068	1.07121532295984	0.0796559235880399	0.00199341844623434	0	0.085719108823533	0.0037888972607509	6.48844536957598e-05	0.00215504696890199	0.00104536064287613	0	0.000926127263321263	7.73698159875677e-05	0.000139381419050151	7.73698159875677e-05	0.0101240463311883	0.000145857587244674	0.000390978008850407	0.000135439188155769	7.73698159875677e-05	0.000212809004143336	1.04183990889053e-05	0.000646514090670598	7.73698159875677e-05	7.73698159875677e-05	0.0132759872646733	0.0144208559669025	0.000287339595853599	0	0.0107148886029416	0.0227333835645054	0.569722583678724	0.0107148886029416	1.081407561596e-05	0.00114486870222918	1.081407561596e-05	0.000324422268478799	0	0.0111135271598552
"R8"	0.0331354564972277	0.00041573658416976	1.55376149821677e-05	0.000403977989536359	0.000461545925356677	0.0301972563372326	0.0265519745293466	1.1482212288551	0.0287346536811896	0	0.0319595769500929	0.00141265530198467	2.41915684753955e-05	0.0310644904661509	0.00038975304765915	0	0.000345297984824231	2.88466203347923e-05	5.196707302122e-05	2.88466203347923e-05	0.00377465704215407	5.43816524375868e-05	0.000145772534632537	5.04972486920449e-05	2.88466203347923e-05	7.93438690268372e-05	3.88440374554191e-06	0.00931934713984528	2.88466203347923e-05	2.88466203347923e-05	0.191370204809184	0.207873215369327	0.00414193206215346	0	0.00399494711876162	0.00847593181190802	0.212415796234773	0.00399494711876161	4.03192807923258e-06	0.0165030105601427	4.03192807923258e-06	0.000120957842376978	0	0.00414357581789077
"R9"	0.102247109346587	1.56059387361662e-05	5.8325169530626e-07	1.51645440779628e-05	1.73255318615459e-05	0.00113354597681191	0.000996709223117172	0.0431019805217844	1.08866741513649	0	0.00119970004783913	5.30283187420692e-05	9.08104193699324e-07	0.0958566650124257	1.46305675651558e-05	0	1.29618114019241e-05	1.08284574134662e-06	1.95074234202077e-06	1.08284574134662e-06	0.000141693247101489	2.04138093357191e-06	5.47201601089335e-06	1.89556800974534e-06	1.08284574134662e-06	2.97841375109196e-06	1.45812923826565e-07	0.0287569995037277	1.08284574134662e-06	1.08284574134662e-06	0.00718366342029741	0.308107516708149	0.0127808886683234	0	0.000149962505979892	0.000318169912452415	0.00797367378493738	0.000149962505979892	1.51350698949887e-07	0.300923853287851	1.51350698949887e-07	4.54052096849662e-06	0	0.000155541736823089
"R10"	0	0	0	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0	0	0
