"Nephrosperma_vanhoutteanum"	"Paragenipa_wrightii"	"Memecylon_eleagni"	"Mimusops_sechellarum"	"Soulamea_terminaloides"	"Apis_mellifera"	"Unidentified_sp2_M_PL_084"	"Rhiparida_seychellensis"	"Lasioglossum_mahense"	"Lygistorrhina_sp1_M_PL_084"	"Unidentified_sp1_M_PL_084"	"Scaptodrosophila_sp1_M_PL_084"	"Xylocopa_caffra"	"Geron_seychellarum"	"Phelsuma_sp1_M_PL_084"	"Polistes_olivaceus"	"Unidentified_sp3_M_PL_084"
"Nephrosperma_vanhoutteanum"	1.26697510311776	0.0180352327845944	0.0157808286865201	0.0173558233303802	0.0151863454140827	0.0853855552145641	0.0791859439448597	0.0791859439448598	0.0022544040980743	0.0791859439448597	0.0911180724844961	0.00433895583259505	0.00619961126970432	0.0791859439448597	0.0791859439448598	0.0022544040980743	0.0791859439448598
"Paragenipa_wrightii"	0.0360704655691888	1.22471274684084	0.0716236534857372	0.000494115966701216	0.000432351470863564	0.173249410824614	0.0022544040980743	0.0022544040980743	0.153089093355105	0.0022544040980743	0.00259410882518139	0.000123528991675304	0.17099500672654	0.0022544040980743	0.0022544040980743	0.153089093355105	0.0022544040980743
"Memecylon_eleagni"	0.0631233147460804	0.143247306971474	1.12534139360004	0.000864702941727128	0.000756615074011237	0.303186468943074	0.00394520717163002	0.00394520717163002	0.0179059133714343	0.00394520717163002	0.00453969044406742	0.000216175735431782	0.299241261771444	0.00394520717163002	0.00394520717163002	0.0179059133714343	0.00394520717163002
"Mimusops_sechellarum"	0.0694232933215209	0.000988231933402432	0.000864702941727128	1.2064304560729	0.0556266490637853	0.00467866055970214	0.00433895583259505	0.00433895583259505	0.000123528991675304	0.00433895583259505	0.333759894382712	0.301607614018224	0.000339704727107086	0.00433895583259505	0.00433895583259505	0.000123528991675304	0.00433895583259505
"Soulamea_terminaloides"	0.121490763312662	0.00172940588345426	0.00151323014802247	0.111253298127571	1.09734663586162	0.00818765597947874	0.00759317270704134	0.00759317270704134	0.000216175735431782	0.00759317270704134	0.584079815169746	0.0278133245318927	0.000594483272437401	0.00759317270704134	0.00759317270704134	0.000216175735431782	0.00759317270704134
"Apis_mellifera"	0.227694813905504	0.230999214432819	0.202124312628716	0.00311910703980143	0.00272921865982625	1.09363690583038	0.014230925869094	0.014230925869094	0.0288749018041023	0.014230925869094	0.0163753119589575	0.000779776759950357	0.0794059799612814	0.014230925869094	0.014230925869094	0.0288749018041023	0.014230925869094
"Unidentified_sp2_M_PL_084"	0.633487551558878	0.0090176163922972	0.00789041434326005	0.0086779116651901	0.00759317270704135	0.042692777607282	1.03959297197243	0.0395929719724299	0.00112720204903715	0.0395929719724299	0.0455590362422481	0.00216947791629753	0.00309980563485216	0.0395929719724299	0.0395929719724299	0.00112720204903715	0.0395929719724299
"Rhiparida_seychellensis"	0.633487551558878	0.0090176163922972	0.00789041434326005	0.00867791166519011	0.00759317270704135	0.042692777607282	0.0395929719724299	1.03959297197243	0.00112720204903715	0.0395929719724299	0.0455590362422481	0.00216947791629753	0.00309980563485216	0.0395929719724299	0.0395929719724299	0.00112720204903715	0.0395929719724299
"Lasioglossum_mahense"	0.0180352327845944	0.612356373420422	0.0358118267428686	0.000247057983350608	0.000216175735431782	0.086624705412307	0.00112720204903715	0.00112720204903715	1.07654454667755	0.00112720204903715	0.00129705441259069	6.1764495837652e-05	0.0854975033632698	0.00112720204903715	0.00112720204903715	0.0765445466775527	0.00112720204903715
"Lygistorrhina_sp1_M_PL_084"	0.633487551558878	0.0090176163922972	0.00789041434326005	0.00867791166519011	0.00759317270704134	0.042692777607282	0.0395929719724299	0.0395929719724299	0.00112720204903715	1.03959297197243	0.0455590362422481	0.00216947791629753	0.00309980563485216	0.0395929719724299	0.0395929719724299	0.00112720204903715	0.0395929719724299
"Unidentified_sp1_M_PL_084"	0.242981526625323	0.00345881176690851	0.00302646029604495	0.222506596255141	0.194693271723249	0.0163753119589575	0.0151863454140827	0.0151863454140827	0.000432351470863564	0.0151863454140827	1.16815963033949	0.0556266490637853	0.0011889665448748	0.0151863454140827	0.0151863454140827	0.000432351470863564	0.0151863454140827
"Scaptodrosophila_sp1_M_PL_084"	0.0347116466607604	0.000494115966701216	0.000432351470863564	0.603215228036449	0.0278133245318927	0.00233933027985107	0.00216947791629753	0.00216947791629753	6.1764495837652e-05	0.00216947791629753	0.166879947191356	1.15080380700911	0.000169852363553543	0.00216947791629753	0.00216947791629753	6.1764495837652e-05	0.00216947791629753
"Xylocopa_caffra"	0.0247984450788173	0.341990013453079	0.299241261771444	0.000339704727107086	0.0002972416362187	0.119108969941922	0.00154990281742608	0.00154990281742608	0.0427487516816349	0.00154990281742608	0.0017834498173122	8.49261817767715e-05	1.1175590671245	0.00154990281742608	0.00154990281742608	0.0427487516816349	0.00154990281742608
"Geron_seychellarum"	0.633487551558878	0.0090176163922972	0.00789041434326005	0.00867791166519011	0.00759317270704135	0.042692777607282	0.0395929719724299	0.0395929719724299	0.00112720204903715	0.0395929719724299	0.0455590362422481	0.00216947791629753	0.00309980563485216	1.03959297197243	0.0395929719724299	0.00112720204903715	0.0395929719724299
