"Crataegus_monogyna"	"Juniperus_communis"	"Juniperus_sabina"	"Rosa_canina"	"Berberis_vulgaris"	"Juniperus_phoenicea"	"Hedera_helix"	"Lonicera_arborea"	"Taxus_baccata"	"Prunus_prostrata"	"Rhamnus_myrtifolius"	"Rhamnus_saxatilis"	"Turdus_merula"	"Turdus_viscivorus"	"Turdus_iliacus"	"Turdus_torquatus"
"Crataegus_monogyna"	1.04520005490934	0.0452000549093435	0.0452000549093435	0.0452000549093435	0.0320106064680966	0.0319013480804142	0.0187118996391672	0.0214258499742262	0.0187118996391672	0.00823640153297923	0.00823640153297923	0.0132987068289294	0.181200833725543	0.167607969699007	0.159584481947152	0.158273381294964
"Juniperus_communis"	0.0452000549093435	1.04520005490934	0.0452000549093435	0.0452000549093435	0.0320106064680966	0.0319013480804142	0.0187118996391672	0.0214258499742262	0.0187118996391672	0.00823640153297923	0.00823640153297923	0.0132987068289294	0.181200833725543	0.167607969699007	0.159584481947152	0.158273381294964
"Juniperus_sabina"	0.0452000549093435	0.0452000549093435	1.04520005490934	0.0452000549093435	0.0320106064680966	0.0319013480804142	0.0187118996391672	0.0214258499742262	0.0187118996391672	0.00823640153297923	0.00823640153297923	0.0132987068289294	0.181200833725543	0.167607969699007	0.159584481947152	0.158273381294964
"Rosa_canina"	0.0452000549093435	0.0452000549093435	0.0452000549093435	1.04520005490934	0.0320106064680966	0.0319013480804142	0.0187118996391672	0.0214258499742262	0.0187118996391672	0.00823640153297923	0.00823640153297923	0.0132987068289294	0.181200833725543	0.167607969699007	0.159584481947152	0.158273381294964
"Berberis_vulgaris"	0.0426808086241287	0.0426808086241287	0.0426808086241287	0.0426808086241287	1.04028272708936	0.0257485600304803	0.0233504784957081	0.0125805897338204	0.0233504784957081	0.0101825081990482	0.0101825081990482	0.0169322485936484	0.224015180379061	0.210687524746558	0.203186983123781	0.0287769784172662
"Juniperus_phoenicea"	0.0425351307738856	0.0425351307738856	0.0425351307738856	0.0425351307738856	0.0257485600304803	1.0403126097253	0.0235260389818986	0.0271433943188129	0.0235260389818986	0.0103568235754076	0.0103568235754076	0.00222252104858169	0.227850118658967	0.210707446503856	0.0266702525829803	0.201438848920863
"Hedera_helix"	0.0374237992783343	0.0374237992783343	0.0374237992783343	0.0374237992783343	0.0350257177435622	0.0352890584728479	1.03289097693808	0.0167342761304975	0.0328909769380757	0.0143361945957253	0.0143361945957253	0.00213474080548645	0.315396281105956	0.296876517477607	0.0256168896658374	0.0287769784172662
"Lonicera_arborea"	0.0428516999484524	0.0428516999484524	0.0428516999484524	0.0428516999484524	0.0188708846007306	0.0407150914782193	0.0167342761304975	1.03823234247493	0.0167342761304975	0.0142515271272079	0.0142515271272079	0.00213660847023316	0.313533596798574	0.0397239840526333	0.0256393016427979	0.287769784172662
"Taxus_baccata"	0.0374237992783343	0.0374237992783343	0.0374237992783343	0.0374237992783343	0.0350257177435622	0.0352890584728479	0.0328909769380757	0.0167342761304975	1.03289097693808	0.0143361945957253	0.0143361945957253	0.00213474080548645	0.315396281105956	0.296876517477607	0.0256168896658374	0.0287769784172662
"Prunus_prostrata"	0.0329456061319169	0.0329456061319169	0.0329456061319169	0.0329456061319169	0.0305475245971447	0.0310704707262228	0.0286723891914506	0.0285030542544158	0.0286723891914506	1.02610497271964	0.0261049727196436	0.00187513540569414	0.574309399832159	0.0410786635489117	0.0225016248683296	0.0287769784172662
"Rhamnus_myrtifolius"	0.0329456061319169	0.0329456061319169	0.0329456061319169	0.0329456061319169	0.0305475245971447	0.0310704707262228	0.0286723891914506	0.0285030542544158	0.0286723891914506	0.0261049727196436	1.02610497271964	0.00187513540569414	0.574309399832159	0.0410786635489117	0.0225016248683296	0.0287769784172662
"Rhamnus_saxatilis"	0.0531948273157175	0.0531948273157175	0.0531948273157175	0.0531948273157175	0.0507967457809453	0.00666756314574508	0.0042694816109729	0.00427321694046632	0.0042694816109729	0.00187513540569414	0.00187513540569414	1.04652726416997	0.041252978925271	0.0383095392844603	0.558327170039669	0.0287769784172662
"Turdus_merula"	0.0658912122638338	0.0658912122638338	0.0658912122638338	0.0658912122638338	0.0610950491942894	0.0621409414524455	0.0573447783829012	0.0570061085088316	0.0573447783829012	0.0522099454392872	0.0522099454392872	0.00375027081138827	1.14861879966432	0.0821573270978233	0.0450032497366593	0.0575539568345324
"Turdus_viscivorus"	0.0838039848495036	0.0838039848495036	0.0838039848495036	0.0838039848495036	0.0790078217799592	0.079015292438946	0.0742191293694017	0.00993099601315832	0.0742191293694017	0.00513483294361396	0.00513483294361396	0.00478869241055753	0.112966324759507	1.1053487428126	0.0574643089266904	0.0575539568345323
"Turdus_iliacus"	0.106389654631435	0.106389654631435	0.106389654631435	0.106389654631435	0.101593491561891	0.0133351262914902	0.00853896322194581	0.00854643388093263	0.00853896322194581	0.00375027081138827	0.00375027081138827	0.0930545283399448	0.082505957850542	0.0766190785689205	1.11665434007934	0.0575539568345323
"Turdus_torquatus"	0.105515587529976	0.105515587529976	0.105515587529976	0.105515587529976	0.0143884892086331	0.100719424460432	0.00959232613908873	0.0959232613908873	0.00959232613908873	0.00479616306954436	0.00479616306954436	0.00479616306954436	0.105515587529976	0.0767386091127098	0.0575539568345323	1.09352517985611
