"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"
"R1"	1.11111111111111	0.111111111111111	0	0	0	0	0.111111111111111	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0
"R2"	0.111111111111111	1.11111111111111	0	0	0	0	0.111111111111111	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0
"R3"	0	0	1.16666666666667	0	0	0.166666666666667	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0
"R4"	0	0	0	1.06402580709838	0.0498927687851545	0	0	0.0498927687851545	0.0662482441410702	0.0662482441410702	0.0370255003824998	0.111076501147499	0.111076501147499	0	0	0.111076501147499	0.0177794963414881	0.0981328521354944	0.106448313599687	0.111076501147499
"R5"	0	0	0	0.0498927687851544	1.06050382559443	0	0	0.0605038255944261	0.0626893851241603	0.0626893851241603	0.0370541431110061	0.111162429333018	0.111162429333018	0	0	0.111162429333018	0.102372930712046	0.0131133571784048	0.106530661444142	0.111162429333018
"R6"	0	0	0.166666666666667	0	0	1.16666666666667	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0
"R7"	0.111111111111111	0.111111111111111	0	0	0	0	1.11111111111111	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0
"R8"	0	0	0	0.0498927687851544	0.0605038255944261	0	0	1.06050382559443	0.0626893851241603	0.0626893851241603	0.0370541431110061	0.111162429333018	0.111162429333018	0	0	0.111162429333018	0.102372930712046	0.0131133571784048	0.106530661444142	0.111162429333018
"R9"	0	0	0	0.0567842092637744	0.0537337586778516	0	0	0.0537337586778516	1.06804736552537	0.0680473655253733	0.032986875663109	0.098960626989327	0.0989606269893269	0	0	0.098960626989327	0.0901052500927905	0.0858816410851297	0.0948372675314384	0.098960626989327
"R10"	0	0	0	0.0567842092637744	0.0537337586778516	0	0	0.0537337586778516	0.0680473655253733	1.06804736552537	0.032986875663109	0.098960626989327	0.0989606269893269	0	0	0.098960626989327	0.0901052500927905	0.0858816410851297	0.0948372675314384	0.098960626989327
"R11"	0	0	0	0.0555382505737496	0.0555812146665091	0	0	0.0555812146665091	0.0577270324104407	0.0577270324104407	1.05117858860568	0.153535765817052	0.153535765817052	0	0	0.153535765817052	0.0175102546935288	0.0128749064635897	0.0221384422413412	0.153535765817052
"C1"	0	0	0	0.111076501147499	0.111162429333018	0	0	0.111162429333018	0.115454064820881	0.115454064820881	0.102357177211368	1.0570715316341	0.0570715316341034	0	0	0.0570715316341034	0.0350205093870575	0.0257498129271794	0.0442768844826825	0.0570715316341034
"C2"	0	0	0	0.111076501147499	0.111162429333018	0	0	0.111162429333018	0.115454064820881	0.115454064820881	0.102357177211368	0.0570715316341034	1.0570715316341	0	0	0.0570715316341034	0.0350205093870575	0.0257498129271794	0.0442768844826825	0.0570715316341034
"C3"	0	0	0.333333333333333	0	0	0.333333333333333	0	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0
"C4"	0.222222222222222	0.222222222222222	0	0	0	0	0.222222222222222	0	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0
"C5"	0	0	0	0.111076501147499	0.111162429333018	0	0	0.111162429333018	0.115454064820881	0.115454064820881	0.102357177211368	0.0570715316341034	0.0570715316341034	0	0	1.0570715316341	0.0350205093870575	0.0257498129271794	0.0442768844826825	0.0570715316341034
"C6"	0	0	0	0.0266692445122322	0.153559396068069	0	0	0.153559396068069	0.157684187662383	0.157684187662383	0.0175102546935288	0.0525307640805863	0.0525307640805863	0	0	0.0525307640805863	1.04811954520121	0.0247487495658836	0.0503419822438952	0.0525307640805863
"C7"	0	0	0	0.196265704270989	0.0262267143568096	0	0	0.0262267143568096	0.200390495865303	0.200390495865303	0.017166541951453	0.0514996258543589	0.0514996258543589	0	0	0.0514996258543589	0.0329983327545115	1.04498268905096	0.0493538081104272	0.0514996258543589
"C8"	0	0	0	0.127737976319624	0.127836793732971	0	0	0.127836793732971	0.132772174544014	0.132772174544014	0.017710753793073	0.053132261379219	0.053132261379219	0	0	0.053132261379219	0.0402735857951162	0.0296122848662563	1.05091841715508	0.053132261379219
"C9"	0	0	0	0.111076501147499	0.111162429333018	0	0	0.111162429333018	0.115454064820881	0.115454064820881	0.102357177211368	0.0570715316341034	0.0570715316341034	0	0	0.0570715316341034	0.0350205093870575	0.0257498129271794	0.0442768844826825	1.0570715316341
