"Buffalo"	"Bushbuck"	"Bushpig"	"common_duiker"	"Giraffe"	"Hippo"	"Impala"	"Klipspringer"	"Kudu"	"Nyala"	"Reedbuck"	"Steenbok"	"Tsessebe"	"Warthog"	"Waterbuck"	"White_Rhino"	"Wildebeest"	"Zebra"	"Lion"	"Leopard"	"Cheetah"	"wild_dog"
"Buffalo"	1.01990586480812	0.0228347088295229	0.00973842890305493	0.0228347088295229	0.019905864808117	0.00973842890305493	0.0228347088295229	0.0101674359050621	0.0228347088295229	0.0228347088295229	0.0116691106246228	0.0228347088295229	0.019905864808117	0.0214075395276777	0.0228347088295229	0.00973842890305493	0.0214075395276777	0.019905864808117	0.311629724897758	0.305023077151862	0.0300334943912141	0.0199803702258325
"Bushbuck"	0.0114173544147614	1.0303161085477	0.0055554604209496	0.0303161085476984	0.0114173544147614	0.0055554604209496	0.0303161085476984	0.00586189399381184	0.0303161085476984	0.0303161085476984	0.0139373199139462	0.0303161085476984	0.0114173544147614	0.0194927803348958	0.0303161085476984	0.0055554604209496	0.0194927803348958	0.0114173544147614	0.177774733470387	0.175856819814355	0.161508518402688	0.151526594979236
"Bushpig"	0.0194768578061099	0.0222218416837984	1.01789722278051	0.0222218416837984	0.0194768578061099	0.0178972227805121	0.0222218416837984	0.00157963502559772	0.0222218416837984	0.0222218416837984	0.00293575379804886	0.0222218416837984	0.0194768578061099	0.020832976578561	0.0222218416837984	0.0178972227805121	0.020832976578561	0.0194768578061099	0.572711128976389	0.0473890507679315	0.0271223754490228	0.0194441114733236
"common_duiker"	0.0114173544147614	0.0303161085476984	0.0055554604209496	1.0303161085477	0.0114173544147614	0.0055554604209496	0.0303161085476984	0.00586189399381184	0.0303161085476984	0.0303161085476984	0.0139373199139462	0.0303161085476984	0.0114173544147614	0.0194927803348958	0.0303161085476984	0.0055554604209496	0.0194927803348958	0.0114173544147614	0.177774733470387	0.175856819814355	0.161508518402688	0.151526594979236
"Giraffe"	0.019905864808117	0.0228347088295229	0.00973842890305493	0.0228347088295229	1.01990586480812	0.00973842890305493	0.0228347088295229	0.0101674359050621	0.0228347088295229	0.0228347088295229	0.0116691106246228	0.0228347088295229	0.019905864808117	0.0214075395276777	0.0228347088295229	0.00973842890305493	0.0214075395276777	0.019905864808117	0.311629724897758	0.305023077151862	0.0300334943912141	0.0199803702258325
"Hippo"	0.0194768578061099	0.0222218416837984	0.0178972227805121	0.0222218416837984	0.0194768578061099	1.01789722278051	0.0222218416837984	0.00157963502559772	0.0222218416837984	0.0222218416837984	0.00293575379804886	0.0222218416837984	0.0194768578061099	0.020832976578561	0.0222218416837984	0.0178972227805121	0.020832976578561	0.0194768578061099	0.572711128976389	0.0473890507679315	0.0271223754490228	0.0194441114733236
"Impala"	0.0114173544147614	0.0303161085476984	0.0055554604209496	0.0303161085476984	0.0114173544147614	0.0055554604209496	1.0303161085477	0.00586189399381184	0.0303161085476984	0.0303161085476984	0.0139373199139462	0.0303161085476984	0.0114173544147614	0.0194927803348958	0.0303161085476984	0.0055554604209496	0.0194927803348958	0.0114173544147614	0.177774733470387	0.175856819814355	0.161508518402688	0.151526594979236
"Klipspringer"	0.0203348718101241	0.0234475759752474	0.00157963502559772	0.0234475759752474	0.0203348718101241	0.00157963502559772	0.0234475759752474	1.01875523678453	0.0234475759752474	0.0234475759752474	0.0204024674511967	0.0234475759752474	0.0203348718101241	0.0219821024767944	0.0234475759752474	0.00157963502559772	0.0219821024767944	0.0203348718101241	0.050548320819127	0.562657103535793	0.0329446133334054	0.0205166289783414
"Kudu"	0.0114173544147614	0.0303161085476984	0.0055554604209496	0.0303161085476984	0.0114173544147614	0.0055554604209496	0.0303161085476984	0.00586189399381184	1.0303161085477	0.0303161085476984	0.0139373199139462	0.0303161085476984	0.0114173544147614	0.0194927803348958	0.0303161085476984	0.0055554604209496	0.0194927803348958	0.0114173544147614	0.177774733470387	0.175856819814355	0.161508518402688	0.151526594979236
"Nyala"	0.0114173544147614	0.0303161085476984	0.0055554604209496	0.0303161085476984	0.0114173544147614	0.0055554604209496	0.0303161085476984	0.00586189399381184	0.0303161085476984	1.0303161085477	0.0139373199139462	0.0303161085476984	0.0114173544147614	0.0194927803348958	0.0303161085476984	0.0055554604209496	0.0194927803348958	0.0114173544147614	0.177774733470387	0.175856819814355	0.161508518402688	0.151526594979236
"Reedbuck"	0.0116691106246228	0.0278746398278925	0.00146787689902443	0.0278746398278925	0.0116691106246228	0.00146787689902443	0.0278746398278925	0.0102012337255983	0.0278746398278925	0.0278746398278925	1.02466459793962	0.0278746398278925	0.0116691106246228	0.0261324748386492	0.0278746398278925	0.00146787689902443	0.0261324748386492	0.0116691106246228	0.0469720607687817	0.30603701176795	0.289267284280528	0.0243903098494059
"Steenbok"	0.0114173544147614	0.0303161085476984	0.0055554604209496	0.0303161085476984	0.0114173544147614	0.0055554604209496	0.0303161085476984	0.00586189399381184	0.0303161085476984	0.0303161085476984	0.0139373199139462	1.0303161085477	0.0114173544147614	0.0194927803348958	0.0303161085476984	0.0055554604209496	0.0194927803348958	0.0114173544147614	0.177774733470387	0.175856819814355	0.161508518402688	0.151526594979236
"Tsessebe"	0.019905864808117	0.0228347088295229	0.00973842890305493	0.0228347088295229	0.019905864808117	0.00973842890305493	0.0228347088295229	0.0101674359050621	0.0228347088295229	0.0228347088295229	0.0116691106246228	0.0228347088295229	1.01990586480812	0.0214075395276777	0.0228347088295229	0.00973842890305493	0.0214075395276777	0.019905864808117	0.311629724897758	0.305023077151862	0.0300334943912141	0.0199803702258325
"Warthog"	0.0142716930184518	0.0259903737798611	0.006944325526187	0.0259903737798611	0.0142716930184518	0.006944325526187	0.0259903737798611	0.0073273674922648	0.0259903737798611	0.0259903737798611	0.0174216498924328	0.0259903737798611	0.0142716930184518	1.02436597541862	0.0259903737798611	0.006944325526187	0.0243659754186198	0.0142716930184518	0.222218416837984	0.219821024767944	0.20188564800336	0.0227415770573785
"Waterbuck"	0.0114173544147614	0.0303161085476984	0.0055554604209496	0.0303161085476984	0.0114173544147614	0.0055554604209496	0.0303161085476984	0.00586189399381184	0.0303161085476984	0.0303161085476984	0.0139373199139462	0.0303161085476984	0.0114173544147614	0.0194927803348958	1.0303161085477	0.0055554604209496	0.0194927803348958	0.0114173544147614	0.177774733470387	0.175856819814355	0.161508518402688	0.151526594979236
"White_Rhino"	0.0194768578061099	0.0222218416837984	0.0178972227805121	0.0222218416837984	0.0194768578061099	0.0178972227805121	0.0222218416837984	0.00157963502559772	0.0222218416837984	0.0222218416837984	0.00293575379804886	0.0222218416837984	0.0194768578061099	0.020832976578561	0.0222218416837984	1.01789722278051	0.020832976578561	0.0194768578061099	0.572711128976389	0.0473890507679315	0.0271223754490228	0.0194441114733236
"Wildebeest"	0.0142716930184518	0.0259903737798611	0.006944325526187	0.0259903737798611	0.0142716930184518	0.006944325526187	0.0259903737798611	0.0073273674922648	0.0259903737798611	0.0259903737798611	0.0174216498924328	0.0259903737798611	0.0142716930184518	0.0243659754186198	0.0259903737798611	0.006944325526187	1.02436597541862	0.0142716930184518	0.222218416837984	0.219821024767944	0.20188564800336	0.0227415770573785
"Zebra"	0.019905864808117	0.0228347088295229	0.00973842890305493	0.0228347088295229	0.019905864808117	0.00973842890305493	0.0228347088295229	0.0101674359050621	0.0228347088295229	0.0228347088295229	0.0116691106246228	0.0228347088295229	0.019905864808117	0.0214075395276777	0.0228347088295229	0.00973842890305493	0.0214075395276777	1.01990586480812	0.311629724897758	0.305023077151862	0.0300334943912141	0.0199803702258325
