"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"R12"	"R13"	"R14"	"R15"	"R16"	"R17"	"R18"	"R19"	"R20"	"R21"	"R22"	"R23"	"R24"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"	"C10"	"C11"	"C12"	"C13"	"C14"	"C15"	"C16"	"C17"	"C18"	"C19"	"C20"	"C21"	"C22"	"C23"	"C24"	"C25"	"C26"
"R1"	1.01139193323109	0.0120251247288212	0.0120251247288212	0.00731444456609863	0.0126116212043215	0.0128656488463358	0.013583955886372	0.0133922438954128	0.0136408922618977	0.0135914093731772	0.0131054529016815	0.0138522301209376	0.013887695737854	0.0140884741431139	0.014106257762952	0.0143351173946868	0.0145057751655739	0.0150540184325966	0.0159534659775063	0.0161426159412423	0.01631067302004	0.0164737040746806	0.0164395718018495	0.0166358821362681	0.000648712246349838	0.000978186327843451	0.00166891844926622	0.001680570787977	0.00203149722148227	0.00247426246949982	0.00251502306033474	0.00295778830835228	0.00254346569986394	0.00266441276650036	0.00314096535069696	0.00346975678673395	0.00361401129467949	0.00437124050196066	0.00740410427868815	0.00315346026381842	0.00834626392833547	0.00762082926043067	0.00795674772751477	0.00903632624476256	0.0111826731069305	0.0135049045043882	0.0135049045043882	0.0150080450954909	0.267333568077114	0.267856028403264
"R2"	0.0060125623644106	1.01221584240478	0.00936683955577887	0.010286760833616	0.0128137248575557	0.01307200453984	0.0138148305690548	0.0136134495524242	0.01387267238767	0.0138224127909569	0.0133167906147678	0.0140876167386762	0.0141236225794904	0.0143277740720512	0.0143458964209605	0.014566142979676	0.0147461006638692	0.0153096591083232	0.0162242936773906	0.0164166087291257	0.0165875184691631	0.0167533168277831	0.0167186448143933	0.0169182477815742	0.000659723815164292	0.000994790151719954	0.0016972462516201	0.00170909740037427	0.00206598019883353	0.0025162642902548	0.00255751688762917	0.00300780097905044	0.00258619959096481	0.00270900233254703	0.00319364747489386	0.00352802037118173	0.00367472686609592	0.00444547682940371	0.00752850575461138	0.00320700581870754	0.00848652632701659	0.0077483904685307	0.00829513072786592	0.00939219620540572	0.0115731778876945	0.0135763322455899	0.138932457601715	0.140103312546188	0.140871684506318	0.14160645313729
"R3"	0.0060125623644106	0.00936683955577887	1.01221584240478	0.010286760833616	0.0128137248575557	0.01307200453984	0.0138148305690548	0.0136134495524242	0.01387267238767	0.0138224127909569	0.0133167906147678	0.0140876167386762	0.0141236225794904	0.0143277740720512	0.0143458964209605	0.014566142979676	0.0147461006638692	0.0153096591083232	0.0162242936773906	0.0164166087291257	0.0165875184691631	0.0167533168277831	0.0167186448143933	0.0169182477815742	0.000659723815164292	0.000994790151719954	0.0016972462516201	0.00170909740037427	0.00206598019883353	0.0025162642902548	0.00255751688762917	0.00300780097905044	0.00258619959096481	0.00270900233254703	0.00319364747489386	0.00352802037118173	0.00367472686609592	0.00444547682940371	0.00752850575461138	0.00320700581870754	0.00848652632701659	0.0077483904685307	0.00829513072786592	0.00939219620540572	0.0115731778876945	0.138932457601715	0.0135763322455899	0.140103312546188	0.140871684506318	0.14160645313729
"R4"	0.00208984130459961	0.00587814904778056	0.00587814904778056	1.01452091434865	0.0098919618928121	0.0101552315081999	0.0153147066477744	0.0128335087360075	0.0153569010168075	0.0153238357619815	0.010745801910828	0.0156003123570467	0.0156181945680991	0.0158306444417174	0.0158635819724345	0.0117040255718391	0.0141575039803322	0.0168945585830016	0.0178732367707925	0.0180689158595323	0.0182570925904072	0.0184396261381583	0.0184154109476592	0.0186212283290941	0.000726408763743457	0.00109520128650662	0.00186835990082559	0.00188176730874903	0.00227456982743451	0.0027714686092875	0.00274648662677892	0.0032433854086319	0.00269257074071448	0.00275827761344996	0.00329307810295869	0.00366138632191187	0.00382409772513044	0.00490774808670983	0.0078388065387461	0.00353720394167622	0.00884725104208769	0.00789808846163528	0.0807485529856005	0.0816612215132388	0.0834292304433279	0.0848356116937272	0.0848356116937272	0.0855703803246997	0.0136270610545177	0.0860928406508497
"R5"	0.00420387373477382	0.00854248323837045	0.00854248323837045	0.0115406222082808	1.01312960053853	0.0133941262275832	0.0141513033617962	0.0139428290317631	0.0142105575723019	0.0141587885727257	0.0115494810459139	0.0144263087890631	0.0144632056116583	0.0146722761104984	0.0146908344781148	0.0149158386305363	0.0151064846652108	0.015677820199906	0.0166144726943957	0.0168114249973366	0.016986445034238	0.0171562307751249	0.0171207143442598	0.0173251282325798	0.000675589829819422	0.00101871444532192	0.00173806447768021	0.0017502003690139	0.00211566612982557	0.00257677848864633	0.00261921561866592	0.00308032797748669	0.00264837465234472	0.00277432248903972	0.00327062221312065	0.00361303650000584	0.00376326897912251	0.00455257732913118	0.0075794411806913	0.00328434365673614	0.00856064692279529	0.00793577067155267	0.00856731329724178	0.00956020798664677	0.0952588134461512	0.0970484664163171	0.0970484664163171	0.0981162768211133	0.0983429150970725	0.0991672452548069
"R6"	0.00367589967038166	0.00746971687990859	0.00746971687990859	0.0101552315081999	0.0114806796236427	1.01413993558162	0.0125031684286018	0.014688004929799	0.0149542046155901	0.012506316568832	0.0102004405388634	0.0127766953086814	0.0152081714038276	0.015427986466071	0.0154359512666566	0.0157171979860356	0.0159131120877665	0.0164656945047327	0.0174499269576897	0.0176570278117064	0.0178408502468243	0.0180191753671572	0.0179816615300176	0.0181965671708209	0.000709567214654599	0.00106995072199774	0.00182548353282919	0.00183822435117832	0.00222207278186759	0.00270635791435973	0.0027525098514598	0.00323679498395194	0.00278340128136886	0.00291724910192268	0.00343849025285287	0.00379812348345322	0.0039566711203807	0.00455559725657936	0.00761900364712724	0.00333151633578982	0.00865211967518073	0.079777678739255	0.00851838994531374	0.00944148068327821	0.0832910088479214	0.084862250991589	0.084862250991589	0.0857959656015775	0.0859895668400157	0.0867149405191729
"R7"	0.0027167911772744	0.00552593222762194	0.00552593222762194	0.0107202946534421	0.0084907820170777	0.00875221790002124	1.01731686134485	0.012360507142507	0.0142050032423981	0.0126093096960812	0.0108218223202521	0.014453430900213	0.0144644957949032	0.0146862998247816	0.0147148667831565	0.01193824927049	0.0121566188623397	0.0189687358235309	0.0200373739027416	0.0202447839963783	0.0204556692668188	0.0206602189445833	0.0206433936477383	0.0208637423665071	0.000814093687695287	0.00122729806658695	0.00209356184290028	0.00210885270440496	0.00254895670432622	0.00310686069913595	0.00295417733307088	0.00351208132788061	0.00297532274970087	0.00292514851701958	0.00352557950030049	0.00393844737325526	0.00399247253781143	0.00500741976506607	0.00778477657515354	0.0539727037663786	0.0590118785322178	0.00784307648830624	0.0590238751965145	0.0599817133040359	0.0614696596726593	0.0628367650961279	0.0628367650961279	0.0635275066245806	0.0634409690865105	0.0642067044188992
"R8"	0.00297605419898063	0.00605042202329963	0.00605042202329963	0.00998161790578361	0.00929521935450873	0.0114240038342881	0.0137338968250078	1.01537008275669	0.0156434321216178	0.0119912752895487	0.0118204803216171	0.014012202591098	0.0159044713068031	0.016124186316325	0.0161409870708774	0.0147575403539467	0.0132076089261485	0.0171894363751306	0.0181936168340628	0.0183972286647667	0.0185888067325453	0.0187746438290744	0.0187461714231909	0.0189595262547227	0.0007395297025931	0.00111502257917459	0.0019022291396845	0.00191578067778586	0.00231572043136774	0.00282129208945982	0.00275597406223936	0.00326154572033144	0.0028427754440087	0.00286953778319707	0.00341367730450858	0.00378860073297239	0.00395487017139386	0.00473031528148584	0.00783117555555862	0.00350798693071021	0.0646696736495792	0.0638635343933817	0.00874717967770386	0.0654551551089716	0.0672742856191366	0.0687693683921501	0.0687693683921501	0.0695256711450625	0.0695567119872517	0.0702696846948078
"R9"	0.00272817845237954	0.005549068955068	0.005549068955068	0.0107498307117653	0.00852633454338114	0.010467943230913	0.0142050032423981	0.014079088909456	1.01592283876834	0.0126400733969195	0.0108573395001132	0.0144865289291178	0.0161858821959055	0.0164074119990613	0.0164281376166497	0.0136349017086356	0.0138385750019441	0.0174920732230132	0.0185090430177889	0.0187136040604299	0.0189084870806194	0.0190975276338076	0.019070791375138	0.0192856008254209	0.000752292766453161	0.00113424331912931	0.00193498761288345	0.001948830201895	0.00235564768146956	0.00287012042332289	0.00281693351486769	0.00333140625672102	0.00284260845677797	0.00288323422159	0.00343695120452668	0.00381836703202944	0.00398753645680366	0.00484510841488311	0.00789130282696998	0.00358037058544279	0.0590865770303437	0.0582482606259572	0.0589999954842818	0.0599994649757216	0.0617273659750657	0.0630995833132063	0.0630995833132063	0.0637932169325897	0.0637074164948442	0.0644752615456847
"R10"	0.00271828187463543	0.00552896511638277	0.00552896511638277	0.010726685033387	0.00849527314363544	0.00875442159818243	0.0126093096960812	0.0107921477605938	0.0126400733969195	1.01681542191066	0.0109362056392514	0.017089753966514	0.0145806954409232	0.014802325844411	0.017348902421061	0.0120452933434859	0.0138389206916698	0.0184481719611251	0.0194999474093628	0.0197077152823061	0.0199129821511528	0.0201120878629379	0.0200906006809706	0.020310185991301	0.000792392513452123	0.00119463427071088	0.00203791665862018	0.00205266868846663	0.00248109728156024	0.00302369057453451	0.00294239463794923	0.0034849879309235	0.00291128632954188	0.00292940306299081	0.00351336496528573	0.00391517697890514	0.00398934726278133	0.0553641396027563	0.0582186613201089	0.00365415605933857	0.0087786257873144	0.00777445363640981	0.0591336203624232	0.0599553996229649	0.0614966284319602	0.0628712619239613	0.0628712619239613	0.063562382563509	0.0634757612440688	0.064241953032168
