"Phoenicophorium_borsigianum"	"Erythroxylum_sechellarum"	"Canthium_bibracteatum"	"Cinnamomum_verum"	"Roscheria_melanochaetes"	"Colea_seychellarum"	"Lasioglossum_mahense"	"Rhiparida_seychellensis"	"Apis_mellifera"	"Unidentified_sp3_M_PL_094"	"Unidentified_sp4_M_PL_094"	"Hemipyrellia_germana"	"Ornidia_obesa"	"Unidentified_sp1_M_PL_094"	"Leptotes_pirithous"	"Nectarinia_dussumieri"	"Parasarcophaga_hirticeps"	"Unidentified_sp2_M_PL_094"
"Phoenicophorium_borsigianum"	1.22850643851153	0.0315001650900392	0.0225508065475625	0.0215257698863096	0.0292501532978935	0	0.110250577815137	0.102375536542627	0.108782015675458	0.102375536542627	0.117000613191574	0.00281885081844531	0.00640647913283025	0.0078750412725098	0.00358762831438494	0	0.00281885081844531	0.102375536542627
"Erythroxylum_sechellarum"	0.0945004952701176	1.23319232039154	0.00173467742673558	0.00165582845279305	0.00225001179214566	0	0.316173121370395	0.0078750412725098	0.00836784735965059	0.0078750412725098	0.00900004716858263	0.000216834678341947	0.000492806087140788	0.308298080097885	0.000275971408798841	0	0.000216834678341947	0.0078750412725098
"Canthium_bibracteatum"	0.0338262098213437	0.000867338713367788	1.22214783197002	0.0756865668804741	0.000805385948127231	0	0.00303568549678726	0.00281885081844531	0.16820175762811	0.00281885081844531	0.00322154379250892	0.152768478996253	0.165382906809665	0.000216834678341947	0.0126144278134123	0	0.152768478996253	0.00281885081844531
"Cinnamomum_verum"	0.0430515397726193	0.00110388563519537	0.100915422507299	1.18723744875697	0.00102503666125284	0	0.00386359972318378	0.00358762831438494	0.214074964253958	0.00358762831438494	0.00410014664501136	0.0126144278134124	0.210487335939573	0.000275971408798842	0.197872908126161	0	0.0126144278134123	0.00358762831438494
"Roscheria_melanochaetes"	0.175500919787361	0.00450002358429131	0.00322154379250893	0.00307510998375852	1.14703573618541	0	0.0157500825450196	0.0146250766489468	0.0155402879536368	0.0146250766489468	0.588142944741653	0.000402692974063616	0.000915211304690035	0.00112500589607283	0.00051251833062642	0	0.000402692974063616	0.0146250766489468
"Colea_seychellarum"	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0
"Lasioglossum_mahense"	0.330751733445412	0.316173121370395	0.00607137099357451	0.00579539958477567	0.0078750412725098	0	1.10660592479638	0.0275626444537843	0.0292874657587771	0.0275626444537843	0.0315001650900392	0.000758921374196814	0.00172482130499276	0.0790432803425988	0.000965899930795945	0	0.000758921374196814	0.0275626444537843
"Rhiparida_seychellensis"	0.614253219255764	0.0157500825450196	0.0112754032737812	0.0107628849431548	0.0146250766489468	0	0.0551252889075686	1.05118776827131	0.0543910078377288	0.0511877682713137	0.0585003065957871	0.00140942540922265	0.00320323956641512	0.0039375206362549	0.00179381415719247	0	0.00140942540922265	0.0511877682713137
"Apis_mellifera"	0.217564031350915	0.00557856490643372	0.224269010170814	0.214074964253958	0.0051800959845456	0	0.019524977172518	0.0181303359459096	1.08184312292625	0.0181303359459096	0.0207203839381824	0.0280336262713517	0.0637127869803448	0.00139464122660843	0.0356791607089931	0	0.0280336262713517	0.0181303359459096
"Unidentified_sp3_M_PL_094"	0.614253219255764	0.0157500825450196	0.0112754032737812	0.0107628849431548	0.0146250766489468	0	0.0551252889075686	0.0511877682713137	0.0543910078377288	1.05118776827131	0.0585003065957871	0.00140942540922265	0.00320323956641512	0.0039375206362549	0.00179381415719247	0	0.00140942540922265	0.0511877682713137
