"Dendropanax_arboreus"	"Dendropanax_sp1_M_PL_040"	"Unidentified_sp21_M_PL_040"	"Unidentified_sp14_M_PL_040"	"Portlandia_grandiflora"	"Unidentified_sp23_M_PL_040"	"Miconia_sp1_M_PL_040"	"Spermacoce_assurgens"	"Unidentified_sp13_M_PL_040"	"Unidentified_sp15_M_PL_040"	"Aechmea_paniculigera"	"Impatiens_walleriana"	"Petiveria_sp1_M_PL_040"	"Blakea_trinervia"	"Unidentified_sp19_M_PL_040"	"Byrsonima_sp1_M_PL_040"	"Pilea_sp1_M_PL_040"	"Unidentified_sp16_M_PL_040"	"Unidentified_sp18_M_PL_040"	"Unidentified_sp20_M_PL_040"	"Wallenia_laurifolia"	"Passiflora_sp1_M_PL_040"	"Unidentified_sp17_M_PL_040"	"Guarea_swartzii"	"Psidium_montanum"	"Unidentified_sp22_M_PL_040"	"Nectandra_coriacea"	"Pilea_sp2_M_PL_040"	"Tradescantia_zebrina"	"Wasmannia_auropunctata"	"Apis_mellifera"	"Crematogaster_steinheili"	"Unidentified_sp4_M_PL_040"	"Camponotus_hannani"	"Sphex_jamaicensis"	"Euglossa_jamaicensis"	"Dryas_iulia_delila"	"Heliconius_charitonius_simulator"	"Xylocopa_sp1_M_PL_040"	"Centris_sp2_M_PL_040"	"Unidentified_sp3_M_PL_040"	"Unidentified_sp1_M_PL_040"	"Trochilus_polytmus_polytmus"	"Centris_sp1_M_PL_040"	"Mellisuga_minima"	"Aguna_asander_jasper"	"Anolis_grahami"	"Camponotus_subdepilis"	"Papilio_thersites"	"Unidentified_sp7_M_PL_040"	"Eurytides_marcellinus"	"Conotelus_obscurus"	"Marpesia_chiron"	"Agapostemon_sp1_M_PL_040"	"Unidentified_sp2_M_PL_040"	"Coereba_flaveola"	"Adelpha_abyla"	"Paraphrissopoda_chrysostoma"	"Unidentified_sp11_M_PL_040"	"Nesopsar_nigerrimus"	"Unidentified_sp12_M_PL_040"	"Atlantea_pantoni"	"Dione_vanillae_insularis"	"Euneornis_campestris"	"Polistes_sp1_M_PL_040"	"Unidentified_sp5_M_PL_040"	"Unidentified_sp6_M_PL_040"	"Anolis_sagrei"	"Diptera_sp1_M_PL_040"	"Paragymnetis_lanius"	"Unidentified_sp8_M_PL_040"	"Unidentified_sp9_M_PL_040"
"Dendropanax_arboreus"	1.1717888956536	0.0686115524500397	0.000181419955358996	0.00149421066193946	0.000470659643289374	7.65063484901271e-05	0.0113232192380474	0.00019791267857345	0.0228402445297997	0.00481323131733464	0.00443506063958533	0.000516493098670531	0.000161826191005266	0.00581439268395441	0.000362418168732669	0.0160234581116593	8.74358268458595e-05	0.0087429030814928	0.00352651035941572	0.000127167500945133	2.22538940762637e-05	0.000181419955358996	0.00399038262634423	0.000592584356663211	0.000161826191005266	0.000340373031607163	0.00636365529698811	0	8.5319842515139e-05	0.00153012696980254	0.0382336479337026	0.00146879049616417	0.0358089055075809	0.00408197129587686	0.0350001041334346	0.00527504258275477	0.0325496915459332	0.0325496915459332	0.00340373031607163	0.00235191621041412	0.0381819317819286	0.00249753300796396	0.0365530948303269	0.00355550613997927	0.0352940495835891	0.0350001041334346	0.00245041258750142	0.000133523364457582	0.0325496915459332	0.0350001041334346	0.0350001041334346	5.88324554111717e-05	0.0350001041334346	0.000459935065189058	0.00085319842515139	0.037184053732511	0.0336917037724232	0.00255714192049709	0.000106729332995675	0.000726799085494302	0.000106729332995675	0.0325496915459332	0.0325496915459332	0.000726799085494302	0.000808801374146246	0.00405275839866734	0.0341520373570991	0	0.000106729332995675	0.00245041258750142	2.18589567114649e-05	3.29854464289084e-05
"Dendropanax_sp1_M_PL_040"	0.088214853150051	1.14919655239428	0.000131070839158295	0.0124190721425109	0.00041887926111598	2.99609338880375e-05	0.0209994937766606	0.000142986369990867	0.00721520837296992	0.00540935002250677	0.00105473025291895	0.000387556626041282	4.9493116408263e-05	0.00691251452356285	0.000286393662384311	0.0126929037864219	3.42410673006142e-05	0.00646615200613161	0.00426128622715971	0.000119562456110951	1.84525508406937e-05	0.000131070839158295	0.000674187584897106	0.00773503597368573	4.9493116408263e-05	0.000355455261596916	0.00790784483665144	0	1.95321825202256e-05	0.000599218677760749	0.0468699715867536	0.0014155386737836	0.044993110442773	0.0032152933385234	0.0434931466015829	0.00442904812033455	0.00245041258750142	0.00245041258750142	0.00355455261596916	0.00231150342838077	0.0474470690199086	0.00236953604362762	0.00417701798014119	0.0464102158421144	0.0040804633847921	0.0434931466015829	0.0410427340140815	0.000110715305044162	0.00245041258750142	0.0434931466015829	0.0434931466015829	5.23599076394975e-05	0.0434931466015829	0.000503139076181728	0.000195321825202256	0.0454349029180502	0.00281117300614991	0.0419298105956894	0.000887076581607918	0.000864064315445356	0.000887076581607919	0.00245041258750142	0.00245041258750142	0.000864064315445356	0.00149996384119005	0.0423120243927237	0.00371970296614361	0	0.000887076581607918	0.0410427340140815	8.56026682515356e-06	2.38310616651445e-05
"Unidentified_sp21_M_PL_040"	0.00163277959823096	0.000917495874108065	1.03576592583309	0.0250475921178384	0.0178280191863221	0.0151757340146661	0.00107661538719614	0.0390173736360978	0.0382436106455638	0.00196890191840806	0.000840466650887038	0.0381270216469868	0.0165969402455918	0.00025648258965969	0.00142679785390068	0.00178290637722993	0.0173436960167613	0.000485994642804712	0.000433003789628947	0.0216386198980581	0.00104842807963449	0.0357659258330897	0.00262266819074962	1.99397834318204e-05	0.0165969402455918	0.000238042919856653	1.42041270235132e-05	0	0.0014212062309257	0.303514680293322	0.00233953043726753	0.28826268545793	0.000155023797714761	0.00454043729119427	7.81226986293228e-05	0.00240629399722039	4.5354988839749e-05	4.5354988839749e-05	0.00238042919856653	0.00215315679123097	8.52247621410794e-05	0.00939889582971428	0.00261572376852483	0.000119638700590923	0.00213582615884093	7.81226986293227e-05	3.27677097895737e-05	0.00629056847780693	4.5354988839749e-05	7.81226986293227e-05	7.81226986293227e-05	0.00222850239829026	7.81226986293228e-05	0.0023925775581576	0.0142120623092571	0.000191182129470903	0.00195753552111794	0.00182188143249232	0.00178911372270274	3.20603237074612e-05	0.00178911372270274	4.5354988839749e-05	4.5354988839749e-05	3.20603237074612e-05	7.69010990854386e-05	0.000211058347512567	0.000223645626562742	0	0.00178911372270274	3.27677097895737e-05	0.00433592400419032	0.00650289560601631
"Unidentified_sp14_M_PL_040"	0.00384225598784432	0.0248381442850217	0.00715645489081097	1.16966187462517	0.0107390562168279	0.000500245267875277	0.00138544499168794	0.00780704169906651	0.0167706059365515	0.00903056375487682	0.00821394513208945	0.0166425452346577	0.000942447927990271	0.000480575959161486	0.00824169801834889	0.0181951674417581	0.000571708877571746	0.000830712537010127	0.000421422005037095	0.00736563379633019	0.000709424173394504	0.00715645489081097	0.00989629891659055	0.000179279443301283	0.000942447927990271	0.000188988750969374	0.000180691984473381	0	0.000442202660114993	0.0100049053575055	0.00278919904881265	0.0931869347210996	0.00109276627115273	0.0903872861394526	0.000993805914603594	0.0032575525726949	0.000106729332995675	0.000106729332995675	0.00188988750969374	0.00169003763294978	0.00108415190684028	0.0904388768373173	0.00410208572743827	0.0010756766598077	0.00276477637399906	0.000993805914603594	0.000887076581607919	0.00425654504036702	0.000106729332995675	0.000993805914603594	0.000993805914603594	0.00134238202710349	0.000993805914603594	0.00209492900667655	0.00442202660114994	0.00119232999900047	0.000945259629823249	0.0844343533405486	0.0835472767589407	6.00719948951857e-05	0.0835472767589407	0.000106729332995676	0.000106729332995675	6.00719948951857e-05	9.89603565491386e-05	0.00270659332578373	0.00192624607717148	0	0.0835472767589407	0.000887076581607919	0.000142927219392936	0.00130117361651108
"Portlandia_grandiflora"	0.00211796839480218	0.00146607741390593	0.00891400959316103	0.0187933483794488	1.12984006063645	0.00810087502845947	0.00196768507971652	0.00972437410163022	0.0122777835401007	0.0385347721635945	0.00134649372757386	0.0250310402076333	0.00920403347301676	0.000459559535452743	0.000674944004750939	0.016883436057041	0.00925814288966796	0.000779734744039504	0.000794644084091176	0.000883995448961205	7.08608842596429e-05	0.00891400959316103	0.0164946507649906	3.50743348918115e-05	0.00920403347301676	0.000438350541676439	2.02167932819399e-05	0	0.0011031584445573	0.162017500569189	0.00427552250897684	0.0113838839058219	0.000251741297316135	0.00724899744589555	0.000111192363050669	0.00437748547877053	5.88324554111717e-05	5.88324554111717e-05	0.00438350541676439	0.00396566912490338	0.000121300759691639	0.15013872169915	0.00377620150518354	0.000210446009350869	0.00236106523812031	0.000111192363050669	5.23599076394975e-05	0.000425165305557857	5.88324554111717e-05	0.000111192363050669	0.000111192363050669	0.141230007579556	0.000111192363050669	0.144441238593189	0.011031584445573	0.000298593095655513	0.000672721632416209	0.00139474193474298	0.00134238202710349	5.74449419315929e-05	0.00134238202710349	5.88324554111717e-05	5.88324554111717e-05	5.74449419315929e-05	0.000140548934265466	0.0017407035133436	0.00174717606111528	0	0.00134238202710349	5.23599076394975e-05	0.00231453572241699	0.00162072901693837
"Unidentified_sp23_M_PL_040"	0.00137711427282229	0.000419453074432525	0.0303514680293322	0.00350171687512694	0.0324035001138379	1.02840527968311	0.000921555171852521	0.0331106923956351	0.0323553317759414	0.00210823641886232	0.00060625532245881	0.0333697636796791	0.030507104630463	0.0002177518947326	0.000304787422084176	0.00150362197169623	0.0324631767806983	0.000427622605459121	0.000372660102278936	0.00205337766852147	0.000107189322300256	0.0303514680293322	0.00325538534791502	1.46919702476465e-05	0.030507104630463	0.000205520352844565	9.67884385256041e-06	0	0.00210182494735199	0.56810559366222	0.00200567699321245	0.0272466368470969	0.000119059010607119	0.00237117719740704	5.32336411890823e-05	0.00205881030128153	3.82531742450635e-05	3.82531742450635e-05	0.00205520352844565	0.00185927832645363	5.80730631153625e-05	0.00916470702994939	0.00237089697568096	8.81518214858792e-05	0.00180638196021176	5.32336411890823e-05	1.49804669440187e-05	0.000643135933801539	3.82531742450635e-05	5.32336411890822e-05	5.32336411890822e-05	0.00405043751422974	5.32336411890823e-05	0.00422612388246826	0.0210182494735199	0.000151723062273844	0.00165601976304213	0.000265103100881657	0.000250122633937639	2.7218986841575e-05	0.000250122633937639	3.82531742450635e-05	3.82531742450635e-05	2.7218986841575e-05	6.58253694180372e-05	0.000165342664113642	0.000188615371414687	0	0.000250122633937639	1.49804669440187e-05	0.00811579419517457	0.00551844873260586
"Miconia_sp1_M_PL_040"	0.0291168494692649	0.0419989875533213	0.000307604396341754	0.00138544499168794	0.00112439147412372	0.000131650738836074	1.10601442997424	0.000335568432372823	0.0410412398771169	0.0397929030761671	0.00854845719216065	0.000390985041828044	0.000156721163820628	0.00911131164658464	0.000641957688768406	0.00183784458759805	0.000150457987241228	0.00855462899656192	0.0169009931483788	0.000214901816852065	3.89481593463851e-05	0.000307604396341754	0.000665611951286653	0.0146365444642974	0.000156721163820628	0.00932572802628881	0.000419775493697508	0	2.50704249845539e-05	0.00263301477672149	0.09090318146508	0.00246335120507952	0.0813097959277822	0.00723611435306426	0.00230876521533629	0.0883585962832592	0.000808801374146246	0.000808801374146246	0.0932572802628881	0.084369167962649	0.00251865296218504	0.000583102205017356	0.00582231305800363	0.0878192667857847	0.00304464782676189	0.00230876521533629	0.00149996384119005	0.00023368895607831	0.000808801374146246	0.00230876521533629	0.00230876521533629	0.000140548934265466	0.00230876521533629	0.00345662419061272	0.000250704249845539	0.00487345067058636	0.00286086336800209	0.00159892419773918	9.89603565491386e-05	0.00113891395582308	9.89603565491386e-05	0.000808801374146246	0.000808801374146246	0.00113891395582308	0.0790010307124459	0.00168374829994985	0.000992585832906051	0	9.89603565491386e-05	0.00149996384119005	3.7614496810307e-05	5.59280720621371e-05
"Spermacoce_assurgens"	0.0011874760714407	0.000667269726624047	0.0260115824240652	0.0182164306311552	0.012965832135507	0.0110368974652117	0.00078299300886992	1.11928536264443	0.0278135350149555	0.00143192866793314	0.000611248473372391	0.0277287430159904	0.012070501996794	0.000186532792479774	0.00103767116647322	0.00129665918343995	0.0126135971030991	0.000353450649312518	0.00031491184700287	0.0157371781076786	0.000762493148825082	0.0260115824240652	0.0019073950478179	1.45016606776876e-05	0.012070501996794	0.000173122123532111	1.03302741989187e-05	0	0.00103360453158233	0.220737949304234	0.00170147668164911	0.209645589423949	0.00011274458015619	0.00330213621177765	5.68165080940529e-05	0.00175003199797846	3.29854464289084e-05	3.29854464289084e-05	0.00173122123532111	0.00156593221180434	6.19816451935123e-05	0.00683556060342856	0.00190234455892715	8.70099640661255e-05	0.00155332811552068	5.68165080940529e-05	2.38310616651445e-05	0.00457495889295049	3.29854464289084e-05	5.68165080940529e-05	5.68165080940529e-05	0.00162072901693837	5.68165080940529e-05	0.0017400564059328	0.0103360453158233	0.000139041548706111	0.00142366219717668	0.00132500467817623	0.00130117361651108	2.33165990599718e-05	0.00130117361651108	3.29854464289084e-05	3.29854464289084e-05	2.33165990599718e-05	5.59280720621371e-05	0.00015349698000914	0.000162651364772903	0	0.00130117361651108	2.38310616651445e-05	0.00315339927577478	0.186547560440739
"Unidentified_sp13_M_PL_040"	0.0411124401536395	0.0101012917221579	0.00764872212911276	0.011739424155586	0.0049111134160403	0.00323553317759414	0.0287288679139818	0.00834406050448665	1.0686160717221	0.0327428822730216	0.0166014913758118	0.00861093247550696	0.00366472354898391	0.00669384104935629	0.00571803640777616	0.016328335225008	0.00369775220296473	0.0119063817374275	0.0116531395243925	0.00489562825434218	0.000482439302823561	0.00764872212911276	0.00701148116563494	0.000438694984091698	0.00366472354898391	0.00643418147198008	0.000273231390025178	0	0.00042919037138977	0.0647106635518828	0.0626274966289493	0.0617846453212607	0.00355483463899433	0.0628271652594312	0.00150277264513848	0.0637994814194221	0.00114201222648999	0.00114201222648999	0.0643418147198009	0.0582114391027127	0.00163938834015107	0.00533019975004427	0.0604927081924074	0.00263216990455019	0.0562056493350958	0.00150277264513848	0.000360760418648496	0.00289463581694137	0.00114201222648999	0.00150277264513848	0.00150277264513848	0.000613889177005037	0.00150277264513848	0.00334246269975684	0.0042919037138977	0.00432389973254593	0.054572815812595	0.00119929071547607	0.000838530296827573	0.000836730131169536	0.000838530296827574	0.00114201222648999	0.00114201222648999	0.000836730131169536	0.00205206199385584	0.0019935939411493	0.00277484574899079	0	0.000838530296827574	0.000360760418648496	0.000924438050741183	0.00139067675074777
"Unidentified_sp15_M_PL_040"	0.0144396939520039	0.0126218167191825	0.000656300639469354	0.010535657714023	0.025689848109063	0.000351372736477053	0.0464250535888616	0.000715964333966568	0.054571470455036	1.07484658150737	0.0175055020780235	0.00125642456972025	0.000414081669103427	0.0101944929119544	0.00869209234251822	0.0102167795764042	0.000401568841688061	0.00970990309281203	0.018999490149708	0.000733357438492801	0.000428429535500501	0.000656300639469354	0.00138984572510284	0.00068488262270718	0.000414081669103427	0.0105647441868919	0.000154887596058203	0	6.27089326263737e-05	0.00702745472954107	0.101216951553793	0.00426899064189221	0.00416795703466738	0.0991639536842125	0.000851881778320118	0.101425409713846	0.000401102609777887	0.000401102609777887	0.105647441868919	0.0956151972380462	0.000929325576349219	0.0053741499762452	0.00789721794851942	0.00410929573624308	0.0041513540901701	0.000851881778320118	0.000450779168542231	0.002570577213003	0.000401102609777886	0.000851881778320117	0.000851881778320117	0.00321123101363288	0.000851881778320118	0.09278177947258	0.000627089326263738	0.00374451057444976	0.00312967613252969	0.0012033261481153	0.000752546979573069	0.0012743116139943	0.000752546979573069	0.000401102609777887	0.000401102609777886	0.0012743116139943	0.00331607525634726	0.00147245712618265	0.0014227805674183	0	0.000752546979573069	0.000450779168542231	0.000100392210422015	0.000119327388994428
