"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"
"R1"	1.0653100120626	0.0509005814775613	0.020404188858933	0.0509005814775613	0.048918271063755	0.0713047703364942	0.0255949280564266	0.0247474495094152	0.20404188858933	0.029013270852153	0.202299118186516	0.00915764844911326	0.19740729108014
"R2"	0.038175436108171	1.07117060590383	0.00239754271980703	0.0711706059038286	0.0562684608185356	0.0735681486236356	0.0205825332555269	0.155776312420174	0.0239754271980703	0.159206734629429	0.162138885104869	0.00905726829110805	0.156512039023016
"R3"	0.0612125665767989	0.00959017087922812	1.05621955133063	0.00959017087922812	0.0677378137862039	0.0658097222098566	0.0631733376713893	0.0157522963194131	0.562195513306285	0.0262811859313113	0.0259543907488796	0.0173026709905186	0.0191806093702592
"R4"	0.038175436108171	0.0711706059038286	0.00239754271980703	1.07117060590383	0.0562684608185356	0.0735681486236356	0.0205825332555269	0.155776312420174	0.0239754271980703	0.159206734629429	0.162138885104869	0.00905726829110805	0.156512039023016
"R5"	0.029350962638253	0.0450147686548285	0.0135475627572408	0.0450147686548285	1.08530055884721	0.0585623314120693	0.0565423803689039	0.125639981189635	0.135475627572408	0.135063711251119	0.13053180829601	0.117953785946205	0.0220017524112896
"R6"	0.0427828622018965	0.0588545188989085	0.0131619444419713	0.0588545188989085	0.0585623314120693	1.07201646334088	0.0291006941386994	0.127771509200022	0.131619444419713	0.132621624889805	0.134901986233671	0.0107063488309902	0.129045753092465
"R7"	0.0255949280564266	0.0274433776740359	0.0210577792237964	0.0274433776740359	0.0942373006148398	0.0485011568978323	1.08905541319237	0.0211346901697762	0.210577792237964	0.202643925701837	0.025400511512514	0.190932965593545	0.01597678145103
"C1"	0.0185605871320614	0.155776312420174	0.00393807407985327	0.155776312420174	0.157049976487044	0.159714386500028	0.0158510176273321	1.07062051440375	0.0393807407985327	0.0732623506749727	0.0737139455924276	0.0183468339199264	0.0580089479437232
"C2"	0.122425133153598	0.0191803417584562	0.112439102661257	0.0191803417584562	0.135475627572408	0.131619444419713	0.126346675342779	0.0315045926388262	1.12439102661257	0.0525623718626226	0.0519087814977591	0.0346053419810372	0.0383612187405183
"C3"	0.0174079625112918	0.127365387703543	0.00525623718626226	0.127365387703543	0.135063711251119	0.132621624889805	0.121586355421102	0.0586098805399782	0.0525623718626226	1.07887427311016	0.0615112076251935	0.0337707636952956	0.0480048365000816
"C4"	0.121379470911909	0.129711108083896	0.00519087814977591	0.129711108083896	0.13053180829601	0.134901986233671	0.0152403069075084	0.0589711564739421	0.0519087814977591	0.0615112076251935	1.07920106829259	0.0155932319808524	0.0661478874629926
"C5"	0.0137364726736699	0.0181145365822161	0.0086513354952593	0.0181145365822161	0.294884464865512	0.0267658720774754	0.286399448390318	0.0366936678398528	0.086513354952593	0.0844269092382391	0.0389830799521311	1.07722168788494	0.00949463346557988
"C6"	0.148055468310105	0.156512039023016	0.00479515234256479	0.156512039023016	0.027502190514112	0.161307191365581	0.0119825860882725	0.0580089479437232	0.0479515234256479	0.060006045625102	0.0826848593287407	0.00474731673278994	1.07993464027733
