"C._nigrescens"	"H._guatemalensis"	"M._curema"	"D._peruvianus"	"C._trimaculatum"	"L._argentiventris"	"D._latifrons"	"P._sphenops"	"G._maculatus"	"E._picta"	"Cornutushaptor_nigrescens"	"Neotetraonchus_sp."	"Ligophorus_mugilinus"	"Aristocleidus_hastatus"	"Crassicutis_cichlasomae"	"Neoapocreadium_marina"	"Paracryptogonimus_sp."	"Pseudoacanthostomum_panamense"	"Pseudacaenodera_cristata"	"Saccocoelioides_sp."	"Saccocoelioides_sogandaresi"	"Ascocotye_(Phagicola)_longa"	"Centrocestus_formosanus"	"Cladocystis_trifolium"	"Clinostomum_complanatum"	"Diplostomum_(Austrodiplostomum)_compactum"	"Echinochasmus_leopoldinae"	"Haplorchis_sp."	"Metadena_sp."	"Posthodiplostomum_minimum"	"Tylodelphys_sp."	"Parvitaenia_cochlearii"	"Proteocephalus_chamelensis"	"Proteocephalus_sp."	"Contracaecum_sp."	"Hysterothylacium_perezi"	"Gnathostoma_sp."	"Pseudoleptorhynchoides_lamothei"	"Floridosentis_mugilis"	"Neoechinorhynchus_golvani"	"Southwellina_hispida"	"Argulus_sp."	"Ergasilus_sp."
"C._nigrescens"	1.09688248792555	0.0127906503909731	0.0185478183989291	0.015480445947174	0.0302748002028011	0.044721420789698	0.0272659910649023	0.026249231183829	0.0303187308401627	0.0308017565893146	0.0498582949057068	0.000710591688387395	0.00115923864993307	0.000860024774843003	0.00126145000845005	0.000860024774843003	0.0520943659451917	0.0612093955766581	0.000860024774843003	0.00136329955324511	0.00131246155919145	0.0582627328487858	0.00131246155919145	0.00126145000845005	0.00694254329743194	0.0589860712485699	0.0547701270576282	0.000860024774843003	0.00420994317954574	0.0025739115676415	0.00118468294574287	0.00381126295066143	0.00118468294574287	0.0498582949057068	0.0604988038882707	0.000710591688387395	0.00244796339741631	0.000710591688387395	0.00115923864993307	0.0571670789043032	0.055803779351058	0.0101918620210182	0.0612093955766581
"H._guatemalensis"	0.0156330171445227	1.12655758759043	0.0196350905193903	0.0142866645675381	0.0255213417082047	0.0297354812277639	0.0205952720316688	0.0190896617828957	0.03610097345223	0.0261782433086898	0.000710591688387395	0.0625865326439128	0.00122719315746189	0.000793703587085449	0.00106338923784186	0.000793703587085449	0.00219736574977559	0.0723634938058547	0.00079370358708545	0.00102976360158344	0.000954483089144786	0.00829018710055376	0.000954483089144786	0.00106338923784186	0.0684179413798489	0.0705400266171858	0.00418161244050382	0.000793703587085449	0.0655775139324772	0.00201787232698665	0.00100685551187268	0.00354082634063238	0.00100685551187268	0.000710591688387395	0.00977696116194195	0.0625865326439127	0.00251106273904893	0.0625865326439128	0.00122719315746189	0.00680158132824983	0.00577181772666639	0.0704257089600054	0.0723634938058547
"M._curema"	0.0255032502985275	0.022089476834314	1.09676567810798	0.0199816192188363	0.0320501137023165	0.0207280416379916	0.0265470093321835	0.0250817073659979	0.0319655173593939	0.0326209194757958	0.00115923864993307	0.00122719315746189	0.0685478548817485	0.00111008995660201	0.00133542140426319	0.00111008995660201	0.00219564073183265	0.0795841832725279	0.00111008995660201	0.00132735046660918	0.00125408536829989	0.0773205880331663	0.00125408536829989	0.00133542140426319	0.0750243672157933	0.0771467428493166	0.00477707656674172	0.00111008995660201	0.00359549179600288	0.00258950677256308	0.00125465074906907	0.00391389777231966	0.00125465074906907	0.00115923864993307	0.0783569901150659	0.00122719315746189	0.00258654730571048	0.00122719315746189	0.0685478548817485	0.00744495990841549	0.00611760944180632	0.00987708974084623	0.0795841832725278
"D._peruvianus"	0.0189205450465461	0.0142866645675381	0.0177614393056322	1.14760236604623	0.0235235508665063	0.0184939813116633	0.0226441692250489	0.0227458227404468	0.0234421347992157	0.0239126594245053	0.000860024774843003	0.00079370358708545	0.00111008995660201	0.0637556870025684	0.000980147952771097	0.0637556870025684	0.00178472384042617	0.0725903252245352	0.0637556870025684	0.00113220846125245	0.00113729113702234	0.0708719225718665	0.00113729113702234	0.000980147952771097	0.00591262324451827	0.00770242976071433	0.00405422343870095	0.0637556870025684	0.0026951582693026	0.00211743908979344	0.000919717670173279	0.00302868174805971	0.000919717670173279	0.000860024774843003	0.0717966216374497	0.00079370358708545	0.00189647328680727	0.00079370358708545	0.00111008995660201	0.00579355354125698	0.00466134508000453	0.0706202104930901	0.0725903252245351
"C._trimaculatum"	0.0277519001859011	0.0191410062811535	0.021366742468211	0.0176426631498798	1.0900707982152	0.0271251777035982	0.0264130928752133	0.0332481830186153	0.0349242184198953	0.0356495510156681	0.00126145000845005	0.00106338923784186	0.00133542140426319	0.000980147952771097	0.0454196165922999	0.000980147952771097	0.00261770889362996	0.0572256602205188	0.000980147952771097	0.00132065464376066	0.00166240915093077	0.054806012097497	0.00166240915093077	0.0454196165922999	0.0519653942231869	0.054924857623987	0.00560077268832139	0.000980147952771097	0.00387482389051741	0.0470820257432306	0.0013711365775257	0.004146966988782	0.0013711365775257	0.00126145000845005	0.0561622709826769	0.00106338923784186	0.00282631234502134	0.00106338923784186	0.00133542140426319	0.0521842924747119	0.0508636378309512	0.0546287888078055	0.0572256602205188
"L._argentiventris"	0.0491935628686678	0.0267619331049875	0.0165824333103933	0.016644583180497	0.0325502132443178	1.0595212757465	0.029315633198556	0.0281211341631931	0.0413634931779186	0.0332790713383068	0.0022360710394849	0.00148677406138819	0.00103640208189958	0.000924699065583165	0.00135625888517991	0.000924699065583165	0.0552121348268097	0.0658915504536039	0.000924699065583165	0.0014657816599278	0.00140605670815966	0.0114287126048909	0.00140605670815966	0.00135625888517991	0.00834865985305133	0.0635010697280928	0.0580839731948971	0.000924699065583165	0.0561863167311262	0.00276231559333956	0.00127996428224257	0.00446922482458365	0.00127996428224257	0.0022360710394849	0.0644047763922156	0.00148677406138819	0.00300344316465585	0.00148677406138819	0.00103640208189958	0.0610376185365732	0.0595718368766454	0.0626190773322193	0.0658915504536038
"D._latifrons"	0.0299925901713925	0.018535744828502	0.0212376074657468	0.020379752302544	0.031695711450256	0.029315633198556	1.07175031863718	0.0281322295916614	0.0406961881276546	0.0415975575598435	0.00136329955324511	0.00102976360158344	0.00132735046660918	0.00113220846125245	0.00132065464376067	0.00113220846125245	0.00282908121317291	0.0659287663631335	0.00113220846125245	0.0535875159318588	0.00140661147958307	0.0634332211016222	0.00140661147958307	0.00132065464376067	0.060560865209125	0.0112090419700222	0.0578232086246148	0.00113220846125245	0.00419121976683018	0.00272726612334373	0.00159990605999398	0.0568830964971717	0.00159990605999398	0.00136329955324511	0.06489900276155	0.00102976360158344	0.00329558056531292	0.00102976360158344	0.00132735046660918	0.0610328323541053	0.0074453164222465	0.0632381163432792	0.0659287663631335
"P._sphenops"	0.0288741543022119	0.0171806956046062	0.0200653658927983	0.0204712404664021	0.0398978196223384	0.0281211341631931	0.0281322295916614	1.09863412920644	0.025760673541238	0.0261958909424458	0.00131246155919145	0.000954483089144787	0.00125408536829989	0.00113729113702234	0.00166240915093077	0.00113729113702234	0.00271851826735111	0.0661460006172226	0.00113729113702234	0.00140661147958307	0.0549317064603219	0.0637854608199181	0.0549317064603219	0.00166240915093077	0.00735848475252724	0.0636020980006172	0.0590568362072561	0.00113729113702234	0.00343390119485603	0.0565941156112526	0.00100753426701715	0.0034875071441518	0.00100753426701715	0.00131246155919145	0.0651915175280778	0.000954483089144787	0.00208089566456873	0.000954483089144787	0.00125408536829989	0.00786843456243367	0.0064618230828506	0.0635794536897313	0.0661460006172226
"G._maculatus"	0.0277921699368158	0.0270757300891725	0.0213103449062626	0.0175816010994118	0.0349242184198953	0.0344695776482655	0.0339134901063788	0.0214672279510316	1.06030204694812	0.0544969262279794	0.00126328045167344	0.00150420722717625	0.00133189655664141	0.00097675561663399	0.00145517576749564	0.00097675561663399	0.00298675933408672	0.0572991179852293	0.00097675561663399	0.00169567450531894	0.00107336139755158	0.0540714318756397	0.00107336139755158	0.00145517576749564	0.052262241636957	0.0546266878632763	0.00575579523695724	0.00097675561663399	0.0474069380657612	0.00252853716504722	0.00209603562415305	0.0479709620856437	0.00209603562415305	0.00126328045167344	0.055794910758053	0.00150420722717625	0.0462752875803247	0.00150420722717625	0.00133189655664141	0.052412897187226	0.0507172226819071	0.0547039409769144	0.0572991179852292
"E._picta"	0.0260630248063431	0.0181233992137083	0.0200744119851051	0.016554918063119	0.0329072778606167	0.0255992856448514	0.0319981211998796	0.0201506853403429	0.0503048549796733	1.09155735423969	0.00118468294574287	0.00100685551187269	0.00125465074906907	0.00091971767017328	0.0013711365775257	0.00091971767017328	0.00246464722798544	0.0537034588508555	0.00091971767017328	0.00159990605999398	0.00100753426701715	0.0514166390567402	0.00100753426701715	0.0013711365775257	0.0493115596856796	0.0511838351206882	0.00507208755499657	0.000919717670173279	0.00438285541826831	0.00237867084454284	0.0419829751630651	0.0456789168472122	0.0419829751630651	0.00118468294574287	0.0526966033389828	0.00100685551187269	0.0440790107872182	0.00100685551187269	0.00125465074906907	0.0495147006527233	0.0479147945927293	0.0512641251560435	0.0537034588508555
