"Cordia_nodosa"	"Hirtella_myrmecophila"	"Maieta_guianensis"	"Myrcia_madida"	"Hirtella_physophora"	"Tococa_bullifera"	"Tachigalia_spp."	"Duroia_saccifera"	"Azteca_r.am.1"	"Allomerus_octoarticulatus"	"Pheidole_minutula"	"Myrcidris_sp."	"Crematogaster_laevis"	"Pseudomyrmex_concolor"	"Allomerus_septemarticulatus"	"Crematogaster_brasiliensis"	"Solenopsis_sp2"	"Pseudomyrmex_nigriceps"
"Cordia_nodosa"	1.33333333333333	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0	0
"Hirtella_myrmecophila"	0	1.16666666666667	0	0	0.166666666666667	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0
"Maieta_guianensis"	0	0	1.27272727272727	0	0	0.0606060606060606	0	0	0	0	0.212121212121212	0	0.242424242424242	0	0	0	0.212121212121212	0
"Myrcia_madida"	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0
"Hirtella_physophora"	0	0.166666666666667	0	0	1.16666666666667	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0
"Tococa_bullifera"	0	0	0.181818181818182	0	0	1.15151515151515	0	0	0	0	0.0303030303030303	0	0.606060606060606	0	0	0	0.0303030303030303	0
"Tachigalia_spp."	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0.222222222222222	0	0.222222222222222	0	0.222222222222222
"Duroia_saccifera"	0	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0.666666666666667	0	0	0
"Azteca_r.am.1"	0.666666666666667	0	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0	0
"Allomerus_octoarticulatus"	0	0.333333333333333	0	0	0.333333333333333	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0
"Pheidole_minutula"	0	0	0.636363636363636	0	0	0.0303030303030303	0	0	0	0	1.10606060606061	0	0.121212121212121	0	0	0	0.106060606060606	0
"Myrcidris_sp."	0	0	0	0.666666666666667	0	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0
"Crematogaster_laevis"	0	0	0.363636363636364	0	0	0.303030303030303	0	0	0	0	0.0606060606060606	0	1.21212121212121	0	0	0	0.0606060606060606	0
"Pseudomyrmex_concolor"	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	1.11111111111111	0	0.111111111111111	0	0.111111111111111
"Allomerus_septemarticulatus"	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	1.33333333333333	0	0	0
"Crematogaster_brasiliensis"	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0.111111111111111	0	1.11111111111111	0	0.111111111111111
"Solenopsis_sp2"	0	0	0.636363636363636	0	0	0.0303030303030303	0	0	0	0	0.106060606060606	0	0.121212121212121	0	0	0	1.10606060606061	0
"Pseudomyrmex_nigriceps"	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0.111111111111111	0	0.111111111111111	0	1.11111111111111
