"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"R12"	"R13"	"R14"	"R15"	"R16"	"R17"	"C1"	"C2"	"C3"
"R1"	1.10946388553698	0.0170085617422283	0.0170085617422283	0.0170085617422283	0.0170085617422283	0.0170085617422283	0.0170085617422283	0.0170085617422283	0.0170085617422283	0.0170085617422283	0.0170085617422283	0.00735505372636901	0.0170085617422283	0.00735505372636901	0.00735505372636901	0.00735505372636901	0.00735505372636901	0.184910647589496	0.231684192380624	0.250071826696546
"R2"	0.0255128426133425	1.02338677239556	0.023386772395564	0.023386772395564	0.023386772395564	0.023386772395564	0.023386772395564	0.023386772395564	0.023386772395564	0.023386772395564	0.023386772395564	0.0101131988737574	0.023386772395564	0.0101131988737574	0.0101131988737574	0.0101131988737574	0.0101131988737574	0.00425214043555708	0.318565764523358	0.343848761707751
"R3"	0.0255128426133425	0.023386772395564	1.02338677239556	0.023386772395564	0.023386772395564	0.023386772395564	0.023386772395564	0.023386772395564	0.023386772395564	0.023386772395564	0.023386772395564	0.0101131988737574	0.023386772395564	0.0101131988737574	0.0101131988737574	0.0101131988737574	0.0101131988737574	0.00425214043555708	0.318565764523358	0.343848761707751
"R4"	0.0255128426133425	0.023386772395564	0.023386772395564	1.02338677239556	0.023386772395564	0.023386772395564	0.023386772395564	0.023386772395564	0.023386772395564	0.023386772395564	0.023386772395564	0.0101131988737574	0.023386772395564	0.0101131988737574	0.0101131988737574	0.0101131988737574	0.0101131988737574	0.00425214043555708	0.318565764523358	0.343848761707751
"R5"	0.0255128426133425	0.023386772395564	0.023386772395564	0.023386772395564	1.02338677239556	0.023386772395564	0.023386772395564	0.023386772395564	0.023386772395564	0.023386772395564	0.023386772395564	0.0101131988737574	0.023386772395564	0.0101131988737574	0.0101131988737574	0.0101131988737574	0.0101131988737574	0.00425214043555708	0.318565764523358	0.343848761707751
"R6"	0.0255128426133425	0.023386772395564	0.023386772395564	0.023386772395564	0.023386772395564	1.02338677239556	0.023386772395564	0.023386772395564	0.023386772395564	0.023386772395564	0.023386772395564	0.0101131988737574	0.023386772395564	0.0101131988737574	0.0101131988737574	0.0101131988737574	0.0101131988737574	0.00425214043555708	0.318565764523358	0.343848761707751
"R7"	0.0255128426133425	0.023386772395564	0.023386772395564	0.023386772395564	0.023386772395564	0.023386772395564	1.02338677239556	0.023386772395564	0.023386772395564	0.023386772395564	0.023386772395564	0.0101131988737574	0.023386772395564	0.0101131988737574	0.0101131988737574	0.0101131988737574	0.0101131988737574	0.00425214043555708	0.318565764523358	0.343848761707751
"R8"	0.0255128426133425	0.023386772395564	0.023386772395564	0.023386772395564	0.023386772395564	0.023386772395564	0.023386772395564	1.02338677239556	0.023386772395564	0.023386772395564	0.023386772395564	0.0101131988737574	0.023386772395564	0.0101131988737574	0.0101131988737574	0.0101131988737574	0.0101131988737574	0.00425214043555708	0.318565764523358	0.343848761707751
"R9"	0.0255128426133425	0.023386772395564	0.023386772395564	0.023386772395564	0.023386772395564	0.023386772395564	0.023386772395564	0.023386772395564	1.02338677239556	0.023386772395564	0.023386772395564	0.0101131988737574	0.023386772395564	0.0101131988737574	0.0101131988737574	0.0101131988737574	0.0101131988737574	0.00425214043555708	0.318565764523358	0.343848761707751
"R10"	0.0255128426133425	0.023386772395564	0.023386772395564	0.023386772395564	0.023386772395564	0.023386772395564	0.023386772395564	0.023386772395564	0.023386772395564	1.02338677239556	0.023386772395564	0.0101131988737574	0.023386772395564	0.0101131988737574	0.0101131988737574	0.0101131988737574	0.0101131988737574	0.00425214043555708	0.318565764523358	0.343848761707751
