"Pimephlales_promelas"	"Perca_flavescens"	"Morone_chrysops"	"Pomoxis_nigromaculatus"	"Esox_lucius"	"Sander_vitreum"	"Bothriocephalus_sp."	"Proteocephalus_sp."	"Contracaecum_sp."	"Neascus_of_Posthodiplostomum_sp."	"Raphidascaris_sp."	"Myxobolus_sp"	"Unicauda_sp."	"Dactylogyrus_sp."	"Gyrodactylus_hoffmani"	"Gyrodactylus_sp."	"Onchocleidus_chrysops"	"Diplostomum_spathaceum"	"Diplostomulum_sp."	"Neascus_sp."	"Bothriocephalus_cuspidatus"	"Gryporhynchidae"	"Ligula_intestinalis"	"Raphidascaris_acus"	"Rhabdochona_sp."	"Spiroxys_sp."	"Myzobdella_lugubris"
"Pimephlales_promelas"	1.25208782082733	0.0241096519585169	0.0188393826538842	0.0212055784715068	0.0160072591533005	0.00108364026879458	0.0633124599971403	0.058056078921519	0.00568911141117152	0.0557045889463899	0.0538924438648423	0.0521703258678055	0.0521703258678054	0.0521703258678054	0.0521703258678055	0.00172211799703692	0.00188393826538842	0.0521703258678054	0.0521703258678054	0.0521703258678054	0.000270910067198644	0.00172211799703692	0.0521703258678054	0.00172211799703692	0.00172211799703692	0.00188393826538842	0.00172211799703692
"Perca_flavescens"	0.0413308319288862	1.25708719126495	0.0124574614185558	0.0111684545633484	0.0106679631104445	0.000621431047149395	0.0972882062436056	0.00563485491650363	0.00326251299753432	0.00358352709092832	0.0915140602302475	0.00172211799703692	0.00172211799703692	0.00172211799703692	0.00172211799703692	0.0897919422332106	0.00124574614185558	0.00172211799703692	0.00172211799703692	0.00172211799703692	0.000155357761787349	0.0897919422332106	0.00172211799703692	0.0897919422332106	0.0897919422332106	0.00124574614185558	0.0897919422332106
"Morone_chrysops"	0.0452145183693221	0.0174404459859781	1.17389286902385	0.0371922180847993	0.034875683886077	0.0247175979833037	0.135436595295282	0.127992146139293	0.129767389412344	0.00808264127952164	0.003129684407244	0.00188393826538842	0.00188393826538842	0.00188393826538842	0.00188393826538842	0.00124574614185558	0.117389286902385	0.00188393826538842	0.00188393826538842	0.00188393826538842	0.00617939949582592	0.00124574614185558	0.00188393826538842	0.00124574614185558	0.00124574614185558	0.117389286902385	0.00124574614185558
"Pomoxis_nigromaculatus"	0.0848223138860271	0.0260597273144795	0.0619870301413322	1.09993789273588	0.0226220322282626	0.0379043370273558	0.200572865366321	0.0153884741497833	0.198997769393618	0.18685724520123	0.00539567217247585	0.00353426307858446	0.00353426307858446	0.00353426307858446	0.00353426307858446	0.00186140909389139	0.00619870301413322	0.00353426307858446	0.00353426307858446	0.00353426307858446	0.00947608425683896	0.00186140909389139	0.00353426307858446	0.00186140909389139	0.00186140909389139	0.00619870301413322	0.00186140909389139
"Esox_lucius"	0.0960435549198032	0.0373378708865558	0.0871892097151925	0.0339330483423939	1.07595476366367	0.00287488580571698	0.290031925510439	0.281709426675762	0.0150931504800141	0.00965732284539079	0.00666880556593625	0.00400181478832514	0.00400181478832513	0.00400181478832513	0.00400181478832514	0.00266699077761113	0.00871892097151925	0.00400181478832513	0.00400181478832513	0.00400181478832513	0.000718721451429245	0.00266699077761113	0.00400181478832513	0.00266699077761113	0.00266699077761113	0.00871892097151926	0.00266699077761113
"Sander_vitreum"	0.00650184161276746	0.00217500866502288	0.0617939949582593	0.0568565055410338	0.00287488580571698	1.20313109675053	0.0168004730330801	0.00716903101445382	0.316438257940298	0.0097469943240376	0.000426267828985992	0.000270910067198644	0.000270910067198644	0.000270910067198644	0.000270910067198644	0.000155357761787349	0.00617939949582593	0.000270910067198644	0.000270910067198644	0.000270910067198644	0.300782774187633	0.000155357761787349	0.000270910067198644	0.000155357761787349	0.000155357761787349	0.00617939949582593	0.000155357761787349
"Bothriocephalus_sp."	0.151949903993137	0.136203488741048	0.135436595295282	0.120343719219792	0.116012770204176	0.00672018921323205	1.07866420524128	0.0488780980802861	0.0352809933694683	0.0263885325363461	0.0160600666240746	0.00633124599971404	0.00633124599971403	0.00633124599971403	0.00633124599971404	0.00972882062436057	0.0135436595295282	0.00633124599971404	0.00633124599971404	0.00633124599971404	0.00168004730330801	0.00972882062436057	0.00633124599971403	0.00972882062436057	0.00972882062436057	0.0135436595295282	0.00972882062436057
"Proteocephalus_sp."	0.232224315686076	0.0131479948051751	0.213320243565488	0.0153884741497833	0.187806284450508	0.00477935400963588	0.0814634968004768	1.07795960862276	0.0250916085505883	0.0122407588452171	0.0106151556396704	0.0096760131535865	0.00967601315358649	0.00967601315358649	0.0096760131535865	0.000939142486083938	0.0213320243565488	0.0096760131535865	0.0096760131535865	0.0096760131535865	0.00119483850240897	0.000939142486083938	0.00967601315358649	0.000939142486083938	0.000939142486083938	0.0213320243565488	0.000939142486083938
"Contracaecum_sp."	0.0227564456446861	0.00761253032758009	0.216278982353907	0.198997769393618	0.0100621003200094	0.210958838626865	0.0588016556157805	0.0250916085505884	1.10753390279104	0.0341144801341316	0.00149193740145097	0.000948185235195255	0.000948185235195254	0.000948185235195254	0.000948185235195254	0.000543752166255721	0.0216278982353907	0.000948185235195254	0.000948185235195254	0.000948185235195254	0.0527397096567163	0.000543752166255721	0.000948185235195254	0.000543752166255721	0.000543752166255721	0.0216278982353907	0.000543752166255721
"Neascus_of_Posthodiplostomum_sp."	0.334227533678339	0.0125423448182491	0.0202066031988041	0.280285867801846	0.00965732284539079	0.0097469943240376	0.0659713313408653	0.0183611382678256	0.0511717202011974	1.06064045853691	0.0148220290093295	0.0139261472365975	0.0139261472365975	0.0139261472365975	0.0139261472365975	0.00089588177273208	0.00202066031988041	0.0139261472365975	0.0139261472365975	0.0139261472365975	0.0024367485810094	0.00089588177273208	0.0139261472365975	0.00089588177273208	0.00089588177273208	0.00202066031988041	0.000895881772732079
