"Clethrionomys_rutilus"	"Clethrionomys_rufocanus"	"Microtus_oeconomus"	"Megabothris_advenarius"	"Amalaraeus_penicilliger"	"Stenoponia_montana"	"Catallagia_dacenkoi"	"Hystrichopsylla_microti"	"Amphipsylla_marikovskii"	"Rhadinopsylla_integella"
"Clethrionomys_rutilus"	1.22320550639135	0.0921477735637028	0.0179800533782835	0.098890293580559	0.0988902935805591	0.0873718218850962	0.0988902935805591	0.0873718218850962	0.107880320269701	0.0873718218850962
"Clethrionomys_rufocanus"	0.16125860373648	1.14398089619329	0.0280938334035679	0.154516083719624	0.154516083719624	0.0115184716954628	0.154516083719623	0.0115184716954628	0.168563000421407	0.0115184716954628
"Microtus_oeconomus"	0.125860373647984	0.112375333614272	1.09509762607108	0.0230369433909257	0.0230369433909257	0.00899002668914173	0.0230369433909257	0.00899002668914173	0.570585756426464	0.00899002668914173
"Megabothris_advenarius"	0.346116027531957	0.309032167439247	0.0115184716954628	1.06335159432505	0.0633515943250457	0.0247225733951398	0.0633515943250457	0.0247225733951398	0.0691108301727771	0.0247225733951398
"Amalaraeus_penicilliger"	0.346116027531957	0.309032167439247	0.0115184716954628	0.0633515943250457	1.06335159432505	0.0247225733951398	0.0633515943250456	0.0247225733951398	0.0691108301727771	0.0247225733951398
"Stenoponia_montana"	0.611602753195674	0.0460738867818514	0.00899002668914173	0.0494451467902795	0.0494451467902795	1.04368591094255	0.0494451467902795	0.0436859109425481	0.0539401601348504	0.0436859109425481
"Catallagia_dacenkoi"	0.346116027531957	0.309032167439247	0.0115184716954628	0.0633515943250457	0.0633515943250457	0.0247225733951398	1.06335159432505	0.0247225733951398	0.0691108301727771	0.0247225733951398
"Hystrichopsylla_microti"	0.611602753195674	0.0460738867818514	0.00899002668914173	0.0494451467902795	0.0494451467902795	0.0436859109425481	0.0494451467902796	1.04368591094255	0.0539401601348504	0.0436859109425481
"Amphipsylla_marikovskii"	0.251720747295968	0.224750667228543	0.190195252142155	0.0460738867818514	0.0460738867818514	0.0179800533782835	0.0460738867818514	0.0179800533782835	1.14117151285293	0.0179800533782835
"Rhadinopsylla_integella"	0.611602753195674	0.0460738867818514	0.00899002668914173	0.0494451467902795	0.0494451467902795	0.0436859109425481	0.0494451467902796	0.0436859109425481	0.0539401601348504	1.04368591094255
