"Ficus_sp1_M_SD_018"	"Ficus_sp3_M_SD_018"	"Dysoxylum_sp2_M_SD_018"	"Elmerillia_tsiampaca"	"Piper_sp2_M_SD_018"	"Elaeocarpus_sp1_M_SD_018"	"Psychotriasp._sp1_M_SD_018"	"Rhus_sp1_M_SD_018"	"Aglaia_sp1_M_SD_018"	"Ficus_dammaropsis"	"Gynotroches_sp1_M_SD_018"	"Myristica_subaluata"	"Symplocos_sp1_M_SD_018"	"Dracantomelon_sp1_M_SD_018"	"Dysoxylum_sp1_M_SD_018"	"Eurya_sp1_M_SD_018"	"Ficus_sp2_M_SD_018"	"Ficus_sp4_M_SD_018"	"Ficus_sp5_M_SD_018"	"Heritiera_sp1_M_SD_018"	"Musa_sp1_M_SD_018"	"Myristica_fatua"	"Osmoxylum_sp1_M_SD_018"	"Pandanus_limbatus"	"Piper_sp1_M_SD_018"	"Poikilospermum_sp1_M_SD_018"	"Schefflera_sp1_M_SD_018"	"Sloanea_sp1_M_SD_018"	"Syzigium_sp1_M_SD_018"	"Manucodia_chalybata"	"Parasidea_raggiana"	"Meliphaga_sp1_M_SD_018"	"Rhyticeros_plicatus"	"Cicinnurus_magnificus"	"Oriolus_szalayi"	"Ailuroedus_buccoides"	"Coracina_boyeri"	"Coracina_schisticeps"	"Ducula_rufigaster"	"Ducula_zoeae"	"Melanocharis_nigra"	"Pitohui_kirhocephalus"	"Ptilinopus_pulchellus"	"Ptilinopus_rivoli"	"Cacatua_galerita"	"Coracina_melaena"	"Cracticus_cassicus"	"Cyclopsittaca_gulielmiterti"	"Dicrurus_hottentottus"	"Glycichaera_fallax"	"Gymnophaps_albertisii"	"Macropygia_amboinensis"	"Melilestes_megarhycus"	"Microdynamis_parva"	"Mino_dumonti"	"Parotia_lawesii"	"Philemon_buceroides"	"Ptilinopus_ornatus"	"Reinwardtoena_reinwardtii"	"Xanthotis_flaviventer"	"Xanthotis_polygramma"
"Ficus_sp1_M_SD_018"	1.15977157288597	0.0239494819803464	0.0308274550954181	0.00934442573690052	0.0222602163624532	0.00185875814624017	0.00878145283804117	0.000540213879255934	0.00761845335936287	0.00886508572221299	0.00848173391266324	0.00718363659469769	0.00886508572221299	0.000263181120663148	0.00694762448821727	0.000636006181784376	0.000263181120663148	0	0.00628568202036048	0	0.00694762448821727	0.000263181120663148	0	0.00628568202036048	0.00628568202036048	0	0.000292715094601372	0.000292715094601372	0.00022248632706906	0.100570912325768	0.0972667428350417	0.0930834000832364	0.00210544896530518	0.00175629056760823	0.0871204585103072	0.00253581466061868	0.0042796318755953	0.0028787476156582	0.000889945308276241	0.00268331548458243	0.0025440247271375	0.00180071293085312	0.00202047030868382	0.00289913562290752	9.00356465426558e-05	0.00256895459128484	0	0	9.00356465426558e-05	0	0.00077870214474171	0.00221627143055325	0.00221627143055325	0.00171067728431046	0.0828408266347119	0.00179590914867442	0.00146357547300686	0.00077870214474171	0	0.0828408266347119	0.0828408266347119
"Ficus_sp3_M_SD_018"	0.0239494819803464	1.13779318133332	0.0463549800347486	0.000657124925021947	0.0083818832707617	0.0245634413867945	0.000263335615958333	0.0256645078496238	0.000556608365115053	0.000265843574205555	0.000262723445370117	0.00704986710658019	0.000265843574205555	0.0125032217728937	0.000508130239690739	0.00023948237916462	0.0125032217728937	0	0.00616863371825766	0	0.000508130239690739	0.0125032217728937	0	0.00616863371825766	0.00616863371825766	0	8.77785386527775e-06	8.77785386527775e-06	1.56458315481416e-05	0.0986981394921226	0.00711382335567034	0.00279135752915833	0.100025774183149	5.26671231916665e-05	0.0868445338110149	0.00493209522487525	0.0851338565267046	0.00795682190069479	6.25833261925664e-05	0.000193912501697259	0.00095792951665848	0.0855483594987461	0.0853648484216078	0.000120441271761025	0.0042774179749373	0.00386291500289571	0	0	0.0042774179749373	0	5.47604104184955e-05	6.64608935513887e-05	6.64608935513887e-05	0.0812709415238088	0.00171067728431046	0.00176246677664505	4.38892693263888e-05	5.47604104184955e-05	0	0.00171067728431046	0.00171067728431046
"Dysoxylum_sp2_M_SD_018"	0.0359653642779877	0.05408081004054	1.12785254290924	0.00982401862213287	0.0174984736362103	0.028457278364463	0.000451188762448525	0.00121986789565128	0.00852656366849689	0.000455485798281368	0.00064343160333223	0.00821462744658535	0.000455485798281368	0.00059429461583011	0.00778898638458807	0.00049995638960601	0.00059429461583011	0	0.00718779901576218	0	0.00778898638458807	0.00059429461583011	0	0.00718779901576218	0.00718779901576218	0	1.50396254149508e-05	1.50396254149508e-05	0.000233905205288878	0.115004784252195	0.109045809384233	0.00478260088195437	0.00475435692664088	9.02377524897051e-05	0.100419581503284	0.00649272709103153	0.0978506269119995	0.0987305916365142	0.000935620821155512	0.00295030913563529	0.00199982555842404	0.0040662263188376	0.00860579473030621	0.00097952611934413	0.00020331131594188	0.0939877119091037	0	0	0.00020331131594188	0	0.000818668218511072	0.000113871449570342	0.000113871449570342	0.00386291500289572	0.00256895459128484	0.00205365686164634	7.51981270747542e-05	0.000818668218511073	0	0.00256895459128484	0.00256895459128484
"Elmerillia_tsiampaca"	0.0109018300263839	0.000766645745858938	0.00982401862213287	1.18942749643597	0.0100173910551175	0.000535762209840376	0.000865403698487794	1.72927611847881e-05	0.035506151298276	0.000873645638473392	0.02724712473893	0.000213376472698133	0.000873645638473392	8.42467852592239e-06	0.00850727733305108	0.000286211173003356	8.42467852592239e-06	0	0.000186704413610866	0	0.00850727733305108	8.42467852592239e-06	0	0.000186704413610866	0.000186704413610866	0	2.88467899495931e-05	2.88467899495931e-05	0.0283197022960945	0.00298727061777386	0.119101882662715	0.00917327920397061	6.73974282073791e-05	0.000173080739697559	0.00165213077367128	0.00109103280715181	0.000873428628929569	0.000907961920151135	0.113278809184378	0.1079954958609	0.00114484469201343	5.76425372826269e-05	0.000144054112058558	0.105930739221063	2.88212686413134e-06	0.000818668218511073	0	0	2.88212686413135e-06	0	0.0991189580363305	0.000218411409618348	0.000218411409618348	5.47604104184956e-05	0.00077870214474171	5.33441181745332e-05	0.000144233949747966	0.0991189580363305	0	0.00077870214474171	0.00077870214474171
"Piper_sp2_M_SD_018"	0.0311643029074344	0.0117346365790664	0.0209981683634524	0.012020869266141	1.08655559132457	0.031783884235187	0.0114462170318531	0.000264691050655633	0.00979173355650249	0.0115552286226327	0.0110520104759269	0.00912318524296682	0.0115552286226327	0.000128952050319411	0.00892931543284315	0.0310444454664164	0.000128952050319411	0	0.00798278708759596	0	0.00892931543284315	0.000128952050319411	0	0.00798278708759596	0.00798278708759596	0	0.000381540567728437	0.000381540567728437	0.000286211173003357	0.127724593401535	0.125010416059804	0.121329900537643	0.00103161640255529	0.00228924340637062	0.00481405732694252	0.113952873171655	0.00258803569069721	0.00704716140281886	0.00114484469201343	0.00344967249463737	0.124177781865665	0.000882303502185442	0.006135502366274	0.00376474172449348	4.41151751092721e-05	0.00174984736362103	0	0	4.41151751092721e-05	0	0.00100173910551175	0.00288880715565816	0.00288880715565816	0.00083818832707617	0.00222602163624532	0.0022807963107417	0.00190770283864218	0.00100173910551175	0	0.00222602163624532	0.00222602163624532
"Elaeocarpus_sp1_M_SD_018"	0.00433710234122708	0.0573146965691871	0.056914556728926	0.00107152441968075	0.0529731403919783	1.14689545733269	0.000579082924298093	0.00129281270456813	0.000898805028100687	0.000584597999767599	0.000569436453553775	0.00116131808553011	0.000584597999767599	0.000629831830430627	0.000820306288434379	0.00151351829691367	0.000629831830430627	0	0.00101615332483885	0	0.000820306288434379	0.000629831830430627	0	0.00101615332483885	0.00101615332483885	0	1.93027641432698e-05	1.93027641432698e-05	2.5512486182875e-05	0.0162584531974216	0.0114842880380813	0.00613827899755979	0.00503865464344502	0.000115816584859619	0.00914657964958294	0.196446556927979	0.00883678662520958	0.195892122616192	0.0001020499447315	0.000313994958665234	0.00605407318765467	0.00430937568189377	0.19524314978658	0.000231652815028507	0.000215468784094688	0.0047428797274105	0	0	0.000215468784094688	0	8.92937016400626e-05	0.0001461494999419	0.0001461494999419	0.00409390689779908	0.000309793024373363	0.000290329521382528	9.65138207163488e-05	8.92937016400626e-05	0	0.000309793024373363	0.000309793024373363
"Psychotriasp._sp1_M_SD_018"	0.0204900566220961	0.000614449770569443	0.000902377524897051	0.00173080739697559	0.0190770283864218	0.000579082924298093	1.15188975258937	1.38597692609649e-05	0.000340060374881897	0.0200029883283133	0.0187079181596919	0.000280632418737703	0.0200029883283133	6.75219528098289e-06	0.000282748114014788	0.000545057953897767	6.75219528098289e-06	0	0.000245553366395491	0	0.000282748114014788	6.75219528098289e-06	0	0.000245553366395491	0.000245553366395491	0	0.0383963250863122	0.0383963250863122	4.12096999279902e-05	0.00392885386232785	0.00395847359620703	0.21003137744729	5.40175622478631e-05	0.230377950517873	0.001582662869408	0.00200421665935853	0.000119087396401143	0.000171711947791103	0.000164838799711961	0.00022924904346844	0.00218023181559107	4.61992308698829e-05	0.000140403090042738	0.00482121348967094	2.30996154349414e-06	7.51981270747542e-05	0	0	2.30996154349414e-06	0	0.000144233949747966	0.00500074708207833	0.00500074708207833	4.38892693263888e-05	0.00146357547300686	7.01581046844258e-05	0.191981625431561	0.000144233949747966	0	0.00146357547300686	0.00146357547300686
"Rhus_sp1_M_SD_018"	0.00126049905159718	0.0598838516491223	0.00243973579130256	3.45855223695761e-05	0.000441151751092721	0.00129281270456813	1.38597692609649e-05	1.26450865830788	2.92951771113186e-05	1.39917670634503e-05	1.38275497563219e-05	0.000371045637188431	1.39917670634503e-05	0.000658064303836508	2.67436968258283e-05	1.26043357455063e-05	0.000658064303836508	0	0.000324664932539877	0	2.67436968258283e-05	0.000658064303836508	0	0.000324664932539877	0.000324664932539877	0	4.61992308698829e-07	4.61992308698829e-07	8.23464818323241e-07	0.00519463892063803	0.000374411755561597	0.000146913554166228	0.00526451443069206	2.77195385219297e-06	0.00457076493742184	0.00025958395920396	0.00448072929087918	0.000418780100036568	3.29385927329297e-06	1.0205921141961e-05	5.04173429820252e-05	0.21502886102625	0.00449288675903199	6.33901430321183e-06	0.210751443051312	0.00020331131594188	0	0	0.210751443051313	0	2.88212686413134e-06	3.49794176586256e-06	3.49794176586256e-06	0.0042774179749373	9.00356465426558e-05	9.27614092971077e-05	2.30996154349415e-06	2.88212686413134e-06	0	9.00356465426558e-05	9.00356465426558e-05
"Aglaia_sp1_M_SD_018"	0.0266645867577701	0.00194812927790269	0.0255796910054907	0.106518453894828	0.0244793338912563	0.00134820754215103	0.000510090562322846	4.39427656669779e-05	1.09270864698643	0.000514948567678302	0.00284769541638481	0.000532529828130197	0.000514948567678302	2.14080140428867e-05	0.0221952220936359	0.000699409539750178	2.14080140428867e-05	0	0.000465963599613922	0	0.0221952220936359	2.14080140428867e-05	0	0.000465963599613922	0.000465963599613922	0	1.70030187440949e-05	1.70030187440949e-05	0.00253615366416257	0.00745541759382276	0.310733109310903	0.00540695996062217	0.000171264112343093	0.000102018112464569	0.0041754063482437	0.0026726346461508	0.00227079300840299	0.00235634217414939	0.0101446146566503	0.282053699571176	0.00279763815900071	0.000146475885556593	0.000363853348303935	0.0095884616786652	7.32379427782965e-06	0.00213164091712422	0	0	7.32379427782965e-06	0	0.00887653782456899	0.000128737141919575	0.000128737141919575	0.000139152091278763	0.00190461333984072	0.000133132457032549	8.50150937204744e-05	0.00887653782456899	0	0.00190461333984072	0.00190461333984072
"Ficus_dammaropsis"	0.0310278000277455	0.000930452509719442	0.00136645739484411	0.00262093691542018	0.0288880715565816	0.000876896999651398	0.03000448249247	2.09876505951754e-05	0.000514948567678302	1.17314738232573	0.0283291332132477	0.000424957662659951	0.0302902394685887	1.02247528540598e-05	0.000428161429793821	0.000825373473045189	1.02247528540598e-05	0	0.000371837954827457	0	0.000428161429793821	1.02247528540598e-05	0	0.000371837954827457	0.000371837954827457	0	0.00100014941641567	0.00100014941641567	6.24032598909566e-05	0.00594940727723931	0.0059942600171135	0.318047514420182	8.17980228324784e-05	0.006000896498494	0.00239660377367498	0.00303495665560006	0.000180332343121731	0.000260020949512242	0.000249613039563826	0.000347148551537923	0.00330149389218076	6.99588353172513e-05	0.000212610393493288	0.00730069471293028	3.49794176586256e-06	0.000113871449570342	0	0	3.49794176586256e-06	0	0.000218411409618348	0.00757255986714718	0.293286845581433	6.64608935513887e-05	0.00221627143055325	0.000106239415664988	0.00500074708207833	0.000218411409618348	0	0.00221627143055325	0.00221627143055325
