"Heteractis_crispa"	"Entacmaea_quadricolor"	"Heteractis_magnifica"	"Stichodactyla_mertensii"	"Heteractis_aurora"	"Stichodactyla_gigantea"	"Stichodactyla_haddoni"	"Macrodactyla_doreensis"	"Heteractis_malu"	"Cryptodendrum_adhaesivum"	"Amphiprion_clarkii"	"Amphiprion_akindynos"	"Amphiprion_chrysopterus"	"Amphiprion_chrysogaster"	"Amphiprion_bicinctus"	"Amphiprion_tricinctus"	"Amphiprion_perideraion"	"Amphiprion_allardi"	"Amphiprion_melanopus"	"Amphiprion_ocellaris"	"Amphiprion_percula"	"Amphiprion_leucokranos"	"Amphiprion_polymnus"	"Amphiprion_omanensis"	"Amphiprion_rubrocinctus"	"Amphiprion_sandaracinos"	"Amphiprion_akallopisos"	"Amphiprion_ephippium"	"Amphiprion_frenatus"	"Amphiprion_fuscocaudatus"	"Amphiprion_latezonatus"	"Amphiprion_latifasciatus"	"Amphiprion_mccullochi"	"Amphiprion_nigripes"	"Amphiprion_sebae"	"Premnas_biaculeatus"
"Heteractis_crispa"	1.09946242044608	0.0468643059852631	0.0428797012272048	0.0417231451044118	0.0210599123837891	0.0305235067158382	0.0260721191803184	0.0192595781833875	0.00274432205351794	0.00274432205351794	0.0548864410703588	0.0497346717439174	0.0502343998471009	0.00675796425112042	0.0478723775167518	0.0441780041292117	0.0453683356763951	0.00491148911328013	0.0447633617105972	0.00529910973770977	0.0429608884034717	0.0426579055839015	0.0435362565160206	0.0429312825502227	0.00371019247686539	0.0408712513661013	0.00339139056796988	0.0410689883230571	0.0018024733071255	0.00160473635016969	0.0392665150159316	0.00160473635016969	0.0018024733071255	0.0017866542178002	0.0018622942271656	0.0018024733071255
"Entacmaea_quadricolor"	0.0504692525995141	1.13023852685473	0.0254617650531212	0.0333251495082309	0.029287299974431	0.0305382103954856	0.0203198368347184	0.00800191592047756	0.00284568809631257	0.00284568809631257	0.0569137619262513	0.0530678343398791	0.0521594356802209	0.00588601031169997	0.0516164174231135	0.0486468723961822	0.00577225782411643	0.0468443990890567	0.0482427309053925	0.00425128154647858	0.00477201833405673	0.00414511670388623	0.0042541297139508	0.0467246027952268	0.0453793507210536	0.00308420982667285	0.00234264339676073	0.0452731858784612	0.0434707125713358	0.00128173651954734	0.0018024733071255	0.00128173651954734	0.0434707125713358	0.00106090687721338	0.0014514169167656	0.0434707125713357
"Heteractis_magnifica"	0.0500263180984055	0.027583578807548	1.09455608947056	0.0553013658726955	0.0236143440211632	0.0421760128245248	0.0196334318422133	0.0143267178890165	0.00305773725360451	0.00305773725360451	0.0611547450720902	0.0563061680823586	0.0554610070169528	0.0508226061858122	0.0549037800936291	0.00666127556415639	0.0518199984834	0.00487462134635619	0.0510900656244863	0.050369480139961	0.0500291587472729	0.0495201335562284	0.00497988194265679	0.0042499490837431	0.00369690767874618	0.00391362982828849	0.0477334793384282	0.00284756109501358	0.00106090687721338	0.00212697561048829	0.0017866542178002	0.00212697561048829	0.00106090687721338	0.0456065037279399	0.00140238798872952	0.00106090687721338
"Stichodactyla_mertensii"	0.0449326178047512	0.0333251495082309	0.051047414651719	1.11541226758468	0.0346254951648396	0.0217470219988816	0.0185232277180128	0.00802824654929661	0.00284594617646067	0.00284594617646067	0.0569189235292134	0.0530694465340906	0.0527137884778226	0.0488237847894435	0.0517463588399468	0.0482601943545284	0.00609443165425015	0.0466554580043587	0.00637263735513542	0.0463866363155984	0.00509090083558808	0.046632183790838	0.00393135486297554	0.0042095605638608	0.00264092539447744	0.0445052081803497	0.0450274474406683	0.00288647286971703	0.00128173651954734	0.04290047183018	0.00160473635016969	0.04290047183018	0.00128173651954734	0.00212697561048829	0.00132308769414377	0.00128173651954734
"Heteractis_aurora"	0.0421198247675783	0.0543906999525148	0.0404817326077083	0.0643044910204165	1.05792960030086	0.0220690155384871	0.0302209124053913	0.0125092437374681	0.0046539065014557	0.0046539065014557	0.0930781300291141	0.0868605680604748	0.0870449100565029	0.0818850251351608	0.0847019314600898	0.0816358791302798	0.00613398725297841	0.0801315996742949	0.00666228178396854	0.00553930198444136	0.0045703317857949	0.00566426796927086	0.00522657152355354	0.00575486605454368	0.00347126346932909	0.00397752911061634	0.00415998851328591	0.00359622945415858	0.00209194999817365	0.0024732496546314	0.00150427945598494	0.0024732496546314	0.00209194999817365	0.00168673885865451	0.00215863660038509	0.00209194999817365
"Stichodactyla_gigantea"	0.0534161367527168	0.049624591892664	0.0632640192367872	0.0353389107481826	0.0193103885961762	1.07559607292948	0.0134140676604506	0.0150268176306629	0.00417116394310703	0.00417116394310703	0.0834232788621406	0.0773737627152007	0.0120273603609411	0.00633265083765053	0.0764156150251685	0.00655485966554328	0.073646826733198	0.00464714049580339	0.0736771126790829	0.0712199442345553	0.0717684745293651	0.00590290884620279	0.00474421906360494	0.00477450500948992	0.0691333927078102	0.00326690804466998	0.0039951896764629	0.00381635731945773	0.00190863814971785	0.0013591888749301	0.00190771916973989	0.0013591888749301	0.00190863814971785	0.0026360008015328	0.000958147690032187	0.00190863814971785
"Stichodactyla_haddoni"	0.0521442383606367	0.0377368398359056	0.0336573117295084	0.0344002800477381	0.0302209124053913	0.015330363040515	1.09432885282532	0.0259808587627419	0.00476683816278656	0.00476683816278656	0.0953367632557313	0.087322317747602	0.0896117774029125	0.0830504589136386	0.00915597111722177	0.00679543543846007	0.00747043725127005	0.00493314121129447	0.0056742468226929	0.00368362337290548	0.0042228299059273	0.00458776991003889	0.0832762482028885	0.0814800577743114	0.00240956460679779	0.00318538192130937	0.00272547568287329	0.0033137111439312	0.0014514169167656	0.00132308769414377	0.0018622942271656	0.00132308769414377	0.0014514169167656	0.00140238798872952	0.0781663466303802	0.0014514169167656
"Macrodactyla_doreensis"	0.0674085236418562	0.0260062267415521	0.0429801536670496	0.026091801285214	0.0218911765405692	0.0300536352613258	0.0454665028347984	1.05815520047741	0.00764005644177935	0.00764005644177935	0.152801128835587	0.0128916723341314	0.143282720189975	0.0076056333673154	0.00964406498878865	0.00597487304882872	0.13834603927256	0.00356742577590528	0.00707687870294306	0.00467272275862201	0.00607663921288337	0.00520181782771258	0.137924454677942	0.00665529410832587	0.00287859169389256	0.00341097809158551	0.00279437055478914	0.00340768676298313	0.00100023949005969	0.00100353081866208	0.00240744727292344	0.00100353081866208	0.00100023949005969	0.00179083973612707	0.00324760734534274	0.00100023949005969
"Heteractis_malu"	0.0384205087492512	0.0369939452520634	0.0366928470432541	0.0369973002939887	0.0325773455101899	0.0333693115448562	0.033367867139506	0.0305602257671174	1.02717699101655	0.0271769910165533	0.543539820331066	0.0125428010936225	0.0142772473429586	0.00766221404715372	0.0101593820122292	0.00654493141387344	0.00880663984600442	0.00517277038711447	0.00640945567327102	0.0050374236865861	0.00498661162511474	0.00432400274179156	0.00757560832904192	0.00517842415630853	0.0035084260197098	0.0027951341149893	0.00295184171503259	0.00279500507491525	0.00142284404815628	0.00142297308823033	0.00137216102675897	0.00142297308823033	0.00142284404815628	0.00152886862680225	0.00238341908139328	0.00142284404815628
"Cryptodendrum_adhaesivum"	0.0384205087492512	0.0369939452520634	0.0366928470432541	0.0369973002939887	0.0325773455101899	0.0333693115448562	0.033367867139506	0.0305602257671174	0.0271769910165533	1.02717699101655	0.543539820331066	0.0125428010936225	0.0142772473429586	0.00766221404715372	0.0101593820122292	0.00654493141387344	0.00880663984600442	0.00517277038711447	0.00640945567327102	0.0050374236865861	0.00498661162511474	0.00432400274179156	0.00757560832904192	0.00517842415630853	0.0035084260197098	0.0027951341149893	0.00295184171503259	0.00279500507491525	0.00142284404815628	0.00142297308823033	0.00137216102675897	0.00142297308823033	0.00142284404815628	0.00152886862680225	0.00238341908139328	0.00142284404815628
"Amphiprion_clarkii"	0.0768410174985023	0.0739878905041267	0.0733856940865082	0.0739946005879774	0.0651546910203799	0.0667386230897125	0.0667357342790119	0.0611204515342348	0.0543539820331065	0.0543539820331065	1.08707964066213	0.025085602187245	0.0285544946859173	0.0153244280943074	0.0203187640244584	0.0130898628277469	0.0176132796920088	0.0103455407742289	0.012818911346542	0.0100748473731722	0.00997322325022948	0.00864800548358312	0.0151512166580838	0.0103568483126171	0.00701685203941959	0.0055902682299786	0.00590368343006517	0.0055900101498305	0.00284568809631257	0.00284594617646067	0.00274432205351794	0.00284594617646067	0.00284568809631257	0.00305773725360451	0.00476683816278656	0.00284568809631257
"Amphiprion_akindynos"	0.0994693434878348	0.0985545494883468	0.0965248595697576	0.0985575435633111	0.0868605680604748	0.0884271573888008	0.087322317747602	0.00736666990521793	0.00179182872766036	0.00179182872766036	0.0358365745532071	1.03312391208739	0.0285180484887467	0.0202541786017519	0.0268866036768515	0.0173380371913116	0.0140218767768292	0.0137855606381746	0.0168916026343825	0.013339241237975	0.0131010430386769	0.0113650204543119	0.0107106187018322	0.0135803445593856	0.00931725693250569	0.007343151305572	0.00781254390117494	0.0073430361488426	0.00379055959570565	0.00379067475243504	0.00355247655313696	0.00379067475243504	0.00379055959570565	0.0040218691487399	0.006237308410543	0.00379055959570565
"Amphiprion_chrysopterus"	0.100468799694202	0.0968675234061246	0.095076012029062	0.0978970357445276	0.0870449100565029	0.0137455546982184	0.0896117774029125	0.0818758401085569	0.00203960676327981	0.00203960676327981	0.0407921352655961	0.0285180484887467	1.03789343133368	0.0203451059252993	0.0221172072456815	0.017296609575832	0.0186432491010693	0.0137084381581819	0.0121344430646583	0.00858586827540833	0.00840876908749964	0.0113149425244197	0.0202234926742849	0.0137146866378739	0.00458477114579729	0.00735344202320882	0.00772677110676967	0.0073138453948087	0.00372567397715864	0.00376527060555875	0.00358817141765007	0.00376527060555876	0.00372567397715864	0.00396150050121092	0.00640084124306518	0.00372567397715864
