"Entacmaea_quadricolor"	"Heteractis_crispa"	"Heteractis_magnifica"	"Stichodactyla_mertensii"	"Heteractis_aurora"	"Heteractis_malu"	"Amphiprion_clarkii"	"Amphiprion_perideraion"	"Amphiprion_ocellaris"	"Amphiprion_sandaracinos"	"Premnas_biaculeatus"
"Entacmaea_quadricolor"	1.18287054941089	0.037538350478253	0.00288756542140408	0.0400134065537422	0.0350117307345245	0.0350117307345245	0.350117307345245	0.0101064789749143	0.00072189135535102	0.0100033516384356	0.295717637352721
"Heteractis_crispa"	0.037538350478253	1.10738133910846	0.0851831799314203	0.037538350478253	0.0328460566684714	0.0328460566684714	0.328460566684714	0.298141129759971	0.0212957949828551	0.00938458761956326	0.00938458761956326
"Heteractis_magnifica"	0.00288756542140408	0.0851831799314203	1.23732178307165	0.00288756542140408	0.00252661974372857	0.00252661974372857	0.0252661974372857	0.330626240750767	0.309330445767912	0.00072189135535102	0.00072189135535102
"Stichodactyla_mertensii"	0.0400134065537422	0.037538350478253	0.00288756542140408	1.18287054941089	0.0350117307345245	0.0350117307345245	0.350117307345245	0.0101064789749143	0.00072189135535102	0.295717637352721	0.0100033516384356
"Heteractis_aurora"	0.0700234614690489	0.0656921133369428	0.00505323948745714	0.0700234614690489	1.06127052878542	0.0612705287854178	0.612705287854178	0.0176863382061	0.00126330987186428	0.0175058653672622	0.0175058653672622
"Heteractis_malu"	0.0700234614690489	0.0656921133369428	0.00505323948745714	0.0700234614690489	0.0612705287854178	1.06127052878542	0.612705287854178	0.0176863382061	0.00126330987186428	0.0175058653672622	0.0175058653672622
"Amphiprion_clarkii"	0.140046922938098	0.131384226673886	0.0101064789749143	0.140046922938098	0.122541057570836	0.122541057570836	1.22541057570836	0.0353726764122	0.00252661974372857	0.0350117307345245	0.0350117307345245
"Amphiprion_perideraion"	0.0101064789749143	0.298141129759971	0.330626240750767	0.0101064789749143	0.00884316910304999	0.00884316910304999	0.0884316910304999	1.15719184262768	0.0826565601876917	0.00252661974372857	0.00252661974372857
"Amphiprion_ocellaris"	0.00144378271070204	0.0425915899657102	0.618660891535824	0.00144378271070204	0.00126330987186428	0.00126330987186428	0.0126330987186428	0.165313120375384	1.15466522288396	0.00036094567767551	0.00036094567767551
"Amphiprion_sandaracinos"	0.0200067032768711	0.0187691752391265	0.00144378271070204	0.591435274705443	0.0175058653672622	0.0175058653672622	0.175058653672622	0.00505323948745714	0.00036094567767551	1.14785881867636	0.00500167581921778
"Premnas_biaculeatus"	0.591435274705443	0.0187691752391265	0.00144378271070204	0.0200067032768711	0.0175058653672622	0.0175058653672622	0.175058653672622	0.00505323948745714	0.00036094567767551	0.00500167581921778	1.14785881867636
