"Gastonia_crassa"	"Craterispermum_microdon"	"Roscheria_melanochaetes"	"Nephrosperma_vanhoutteanum"	"Psychotria_pervillei"	"Erythroxylum_sechellarum"	"Glionnetia_sericea"	"Memecylon_eleagni"	"Dillenia_ferruginea"	"Aphloia_theiformis"	"Paragenipa_wrightii"	"Apis_mellifera"	"Lasioglossum_mahense"	"Nectarinia_dussumieri"	"Unidentified_sp2_M_PL_103"	"Phelsuma_sp1_M_PL_103"	"Agrius_convolvuli"	"Forcipomyia_sp1_M_PL_103"	"Lygistorrhina_sp1_M_PL_103"	"Hemipyrellia_germana"	"Ornidia_obesa"	"Pachycerina_seychellensis"	"Physiphoa_azurea"	"Unidentified_sp1_M_PL_103"	"Unidentified_sp3_M_PL_103"
"Gastonia_crassa"	1.15092765219454	0.0244151882364614	0.0309389153815736	0.0244151882364614	0.0388050248430838	0.0124020513696715	0	0.0120131368667899	0	0.0274030393379652	0.0120131368667899	0.124020513696716	0.120131368667899	0.105611893893649	0.00309389153815736	0.0990045292210354	0	0.00309389153815736	0.00309389153815736	0.109612157351861	0	0	0.0959106376828781	0.00309389153815736	0
"Craterispermum_microdon"	0.0732455647093842	1.06316676969516	0.00196896679326302	0.0631667696951567	0.034909308294249	0.0312015272610796	0	0.0319652424340771	0	0.0017439420168901	0.0319652424340771	0.312015272610796	0.319652424340771	0.0148311241326776	0.000196896679326302	0.00630069373844165	0	0.000196896679326302	0.000196896679326302	0.0069757680675604	0	0	0.00610379705911535	0.000196896679326302	0
"Roscheria_melanochaetes"	0.0371266984578883	0.000787586717305207	1.2913206101736	0.000787586717305207	0.00125177499493819	0.000400066173215211	0	0.000387520544089996	0	0.000883969010902102	0.000387520544089996	0.00400066173215211	0.00387520544089996	0.0034068352868919	0.12913206101736	0.132225952555517	0	0.12913206101736	0.12913206101736	0.00353587604360841	0	0	0.00309389153815736	0.12913206101736	0
"Nephrosperma_vanhoutteanum"	0.0732455647093842	0.0631667696951567	0.00196896679326302	1.06316676969516	0.034909308294249	0.0312015272610796	0	0.0319652424340771	0	0.0017439420168901	0.0319652424340771	0.312015272610796	0.319652424340771	0.0148311241326776	0.000196896679326302	0.00630069373844165	0	0.000196896679326302	0.000196896679326302	0.0069757680675604	0	0	0.00610379705911535	0.000196896679326302	0
"Psychotria_pervillei"	0.116415074529251	0.034909308294249	0.00312943748734547	0.034909308294249	1.1032717855721	0.0318919849211495	0	0.00301732337309949	0	0.0027717874887917	0.00301732337309949	0.318919849211495	0.0301732337309949	0.285519202603796	0.000312943748734547	0.0100141999595055	0	0.000312943748734547	0.000312943748734547	0.0110871499551668	0	0	0.00970125621077095	0.000312943748734547	0
"Erythroxylum_sechellarum"	0.0744123082180293	0.0624030545221591	0.00200033086607606	0.0624030545221591	0.063783969842299	1.05824721530595	0	0.00415583921621282	0	0.00177172162423879	0.00415583921621282	0.582472153059463	0.0415583921621282	0.0221470181454105	0.000200033086607606	0.00640105877144338	0	0.000200033086607606	0.000200033086607606	0.00708688649695517	0	0	0.00620102568483578	0.000200033086607606	0
"Glionnetia_sericea"	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0
"Memecylon_eleagni"	0.0720788212007392	0.0639304848681542	0.00193760272044998	0.0639304848681542	0.00603464674619899	0.00415583921621282	0	1.05977464565194	0	0.00171616240954141	0.0597746456519413	0.0415583921621282	0.597746456519413	0.00751523011994468	0.000193760272044998	0.00620032870543993	0	0.000193760272044998	0.000193760272044998	0.00686464963816564	0	0	0.00600656843339493	0.000193760272044998	0
"Dillenia_ferruginea"	0	0	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0.222222222222222	0.222222222222222	0	0	0.222222222222222
"Aphloia_theiformis"	0.164418236027791	0.0034878840337802	0.00441984505451051	0.0034878840337802	0.0055435749775834	0.00177172162423879	0	0.00171616240954141	0	1.14677186276257	0.00171616240954141	0.0177172162423879	0.0171616240954141	0.0150874134133784	0.000441984505451051	0.0141435041744336	0	0.000441984505451051	0.000441984505451051	0.587087451050266	0	0	0.0137015196689826	0.000441984505451051	0
"Paragenipa_wrightii"	0.0720788212007392	0.0639304848681542	0.00193760272044998	0.0639304848681542	0.00603464674619899	0.00415583921621282	0	0.0597746456519413	0	0.00171616240954141	1.05977464565194	0.0415583921621282	0.597746456519413	0.00751523011994468	0.000193760272044998	0.00620032870543993	0	0.000193760272044998	0.000193760272044998	0.00686464963816564	0	0	0.00600656843339493	0.000193760272044998	0
"Apis_mellifera"	0.148824616436059	0.124806109044318	0.00400066173215211	0.124806109044318	0.127567939684598	0.116494430611893	0	0.00831167843242563	0	0.00354344324847758	0.00831167843242563	1.16494430611893	0.0831167843242564	0.044294036290821	0.000400066173215211	0.0128021175428868	0	0.000400066173215211	0.000400066173215211	0.0141737729939103	0	0	0.0124020513696716	0.000400066173215211	0
"Lasioglossum_mahense"	0.144157642401478	0.127860969736308	0.00387520544089995	0.127860969736308	0.012069293492398	0.00831167843242563	0	0.119549291303883	0	0.00343232481908282	0.119549291303883	0.0831167843242563	1.19549291303883	0.0150304602398894	0.000387520544089996	0.0124006574108799	0	0.000387520544089996	0.000387520544089996	0.0137292992763313	0	0	0.0120131368667899	0.000387520544089996	0
"Nectarinia_dussumieri"	0.316835681680947	0.0148311241326776	0.00851708821722975	0.0148311241326776	0.285519202603796	0.0110735090727053	0	0.00375761505997234	0	0.00754370670668921	0.00375761505997234	0.110735090727053	0.0375761505997234	1.09778277412436	0.000851708821722976	0.0272546822951352	0	0.000851708821722976	0.000851708821722976	0.0301748268267569	0	0	0.0264029734734123	0.000851708821722976	0
