"Cecropia_membranacea"	"Cecropia_tessmannii"	"Cecropia_ficifolia"	"Cecropia_sp1_M_PA_002"	"Cecropia_polystachya"	"Cecropia_engleriana"	"Azteca_xanthochroa"	"Azteca_ovaticeps"	"Camponotus_balzani"	"Pachycondyla_luteola"
"Cecropia_membranacea"	1.0852595474696	0.0307651984508945	0.0503142948813542	0.0233947462368215	0.0852595474695986	0.0583399988250659	0.233947462368215	0.209671515529466	0.215356389156262	0.00769129961272363
"Cecropia_tessmannii"	0.0461477976763418	1.18906949735414	0.043346031659956	0.00291022147508462	0.0461477976763418	0.00571198749147043	0.0291022147508462	0.0168105960983149	0.323486481478971	0.297267374338535
"Cecropia_ficifolia"	0.0754714423220314	0.043346031659956	1.0697142650561	0.0317864873536416	0.0754714423220314	0.0375436646195699	0.317864873536416	0.0345430635955696	0.303422221619692	0.010836507914989
"Cecropia_sp1_M_PA_002"	0.0701842387104646	0.00582044295016924	0.0635729747072833	1.05848008712589	0.0701842387104646	0.0650913511290665	0.584800871258852	0.0396675840190882	0.0407431006511847	0.00145511073754231
"Cecropia_polystachya"	0.0852595474695986	0.0307651984508945	0.0503142948813542	0.0233947462368215	1.0852595474696	0.0583399988250659	0.233947462368215	0.209671515529466	0.215356389156262	0.00769129961272363
"Cecropia_engleriana"	0.0875099982375988	0.00571198749147043	0.0375436646195699	0.0325456755645333	0.0875099982375988	1.08251200918256	0.325456755645333	0.299798001708174	0.039983912440293	0.00142799687286761
"Azteca_xanthochroa"	0.140368477420929	0.0116408859003385	0.127145949414567	0.11696017425177	0.140368477420929	0.130182702258133	1.1696017425177	0.0793351680381763	0.0814862013023693	0.00291022147508462
"Azteca_ovaticeps"	0.209671515529466	0.0112070640655432	0.0230287090637131	0.0132225280063627	0.209671515529466	0.199865334472116	0.132225280063627	1.11985683879452	0.0784494484588028	0.00280176601638581
"Camponotus_balzani"	0.161517291867196	0.161743240739485	0.151711110809846	0.0101857751627962	0.161517291867196	0.0199919562201465	0.101857751627962	0.0588370863441021	1.1322026851764	0.0404358101848714
"Pachycondyla_luteola"	0.0230738988381709	0.594534748677069	0.021673015829978	0.00145511073754231	0.0230738988381709	0.00285599374573522	0.0145511073754231	0.00840529804915744	0.161743240739485	1.14863368716927
