"Myospalax_myospalax"	"Spermophilus_erythrogenys"	"Cricetulus_migratorius"	"Apodemus_uralensis"	"Microtus_arvalis"	"Marmota_baibacina"	"Alticola_strelzowi"	"Ellobius_talpinus"	"Sicista_tianshanica"	"Arvicola_terrestris"	"Microtus_oeconomus"	"Dryomys_nitedula"	"Allactaga_major"	"Clethrionomys_rufocanus"	"Apodemus_agrarius"	"Allactaga_elater"	"Microtus_gregalis"	"Allocricetulus_eversmanni"	"Alticola_argentatus"	"Cricetus_cricetus"	"Sicista_subtilis"	"Ctenophthalmus_dilatatus"	"Citellophilus_ullus"	"Oropsylla_silantiewi"	"Frontopsylla_elata"	"Amphipsylla_schelkovnikovi"	"Ctenophthalmus_assimilis"	"Pectinoctenus_nemorosa"	"Megabothris_rectangulatus"	"Amphipsylla_dumalis"	"Amphipsylla_primaris"	"Neopsylla_democratica"	"Neopsylla_mana"	"Amphipsylla_anceps"	"Leptopsylla_sicistae"	"Ceratophyllus_sciurorum"	"Ctenophthalmus_arvalis"	"Frontopsylla_ornata"	"Neopsylla_setosa"	"Amalaraeus_penicilliger"	"Hystrichopsylla_talpae"	"Mesopsylla_hebes"	"Leptopsylla_nana"	"Rhadinopsylla_ioffi"	"Amphipsylla_rossica"	"Callopsylla_caspia"	"Frontopsylla_elatoides"	"Mesopsylla_lenis"	"Pectinoctenus_lauta"	"Mesopsylla_eucta"	"Nosopsyllus_consimilis"	"Oropsylla_ilovaiskii"	"Paraneopsylla_ioffi"
"Microtus_oeconomus"	0.0100532278546805	0.00235611879347235	0.0390169349338027	0.0460040265464681	0.0231865763841328	0	0.0365876883388037	0.00625243265040985	0.0282527976699791	0.0238021495523216	1.05122490648022	0	0.00113164816593932	0.0269785678448968	0.0127611028711489	0	0.016383938614844	0.0003040797044953	0.000428757526745084	0.00830429969647337	0.0003040797044953	0.00125665348183506	0.0024326376359624	0	0.102063140228563	0.0015006513436078	0.109417571382172	0.00209109211574855	0.101466661075063	0.00156310816260246	0.00454962537184144	0.00295364805823222	0.0996515963576804	0.00359174345935635	0.00491637188274647	0	0.00393359493090921	0.00761422866723615	0.00436515828597915	0.0987571589362433	0.0946258634351141	0.000188608027656554	0.00171503010698034	0.00125665348183506	0.00672116359891596	0.00304897402823364	0.00169699457639716	0	0.0015006513436078	0	0.0015006513436078	0.000196343232789363	0.00209109211574855
"Dryomys_nitedula"	0	0	0	0	0	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Allactaga_major"	0.00136023247927252	0.0569531564795731	0.0321403655362839	0.00311363766286682	0.0282043597756489	0	0.00190931735804409	0.000650589964343438	0.00118590371139943	0.00156688444809585	0.00226329633187864	0	1.14659496004887	0.00161330225739594	0.000887769840072373	0	0.0523439855023942	0.00101377995541931	0.000353190830069054	0.000164821196288703	0.00101377995541931	0.000170029059909065	0.00811023964335448	0	0.00445905069780611	0.00123616790524169	0.0113853243760102	0.000141528984675765	0.00321934788596265	0.000162647491085859	0.0013952776850787	0.00615229333844851	0.00197785435546443	0.00137769688991746	0.000260119355815708	0	0.203624422474483	0.000421449581555302	0.204738617883879	0.00729339238798458	0.00170469652977778	0.191099160008145	0.00141276332027622	0.000170029059909065	0.00265322252505277	0.000159109779837008	0.00598226427853945	0	0.00123616790524169	0	0.00123616790524169	0.00474609637329776	0.000141528984675765
"Clethrionomys_rufocanus"	0.00111675556103954	0.00209061148740741	0.0352626356644387	0.0613001142579466	0.0361481772619001	0	0.01267578306715	0.00736837962001463	0.0428353750888282	0.00862077593847522	0.0323742814138762	0	0.000967981354437564	1.06722081891773	0.015119554649452	0	0.00823532364056139	0.000455223675586994	0.000387501490818007	0.000698816568085665	0.000455223675586994	0.000139594445129942	0.00364178940469595	0	0.121411114747149	0.00135625521786303	0.128946643350256	0.00278636882990666	0.0152732224737792	0.00184209490500366	0.00241257047345886	0.00167006728694359	0.00838579881702798	0.00414262404776969	0.00706990633878948	0	0.00272121852262341	0.113791988230562	0.00437731140991873	0.00900675231480822	0.115059731403008	0.000161330225739594	0.00155000596327203	0.000139594445129942	0.112520798826838	0.00105631525559583	0.00153047284181365	0	0.00135625521786303	0	0.00135625521786303	0.000174217623950618	0.00278636882990666
"Apodemus_agrarius"	0.00127253616645461	0.00259456690096039	0.0418112878348831	0.0435804463602441	0.0376518010806552	0	0.0247795893724951	0.0161660358674258	0.018952596169167	0.0166058930908542	0.0382833086134466	0	0.00133165476010856	0.0377988866236301	1.03373060185181	0	0.0165735158347631	0.000479123428352566	0.000459464701482232	0.000782901248246453	0.000479123428352566	0.000159067020806827	0.00383298742682053	0	0.274194486549398	0.00160812645518781	0.282905627679951	0.00198092938001109	0.0150367294342865	0.00404150896685644	0.00367309223622907	0.00198340738440801	0.00939481497895743	0.00358905583519891	0.0038761889969278	0	0.00411797230296466	0.00765607765929081	0.00564749593783145	0.0120755092066607	0.0104735504522547	0.000221942460018093	0.00183785880592893	0.000159067020806827	0.0088984681324287	0.00206496578104126	0.00182434036360118	0	0.00160812645518781	0	0.00160812645518781	0.000216213908413366	0.00198092938001109
"Allactaga_elater"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333333333	0	0.333333333333333	0	0	0
"Microtus_gregalis"	0.00154254624837452	0.0404646307174644	0.0329759105459879	0.0277027784108441	0.0289610349359871	0	0.017879447639357	0.00852527498627459	0.0102537764887151	0.022533180622327	0.024575907922266	0	0.0392579891267957	0.0102941545507017	0.00828675791738156	0	1.0575203797529	0.000826496019683947	0.000362372643362504	0.000544198785226992	0.000826496019683947	0.000192818281046815	0.00661196815747158	0	0.0115799922614781	0.00126830425176876	0.149192312259805	0.00125921720049292	0.0119914908278864	0.00213131874656865	0.00275825822171518	0.00483317509260428	0.00653038542272391	0.00252752145226168	0.00228459484936442	0	0.143373402468469	0.0033140103044346	0.144518517794699	0.140742741070128	0.00537108968256595	0.00654299818779928	0.00144949057345002	0.000192818281046815	0.00470205223356201	0.00148995396994642	0.00464035681155747	0	0.00126830425176877	0	0.00126830425176877	0.0033720525597887	0.00125921720049292
"Allocricetulus_eversmanni"	0.00146889803878539	0.0825535199214939	0.0056775363834761	0.00327042000805901	0.0778271552787126	0	0.00146424828891255	0.000475232929534207	0.00126048236129539	0.0011198392329507	0.0018244782269718	0	0.00304133986625793	0.00227611837793497	0.000958246856705132	0	0.00330598407873579	1.07333786518095	6.23905097085286e-05	7.17126118895791e-05	0.0733378651809549	0.000183612254848174	0.586702921447639	0	0.00759385260707782	0.00021836678397985	0.00831657626684862	0.000148655454911773	0.00722100037941617	0.000118808232383552	0.000340387474722562	0.00728143903228585	0.000860551342674949	0.000367022238891623	0.000274703691041312	0	0.0080179647649893	0.00050231552883481	0.0142851942542355	0.00102260387990256	0.000724066710150536	0.000506889977709655	0.000249562038834114	0.000183612254848174	0.00686186356593132	0.000122020690742712	0.00709782677743768	0	0.00021836678397985	0	0.00021836678397985	0.00687945999345783	0.000148655454911773
"Alticola_argentatus"	0.00202222998165747	0.00399991713955089	0.163398944587633	0.00374439016374709	0.00124088567596551	0	0.00309544875521964	0.000441715447726649	0.00148932768580726	0.000560574234639805	0.00257254516047051	0	0.00105957249020716	0.00193750745409004	0.000918929402964464	0	0.00144949057345002	6.23905097085286e-05	1.14465273565481	0.000624337905977767	6.23905097085286e-05	0.000252778747707184	0.000499124077668229	0	0.00745399740685105	0.00628457479183203	0.00773002033521635	0.000170199552897595	0.00098830132655626	0.000110428861931662	0.006542528854767	0.00687067996783512	0.00749205487173321	0.00645477434472963	0.000319132321478321	0	0.00697568295684372	0.000512883066887325	0.000794515304675479	0.000917147739992993	0.0068416370691943	0.000176595415034527	0.578610942619236	0.000252778747707184	0.000467357437970391	0.00025795406293497	0.00661790122012794	0	0.00628457479183203	0	0.00628457479183203	0.000333326428295907	0.000170199552897595
"Cricetus_cricetus"	0.0533914468899799	0.00275850459223832	0.0568147494439768	0.0543332272084647	0.00326535480648633	0	0.0521990006084308	0.000632760959985852	0.00368178686232243	0.00272911204323266	0.0498257981788402	0	0.000494463588866108	0.00349408284042832	0.0015658024964929	0	0.00217679514090797	7.17126118895791e-05	0.000624337905977767	1.04520268454292	7.17126118895791e-05	0.00667393086124748	0.000573700895116633	0	0.014169913191074	0.00218518267092219	0.0110733167997524	0.0024696921458393	0.0120669023054234	0.000158190239996463	0.00653509938829142	0.0090889889148562	0.542432214515076	0.00465487481676149	0.00283787083207155	0	0.00276956804436656	0.00318727911611438	0.000856498273984901	0.0116987101112642	0.00705491948943395	8.24105981443514e-05	0.00249735162391107	0.00667393086124748	0.00309121333042266	0.00434991671736923	0.00241505805360871	0	0.00218518267092219	0	0.00218518267092219	0.000229875382686527	0.0024696921458393
