"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"	"C10"
"R1"	1.0488730050364	0.0488730050364009	0.0267604863933387	0.0441825432168756	0.0338685213170897	0.00469046181952529	0.0338685213170897	0.0338685213170897	0.0291702083819586	0.0291780594975644	0.0656664654733541	0.0705360160441651	0.070536016044165	0.070536016044165	0.0678599674048312	0.0678599674048312	0.0657763810918341	0.0678599674048312	0.0600179348772448	0.0600179348772448
"R2"	0.0488730050364009	1.0488730050364	0.0267604863933387	0.0441825432168756	0.0338685213170897	0.00469046181952529	0.0338685213170897	0.0338685213170897	0.0291702083819586	0.0291780594975644	0.0656664654733541	0.0705360160441651	0.070536016044165	0.070536016044165	0.0678599674048312	0.0678599674048312	0.0657763810918341	0.0678599674048312	0.0600179348772448	0.0600179348772448
"R3"	0.0535209727866774	0.0535209727866774	1.04850302295427	0.0526460106390361	0.0252391783009449	0.000874962147641381	0.0252391783009449	0.0252391783009449	0.0241856409628922	0.0243642161533035	0.0122494700669793	0.121327370811228	0.121327370811228	0.121327370811228	0.0164770685158014	0.0164770685158014	0.0147495227327376	0.0164770685158014	0.11312717794293	0.11312717794293
"R4"	0.0490917146854173	0.0490917146854173	0.0292477836883534	1.04813029449465	0.0325758620247585	0.00096142019076739	0.0325758620247585	0.0325758620247585	0.0274683776804616	0.0316144418339911	0.0134598826707435	0.0763915861661671	0.0763915861661671	0.0763915861661671	0.0734668077973318	0.0734668077973317	0.0715047808201559	0.0734668077973317	0.0660634106426354	0.0660634106426354
"R5"	0.0423356516463621	0.0423356516463621	0.0157744864380906	0.0366478447778533	1.04037390035011	0.00568780686850881	0.0403739003501139	0.0403739003501139	0.0347440974242097	0.0346860934816051	0.0796292961591233	0.0828764108510544	0.0828764108510543	0.0828764108510543	0.0812989622072453	0.0812989622072453	0.0788172409626589	0.0812989622072453	0.00784700518499267	0.00784700518499267
"R6"	0.0469046181952529	0.0469046181952529	0.0043748107382069	0.00865278171690651	0.0455024549480705	1.03825183647835	0.0455024549480705	0.0455024549480705	0.044486684695432	0.00725061846972409	0.535525710696849	0.0178358849461469	0.0178358849461469	0.0178358849461469	0.0173984038723262	0.0173984038723262	0.0142207835369382	0.0173984038723262	0.00560865298872968	0.00560865298872968
"R7"	0.0423356516463621	0.0423356516463621	0.0157744864380906	0.0366478447778533	0.0403739003501139	0.00568780686850881	1.04037390035011	0.0403739003501139	0.0347440974242097	0.0346860934816051	0.0796292961591233	0.0828764108510544	0.0828764108510543	0.0828764108510543	0.0812989622072453	0.0812989622072453	0.0788172409626589	0.0812989622072453	0.00784700518499267	0.00784700518499267
"R8"	0.0423356516463621	0.0423356516463621	0.0157744864380906	0.0366478447778533	0.0403739003501139	0.00568780686850881	0.0403739003501139	1.04037390035011	0.0347440974242097	0.0346860934816051	0.0796292961591233	0.0828764108510544	0.0828764108510543	0.0828764108510543	0.0812989622072453	0.0812989622072453	0.0788172409626589	0.0812989622072453	0.00784700518499267	0.00784700518499267
"R9"	0.0416717262599409	0.0416717262599409	0.0172754578306373	0.0353164855891649	0.0397075399133825	0.00635524067077601	0.0397075399133825	0.0397075399133825	1.03856777774012	0.0333522992426065	0.0889733693908641	0.0918676289044733	0.0918676289044732	0.0918676289044733	0.0901400831214096	0.0901400831214095	0.0159566704256867	0.0901400831214096	0.00785674538623365	0.00785674538623365
"R10"	0.0416829421393777	0.0416829421393777	0.0174030115380739	0.0406471395008457	0.039641249693263	0.00103580263853201	0.039641249693263	0.039641249693263	0.0333522992426065	1.03860544705473	0.0145012369394482	0.0921679145517554	0.0921679145517554	0.0921679145517554	0.0904276133979481	0.090427613397948	0.0880453063091904	0.090427613397948	0.00816676978445881	0.00816676978445881
"C1"	0.0938092363905058	0.0938092363905058	0.00874962147641381	0.017305563433813	0.091004909896141	0.0765036729566928	0.091004909896141	0.091004909896141	0.0889733693908641	0.0145012369394482	1.0710514213937	0.0356717698922938	0.0356717698922938	0.0356717698922938	0.0347968077446524	0.0347968077446524	0.0284415670738764	0.0347968077446524	0.0112173059774594	0.0112173059774594
"C2"	0.0783733511601834	0.0783733511601834	0.0674040948951269	0.0763915861661671	0.0736679207564927	0.00198176499401632	0.0736679207564927	0.0736679207564927	0.0714526002590348	0.0716861557624764	0.0277447099162285	1.04285865361528	0.0428586536152843	0.0428586536152843	0.0361182441257716	0.0361182441257716	0.031014486964412	0.0361182441257716	0.0188217216147625	0.0188217216147625
"C3"	0.0783733511601834	0.0783733511601834	0.0674040948951269	0.0763915861661671	0.0736679207564928	0.00198176499401632	0.0736679207564928	0.0736679207564928	0.0714526002590348	0.0716861557624764	0.0277447099162285	0.0428586536152843	1.04285865361528	0.0428586536152843	0.0361182441257716	0.0361182441257716	0.031014486964412	0.0361182441257716	0.0188217216147625	0.0188217216147625
"C4"	0.0783733511601834	0.0783733511601834	0.0674040948951269	0.0763915861661671	0.0736679207564928	0.00198176499401632	0.0736679207564928	0.0736679207564928	0.0714526002590347	0.0716861557624764	0.0277447099162285	0.0428586536152843	0.0428586536152843	1.04285865361528	0.0361182441257716	0.0361182441257716	0.031014486964412	0.0361182441257716	0.0188217216147625	0.0188217216147625
"C5"	0.084824959256039	0.084824959256039	0.0102981678223759	0.0826501587719982	0.0812989622072453	0.00217480048404078	0.0812989622072453	0.0812989622072453	0.0788725727312334	0.0791241617232046	0.0304472067765709	0.0406330246414931	0.0406330246414931	0.0406330246414931	1.03960320785926	0.0396032078592555	0.0339694526641674	0.0396032078592555	0.0141039881951747	0.0141039881951747
"C6"	0.084824959256039	0.084824959256039	0.0102981678223759	0.0826501587719982	0.0812989622072453	0.00217480048404078	0.0812989622072453	0.0812989622072453	0.0788725727312333	0.0791241617232046	0.0304472067765709	0.0406330246414931	0.0406330246414931	0.0406330246414931	0.0396032078592555	1.03960320785926	0.0339694526641674	0.0396032078592555	0.0141039881951747	0.0141039881951747
