"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"R12"	"R13"	"R14"	"R15"	"R16"	"R17"	"R18"	"R19"	"R20"	"R21"	"R22"	"R23"	"R24"	"R25"	"R26"	"R27"	"R28"	"R29"	"R30"	"R31"	"R32"	"R33"	"R34"	"R35"	"R36"	"R37"	"R38"	"R39"	"R40"	"R41"	"R42"	"R43"	"R44"	"R45"	"R46"	"R47"	"R48"	"R49"	"C1"	"C2"
"R11"	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	1.00781152355956	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.0084989376327959	0.00781152355955506	0.00781152355955506	0.0084989376327959	0.00781152355955506	0.0084989376327959	0.000687414073240845	0.00781152355955506	0.0084989376327959	0.00781152355955506	0.00781152355955506	0.000687414073240845	0.000687414073240845	0.000687414073240845	0.0084989376327959	0.0084989376327959	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.000687414073240845	0.0084989376327959	0.0084989376327959	0.00781152355955506	0.000687414073240845	0.00781152355955506	0.0084989376327959	0.0084989376327959	0.00781152355955506	0.000687414073240845	0.000687414073240845	0.00781152355955506	0.00781152355955506	0.0084989376327959	0.0261217347831521	0.640544931883515
"R12"	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	1.00781152355956	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.0084989376327959	0.00781152355955506	0.00781152355955506	0.0084989376327959	0.00781152355955506	0.0084989376327959	0.000687414073240845	0.00781152355955506	0.0084989376327959	0.00781152355955506	0.00781152355955506	0.000687414073240845	0.000687414073240845	0.000687414073240845	0.0084989376327959	0.0084989376327959	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.000687414073240845	0.0084989376327959	0.0084989376327959	0.00781152355955506	0.000687414073240845	0.00781152355955506	0.0084989376327959	0.0084989376327959	0.00781152355955506	0.000687414073240845	0.000687414073240845	0.00781152355955506	0.00781152355955506	0.0084989376327959	0.0261217347831521	0.640544931883515
"R13"	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	1.00781152355956	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.0084989376327959	0.00781152355955506	0.00781152355955506	0.0084989376327959	0.00781152355955506	0.0084989376327959	0.000687414073240845	0.00781152355955506	0.0084989376327959	0.00781152355955506	0.00781152355955506	0.000687414073240845	0.000687414073240845	0.000687414073240845	0.0084989376327959	0.0084989376327959	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.000687414073240845	0.0084989376327959	0.0084989376327959	0.00781152355955506	0.000687414073240845	0.00781152355955506	0.0084989376327959	0.0084989376327959	0.00781152355955506	0.000687414073240845	0.000687414073240845	0.00781152355955506	0.00781152355955506	0.0084989376327959	0.0261217347831521	0.640544931883515
"R14"	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	1.00781152355956	0.00781152355955506	0.00781152355955506	0.0084989376327959	0.00781152355955506	0.00781152355955506	0.0084989376327959	0.00781152355955506	0.0084989376327959	0.000687414073240845	0.00781152355955506	0.0084989376327959	0.00781152355955506	0.00781152355955506	0.000687414073240845	0.000687414073240845	0.000687414073240845	0.0084989376327959	0.0084989376327959	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.000687414073240845	0.0084989376327959	0.0084989376327959	0.00781152355955506	0.000687414073240845	0.00781152355955506	0.0084989376327959	0.0084989376327959	0.00781152355955506	0.000687414073240845	0.000687414073240845	0.00781152355955506	0.00781152355955506	0.0084989376327959	0.0261217347831521	0.640544931883515
"R15"	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	1.00781152355956	0.00781152355955506	0.0084989376327959	0.00781152355955506	0.00781152355955506	0.0084989376327959	0.00781152355955506	0.0084989376327959	0.000687414073240845	0.00781152355955506	0.0084989376327959	0.00781152355955506	0.00781152355955506	0.000687414073240845	0.000687414073240845	0.000687414073240845	0.0084989376327959	0.0084989376327959	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.000687414073240845	0.0084989376327959	0.0084989376327959	0.00781152355955506	0.000687414073240845	0.00781152355955506	0.0084989376327959	0.0084989376327959	0.00781152355955506	0.000687414073240845	0.000687414073240845	0.00781152355955506	0.00781152355955506	0.0084989376327959	0.0261217347831521	0.640544931883515
"R16"	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	1.00781152355956	0.0084989376327959	0.00781152355955506	0.00781152355955506	0.0084989376327959	0.00781152355955506	0.0084989376327959	0.000687414073240845	0.00781152355955506	0.0084989376327959	0.00781152355955506	0.00781152355955506	0.000687414073240845	0.000687414073240845	0.000687414073240845	0.0084989376327959	0.0084989376327959	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.000687414073240845	0.0084989376327959	0.0084989376327959	0.00781152355955506	0.000687414073240845	0.00781152355955506	0.0084989376327959	0.0084989376327959	0.00781152355955506	0.000687414073240845	0.000687414073240845	0.00781152355955506	0.00781152355955506	0.0084989376327959	0.0261217347831521	0.640544931883515
"R17"	0.00424946881639795	0.00424946881639795	0.00424946881639795	0.00424946881639795	0.00424946881639795	0.00424946881639795	0.00424946881639795	0.00424946881639795	0.00424946881639795	0.00424946881639795	0.00424946881639795	0.00424946881639795	0.00424946881639795	0.00424946881639795	0.00424946881639795	0.00424946881639795	1.01262342207224	0.00424946881639795	0.00424946881639795	0.012623422072241	0.00424946881639795	0.012623422072241	0.00837395325584302	0.00424946881639795	0.012623422072241	0.00424946881639795	0.00424946881639795	0.00837395325584302	0.00837395325584302	0.00837395325584302	0.012623422072241	0.012623422072241	0.00424946881639795	0.00424946881639795	0.00424946881639795	0.00837395325584302	0.012623422072241	0.012623422072241	0.00424946881639795	0.00837395325584302	0.00424946881639795	0.012623422072241	0.012623422072241	0.00424946881639795	0.00837395325584302	0.00837395325584302	0.00424946881639795	0.00424946881639795	0.012623422072241	0.318210223722035	0.348456442944632
"R18"	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.0084989376327959	1.00781152355956	0.00781152355955506	0.0084989376327959	0.00781152355955506	0.0084989376327959	0.000687414073240845	0.00781152355955506	0.0084989376327959	0.00781152355955506	0.00781152355955506	0.000687414073240845	0.000687414073240845	0.000687414073240845	0.0084989376327959	0.0084989376327959	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.000687414073240845	0.0084989376327959	0.0084989376327959	0.00781152355955506	0.000687414073240845	0.00781152355955506	0.0084989376327959	0.0084989376327959	0.00781152355955506	0.000687414073240845	0.000687414073240845	0.00781152355955506	0.00781152355955506	0.0084989376327959	0.0261217347831521	0.640544931883515
"R19"	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.0084989376327959	0.00781152355955506	1.00781152355956	0.0084989376327959	0.00781152355955506	0.0084989376327959	0.000687414073240845	0.00781152355955506	0.0084989376327959	0.00781152355955506	0.00781152355955506	0.000687414073240845	0.000687414073240845	0.000687414073240845	0.0084989376327959	0.0084989376327959	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.000687414073240845	0.0084989376327959	0.0084989376327959	0.00781152355955506	0.000687414073240845	0.00781152355955506	0.0084989376327959	0.0084989376327959	0.00781152355955506	0.000687414073240845	0.000687414073240845	0.00781152355955506	0.00781152355955506	0.0084989376327959	0.0261217347831521	0.640544931883515
"R20"	0.00424946881639795	0.00424946881639795	0.00424946881639795	0.00424946881639795	0.00424946881639795	0.00424946881639795	0.00424946881639795	0.00424946881639795	0.00424946881639795	0.00424946881639795	0.00424946881639795	0.00424946881639795	0.00424946881639795	0.00424946881639795	0.00424946881639795	0.00424946881639795	0.012623422072241	0.00424946881639795	0.00424946881639795	1.01262342207224	0.00424946881639795	0.012623422072241	0.00837395325584302	0.00424946881639795	0.012623422072241	0.00424946881639795	0.00424946881639795	0.00837395325584302	0.00837395325584302	0.00837395325584302	0.012623422072241	0.012623422072241	0.00424946881639795	0.00424946881639795	0.00424946881639795	0.00837395325584302	0.012623422072241	0.012623422072241	0.00424946881639795	0.00837395325584302	0.00424946881639795	0.012623422072241	0.012623422072241	0.00424946881639795	0.00837395325584302	0.00837395325584302	0.00424946881639795	0.00424946881639795	0.012623422072241	0.318210223722035	0.348456442944632
"R21"	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.0084989376327959	0.00781152355955506	0.00781152355955506	0.0084989376327959	1.00781152355956	0.0084989376327959	0.000687414073240845	0.00781152355955506	0.0084989376327959	0.00781152355955506	0.00781152355955506	0.000687414073240845	0.000687414073240845	0.000687414073240845	0.0084989376327959	0.0084989376327959	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.000687414073240845	0.0084989376327959	0.0084989376327959	0.00781152355955506	0.000687414073240845	0.00781152355955506	0.0084989376327959	0.0084989376327959	0.00781152355955506	0.000687414073240845	0.000687414073240845	0.00781152355955506	0.00781152355955506	0.0084989376327959	0.0261217347831521	0.640544931883515
"R22"	0.00424946881639795	0.00424946881639795	0.00424946881639795	0.00424946881639795	0.00424946881639795	0.00424946881639795	0.00424946881639795	0.00424946881639795	0.00424946881639795	0.00424946881639795	0.00424946881639795	0.00424946881639795	0.00424946881639795	0.00424946881639795	0.00424946881639795	0.00424946881639795	0.012623422072241	0.00424946881639795	0.00424946881639795	0.012623422072241	0.00424946881639795	1.01262342207224	0.00837395325584302	0.00424946881639795	0.012623422072241	0.00424946881639795	0.00424946881639795	0.00837395325584302	0.00837395325584302	0.00837395325584302	0.012623422072241	0.012623422072241	0.00424946881639795	0.00424946881639795	0.00424946881639795	0.00837395325584302	0.012623422072241	0.012623422072241	0.00424946881639795	0.00837395325584302	0.00424946881639795	0.012623422072241	0.012623422072241	0.00424946881639795	0.00837395325584302	0.00837395325584302	0.00424946881639795	0.00424946881639795	0.012623422072241	0.318210223722035	0.348456442944632
"R23"	0.000687414073240845	0.000687414073240845	0.000687414073240845	0.000687414073240845	0.000687414073240845	0.000687414073240845	0.000687414073240845	0.000687414073240845	0.000687414073240845	0.000687414073240845	0.000687414073240845	0.000687414073240845	0.000687414073240845	0.000687414073240845	0.000687414073240845	0.000687414073240845	0.016747906511686	0.000687414073240845	0.000687414073240845	0.016747906511686	0.000687414073240845	0.016747906511686	1.01606049243845	0.000687414073240845	0.016747906511686	0.000687414073240845	0.000687414073240845	0.0160604924384452	0.0160604924384452	0.0160604924384452	0.016747906511686	0.016747906511686	0.000687414073240845	0.000687414073240845	0.000687414073240845	0.0160604924384452	0.016747906511686	0.016747906511686	0.000687414073240845	0.0160604924384452	0.000687414073240845	0.016747906511686	0.016747906511686	0.000687414073240845	0.0160604924384452	0.0160604924384452	0.000687414073240845	0.000687414073240845	0.016747906511686	0.610298712660917	0.0563679540057493
"R24"	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.0084989376327959	0.00781152355955506	0.00781152355955506	0.0084989376327959	0.00781152355955506	0.0084989376327959	0.000687414073240845	1.00781152355956	0.0084989376327959	0.00781152355955506	0.00781152355955506	0.000687414073240845	0.000687414073240845	0.000687414073240845	0.0084989376327959	0.0084989376327959	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.000687414073240845	0.0084989376327959	0.0084989376327959	0.00781152355955506	0.000687414073240845	0.00781152355955506	0.0084989376327959	0.0084989376327959	0.00781152355955506	0.000687414073240845	0.000687414073240845	0.00781152355955506	0.00781152355955506	0.0084989376327959	0.0261217347831521	0.640544931883515
"R25"	0.00424946881639795	0.00424946881639795	0.00424946881639795	0.00424946881639795	0.00424946881639795	0.00424946881639795	0.00424946881639795	0.00424946881639795	0.00424946881639795	0.00424946881639795	0.00424946881639795	0.00424946881639795	0.00424946881639795	0.00424946881639795	0.00424946881639795	0.00424946881639795	0.012623422072241	0.00424946881639795	0.00424946881639795	0.012623422072241	0.00424946881639795	0.012623422072241	0.00837395325584302	0.00424946881639795	1.01262342207224	0.00424946881639795	0.00424946881639795	0.00837395325584302	0.00837395325584302	0.00837395325584302	0.012623422072241	0.012623422072241	0.00424946881639795	0.00424946881639795	0.00424946881639795	0.00837395325584302	0.012623422072241	0.012623422072241	0.00424946881639795	0.00837395325584302	0.00424946881639795	0.012623422072241	0.012623422072241	0.00424946881639795	0.00837395325584302	0.00837395325584302	0.00424946881639795	0.00424946881639795	0.012623422072241	0.318210223722035	0.348456442944632
"R26"	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.0084989376327959	0.00781152355955506	0.00781152355955506	0.0084989376327959	0.00781152355955506	0.0084989376327959	0.000687414073240845	0.00781152355955506	0.0084989376327959	1.00781152355956	0.00781152355955506	0.000687414073240845	0.000687414073240845	0.000687414073240845	0.0084989376327959	0.0084989376327959	0.00781152355955506	0.00781152355955506	0.00781152355955506	0.000687414073240845	0.0084989376327959	0.0084989376327959	0.00781152355955506	0.000687414073240845	0.00781152355955506	0.0084989376327959	0.0084989376327959	0.00781152355955506	0.000687414073240845	0.000687414073240845	0.00781152355955506	0.00781152355955506	0.0084989376327959	0.0261217347831521	0.640544931883515
