"Hedera_helix"	"Ilex_aquifolium"	"Unidentified_sp1_M_SD_024"	"Solanum_nigrum"	"Sorbus_aucuparia"	"Unidentified_sp2_M_SD_024"	"Fragaria_vespa"	"Rosa_sp1_M_SD_024"	"Vaccinium_myrtillus"	"Prunus_spinosa"	"Taxus_bacatta"	"Unidentified_sp3_M_SD_024"	"Turdus_merula"	"Turdus_iliacus"	"Erithacus_rubecula"	"Garrulus_glandarius"	"Sylvia_atricapilla"	"Turdus_viscivorus"	"Turdus_philomelos"
"Hedera_helix"	1.06146153860111	0.0433687098139235	0.030043237477348	0.02859201417189	0.0510851697216872	0.0340040873121485	0.0192273916701151	0.0178524431881572	0.0283950748833368	0.00848782068638226	0.00145122330545804	0.00936462250177494	0.140731947618484	0.131104715024849	0.124516426553096	0.0174146796654965	0.0145154032781297	0.121119181970733	0.117264312555878
"Ilex_aquifolium"	0.0433687098139235	1.0524135567593	0.0390696042213225	0.0283316869590823	0.03290324080187	0.0431061434125864	0.019024273612364	0.027063162786735	0.0102518749171697	0.0177557494400167	0.0107379172622402	0.00930741334671827	0.14035664355553	0.130303786854056	0.125585628144641	0.128855007146883	0.0123277793802732	0.11907939968413	0.0101584219011544
"Unidentified_sp1_M_SD_024"	0.0300432374773481	0.0390696042213225	1.05241510473653	0.0418252791671662	0.0194973999354858	0.0298622290467115	0.0326179039925552	0.02688861195538	0.0236355252760848	0.017681236780769	0.0105898255693664	0.009207375174611	0.141828224228053	0.128903252444554	0.126550050502348	0.127077906832397	0.119845241914322	0.0130812377926417	0.00938075295235133
"Solanum_nigrum"	0.0357400177148625	0.0354146086988529	0.0522815989589578	1.05073532513539	0.0229628286113948	0.0242992399645639	0.0396199564011041	0.0210095169437144	0.0287144501372107	0.00989414820942537	0.00154627382356466	0.011115368734289	0.166957487717214	0.155615162280046	0.153326269241613	0.018555285882776	0.147959143294206	0.0130232212133664	0.0112300970374457
"Sorbus_aucuparia"	0.0638564621521089	0.0411290510023375	0.0243717499193572	0.0229628286113948	1.06206570070445	0.0298654670396781	0.0116992446487354	0.0209645461442477	0.0340448156588119	0.00970096218158826	0.0014089213079624	0.0112635839626594	0.165840817472517	0.157690175477232	0.021489137371887	0.0169070556955488	0.0129315386196179	0.146989947283461	0.144817994746403
"Unidentified_sp2_M_SD_024"	0.0425051091401857	0.0538826792657329	0.0373277863083894	0.0242992399645639	0.0298654670396781	1.05210508327755	0.0225216439763761	0.0231323999614448	0.0115329780941468	0.021354803973257	0.0130285463438255	0.00177759598818779	0.16652515258863	0.0248863438346291	0.15167570520609	0.156342556125907	0.0124459539714966	0.144885097630245	0.00990585730966947
"Fragaria_vespa"	0.0320456527835251	0.0317071226872734	0.0543631733209254	0.0528266085348055	0.0155989928649805	0.0300288586351681	1.0511483444827	0.013750617895654	0.0365767794465272	0.0120723538435487	0.00153656478611989	0.00167826405210528	0.210715781148576	0.0234956967294739	0.197359919022536	0.0184387774334387	0.193327164053814	0.0120787589845984	0.0112505692942296
"Rosa_sp1_M_SD_024"	0.029754071980262	0.045105271311225	0.0448143532589667	0.0280126892582858	0.0279527281923303	0.0308431999485931	0.013750617895654	1.04144949935495	0.0133997387774401	0.0271874279923158	0.0168016640006809	0.0142620713626319	0.207715279832699	0.199668999076846	0.0216161254551809	0.201619968008171	0.0125080809286981	0.0148354253467641	0.00870278801830751
"Vaccinium_myrtillus"	0.0473251248055613	0.0170864581952828	0.0393925421268081	0.0382859335162809	0.0453930875450825	0.0153773041255291	0.0365767794465272	0.0133997387774401	1.06599001740685	0.0116905847076864	0.00110660861052712	0.00170915406975375	0.211679521943185	0.0239281569765525	0.023184447125746	0.0132793033263254	0.192486128711113	0.0140374572589109	0.188071651324834
"Prunus_spinosa"	0.0212195517159557	0.0443893736000418	0.0442030919519226	0.0197882964188507	0.0194019243631765	0.0427096079465141	0.018108530765323	0.0407811419884738	0.0175358770615296	1.03910137633495	0.0244147955330718	0.00167976565352773	0.293731616037484	0.0235167191493882	0.0218115282333498	0.292977546396862	0.0128345808853574	0.0143248340703111	0.00746984189391423
