"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"R12"	"R13"	"R14"	"R15"	"R16"	"R17"	"R18"	"R19"	"R20"	"R21"	"R22"	"R23"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"	"C10"	"C11"	"C12"	"C13"
"R1"	1.0259609672941	0.0247074692808748	0.0175823735179127	0.0275535682729887	0.0248253169568123	0.00860269884470865	0.0177434592473086	0.00241229535364464	0.00341599784998387	0.0200172016444417	0.00318827895380538	0.00943161159787264	0.011380719862646	0.0275535682729887	0.024137937149451	0.0175790490180835	0.0222693166545166	0.0113827282021451	0.00290578994569198	0.00577937835351822	0.0138061434069792	0.00241229535364464	0.0086851682992102	0.070136557476308	0.0719164255319663	0.0183087274065516	0.0696722830053192	0.0711825882146389	0.0118877078953834	0.0668245145431999	0.0689324303405594	0.0657263887681805	0.00543674858710278	0.00693177429064572	0.0723688606093393	0.0673416599974716
"R2"	0.0185306019606561	1.03042945046298	0.0175322975992162	0.027427870027921	0.0240789106042707	0.00815716860038945	0.0164468059269945	0.00192892298913628	0.00716749147074936	0.0192501103649508	0.00383587821251498	0.00952420965628474	0.0124055477854022	0.027427870027921	0.0235885385265323	0.0152319251321167	0.0264112652301444	0.01033600568778	0.00362163335077358	0.00456083213052212	0.0153286091156465	0.00192892298913628	0.0081824654812957	0.0559920453685906	0.0578187660571816	0.060996281359231	0.0556799636548339	0.0570060162452985	0.0539280989642761	0.0108529379537602	0.0548486696701598	0.0519023353056078	0.0475164969274842	0.0496191826584377	0.0578676896740885	0.0526381828277166
"R3"	0.0197801702076518	0.0262984463988243	1.02755675774922	0.0295257214076727	0.0200923814695607	0.0113175137944401	0.0158453736086201	0.000412738539468483	0.00319191844958238	0.0183583035296146	0.00530224946274463	0.00686900554206597	0.0120429343775605	0.0295257214076727	0.0226340126083712	0.0211914015851743	0.029131544454384	0.00878624210684314	0.00493290925422296	0.000882990270298464	0.0134263590453504	0.000412738539468483	0.00581589952452142	0.0772289071403645	0.0792762798335657	0.0824531973517478	0.0783089546106537	0.078755308004524	0.0119881128715809	0.0743217665171642	0.0768617942425267	0.00973906500093506	0.0691027038548129	0.00684338643813704	0.0123821561840545	0.00940503461659961
"R4"	0.0206651762047415	0.027427870027921	0.0196838142717818	1.02956487087338	0.0231500459116891	0.00817644985778733	0.0155078054610345	0.00191211453542612	0.004098909105394	0.0192742957821682	0.00383526193271062	0.00954488455319402	0.0124097539739439	0.0295648708733782	0.0226680399542096	0.0173687087719772	0.0255222830177299	0.0103286787957875	0.00361558346678144	0.00454729745506774	0.014391623049956	0.00191211453542612	0.00816288092184918	0.0563107447223964	0.0580049548869899	0.0605550589397441	0.0559826010162165	0.0572691709163557	0.0539275461811203	0.0528342088975341	0.0551006494163934	0.0518851268529638	0.0476635759894644	0.00706593439187216	0.0573634360627836	0.0527036583928324
"R5"	0.0203116229646646	0.0262679024773862	0.0146126410687714	0.0252545955400244	1.02807498976513	0.00689809180834979	0.0181086663513412	0.0020714097430775	0.00770974695463099	0.0187926085462076	0.00229672545837226	0.0101949482945147	0.0114553440636532	0.0252545955400244	0.0257466644934171	0.016721178347232	0.0241964722784106	0.0110567621720834	0.00385748089054338	0.00490446023241011	0.0187130754770528	0.0020714097430775	0.00876194112295349	0.0596653472773783	0.0619644194935843	0.0645120086672605	0.0131228556579906	0.0605537241831725	0.0578546057436958	0.0566606006686906	0.0585296002424558	0.0559393097816036	0.00521217528071	0.0538487175911476	0.0621422922923249	0.0566610097866522
"R6"	0.0193560724005945	0.0244715058011683	0.0226350275888801	0.024529349573362	0.0189697524729619	1.02046546909406	0.0170630340964738	0.000417452793707889	0.00498351634737314	0.0229284560396497	0.009567997406714	0.00665088543780123	0.0161410482629363	0.024529349573362	0.0240198531600355	0.0226170138521603	0.0241600636136789	0.00599930184974061	0.00459877107766018	0.000859385098563601	0.0124944188225154	0.000417452793707889	0.00545815617622378	0.0140697875114376	0.0156841998862629	0.146734718932251	0.142792857790161	0.142094480594251	0.0118722892338925	0.0109588582214833	0.139744051415574	0.00891517275516251	0.0055766324735132	0.00686138794432709	0.0125235838112367	0.00883864609711424
"R7"	0.0199613916532221	0.0246702088904918	0.0158453736086201	0.0232617081915517	0.0248994162330941	0.00853151704823691	1.02584139495707	0.00270103199697252	0.0100961006058433	0.018598374417426	0.00526208183616523	0.00423678719178337	0.0117045557107939	0.0232617081915517	0.0241188622424028	0.0158412745035278	0.0219131089765935	0.0118895359242137	0.00495945276627716	0.00642980964273355	0.0152193443387753	0.00270103199697252	0.0113892624090107	0.0130071113952783	0.0793678375554502	0.0832988945194377	0.0766538150318132	0.0769996846187037	0.0108059517735596	0.0734541945767057	0.0124667154165457	0.00891621565428942	0.0049527873116322	0.0711369459888547	0.0810309599091757	0.0745755529152206
"R8"	0.0217106581828018	0.0231470758696354	0.00330190831574786	0.0229453744251134	0.0227855071738525	0.00166981117483156	0.0216082559757802	1.01802760433836	0.0191088243311453	0.0218717733369337	0.000911693228665851	0.00163555210459588	0.020198908877428	0.0229453744251134	0.022340097113307	0.0033665842576318	0.00464188679033354	0.0203191444744955	0.000988136710292311	0.0188734553579075	0.00304651046280718	0.0180276043383569	0.0198615920681998	0.0118963625636883	0.0143065332189463	0.0184050817077876	0.0104114649341322	0.011423690511579	0.00866953905988271	0.00736532557211204	0.0084030959837664	0.00676693429543217	0.00329394015383457	0.00797954812378639	0.540828130150707	0.0169170203910115
"R9"	0.0102479935499516	0.0286699658829975	0.00851178253221967	0.016395636421576	0.0282690721669803	0.00664468846316419	0.0269229349489156	0.00636960811038176	1.02439851789627	0.0150331627759259	0.0057452449668303	0.00181408276903718	0.0134627276251951	0.016395636421576	0.0281666054268034	0.00857042328300543	0.022207226390077	0.0131881484618485	0.00580571192144749	0.00694877584386109	0.0204412915995773	0.00636960811038176	0.0127544877653086	0.011275178110038	0.0161150384375875	0.189667583047005	0.012394225825862	0.0124696327560559	0.0103151361377048	0.00972072701881195	0.0108983872639655	0.00839174797897436	0.00410229073655376	0.178645121373069	0.191088243311453	0.0115833546695866
"R10"	0.0200172016444417	0.0256668138199344	0.0163184920263241	0.025699061042891	0.0229687437786982	0.010190424906511	0.0165318883710454	0.00243019703743708	0.00501105425864197	1.02415255990287	0.00479541571755418	0.00881945386871492	0.0155304853653295	0.025699061042891	0.0223005827453937	0.0188718905587307	0.0203861444758001	0.0129899210264595	0.00449694288984145	0.00579683045794011	0.0119361980106699	0.00243019703743708	0.0102937733477816	0.070099839645627	0.0719999867845743	0.0754899598928033	0.0701602820671618	0.0711078936794853	0.067521460605502	0.0103232222761166	0.0685305973811188	0.0092624626507803	0.00515758767843495	0.00677479447188948	0.0729059111231123	0.0673326684100608
