"Perca_fluviatilis"	"Rutilus_rutilus"	"Abramiz_brama"	"Scardinius_erythrophtalmus"	"Sander_lucioperca"	"Esox_lucius"	"Anguilla_anguilla"	"Carassius_auratus_gibelio"	"Ergasilus_sieboldi"	"Tylodelphys_clavata"	"Posthodiplostomum_cuticola"	"Diplozoon_paradoxum"	"Caryophyllaeus_laticeps"	"Triaenophorus_nodulosus"	"Camallanus_lacustris"	"Hysterothylacium_aduncum"	"Apatemon_gracilis"	"Anguillicola_crassus"	"Camallanus_truncatus"	"Acanthocephalus_anguillae"	"Pomphorhynchus_laevis"	"Achtheres_percarum"
"Perca_fluviatilis"	1.16813111876113	0.0207667894917655	0.0199015065962753	0.0189713274836233	0.0334996499793629	0.062786833381321	0.00846382332170943	0.000812284318141453	0.10368183569094	0.0973784236130928	0.00649827454513163	0.0060921323860609	0.00372071645060799	0.0912862912270319	0.0912862912270319	0.0876253933017872	0.0834379370543667	0.00211595583042736	0.00418745624742036	0.00173056579098046	0.0834379370543668	0.00418745624742036
"Rutilus_rutilus"	0.0242279210737264	1.12406679898037	0.0772306823561873	0.0518818569851916	0.0103317989297842	0.0217418451184451	0.00946835874201174	0.0143840711476176	0.115987394589644	0.112328830037918	0.115072569180941	0.107880533607132	0.101395301483983	0.0044482964307861	0.0044482964307861	0.00302204065720348	0.00173056579098046	0.00236708968550294	0.00129147486622302	0.0936722332483641	0.00173056579098046	0.00129147486622302
"Abramiz_brama"	0.0278621092347854	0.0926768188274248	1.08881528470962	0.0596641355329703	0.0118815687692518	0.0250031218862119	0.0108886125533135	0.0165416818197602	0.13338550377809	0.129178154543606	0.132333454558082	0.124062613648202	0.11660459670658	0.00511554089540401	0.00511554089540401	0.003475346755784	0.00199015065962753	0.00272215313832838	0.00148519609615647	0.00772306823561873	0.00199015065962753	0.00148519609615647
"Scardinius_erythrophtalmus"	0.0331998230963408	0.0778227854777874	0.0745801694162129	1.07109435715002	0.0141577932209699	0.0297931221388693	0.012974610338663	0.0197106724944697	0.158938976648621	0.153925599911334	0.157685379955758	0.147830043708523	0.0139432490647702	0.00609555620281158	0.00609555620281158	0.00414114008807415	0.00237141593545291	0.00324365258466574	0.00176972415262123	0.00648523212314895	0.00237141593545291	0.00176972415262123
"Sander_lucioperca"	0.0586243874638851	0.0154976983946762	0.0148519609615647	0.0141577932209699	1.20031863969337	0.0158801096641918	0.013396557919343	0.00060618601533343	0.164107834511952	0.0107188650704451	0.00484948812266744	0.00454639511500073	0.00277667096237949	0.00617246995544434	0.00617246995544434	0.154227286209092	0.00418745624742036	0.00334913947983576	0.150039829961671	0.00129147486622302	0.00418745624742036	0.150039829961671
"Esox_lucius"	0.109876958417312	0.0326127676776677	0.0312539023577649	0.0297931221388693	0.0158801096641918	1.09957026227447	0.0130705759839949	0.00127563481905877	0.160114555803938	0.154861898099915	0.0102050785524702	0.00956726114294079	0.00584312087558212	0.145294636956974	0.145294636956974	0.0098333678806891	0.00784835417266512	0.00326764399599873	0.00198501370802398	0.00271773063980564	0.00784835417266512	0.00198501370802398
"Anguilla_anguilla"	0.029623381625983	0.0284050762260352	0.0272215313832838	0.0259492206773259	0.026793115838686	0.0261411519679899	1.1680888028929	0.00111105272113294	0.309087835437983	0.0137164952349231	0.00888842176906352	0.00833289540849705	0.00508924282383131	0.00538359982642609	0.00538359982642609	0.00546509531026311	0.00211595583042736	0.292022200723224	0.00334913947983575	0.00236708968550293	0.00211595583042736	0.00334913947983576
"Carassius_auratus_gibelio"	0.00568599022699017	0.0863044268857054	0.082708409098801	0.0788426899778788	0.00242474406133372	0.00510253927623509	0.00222210544226588	1.07004242836412	0.027220791667757	0.0263621722995239	0.560339426912985	0.0253182127309237	0.0154628764836889	0.00104395956860011	0.00104395956860011	0.000709235166737442	0.000406142159070727	0.00055552636056647	0.000303093007666715	0.00719203557380878	0.000406142159070727	0.000303093007666715
"Ergasilus_sieboldi"	0.10368183569094	0.0994177667911233	0.0952753598414931	0.0908222723706408	0.0937759054354011	0.0914940318879645	0.088310810125138	0.00388868452396529	1.08180742403294	0.048007733322231	0.0311094761917223	0.0291651339297397	0.0178123498834096	0.0188425993924913	0.0188425993924913	0.0191278335859209	0.00740584540649575	0.0220777025312845	0.0117219881794251	0.00828481389926027	0.00740584540649575	0.0117219881794251
"Tylodelphys_clavata"	0.13632979305833	0.134794596045501	0.129178154543606	0.123140479929068	0.00857509205635605	0.123889518479932	0.00548659809396926	0.00527243445990477	0.0672108266511234	1.06476729062059	0.0421794756792382	0.0395432584492858	0.0241506984581523	0.0252240321713008	0.0252240321713008	0.0108097288683538	0.00973784236130927	0.00137164952349231	0.00107188650704451	0.0112328830037918	0.00973784236130928	0.00107188650704451
