"Pheidole_minutula"	"Allomerus_octoarticulatus"	"Azteca_sp2_M_PA_001"	"Pseudomyrmex_concolor"	"Allomerus_sp1_M_PA_001"	"Pseudomyrmex_nigrescens"	"Crematogaster_sp3_M_PA_001"	"Camponotus_balzanii"	"Azteca_isthmica"	"Crematogaster_sp4_M_PA_001"	"Allomerus_prancei"	"Crematogaster_sp2_M_PA_001"	"Allomerus_auripunctata"	"Solenops_sp1_M_PA_001"	"Azteca_schummani"	"Azteca_sp1_M_PA_001"	"Azteca_sp6_M_PA_001"	"Crematogaster_sp1_M_PA_001"	"Azteca_polymorpha"	"Crematogaster_sp5_M_PA_001"	"Azteca_alfari"	"Azteca_sp3_M_PA_001"	"Azteca_sp4_M_PA_001"	"Azteca_sp5_M_PA_001"	"Maieta_guianensis"	"Hirtella_physophora"	"Tachigali_myrmecophila"	"Cordia_nodosa"	"Maieta_poeppiggi"	"Duroia_saccifera"	"Tachigali_polyphylla"	"Tococa_bullifera"	"Pourouma_heterophylla"	"Cecropia_purpurascens"	"Amaioua_guianensis"	"Cecropia_ficifolia"	"Hirtella_myrmecophila"	"Cecropia_concolor"	"Cecropia_distachya"
"Pheidole_minutula"	1.08687652188122	0.00191223477848592	0.0537724996779605	3.32884706138384e-05	0	3.32884706138384e-05	0.0884516393729646	0	0	0.0533490843509701	0.00157511749174728	0.0202450621477132	0.00133037768353563	0.00175288188027876	3.32884706138384e-05	0.00115261329500416	0	0.00133037768353563	2.91274117871086e-05	0.00118174070679126	0	0.00115261329500416	0.0190924488527091	2.91274117871086e-05	0.201164625181484	0.0126009399339782	0.000349528941445304	0.0161365861300582	0.205539812989566	0.00142211510825183	2.49663529603788e-05	0.229109386232509	0	0	0	0	0.000318705796414319	0	0
"Allomerus_octoarticulatus"	0.00191223477848592	1.15139593196123	0.0023779526414438	3.43508658250563e-05	0	3.43508658250563e-05	0.0298444271963793	0	0	0.00117130400578552	0.0279321924178934	0.00163702186874341	0.0287034772757592	0.05544627096446	3.43508658250563e-05	0.00118939872919257	0	0.0287034772757592	3.00570075969242e-05	0.0012194557367895	0	0.00118939872919257	0.000447623139550835	3.00570075969242e-05	0.00444558463620237	0.223457539343147	0.000360684091163091	0.016651582208696	0.00434208519740812	0.220112628372533	2.57631493687922e-05	0.00537147767461002	0	0	0	0	0.191899321993538	0	0
"Azteca_sp2_M_PA_001"	0.0537724996779605	0.0023779526414438	1.065468263562	0.000439823107192491	0	0.000439823107192491	0.0548115282041051	0	0	0.0215405716392649	0.00103902852614462	0.0332363355233066	0.0163696364817189	0.00217978992132349	0.000439823107192491	0.01522887508654	0	0.0163696364817189	0.000384845218793429	0.0156137203053334	0	0.01522887508654	0.0180074604367666	0.000384845218793429	0.193391568232174	0.00831222820915695	0.00461814262552115	0.21320425121156	0.0211986672149894	0.00912609116143093	0.000329867330394368	0.2160895252412	0	0	0	0	0.000396325440240634	0	0
"Pseudomyrmex_concolor"	4.99327059207576e-05	5.15262987375844e-05	0.000659734660788736	1.08064347101309	0	0.0806434710130911	5.35445587782115e-05	0	0	2.91042118709479e-05	3.61185285745381e-06	0.000638906166738926	0.000657137749264722	4.72324405094524e-05	0.0806434710130911	0.000613517161612724	0	0.000657137749264722	0.028896370469788	0.0295098876314008	0	0.000613517161612724	2.53890051262024e-05	0.028896370469788	0.000124970964298859	2.88948228596305e-05	0.346756445637457	0.00858924026257813	2.2291240468473e-05	0.000348964701215988	0.310482603259818	0.000304668061514428	0	0	0	0	8.58771645626406e-06	0	0
"Allomerus_sp1_M_PA_001"	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0
"Pseudomyrmex_nigrescens"	4.99327059207576e-05	5.15262987375844e-05	0.000659734660788736	0.0806434710130911	0	1.08064347101309	5.35445587782115e-05	0	0	2.91042118709479e-05	3.61185285745381e-06	0.000638906166738926	0.000657137749264722	4.72324405094524e-05	0.0806434710130911	0.000613517161612724	0	0.000657137749264722	0.028896370469788	0.0295098876314008	0	0.000613517161612724	2.53890051262024e-05	0.028896370469788	0.000124970964298859	2.88948228596305e-05	0.346756445637457	0.00858924026257813	2.2291240468473e-05	0.000348964701215988	0.310482603259818	0.000304668061514428	0	0	0	0	8.58771645626406e-06	0	0
"Crematogaster_sp3_M_PA_001"	0.0663387295297234	0.0223833203972845	0.0411086461530788	2.67722793891057e-05	0	2.67722793891057e-05	1.08561363197245	0	0	0.0407371295391084	0.0192749024427309	0.0155070461624637	0.00217013142862765	0.0205180436975108	2.67722793891057e-05	0.000926990173847786	0	0.00217013142862765	2.34257444654675e-05	0.000950415918313253	0	0.000926990173847786	0.014580055988616	2.34257444654675e-05	0.153609599943691	0.154199219541847	0.00028110893358561	0.012977862433869	0.156942441302954	0.00994513003823894	2.00792095418293e-05	0.174960671863391	0	0	0	0	0.00373055339954742	0	0
"Camponotus_balzanii"	0	0	0	0	0	0	0	1.1031746031746	0.126984126984127	0	0	0	0	0	0	0	0	0	0	0	0.103174603174603	0	0	0	0	0	0	0	0	0	0	0	0	0.619047619047619	0	0.0158730158730159	0	0.0158730158730159	0.0158730158730159
"Azteca_isthmica"	0	0	0	0	0	0	0	0.0317460317460317	1.26984126984127	0	0	0	0	0	0	0	0	0	0	0	0.0317460317460317	0	0	0	0	0	0	0	0	0	0	0	0	0.19047619047619	0	0.158730158730159	0	0.158730158730159	0.158730158730159
"Crematogaster_sp4_M_PA_001"	0.0800236265264551	0.00175695600867828	0.0323108574588973	2.91042118709479e-05	0	2.91042118709479e-05	0.0814742590782167	0	0	1.07520584379607	0.00145063255176163	0.027493074728508	0.00116764379222503	0.00161054300795509	2.91042118709479e-05	0.00100773333603157	0	0.00116764379222503	2.54661853870794e-05	0.00103319952141865	0	0.00100773333603157	0.0264853413924765	2.54661853870794e-05	0.0289066963823358	0.0116050604140931	0.000305594224644953	0.014108266704442	0.292323014421536	0.00127928364954767	2.18281589032109e-05	0.317824096709717	0	0	0	0	0.00029282600144638	0	0
"Allomerus_prancei"	0.00472535247524183	0.0837965772536803	0.00311708557843386	7.22370571490762e-06	0	7.22370571490762e-06	0.0770996097709237	0	0	0.00290126510352327	1.07237425729568	0.00129299820671529	0.00468939266390371	0.0768135291492069	7.22370571490762e-06	0.000250120810378676	0	0.00468939266390371	6.32074250054417e-06	0.000256441552879221	0	0.000250120810378676	0.00104287739633661	6.32074250054417e-06	0.0109445242303114	0.578994058365455	7.58489100065301e-05	0.00350169134530147	0.0111503262431199	0.0355141748282003	5.41777928618072e-06	0.0125145287560393	0	0	0	0	0.0139660962089467	0	0
"Crematogaster_sp2_M_PA_001"	0.0303675932215698	0.00245553280311511	0.04985450328496	0.000638906166738926	0	0.000638906166738926	0.0310140923249275	0	0	0.027493074728508	0.000646499103357645	1.0469799847919	0.0237265319894999	0.00225090506952219	0.000638906166738926	0.0221221260233353	0	0.0237265319894999	0.00055904289589656	0.0226811689192319	0	0.0221221260233353	0.0248578587685628	0.00055904289589656	0.0172471109583709	0.00517199282686116	0.00670851475075873	0.309709764326694	0.0158112957596713	0.0128352477293163	0.000479179625054195	0.298294305222754	0	0	0	0	0.000409255467185852	0	0
"Allomerus_auripunctata"	0.00199556652530345	0.0430552159136387	0.0245544547225783	0.000657137749264723	0	0.000657137749264723	0.00434026285725531	0	0	0.00116764379222503	0.00234469633195186	0.0237265319894999	1.05987597949051	0.0394672812541689	0.000657137749264723	0.022753394568291	0	0.059875979490508	0.000574995530606632	0.0233283900988976	0	0.022753394568291	0.000973137421208849	0.000574995530606632	0.00496753639847054	0.0187575706556148	0.00689994636727959	0.318547523956074	0.00116703822609708	0.296980679377736	0.000492853311948542	0.0116776490545062	0	0	0	0	0.00717586931893979	0	0
"Solenops_sp1_M_PA_001"	0.00262932282041813	0.08316940644669	0.00326968488198523	4.72324405094524e-05	0	4.72324405094524e-05	0.0410360873950216	0	0	0.00161054300795509	0.0384067645746034	0.00225090506952219	0.0394672812541689	1.07623862257613	4.72324405094524e-05	0.00163542325263979	0	0.0394672812541689	4.13283854457708e-05	0.00167675163808556	0	0.00163542325263979	0.000615481816882398	4.13283854457708e-05	0.00611267887477826	0.307254116596827	0.00049594062534925	0.022895925536957	0.00597036714643616	0.302654864012233	3.54243303820893e-05	0.00738578180258877	0	0	0	0	0.013861567741115	0	0
"Azteca_schummani"	4.99327059207576e-05	5.15262987375844e-05	0.000659734660788736	0.0806434710130911	0	0.0806434710130911	5.35445587782115e-05	0	0	2.91042118709479e-05	3.61185285745381e-06	0.000638906166738926	0.000657137749264722	4.72324405094524e-05	1.08064347101309	0.000613517161612724	0	0.000657137749264722	0.028896370469788	0.0295098876314008	0	0.000613517161612724	2.53890051262024e-05	0.028896370469788	0.000124970964298859	2.88948228596305e-05	0.346756445637457	0.00858924026257813	2.2291240468473e-05	0.000348964701215988	0.310482603259818	0.000304668061514428	0	0	0	0	8.58771645626406e-06	0	0
"Azteca_sp1_M_PA_001"	0.00345783988501247	0.00356819618757772	0.04568662525962	0.00122703432322545	0	0.00122703432322545	0.00370796069539114	0	0	0.00201546667206314	0.000250120810378676	0.0442442520466706	0.045506789136582	0.00327084650527958	0.00122703432322545	1.04248606344168	0	0.045506789136582	0.00107365503282227	0.0435597184745034	0	0.0424860634416811	0.00175818860498951	0.00107365503282227	0.00865423927769596	0.00200096648302941	0.0128838603938672	0.594804888183536	0.00154366840244176	0.0241658055592072	0.000920275742419086	0.0210982632598742	0	0	0	0	0.000594699364596286	0	0
"Azteca_sp6_M_PA_001"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0
"Crematogaster_sp1_M_PA_001"	0.00199556652530345	0.0430552159136387	0.0245544547225783	0.000657137749264723	0	0.000657137749264723	0.00434026285725531	0	0	0.00116764379222503	0.00234469633195186	0.0237265319894999	0.059875979490508	0.0394672812541689	0.000657137749264723	0.022753394568291	0	1.05987597949051	0.000574995530606632	0.0233283900988976	0	0.022753394568291	0.000973137421208849	0.000574995530606632	0.00496753639847054	0.0187575706556148	0.00689994636727959	0.318547523956074	0.00116703822609708	0.296980679377736	0.000492853311948542	0.0116776490545062	0	0	0	0	0.00717586931893979	0	0
