"Ageratina_dendroides"	"Axinaea_sp._JH2631"	"Baccharis_genistelloides"	"Baccharis_latifolia"	"Baccharis_sp."	"Begonia_parviflora"	"Boehmeria_sp."	"Cavendishia_sp."	"Clethra_revoluta"	"Erato_polymnioides"	"Ericaceae_sp._indet."	"Faramea_cf._uniflora"	"Fuchsia_lehmannii"	"Gaultheria_erecta"	"Heliocarpus_americanus"	"Hyptis_sp."	"Lichen_sp._indet."	"Melastomataceae_sp._indet."	"Miconia_sp."	"Monochaetum"	"Monochaetum_lineatum"	"Munnozia_hastifolia"	"Myrica_pubescens"	"Paullinia_grandifolia"	"Piper_carpunya"	"Piper_parareolatum"	"Piper_sp._Type_1"	"Piper_sp._Type_3"	"Piper_sp._Type_8"	"Pteridium"	"Pteridium_arachnoideum"	"Saurauia_sp._JH1604"	"Saurauia_sp."	"Sida_rhombifolia"	"Siparuna_aspera"	"Solanum_nutans"	"Solanum_sp."	"Stemodia_suffruticosa"	"Sticherus_sp."	"Tabebuia_chrysantha"	"Tapirira_guianensis"	"Tibouchina_laxa"	"Tibouchina_lepidota"	"Urticaceae_sp._indet."	"Viburnum_stipitatum"	"Pero_maculicosta"	"Bryoptera_sp._2166"	"Glena_sp._nr._juga"	"Glena_sp._2167"	"Iridopsis_scolancala"	"Iridopsis_sp._nr._subnigrata"	"Melanolophia_atigrada"	"Melanolophia_corza"	"Melanolophia_reducta_meridiana"	"Oenoptila_sp._nr._nigriceps"	"Physocleora_curvifera"	"Apiciopsis_sp._2168"	"Callipseustes_sp._2169"	"Mychonia_corticinaria"	"Mychonia_violacea"	"Cargolia_arana"	"Ischnopteris_brehmi"	"Rucana_bisecta"	"Bonatea_duciata"	"Bonatea_viridilinea"	"Nephodia_admirationis"	"Nephodia_sp._nr._astychiodes"	"Isochromodes_brumosa"	"Isochromodes_duplicata"	"Isochromodes_fraterna"	"Isochromodes_polvoreata"	"Isochromodes_sp._106"	"Mesedra_sp._nr._confinis"	"Mesedra_sp._180"	"Perusia_praecisaria"	"Certima_sp._97"	"Eustenophasma_fuscata"	"Microxydia_colorata"	"Microxydia_sp._nr._ruficomma"	"Nematocampa_sp._nr._falsa"	"Pantherodes_conglomerata"	"Phyllodonta_flabellaria"	"Phyllodonta_semicava"	"Prochoerodes_pilosa"	"Sabulodes_bolivaria"	"Sabulodes_thermidora"	"Sabulodes_sp._nr._carbina"	"Cyclophora_costinotata"	"Cyclophora_viator"	"Erateina_radiaria"	"Erateina_siliquata"	"Perizoma_emmelesiata"	"Eois_encina"	"Eois_mucosa"	"Eois_olivacea"	"Eois_tegularia"	"Eois_sp._nr._encina"	"Eois_sp._nr._odatis"	"Eupithecia_lachaumei"	"Eupithecia_sobria"	"Euphitecia_yangana"	"Euphitecia_sp._2170"	"Psaliodes_inundulata"	"Spargania_narangilla"
"Ageratina_dendroides"	1.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Axinaea_sp._JH2631"	0	1.20779214260091	0	0	0	0	0	0	0.00130048515063003	0	0	0	0	0	0	0	0	0	0.00121595361583908	0	0	0	0	9.35348935260831e-05	0	0	0	0	0	0	0.0633099036999678	0	0	0	0	0	0	0	0.0568181247757981	0.00130948850936516	0	0.000104038812050403	0.00138966127524466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000347415318811166	0.000338126139163808	0	0	0	0	0	0.340908748654788	0	0	0	0.0121595361583908	1.30048515063003e-05	0	0	0	0	0	0	0	0	0	0.301948035650228	0	0.000374139574104332	0	0	0	0	0	1.30048515063003e-05	1.30048515063003e-05	0	0	0	0	0	0	0	0	0	0.0105516506166613	0	0
"Baccharis_genistelloides"	0	0	1.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Baccharis_latifolia"	0	0	0	1.21333333333333	0.0577777777777778	0	0	0	0	0	0	0	0	0	0.0622222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0155555555555556	0	0	0	0	0.217777777777778	0.202222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.231111111111111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Baccharis_sp."	0	0	0	0.173333333333333	1.15111111111111	0	0	0	0	0	0	0	0	0	0.00888888888888889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00222222222222222	0	0	0	0	0.0311111111111111	0.0288888888888889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.604444444444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Begonia_parviflora"	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Boehmeria_sp."	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.222222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.222222222222222	0	0	0	0.222222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cavendishia_sp."	0	0	0	0	0	0	0	1.15555555555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.177777777777778	0	0	0	0	0	0.622222222222222	0	0	0	0	0	0	0	0	0	0	0	0.0444444444444444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Clethra_revoluta"	0	0.00130048515063003	0	0	0	0	0	0	1.10320441148858	0	0	0	0	0	0	0	0	0	0.0314961247418211	0	0	0	0	0.00242277882629393	0	0	0	0	0	0	0.0356007809984971	0	0	0	0	0	0	0	0.00113792450680128	0.033918903568115	0	0.0882563529190863	0.0359955711335098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00899889278337746	0.28683314698703	0	0	0	0	0	0.00682754704080767	0	0	0	0.314961247418211	0.0110320441148858	0	0	0	0	0	0	0	0	0	0.000325121287657508	0	0.00969111530517572	0	0	0	0	0	0.0110320441148858	0.0110320441148858	0	0	0	0	0	0	0	0	0	0.00593346349974952	0	0
"Erato_polymnioides"	0	0	0	0	0	0	0	0	0	1.07565415244596	0	0	0	0	0	0	0	0	0	0	0.0864618885096701	0	0.0955631399317406	0	0	0	0	0	0	0	0	0	0	0.0756541524459613	0	0	0	0	0	0	0	0	0	0	0	0.00796359499431172	0	0	0	0	0	0.00796359499431172	0	0	0	0	0	0	0	0.0216154721274175	0	0	0	0	0.60523321956769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00796359499431172	0	0	0	0	0	0	0.00796359499431172	0	0	0	0	0	0	0	0	0	0	0	0.00796359499431172	0	0	0
"Ericaceae_sp._indet."	0	0	0	0	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.222222222222222	0	0	0.222222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.222222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Faramea_cf._uniflora"	0	0	0	0	0	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Fuchsia_lehmannii"	0	0	0	0	0	0	0	0	0	0	0	0	1.10606060606061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.121212121212121	0	0	0	0	0.106060606060606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.636363636363636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0303030303030303	0	0	0	0	0	0	0	0	0	0	0
"Gaultheria_erecta"	0	0	0	0	0	0	0	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0
"Heliocarpus_americanus"	0	0	0	0.0933333333333333	0.00444444444444444	0	0	0	0	0	0	0	0	0	1.23555555555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.308888888888889	0	0	0	0	0.324444444444444	0.0155555555555555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0177777777777778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hyptis_sp."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Lichen_sp._indet."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.222222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.222222222222222	0	0	0	0	0	0	0.222222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Melastomataceae_sp._indet."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.16666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Miconia_sp."	0	0.00243190723167816	0	0	0	0	0	0	0.0629922494836422	0	0	0	0	0	0	0	0	0	1.05889775326721	0	0	0	0	0.00453059640516965	0	0	0	0	0	0	0.0665734604671896	0	0	0	0	0	0	0	0.00212791882771839	0.0634283496723751	0	0.00503937995869138	0.0673117180196634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0168279295049158	0.016377984865747	0	0	0	0	0	0.0127675129663103	0	0	0	0.588977532672055	0.000629922494836422	0	0	0	0	0	0	0	0	0	0.00060797680791954	0	0.0181223856206786	0	0	0	0	0	0.000629922494836422	0.000629922494836422	0	0	0	0	0	0	0	0	0	0.0110955767445316	0	0
"Monochaetum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Monochaetum_lineatum"	0	0	0	0	0	0	0	0	0	0.043230944254835	0	0	0	0	0	0	0	0	0	0	1.19226393629124	0	0.0546075085324232	0	0	0	0	0	0	0	0	0	0	0.043230944254835	0	0	0	0	0	0	0	0	0	0	0	0.00455062571103527	0	0	0	0	0	0.00455062571103527	0	0	0	0	0	0	0	0.29806598407281	0	0	0	0	0.34584755403868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00455062571103527	0	0	0	0	0	0	0.00455062571103527	0	0	0	0	0	0	0	0	0	0	0	0.00455062571103527	0	0	0
