"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"C1"	"C2"	"C3"	"C4"
"R1"	1.06465517241379	0.0014367816091954	0.0660919540229885	0.0646551724137931	0.0646551724137931	0.0014367816091954	0.0014367816091954	0.0014367816091954	0.0014367816091954	0.0660919540229885	0.21551724137931	0.21551724137931	0.0201149425287356	0.21551724137931
"R2"	0.00431034482758621	1.04454022988506	0.0488505747126437	0.00431034482758621	0.00431034482758621	0.0445402298850575	0.0445402298850575	0.0445402298850575	0.0445402298850575	0.0488505747126437	0.014367816091954	0.014367816091954	0.623563218390805	0.014367816091954
"R3"	0.0495689655172414	0.0122126436781609	1.0617816091954	0.0495689655172414	0.0495689655172414	0.0122126436781609	0.0122126436781609	0.0122126436781609	0.0122126436781609	0.0617816091954023	0.165229885057471	0.165229885057471	0.170977011494253	0.165229885057471
"R4"	0.0646551724137931	0.0014367816091954	0.0660919540229885	1.06465517241379	0.0646551724137931	0.0014367816091954	0.0014367816091954	0.0014367816091954	0.0014367816091954	0.0660919540229885	0.21551724137931	0.21551724137931	0.0201149425287356	0.21551724137931
"R5"	0.0646551724137931	0.0014367816091954	0.0660919540229885	0.0646551724137931	1.06465517241379	0.0014367816091954	0.0014367816091954	0.0014367816091954	0.0014367816091954	0.0660919540229885	0.21551724137931	0.21551724137931	0.0201149425287356	0.21551724137931
"R6"	0.00431034482758621	0.0445402298850575	0.0488505747126437	0.00431034482758621	0.00431034482758621	1.04454022988506	0.0445402298850575	0.0445402298850575	0.0445402298850575	0.0488505747126437	0.014367816091954	0.014367816091954	0.623563218390805	0.014367816091954
"R7"	0.00431034482758621	0.0445402298850575	0.0488505747126437	0.00431034482758621	0.00431034482758621	0.0445402298850575	1.04454022988506	0.0445402298850575	0.0445402298850575	0.0488505747126437	0.014367816091954	0.014367816091954	0.623563218390805	0.014367816091954
"R8"	0.00431034482758621	0.0445402298850575	0.0488505747126437	0.00431034482758621	0.00431034482758621	0.0445402298850575	0.0445402298850575	1.04454022988506	0.0445402298850575	0.0488505747126437	0.014367816091954	0.014367816091954	0.623563218390805	0.014367816091954
"R9"	0.00431034482758621	0.0445402298850575	0.0488505747126437	0.00431034482758621	0.00431034482758621	0.0445402298850575	0.0445402298850575	0.0445402298850575	1.04454022988506	0.0488505747126437	0.014367816091954	0.014367816091954	0.623563218390805	0.014367816091954
"R10"	0.0495689655172414	0.0122126436781609	0.0617816091954023	0.0495689655172414	0.0495689655172414	0.0122126436781609	0.0122126436781609	0.0122126436781609	0.0122126436781609	1.0617816091954	0.165229885057471	0.165229885057471	0.170977011494253	0.165229885057471
"C1"	0.129310344827586	0.0028735632183908	0.132183908045977	0.129310344827586	0.129310344827586	0.0028735632183908	0.0028735632183908	0.0028735632183908	0.0028735632183908	0.132183908045977	1.09770114942529	0.0977011494252874	0.0402298850574713	0.0977011494252874
"C2"	0.129310344827586	0.0028735632183908	0.132183908045977	0.129310344827586	0.129310344827586	0.0028735632183908	0.0028735632183908	0.0028735632183908	0.0028735632183908	0.132183908045977	0.0977011494252874	1.09770114942529	0.0402298850574713	0.0977011494252874
"C3"	0.00862068965517241	0.0890804597701149	0.0977011494252873	0.00862068965517241	0.00862068965517241	0.0890804597701149	0.0890804597701149	0.0890804597701149	0.0890804597701149	0.0977011494252873	0.028735632183908	0.028735632183908	1.24712643678161	0.028735632183908
"C4"	0.129310344827586	0.0028735632183908	0.132183908045977	0.129310344827586	0.129310344827586	0.0028735632183908	0.0028735632183908	0.0028735632183908	0.0028735632183908	0.132183908045977	0.0977011494252874	0.0977011494252874	0.0402298850574713	1.09770114942529
