"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"R12"	"R13"	"R14"	"R15"	"R16"	"R17"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"	"C10"	"C11"	"C12"	"C13"	"C14"	"C15"	"C16"
"R1"	1.03664859287747	0.0067703463426024	0.00360314496384466	0.0067703463426024	0.000519119157073219	0.0255239031287484	0.0412806829883079	0.0283550715226569	0.0412806829883079	0.021951157798959	0.0171305062683021	0.0162001215806231	0.0390496641873626	0.0249011819143065	0.0124445856203159	0.00215028846541531	0.00875393718643276	0.00661100522246366	0.0038863779913756	0.00830590651317151	0.00713345949057801	0.0732504544327899	0.0829369098308881	0.00897451191152651	0.078770234295732	0.00471514982314664	0.00737595222433588	0.0758571264534022	0.0779884174033993	0.0792691892045826	0.0710230113343697	0.0742018738643369	0.00636708667056807
"R2"	0.0270813853704096	1.02321467085188	0.000605775061158845	0.0232146708518815	0.000515707199927573	0.0270921722539011	0.0314949315799609	0.0143404752719394	0.0314949315799609	0.0279486630155517	0.0126277826842021	0.0251547892622757	0.0294423310759119	0.0290563055920875	0.0256389178085567	0.00204815742683311	0.00236166644689349	0.00605932924737925	0.00343513230177201	0.00825131519884116	0.00717737502282924	0.0103072026959945	0.278051340254566	0.00963314681894032	0.275448547756759	0.00457654577419545	0.00683766120815561	0.0105812700186809	0.0130130548085889	0.0133270513454946	0.00591210326650921	0.00870125550170478	0.00535433544625565
"R3"	0.0288251597107573	0.00121155012231769	1.02408132597627	0.00121155012231769	0.000479992763383464	0.0289375400909557	0.0336960626698449	0.0279137048614565	0.0336960626698449	0.0297800363871769	0.0026319085065635	0.0267117532001332	0.0312807286093889	0.0307069679770303	0.00369678550148778	0.00210818861749347	0.0263640155469094	0.00644135000451164	0.00364898449309492	0.00767988421413542	0.00762352350516612	0.0109701686655865	0.0156958356294145	0.008294488141467	0.0133730110045615	0.00487446273526708	0.0082923920097871	0.0108313627907421	0.0144349301925631	0.529789171477978	0.00720477615237812	0.00881322171474148	0.00869910393527256
"R4"	0.0270813853704096	0.0232146708518815	0.000605775061158845	1.02321467085188	0.000515707199927573	0.0270921722539011	0.0314949315799609	0.0143404752719394	0.0314949315799609	0.0279486630155517	0.0126277826842021	0.0251547892622757	0.0294423310759119	0.0290563055920875	0.0256389178085567	0.00204815742683311	0.00236166644689349	0.00605932924737925	0.00343513230177201	0.00825131519884116	0.00717737502282924	0.0103072026959945	0.278051340254566	0.00963314681894032	0.275448547756759	0.00457654577419545	0.00683766120815561	0.0105812700186809	0.0130130548085889	0.0133270513454946	0.00591210326650921	0.00870125550170478	0.00535433544625565
"R5"	0.00415295325658576	0.00103141439985514	0.000479992763383464	0.00103141439985514	1.03332185927053	0.00423354338683624	0.0429910176475771	0.0365847480841141	0.0429910176475771	0.0388844718786447	0.00219673073583516	0.00269267756185438	0.00724700809127068	0.0407830398330185	0.0363108849129888	0.0361540784164396	0.00224648104697225	0.0111516739958061	0.00890549173140429	0.533149748328404	0.00947671815805934	0.00548161439621827	0.0138552398998623	0.00992291773151085	0.0109674522661605	0.00633045552328157	0.00799490780677288	0.00834506454129112	0.0116517817482451	0.0105598407944362	0.00586165314370223	0.00783553781205739	0.0051765687894546
"R6"	0.0255239031287484	0.00677304306347527	0.00361719251136947	0.00677304306347527	0.00052919292335453	1.03647428850624	0.0413361642822041	0.0172298722192143	0.0413361642822041	0.0330258459734816	0.0124068418394674	0.0161751583239561	0.0325677618847126	0.0249906172791977	0.0171026634669587	0.00216387929297285	0.0153077012923025	0.0069035532764297	0.00389527089922593	0.00846708677367248	0.00686977681015124	0.0729741788757163	0.0822187750501566	0.0728379333520279	0.0794372146617079	0.0052760782862784	0.00832046068325172	0.0747482400104769	0.0780869246275946	0.0795782352501282	0.00676644945022953	0.00935858040012953	0.0709279082594896
"R7"	0.020640341494154	0.00393686644749512	0.00210600391686531	0.00393686644749512	0.00268693860297357	0.0206680821411021	1.04955979822074	0.0183111297393271	0.0495597982207377	0.0284560320741179	0.00968342688084202	0.0123365035954592	0.0336517635781866	0.0369836851759619	0.0151533748862822	0.0141244271376776	0.0115382947739182	0.0404789860828012	0.0376540276633376	0.0429910176475771	0.0402898348386413	0.0411060579236351	0.0482784401902406	0.0412679690649339	0.045760073991612	0.0373112758748337	0.0399956991741489	0.0422725884840919	0.0449776565713552	0.0463320861710367	0.0383476033864618	0.0410990186288989	0.0385043309730607
"R8"	0.0324057960258936	0.00409727864912555	0.00398767212306521	0.00409727864912555	0.00522639258344487	0.019691282536245	0.0418540108327476	1.03634516945382	0.0418540108327476	0.0254658634344896	0.0191193963793624	0.00931525228047366	0.0348285789568229	0.0235239601484398	0.014949580237899	0.00695438299434867	0.00961742721527786	0.0071898225191174	0.0044653385575253	0.0836222813351179	0.00684805457544029	0.00923482411128037	0.0902171344691336	0.00879702815649738	0.0138025549607259	0.0048693338549562	0.00749520822816732	0.0850110065571802	0.0874589833122482	0.0877287867074346	0.0801170836795202	0.0834871732331254	0.00632205240919625
"R9"	0.020640341494154	0.00393686644749512	0.00210600391686531	0.00393686644749512	0.00268693860297357	0.0206680821411021	0.0495597982207377	0.0183111297393271	1.04955979822074	0.0284560320741179	0.00968342688084202	0.0123365035954592	0.0336517635781866	0.0369836851759619	0.0151533748862822	0.0141244271376776	0.0115382947739182	0.0404789860828012	0.0376540276633376	0.0429910176475771	0.0402898348386413	0.0411060579236351	0.0482784401902406	0.0412679690649339	0.045760073991612	0.0373112758748337	0.0399956991741489	0.0422725884840919	0.0449776565713552	0.0463320861710367	0.0383476033864618	0.0410990186288989	0.0385043309730607
"R10"	0.0175609262391672	0.00558973260311035	0.00297800363871769	0.00558973260311035	0.00388844718786447	0.0264206767787852	0.0455296513185887	0.0178261044041427	0.0455296513185887	1.04158351409441	0.0103208742358866	0.00984975024846859	0.0281121395437258	0.0320124534382222	0.0177291071462716	0.0100926520474177	0.0127199164868539	0.0586915517923074	0.0054410369399316	0.0622151550058315	0.0075973511124337	0.00908461979512851	0.0679994898481372	0.0605586881805769	0.0654360873969269	0.056258631138725	0.008418209738039	0.0614083706996199	0.0644757858559993	0.0655160800517892	0.00638779341673947	0.00901175492281788	0.0581660607716632
