"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"
"R1"	1.06372549019608	0.0637254901960784	0.0637254901960784	0.0784313725490196	0.0637254901960784	0	0	0	0.637254901960784	0.00980392156862745	0	0.00980392156862745	0	0	0.00980392156862745
"R2"	0.0637254901960784	1.06372549019608	0.0637254901960784	0.0784313725490196	0.0637254901960784	0	0	0	0.637254901960784	0.00980392156862745	0	0.00980392156862745	0	0	0.00980392156862745
"R3"	0.0637254901960784	0.0637254901960784	1.06372549019608	0.0784313725490196	0.0637254901960784	0	0	0	0.637254901960784	0.00980392156862745	0	0.00980392156862745	0	0	0.00980392156862745
"R4"	0.0196078431372549	0.0196078431372549	0.0196078431372549	1.25490196078431	0.0196078431372549	0	0	0	0.196078431372549	0.156862745098039	0	0.156862745098039	0	0	0.156862745098039
"R5"	0.0637254901960784	0.0637254901960784	0.0637254901960784	0.0784313725490196	1.06372549019608	0	0	0	0.637254901960784	0.00980392156862745	0	0.00980392156862745	0	0	0.00980392156862745
"R6"	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0.666666666666667	0	0
"R7"	0	0	0	0	0	0	1.33333333333333	0	0	0	0.666666666666667	0	0	0	0
"R8"	0	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0.666666666666667	0
"C1"	0.127450980392157	0.127450980392157	0.127450980392157	0.156862745098039	0.127450980392157	0	0	0	1.27450980392157	0.0196078431372549	0	0.0196078431372549	0	0	0.0196078431372549
"C2"	0.00980392156862745	0.00980392156862745	0.00980392156862745	0.627450980392157	0.00980392156862745	0	0	0	0.0980392156862745	1.07843137254902	0	0.0784313725490196	0	0	0.0784313725490196
"C3"	0	0	0	0	0	0	0.666666666666667	0	0	0	1.33333333333333	0	0	0	0
"C4"	0.00980392156862745	0.00980392156862745	0.00980392156862745	0.627450980392157	0.00980392156862745	0	0	0	0.0980392156862745	0.0784313725490196	0	1.07843137254902	0	0	0.0784313725490196
"C5"	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	1.33333333333333	0	0
"C6"	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	1.33333333333333	0
"C7"	0.00980392156862745	0.00980392156862745	0.00980392156862745	0.627450980392157	0.00980392156862745	0	0	0	0.0980392156862745	0.0784313725490196	0	0.0784313725490196	0	0	1.07843137254902
