"Cyprinus_carpio_(exotic)"	"Chalcalburnus_sp"	"Mastacembelus_mastacembelus"	"Hypophthalmichthys_molitrix"	"Capoeta_damascina"	"Ctenopharyngodon"	"Carassius_carassius_(exotic)"	"Barbus_cyclolepis"	"Diplostomum_spathaceum"	"Argulus_sp1"	"Argulus_sp2"	"Lernaea_cyprinacea"	"Myxobolus_molnari"	"Mastacembelocleidus_heteranchorus"	"Dactylogyrus_extensus"	"Dactylogyrus_alatus"	"Dactylogyrus_hypophthalmichthys"	"Dactylogyrus_carassobarbi"	"Dactylogyrus_lenkorani"	"Dactylogyrus_lamellatus"	"Dactylogyrus_goktschaicus"	"Dactylogyrus_suchengtaii"	"Dogielius_molnari"	"Gyrodactylus_sp"	"Gyrodactylus_stankovici"	"Ligula_intestinalis"	"Polyonchobothrium_sp"	"Pseudocapillaria_tomentosa"
"Cyprinus_carpio_(exotic)"	1.20482142342039	0.0332071802609808	0.0604540231251532	0.0322847585870647	0	0.00136850556786162	0.00119744237187892	0	0.0119744237187892	0.111435361425917	0.111435361425917	0.105439620545462	0.0027672650217484	0.00503783526042943	0.100401785285033	0.0027672650217484	0.00322847585870647	0	0	0.000342126391965405	0	0.00322847585870647	0	0	0.100401785285033	0.0027672650217484	0.00503783526042943	0.100401785285033
"Chalcalburnus_sp"	0.0332071802609808	1.18748787782708	0.0443650709069419	0.043390992331887	0	0.0132705130701012	0.0116116989363385	0	0.116116989363385	0.109760776649439	0.109760776649439	0.00646435426399356	0.098957323152257	0.00369708924224516	0.0027672650217484	0.098957323152257	0.00433909923318871	0	0	0.0033176282675253	0	0.0043390992331887	0	0	0.0027672650217484	0.098957323152257	0.00369708924224516	0.0027672650217484
"Mastacembelus_mastacembelus"	0.0604540231251532	0.0443650709069419	1.16101830235388	0.0431327078261935	0	0.0129937221979561	0.0113695069232116	0	0.113695069232116	0.10979972048145	0.10979972048145	0.101789360456586	0.00369708924224516	0.0967515251961564	0.00503783526042943	0.00369708924224516	0.00431327078261935	0	0	0.00324843054948902	0	0.00431327078261935	0	0	0.00503783526042943	0.00369708924224516	0.0967515251961564	0.00503783526042943
"Hypophthalmichthys_molitrix"	0.0387417103044776	0.0520691907982645	0.0517592493914322	1.16173393549831	0	0.0154822652484514	0.013546982092395	0	0.13546982092395	0.128054239424346	0.128054239424346	0.00754174664132582	0.00433909923318871	0.00431327078261935	0.00322847585870647	0.00433909923318871	0.116173393549831	0	0	0.00387056631211285	0	0.116173393549831	0	0	0.00322847585870647	0.00433909923318871	0.00431327078261935	0.00322847585870647
"Capoeta_damascina"	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0.166666666666667	0.166666666666667	0	0	0	0.166666666666667	0.166666666666667	0	0	0	0
"Ctenopharyngodon"	0.00410551670358486	0.0398115392103036	0.0389811665938683	0.0387056631211285	0	1.17958903877571	0.0321404089287425	0	0.321404089287425	0.0107787515210926	0.0107787515210926	0.00359055694145443	0.0033176282675253	0.00324843054948902	0.000342126391965405	0.0033176282675253	0.00387056631211285	0	0	0.294897259693926	0	0.00387056631211285	0	0	0.000342126391965405	0.0033176282675253	0.00324843054948902	0.000342126391965405
"Carassius_carassius_(exotic)"	0.0071846542312735	0.0696701936180313	0.0682170415392694	0.0677349104619748	0	0.064280817857485	1.0562457156253	0	0.562457156252993	0.018862815161912	0.018862815161912	0.00628347464754525	0.00580584946816927	0.00568475346160579	0.000598721185939458	0.00580584946816927	0.00677349104619749	0	0	0.0160702044643712	0	0.00677349104619748	0	0	0.000598721185939458	0.00580584946816927	0.00568475346160579	0.000598721185939458
"Barbus_cyclolepis"	0	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0
"Diplostomum_spathaceum"	0.014369308462547	0.139340387236063	0.136434083078539	0.13546982092395	0	0.12856163571497	0.112491431250599	0	1.12491431250599	0.037725630323824	0.037725630323824	0.0125669492950905	0.0116116989363385	0.0113695069232116	0.00119744237187892	0.0116116989363385	0.013546982092395	0	0	0.0321404089287425	0	0.013546982092395	0	0	0.00119744237187892	0.0116116989363385	0.0113695069232116	0.00119744237187892
"Argulus_sp1"	0.167153042138876	0.164641164974159	0.164699580722176	0.160067799280432	0	0.00538937576054628	0.004715703790478	0	0.04715703790478	1.05738126224764	0.057381262247644	0.0276543852384209	0.0137200970811799	0.0137249650601813	0.0139294201782396	0.0137200970811799	0.0160067799280432	0	0	0.00134734394013657	0	0.0160067799280432	0	0	0.0139294201782396	0.0137200970811799	0.0137249650601813	0.0139294201782396
