"R1"	"R2"	"R3"	"R4"	"R5"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"
"R1"	1.05783582089552	0.0578358208955224	0.0746268656716418	0.0715174129353234	0.0715174129353234	0.0205223880597015	0.0205223880597015	0.578358208955224	0.0205223880597015	0.0205223880597015	0.00621890547263682
"R2"	0.0578358208955224	1.05783582089552	0.0746268656716418	0.0715174129353234	0.0715174129353234	0.0205223880597015	0.0205223880597015	0.578358208955224	0.0205223880597015	0.0205223880597015	0.00621890547263682
"R3"	0.0124378109452736	0.0124378109452736	1.13432835820895	0.0870646766169154	0.0870646766169154	0.111940298507463	0.111940298507463	0.124378109452736	0.111940298507463	0.111940298507463	0.0945273631840796
"R4"	0.0143034825870647	0.0143034825870647	0.104477611940299	1.10012437810945	0.100124378109453	0.128731343283582	0.128731343283582	0.143034825870647	0.128731343283582	0.128731343283582	0.00870646766169154
"R5"	0.0143034825870647	0.0143034825870647	0.104477611940299	0.100124378109453	1.10012437810945	0.128731343283582	0.128731343283582	0.143034825870647	0.128731343283582	0.128731343283582	0.00870646766169154
"C1"	0.0068407960199005	0.0068407960199005	0.223880597014925	0.21455223880597	0.21455223880597	1.0615671641791	0.0615671641791045	0.068407960199005	0.0615671641791045	0.0615671641791045	0.0186567164179104
"C2"	0.0068407960199005	0.0068407960199005	0.223880597014925	0.21455223880597	0.21455223880597	0.0615671641791045	1.0615671641791	0.068407960199005	0.0615671641791045	0.0615671641791045	0.0186567164179104
"C3"	0.115671641791045	0.115671641791045	0.149253731343284	0.143034825870647	0.143034825870647	0.041044776119403	0.041044776119403	1.15671641791045	0.041044776119403	0.041044776119403	0.0124378109452736
"C4"	0.0068407960199005	0.0068407960199005	0.223880597014925	0.21455223880597	0.21455223880597	0.0615671641791045	0.0615671641791045	0.068407960199005	1.0615671641791	0.0615671641791045	0.0186567164179104
"C5"	0.0068407960199005	0.0068407960199005	0.223880597014925	0.21455223880597	0.21455223880597	0.0615671641791045	0.0615671641791045	0.068407960199005	0.0615671641791045	1.0615671641791	0.0186567164179104
"C6"	0.00621890547263682	0.00621890547263682	0.567164179104478	0.0435323383084577	0.0435323383084577	0.0559701492537313	0.0559701492537313	0.0621890547263682	0.0559701492537313	0.0559701492537313	1.04726368159204
