"Apollonia_melanostoma"	"Proterorhinus_marmoratus"	"Perca_flavescens"	"Amia_calva"	"Percina_caprodes"	"Acipenser_fulvescens"	"Coregonus_artedi"	"Coregonus_clupeaformis"	"Micropterus_dolomieu"	"Micropterus_sp."	"Notropis_hudsonius"	"Salvelinus_namaycush"	"Sander_vitreus"	"Cystidicola_stigmatura"	"Sphaeromyxa_sevastopoli"	"Proteocephalus_ambloplitis"	"Dichelyne_cotylophora"	"Raphidascaris_acus"	"Eustrongylides_tubifex"	"Spiroxys_sp."	"Leptorhynchoides_thecatus"	"Myxobolus_burti"	"Neochasmus_umbellus"	"Diplostomum_spathaceum"	"Diplostomum_sp."	"Ichthyocotylurus_pileatus"	"Digenea_gen._sp."	"Proteocephalus_sp."	"Scolex_pleuronectis"	"Hysterothylacium_brachyurum"	"Truttaedacnitis_clitellarius"	"Philometra_cylindraceum"	"Haplonema_immutatum"	"Rhabdochona_decaturensis"	"Contracaecum_sp."	"Spinitectus_sp."	"Spiroxys_contortus"	"Philometra_sp."	"Dioctophymidae"	"Neoechinorhynchus_tumidus"	"Neoechinorhynchus_sp."	"Southwellina_hispida"	"Myzobdella_lugubris"	"Piscicolaria_reducta"
"Apollonia_melanostoma"	1.26735398507859	0.052442233865321	0.0130703173415103	0	0	0	0	0	0	0	0	0	0.000466797047911083	0	0.0451585902729153	0	0.00186718819164433	0.0451585902729153	0.0438789225036419	0.0451585902729153	0.0451585902729152	0	0.0422451328359531	0.0422451328359531	0.042245132835953	0.042245132835953	0.0422451328359531	0.00291345743696228	0.0422451328359531	0	0	0.00163378966768879	0	0.0422451328359531	0.00291345743696228	0.0422451328359531	0.00291345743696228	0.0422451328359531	0.00163378966768879	0.0422451328359531	0.00291345743696228	0.00291345743696228	0	0
"Proterorhinus_marmoratus"	0.0874037231088683	1.24499601612864	0.000901401195966229	0	0	0	0	0	0	0	0	0	3.21928998559368e-05	0	0.0720799027774424	0	0.000128771599423747	0.0720799027774424	0.00302613258645806	0.0720799027774424	0.0720799027774423	0	0.00291345743696228	0.00291345743696228	0.00291345743696228	0.00291345743696228	0.00291345743696228	0.0691664453404802	0.00291345743696228	0	0	0.000112675149495779	0	0.00291345743696228	0.0691664453404802	0.00291345743696228	0.0691664453404802	0.00291345743696228	0.000112675149495779	0.00291345743696228	0.0691664453404802	0.0691664453404802	0	0
"Perca_flavescens"	0.0490136900306637	0.00202815269092402	1.23807454265962	0	0	0	0	0	0	0	0	0	0.0442169479521292	0	0.00174646481718457	0	0.176867791808517	0.00174646481718457	0.156393107500141	0.00174646481718457	0.00174646481718457	0	0.00163378966768879	0.00163378966768879	0.00163378966768879	0.00163378966768879	0.00163378966768879	0.000112675149495779	0.00163378966768879	0	0	0.154759317832452	0	0.00163378966768879	0.000112675149495779	0.00163378966768879	0.000112675149495779	0.00163378966768879	0.154759317832452	0.00163378966768879	0.000112675149495779	0.000112675149495779	0	0
"Amia_calva"	0	0	0	1.24444444444444	0	0	0	0	0.0888888888888889	0	0	0	0	0	0	0.355555555555556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.311111111111111	0	0	0	0	0	0	0	0	0	0	0
"Percina_caprodes"	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333333333	0.333333333333333
"Acipenser_fulvescens"	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0
"Coregonus_artedi"	0	0	0	0	0	0	1.11111111111111	0.111111111111111	0	0	0	0.111111111111111	0	0.666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Coregonus_clupeaformis"	0	0	0	0	0	0	0.111111111111111	1.11111111111111	0	0	0	0.111111111111111	0	0.666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Micropterus_dolomieu"	0	0	0	0.177777777777778	0	0	0	0	1.15555555555556	0	0	0	0	0	0	0.622222222222222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0444444444444444	0	0	0	0	0	0	0	0	0	0	0
"Micropterus_sp."	0	0	0	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Notropis_hudsonius"	0	0	0	0	0	0	0	0	0	0	1.33333333333333	0	0	0	0	0	0	0	0	0	0	0.666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Salvelinus_namaycush"	0	0	0	0	0	0	0.111111111111111	0.111111111111111	0	0	0	1.11111111111111	0	0.666666666666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
