"R1"	"R2"	"R3"	"R4"	"R5"	"C1"	"C2"	"C3"	"C4"	"C5"
"R1"	1.10212395010928	0.0483538457089267	0.0483538457089267	0.0270027969543357	0.107498894851869	0.0107498894851869	0.160603844676078	0.17269230610331	0.162016781726014	0.160603844676078
"R2"	0.0967076914178534	1.08712878294316	0.0436505220735938	0.00404876698519721	0.10179756991353	0.010179756991353	0.294050414154374	0.304963044672773	0.0242926019111833	0.0331808489369831
"R3"	0.0967076914178534	0.0436505220735938	1.08712878294316	0.00404876698519721	0.10179756991353	0.010179756991353	0.0331808489369831	0.304963044672773	0.0242926019111833	0.294050414154374
"R4"	0.108011187817343	0.00809753397039443	0.00809753397039443	1.09543109039905	0.11369598717615	0.011369598717615	0.0268953806873815	0.0289197641799801	0.572586542394309	0.0268953806873815
"R5"	0.0859991158814951	0.040719027965412	0.040719027965412	0.0227391974352301	1.14315696408578	0.114315696408578	0.135245342885118	0.145425099876471	0.13643518461138	0.135245342885118
"C1"	0.0429995579407475	0.020359513982706	0.020359513982706	0.011369598717615	0.571578482042892	1.05715784820429	0.0676226714425592	0.0727125499382357	0.0682175923056902	0.0676226714425592
"C2"	0.214138459568104	0.19603360943625	0.0221205659579887	0.00896512689579383	0.22540890480853	0.022540890480853	1.09831660028593	0.103846741775426	0.053790761374763	0.0548383394163632
"C3"	0.17269230610331	0.152481522336386	0.152481522336386	0.00722994104499502	0.181781374845589	0.0181781374845589	0.0778850563315692	1.11600543691567	0.0433796462699701	0.0778850563315692
"C4"	0.216022375634686	0.0161950679407889	0.0161950679407889	0.190862180798103	0.227391974352301	0.0227391974352301	0.053790761374763	0.0578395283599602	1.14517308478862	0.053790761374763
"C5"	0.214138459568104	0.0221205659579887	0.19603360943625	0.00896512689579383	0.225408904808531	0.022540890480853	0.0548383394163632	0.103846741775426	0.053790761374763	1.09831660028593
