"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"C1"	"C2"	"C3"	"C4"
"R1"	1.06488417310439	0.0648841731043902	0.0451631063710005	0.0648841731043902	0.0286335345447721	0.0506218137178244	0.0142623593865657	0.157768533867117	0.165295718262284	0.172454101898477	0.171148312638789
"R2"	0.0648841731043902	1.06488417310439	0.0451631063710005	0.0648841731043902	0.0286335345447721	0.0506218137178244	0.0142623593865657	0.157768533867117	0.165295718262284	0.172454101898477	0.171148312638789
"R3"	0.060217475161334	0.060217475161334	1.05651643574266	0.060217475161334	0.0359469969453393	0.0421605729834548	0.0180569021778792	0.0296083153494094	0.205694387973186	0.21468113720952	0.216682826134551
"R4"	0.0648841731043902	0.0648841731043902	0.0451631063710005	1.06488417310439	0.0286335345447721	0.0506218137178244	0.0142623593865657	0.157768533867117	0.165295718262284	0.172454101898477	0.171148312638789
"R5"	0.0572670690895443	0.0572670690895443	0.0539204954180089	0.0572670690895443	1.05034456155715	0.0317846307822225	0.0254824383073218	0.0267725893722829	0.0357593386086177	0.298345478997904	0.305789259687862
"R6"	0.0674957516237659	0.0674957516237659	0.0421605729834548	0.0674957516237659	0.021189753854815	1.06422313358146	0.00327261804230653	0.202681429122489	0.209708191286398	0.215005629750102	0.0392714165076783
"R7"	0.057049437546263	0.057049437546263	0.0541707065336377	0.057049437546263	0.0509648766146436	0.00981785412691959	1.04723158341934	0.0230298481010019	0.0320582991899415	0.0447995183436024	0.566779001032121
"C1"	0.157768533867117	0.157768533867117	0.022206236512057	0.157768533867117	0.0133862946861414	0.152011071841867	0.00575746202525047	1.08449837884048	0.0881994182591562	0.0915459919306915	0.0690895443030057
"C2"	0.132236574609827	0.132236574609827	0.123416632783911	0.132236574609827	0.0143037354434471	0.125824914771839	0.0064116598379883	0.0705595346073249	1.09112897340464	0.0947049072655052	0.0769399180558596
"C3"	0.114969401265651	0.114969401265651	0.10734056860476	0.114969401265651	0.0994484929993015	0.107502814875051	0.0074665863906004	0.0610306612871277	0.0789207560545877	1.10378287930441	0.0895990366872048
"C4"	0.114098875092526	0.114098875092526	0.108341413067275	0.114098875092526	0.101929753229287	0.0196357082538392	0.0944631668386868	0.0460596962020038	0.064116598379883	0.0895990366872048	1.13355800206424
