"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"R12"	"R13"	"R14"	"R15"	"R16"	"R17"	"R18"	"R19"	"R20"	"R21"	"R22"	"R23"	"R24"	"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"	"C10"	"C11"	"C12"	"C13"	"C14"	"C15"	"C16"	"C17"	"C18"	"C19"	"C20"	"C21"	"C22"	"C23"
"R1"	1.1444569735671	5.84946943656581e-05	0.00112679538579634	0.00012087454390676	0.000467398019104873	0.00182751280441626	0.00258161147567394	0.0006663968194398	0.000984684206564073	0.00103840243077279	0.00172844371238168	0.00196034214375795	0.000590186047581261	0.000251774084973942	0.00175778447117407	0.00113942757145919	0.00117677962977513	0.00135165914557845	0.00156472270340931	0.00396767926492064	0.00193950140260763	0.00264636853693664	0.00314611109621311	0.156783409575428	0.00116989388731316	0.00701110388849285	0.00732705119493434	0.00134185453754233	0.00084475467140818	0.00674490675829464	0.000873317893575432	0.00642596734047142	0.00631087486124301	0.00667134059926447	0.00068811502921563	0.00642841986270288	0.00621781127166481	0.000564479373447061	0.00591318530998829	0.0061856917986885	0.00588281314661675	0.00602967606411569	0.000293496314844417	0.577827894268385	0.000157305554810656	0.000157305554810656	0.0055994074848367
"R2"	5.84946943656581e-05	1.02724211834556	0.000299052360123622	0.0286110020591169	0.00117868206717926	0.00125814755158446	0.000684971396296186	0.00211903849672877	0.00101113446048687	0.00089644780992406	0.00289712196401512	0.0291338512207456	0.0302450419240668	0.0303399433976769	0.00222602047599991	0.0297016701466285	0.00267707319803611	0.00384392834360724	0.0314353151649479	0.00371252962993543	0.032226061195442	0.0324352390388014	0.0333679683442254	0.00573248004783449	0.544842366911293	0.0159801720057012	0.00519892658609481	0.00304529955761177	0.012457939373547	0.00706697332224184	0.0191643719897315	0.00468116589802496	0.00681911655017555	0.00316418809097516	0.0110041554485002	0.00652323879501134	0.00587700149558617	0.00671270820931041	0.00501666136398587	0.00048918577890812	0.000469912118132334	0.000318893329662501	0.00405888280000834	0.000233978777462632	0.00166839841721127	0.00166839841721127	0.000204731430279803
"R3"	0.000563397692898172	0.000149526180061811	1.06621615061425	0.00039842115080981	0.00147479873719849	0.0480613128415528	0.0021334279662005	0.00129087442385272	0.0218645396271664	0.0218635825787781	0.0024581012850206	0.00189823620900748	0.00154126560594681	0.00105531647457653	0.00182279331408561	0.00208285419673092	0.0220601205666458	0.0220704070486559	0.00226056510552071	0.0239853896518929	0.00306540790703673	0.00469907455610794	0.025104795695317	0.0552129739040209	0.00299052360123622	0.0156445892741812	0.0198505967168764	0.281775095699674	0.0052078293187639	0.00888910607864122	0.00348452959047198	0.00760774920103203	0.00692196359620352	0.00448751224274222	0.00417468736068361	0.00642314643388422	0.00377167389666296	0.00227926012226869	0.00345318822046153	0.276536148385631	0.00368513404313595	0.00232746325284369	0.000420507365004052	0.00225359077159269	0.00125523978476585	0.00125523978476585	0.0019718919251436
"R4"	6.04372719533802e-05	0.0143055010295584	0.00039842115080981	1.0340710888873	0.00120775572283886	0.00126929039210478	0.000854348621528347	0.00213691760326674	0.0014446032177221	0.00108658920287849	0.0216455840698525	0.0164956016207559	0.0168096750511608	0.0358425695785022	0.00203376843419989	0.0164278739577434	0.00243368005595753	0.0226632806612131	0.036800743146757	0.00380616194655828	0.0375230549331871	0.0382050878441351	0.0198884462819142	0.00592285265143126	0.286110020591169	0.0139019617085446	0.00737721293467122	0.00435829978881604	0.011170747837222	0.0101283129767713	0.276718230008439	0.00438524294482351	0.00552131162353125	0.00356022986301502	0.0114298520665463	0.00719949542127952	0.0059736009772586	0.00778856105117238	0.00488602708060824	0.000522684138223413	0.000483399162305279	0.000353921888758222	0.00235543043567009	0.000241749087813521	0.00099442231409571	0.00099442231409571	0.000211530451836831
"R5"	0.000233699009552437	0.000589341033589631	0.00147479873719849	0.00120775572283886	1.03493362587926	0.0167179751660587	0.0168429324574194	0.0215334577557499	0.0167102379108547	0.0170537690888197	0.0171746870233201	0.00209120820794906	0.00183092850698276	0.0218431487282811	0.00217125537049726	0.0217242737723211	0.0219475689072506	0.00267802224022797	0.0028486063610742	0.00457019557474571	0.0239811125594252	0.0194086044529855	0.0408636259307962	0.0229025029361388	0.0117868206717926	0.0128293996929557	0.276175227059873	0.0113769063592676	0.274267807929681	0.00776347001279785	0.00865780564948919	0.010776777003692	0.00831630602082076	0.00593588801675637	0.00403774799835447	0.00288663010281482	0.00526936473388199	0.00835868236943423	0.00314598846608076	0.00397297541207627	0.00114438907448679	0.00362510194300343	0.000500272984685002	0.000934796038209746	0.00204318129653981	0.00204318129653981	0.000817946533433527
"R6"	0.00060917093480542	0.000419382517194821	0.0320408752277019	0.000846193594736522	0.0111453167773725	1.05184985223221	0.0122543081424674	0.00147083046040583	0.012273542972898	0.0122810435275263	0.0121566551848527	0.00210901874335901	0.0117662290426047	0.00173375340401065	0.00224215486735311	0.0120999417881827	0.0128129968680045	0.00319315137537418	0.0124505710759612	0.0145030813658259	0.013479683299536	0.0240047815482046	0.0158920467718183	0.0596987516109311	0.00838765034389643	0.186769427798563	0.190176035028805	0.0158541263582317	0.00811974097192183	0.00806078135104779	0.00597535508558381	0.00699924781358051	0.00724498450851107	0.00645352122531805	0.00533005206081283	0.00525127398231233	0.00470990985143635	0.00246062649023767	0.00417175771800601	0.185450625784112	0.00316803265509224	0.00417448296223021	0.00175104798874472	0.00243668373922168	0.000794602338590916	0.000794602338590916	0.00213209827181897
"R7"	0.000860537158557981	0.000228323798765395	0.00142228531080033	0.000569565747685565	0.0112286216382796	0.0122543081424674	1.07514553074452	0.00168632787401859	0.0120773771228495	0.0121155685684949	0.0126018792926356	0.0023005666510041	0.00173015916240725	0.00145605020257184	0.0210738724804807	0.00188753375064329	0.00217985591716752	0.00246184434221081	0.0020205244883411	0.022765182382978	0.0214814687992643	0.0143220343917756	0.0151312738267308	0.0843326415386822	0.00456647597530791	0.0100366130319074	0.194311425313314	0.00728904351405471	0.00606959435889293	0.0106631276288166	0.00477738728488237	0.00959812102958779	0.00668077884787517	0.187997510990212	0.00231619761917861	0.0060668469259625	0.00563124948924444	0.00362353600543713	0.00397049619512359	0.00540983607306425	0.00463796451087993	0.182202801845706	0.00285050395536099	0.00344214863423193	0.000756563691336542	0.000756563691336542	0.00301188005495293
"R8"	0.0002221322731466	0.000706346165576255	0.000860582949235149	0.00142461173551116	0.0143556385038333	0.00147083046040583	0.00168632787401859	1.05219489352438	0.0016374300844073	0.0165991479869713	0.00207262845751762	0.00188673752593302	0.00233610021601759	0.0382906785812782	0.0171092722755935	0.0160589864024903	0.0160069320022509	0.00255530055371119	0.00290763782605169	0.0273237985865342	0.0407093787879569	0.0192007209090685	0.0339482568830801	0.0217689627683668	0.0141269233115251	0.011673175202704	0.0110885317744324	0.00916008471471653	0.192354525451329	0.0051395228646494	0.0100557179790887	0.183945920143325	0.00964521542621225	0.00805668930573855	0.00373576426594927	0.00442058015798079	0.00296979654809843	0.185011663079663	0.00276563958277227	0.00123774710338953	0.00272916285505126	0.00105851760168287	0.00243067156145138	0.000888529092586399	0.001697412844154	0.001697412844154	0.000777462956013099
"R9"	0.000328228068854691	0.000337044820162291	0.0145763597514443	0.000963068811814733	0.0111401586072365	0.012273542972898	0.0120773771228495	0.0016374300844073	1.03733636612532	0.0249643139847087	0.0254928957154864	0.0154590634871833	0.00204000933319702	0.00170813316295245	0.0153518993227476	0.00180769731185567	0.0149072657974151	0.0288785428462378	0.00260223278129816	0.0167714734419432	0.00332558056322559	0.0278051366211234	0.0293831618512118	0.0321663507477597	0.00674089640324582	0.00897230846624499	0.191436029022913	0.188112586280104	0.00706753126126732	0.185701850234333	0.00876433588313418	0.010708388799235	0.00467367248716232	0.00651618570098851	0.00661005786078403	0.00890481888904355	0.00773695123388572	0.001921925516949	0.00287817961168182	0.0068384786743355	0.00234676062970165	0.003161694428133	0.00217398858199308	0.00131291227541876	0.00146915809256059	0.00146915809256059	0.00114879824099142
"R10"	0.000346134143590929	0.000298815936641353	0.0145757217191854	0.000724392801918993	0.0113691793925465	0.0122810435275263	0.0121155685684949	0.0165991479869713	0.0249643139847087	1.03933109632908	0.0126305416517322	0.00250124045160269	0.00203726682489567	0.00203652575087415	0.0175071640400895	0.002044787956851	0.0151713203193474	0.0160031008866682	0.00246593244034026	0.016892423832634	0.00372120421436955	0.0292942536696666	0.0445010108316823	0.0339211460719111	0.00597631873282707	0.00921486807987166	0.191137193854746	0.187954876187929	0.0105062496086264	0.0128832577109687	0.00595807611388695	0.183444180456194	0.00483588504045045	0.00689152843901932	0.00615750308175109	0.00616192720437057	0.00532799280706923	0.00449349238671188	0.0036831132881864	0.00690224052028565	0.00241807120489925	0.00323073093065074	0.00244305385812314	0.00138453657436372	0.00222505054158412	0.00222505054158412	0.00121146950256825
