"R1"	"R2"	"R3"	"R4"	"R5"	"R6"	"R7"	"R8"	"R9"	"R10"	"R11"	"C1"	"C2"	"C3"
"R1"	1.03030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.222222222222222	0.222222222222222	0.222222222222222
"R2"	0.0303030303030303	1.03030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.222222222222222	0.222222222222222	0.222222222222222
"R3"	0.0303030303030303	0.0303030303030303	1.03030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.222222222222222	0.222222222222222	0.222222222222222
"R4"	0.0303030303030303	0.0303030303030303	0.0303030303030303	1.03030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.222222222222222	0.222222222222222	0.222222222222222
"R5"	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	1.03030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.222222222222222	0.222222222222222	0.222222222222222
"R6"	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	1.03030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.222222222222222	0.222222222222222	0.222222222222222
"R7"	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	1.03030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.222222222222222	0.222222222222222	0.222222222222222
"R8"	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	1.03030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.222222222222222	0.222222222222222	0.222222222222222
"R9"	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	1.03030303030303	0.0303030303030303	0.0303030303030303	0.222222222222222	0.222222222222222	0.222222222222222
"R10"	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	1.03030303030303	0.0303030303030303	0.222222222222222	0.222222222222222	0.222222222222222
"R11"	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	0.0303030303030303	1.03030303030303	0.222222222222222	0.222222222222222	0.222222222222222
"C1"	0.0606060606060606	0.0606060606060606	0.0606060606060606	0.0606060606060606	0.0606060606060606	0.0606060606060606	0.0606060606060606	0.0606060606060606	0.0606060606060606	0.0606060606060606	0.0606060606060606	1.11111111111111	0.111111111111111	0.111111111111111
"C2"	0.0606060606060606	0.0606060606060606	0.0606060606060606	0.0606060606060606	0.0606060606060606	0.0606060606060606	0.0606060606060606	0.0606060606060606	0.0606060606060606	0.0606060606060606	0.0606060606060606	0.111111111111111	1.11111111111111	0.111111111111111
"C3"	0.0606060606060606	0.0606060606060606	0.0606060606060606	0.0606060606060606	0.0606060606060606	0.0606060606060606	0.0606060606060606	0.0606060606060606	0.0606060606060606	0.0606060606060606	0.0606060606060606	0.111111111111111	0.111111111111111	1.11111111111111
